,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DQKJ,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,WHU-2018
1526449576190,-29,-44,-33,-32,-47,-44,-67,-72,-74,-66,-53,-55,-70,-68,-49,-72,-76,-72,-54,-67,-81,-71,-70,-68,-68,-83,-71,-68,-68,-66,-77,-77,-68,-78,-90,-77,-81,-73,-84,-80,-73,-89,-81,-88,-88,-80,-85,-79,-82,-88,-83,-200,-88,-200,-200,-200,-200,-81,-85,-80,-85,-200,-83,-91,-200,-89,-89,-200,-87,-200,-200,-86,-200,-200,-200,-75,-74,-88,-89,-87,-89,-81,-87,-200,-200,-200,-86,-90,-200,-92,-87,-91,-88,-200,-200,-200,-200,-200,-200
1526449579223,-30,-44,-36,-33,-47,-48,-67,-73,-74,-66,-54,-68,-71,-62,-50,-74,-76,-72,-54,-65,-80,-74,-73,-66,-65,-83,-69,-69,-68,-65,-80,-78,-67,-78,-87,-78,-76,-72,-84,-82,-73,-88,-82,-200,-88,-74,-85,-78,-73,-84,-83,-200,-88,-200,-200,-200,-200,-81,-85,-80,-86,-83,-82,-88,-200,-89,-89,-200,-87,-200,-200,-86,-200,-200,-200,-75,-76,-79,-89,-87,-89,-87,-87,-200,-200,-200,-90,-89,-200,-92,-87,-91,-88,-80,-200,-200,-200,-200,-200
1526449582257,-30,-44,-39,-32,-47,-50,-67,-73,-74,-67,-51,-54,-71,-64,-50,-74,-75,-70,-56,-69,-83,-73,-72,-69,-69,-83,-69,-68,-76,-63,-79,-77,-68,-80,-89,-79,-76,-73,-85,-80,-71,-88,-81,-200,-87,-81,-80,-79,-83,-88,-83,-200,-88,-200,-200,-200,-200,-81,-85,-80,-86,-81,-84,-90,-200,-89,-90,-200,-89,-200,-200,-88,-200,-200,-200,-75,-76,-79,-89,-83,-89,-79,-87,-200,-90,-200,-90,-89,-200,-200,-87,-91,-88,-80,-200,-200,-200,-200,-200
1526449585295,-29,-51,-44,-23,-47,-55,-67,-72,-75,-66,-52,-55,-70,-64,-54,-72,-76,-73,-62,-65,-83,-76,-78,-68,-70,-200,-79,-68,-79,-65,-79,-77,-68,-79,-89,-78,-79,-70,-85,-79,-71,-90,-80,-200,-87,-76,-80,-78,-81,-88,-83,-200,-89,-200,-200,-200,-200,-81,-85,-80,-86,-85,-83,-89,-200,-89,-90,-200,-89,-200,-200,-86,-200,-200,-200,-82,-76,-79,-89,-84,-200,-79,-91,-89,-95,-200,-90,-89,-200,-200,-87,-200,-88,-80,-200,-200,-200,-200,-200
1526449588339,-29,-42,-39,-34,-47,-52,-67,-72,-71,-66,-53,-54,-72,-69,-53,-74,-47,-73,-56,-66,-80,-76,-71,-69,-68,-200,-71,-68,-71,-65,-79,-79,-69,-79,-89,-77,-77,-73,-85,-80,-73,-88,-83,-87,-87,-81,-84,-78,-80,-86,-83,-200,-85,-200,-200,-200,-200,-200,-88,-80,-85,-85,-83,-91,-89,-88,-88,-200,-87,-200,-200,-89,-200,-200,-200,-74,-76,-79,-200,-87,-89,-80,-91,-89,-95,-200,-86,-89,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200
1526449591384,-28,-44,-39,-33,-48,-52,-67,-77,-71,-67,-53,-54,-72,-68,-53,-73,-76,-72,-55,-66,-81,-76,-71,-69,-67,-75,-70,-68,-76,-65,-80,-77,-69,-79,-91,-77,-80,-75,-86,-81,-75,-88,-80,-87,-86,-75,-84,-78,-79,-87,-83,-200,-85,-200,-200,-200,-200,-83,-88,-80,-85,-71,-84,-88,-89,-88,-88,-200,-87,-200,-200,-85,-200,-200,-200,-74,-74,-80,-86,-87,-89,-80,-91,-89,-92,-200,-86,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200
1526449594421,-31,-44,-33,-34,-47,-48,-66,-78,-70,-65,-53,-106,-80,-64,-53,-73,-76,-72,-55,-78,-81,-73,-70,-69,-68,-75,-68,-68,-69,-65,-85,-80,-69,-79,-91,-80,-75,-73,-87,-81,-75,-90,-83,-87,-86,-81,-84,-78,-79,-89,-83,-200,-85,-200,-200,-200,-200,-89,-84,-80,-86,-82,-84,-88,-89,-88,-88,-200,-94,-200,-200,-84,-200,-200,-200,-74,-75,-80,-86,-85,-92,-80,-91,-89,-92,-200,-86,-88,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200
1526449597464,-29,-42,-40,-33,-47,-50,-66,-73,-73,-66,-51,-55,-72,-63,-53,-72,-75,-68,-55,-66,-72,-73,-70,-69,-68,-82,-74,-68,-69,-66,-80,-75,-68,-79,-89,-77,-77,-73,-84,-82,-76,-91,-81,-87,-86,-74,-85,-79,-78,-88,-83,-200,-85,-200,-200,-200,-200,-89,-85,-200,-85,-82,-81,-90,-89,-90,-85,-200,-87,-200,-200,-86,-200,-200,-200,-74,-76,-80,-86,-85,-88,-80,-200,-200,-92,-200,-86,-87,-93,-200,-200,-200,-200,-200,-90,-90,-200,-200,-200
1526449600500,-29,-50,-44,-16,-47,-52,-67,-72,-73,-72,-54,-55,-73,-65,-53,-72,-75,-69,-56,-69,-83,-73,-73,-68,-68,-82,-66,-68,-77,-66,-83,-80,-69,-79,-89,-78,-74,-72,-83,-81,-76,-89,-81,-87,-88,-75,-78,-78,-80,-87,-83,-200,-200,-200,-200,-200,-200,-89,-85,-200,-85,-82,-81,-90,-200,-90,-85,-200,-87,-200,-200,-86,-200,-200,-200,-83,-72,-80,-86,-90,-88,-82,-200,-200,-92,-200,-200,-87,-93,-200,-88,-200,-90,-200,-90,-90,-200,-200,-200
1526449603541,-31,-43,-37,-32,-47,-51,-47,-67,-73,-62,-53,-56,-69,-71,-51,-72,-65,-72,-53,-67,-80,-75,-71,-69,-63,-82,-72,-68,-77,-65,-78,-77,-70,-79,-88,-78,-80,-70,-85,-80,-72,-90,-80,-87,-86,-80,-85,-78,-80,-88,-200,-200,-200,-200,-200,-200,-200,-83,-85,-200,-86,-82,-82,-87,-200,-88,-91,-200,-89,-200,-200,-86,-200,-200,-200,-74,-74,-81,-84,-84,-88,-81,-84,-200,-200,-200,-87,-87,-93,-200,-88,-200,-88,-200,-200,-90,-200,-200,-200
1526449606584,-14,-44,-38,-33,-48,-53,-66,-73,-74,-62,-52,-55,-72,-63,-50,-81,-76,-71,-56,-67,-80,-73,-71,-69,-68,-82,-72,-68,-72,-65,-78,-80,-67,-79,-88,-76,-81,-73,-87,-81,-71,-90,-81,-87,-89,-81,-85,-79,-80,-88,-83,-200,-87,-200,-200,-200,-200,-83,-85,-200,-86,-82,-84,-87,-200,-88,-86,-200,-87,-200,-200,-86,-200,-200,-200,-75,-76,-81,-85,-84,-90,-81,-84,-200,-200,-200,-87,-87,-90,-200,-88,-200,-88,-200,-200,-90,-89,-200,-200
1526449609627,-31,-43,-39,-33,-47,-39,-67,-71,-73,-65,-54,-55,-72,-67,-48,-73,-76,-72,-56,-67,-80,-74,-71,-67,-70,-200,-68,-68,-73,-65,-85,-80,-62,-79,-91,-76,-77,-74,-84,-81,-72,-88,-82,-85,-89,-81,-80,-78,-79,-88,-83,-200,-87,-200,-200,-200,-200,-83,-85,-200,-86,-82,-84,-90,-200,-88,-87,-200,-87,-200,-200,-85,-200,-200,-200,-75,-71,-81,-85,-84,-90,-81,-84,-200,-200,-200,-87,-88,-90,-200,-88,-200,-88,-200,-200,-200,-89,-89,-93
