,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,whu2011314,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro
1526450184123,-42,-44,-46,-41,-43,-45,-58,-54,-59,-60,-59,-47,-65,-71,-61,-62,-70,-59,-68,-60,-63,-68,-75,-78,-69,-73,-80,-74,-75,-74,-72,-81,-72,-63,-200,-80,-79,-65,-71,-75,-82,-77,-76,-77,-82,-78,-77,-200,-75,-76,-88,-77,-80,-83,-78,-83,-87,-88,-91,-87,-87,-78,-84,-88,-89,-200,-85,-89,-89,-84,-91,-93,-200,-200,-200,-89,-70,-75,-76,-86,-88,-200,-82,-200,-69,-200,-83,-78,-200,-81,-200,-90,-89,-91,-200,-77,-200,-84,-78
1526450187162,-40,-42,-42,-42,-47,-47,-70,-54,-63,-63,-63,-45,-64,-63,-65,-61,-70,-61,-71,-57,-69,-66,-76,-79,-71,-67,-80,-74,-83,-70,-74,-77,-74,-65,-200,-75,-72,-61,-71,-73,-80,-78,-76,-78,-82,-78,-79,-200,-75,-71,-88,-78,-76,-85,-76,-85,-87,-88,-91,-85,-87,-78,-84,-90,-89,-200,-84,-87,-88,-84,-91,-89,-200,-200,-200,-91,-69,-75,-76,-86,-88,-200,-82,-200,-69,-200,-86,-87,-89,-88,-200,-90,-89,-91,-89,-78,-86,-200,-78
1526450190197,-49,-51,-49,-52,-51,-45,-60,-53,-63,-70,-66,-56,-70,-71,-74,-65,-68,-68,-65,-60,-67,-66,-82,-79,-71,-67,-77,-74,-72,-70,-73,-80,-72,-66,-200,-75,-75,-66,-71,-77,-80,-78,-79,-76,-82,-78,-79,-200,-75,-73,-88,-78,-76,-81,-72,-83,-87,-88,-91,-85,-85,-78,-200,-90,-89,-200,-84,-87,-91,-84,-91,-89,-200,-200,-200,-91,-70,-75,-76,-86,-200,-200,-82,-200,-78,-200,-86,-87,-89,-88,-90,-90,-93,-91,-89,-83,-88,-200,-82
1526450193258,-39,-44,-43,-54,-46,-46,-62,-52,-65,-58,-61,-52,-63,-69,-66,-61,-70,-66,-68,-61,-67,-70,-74,-79,-71,-76,-77,-76,-75,-70,-73,-80,-73,-65,-200,-80,-75,-64,-74,-73,-80,-78,-77,-78,-82,-78,-76,-200,-200,-62,-88,-78,-76,-82,-73,-83,-89,-87,-87,-85,-85,-78,-82,-86,-91,-200,-84,-87,-90,-83,-90,-89,-200,-200,-200,-91,-69,-78,-76,-86,-200,-200,-82,-90,-64,-200,-86,-85,-86,-88,-90,-200,-93,-200,-89,-83,-85,-200,-82
1526450196296,-40,-44,-44,-46,-44,-49,-61,-53,-63,-62,-62,-48,-61,-70,-64,-68,-71,-59,-61,-67,-65,-68,-75,-76,-71,-74,-77,-76,-75,-72,-73,-80,-71,-66,-200,-81,-75,-64,-71,-74,-81,-78,-77,-78,-82,-200,-82,-200,-200,-74,-88,-78,-72,-83,-72,-85,-88,-87,-87,-85,-85,-77,-82,-86,-91,-200,-84,-87,-90,-83,-90,-91,-200,-200,-200,-91,-70,-78,-200,-200,-200,-200,-200,-90,-67,-200,-86,-77,-86,-88,-88,-200,-93,-200,-89,-83,-82,-200,-82
1526450199333,-41,-52,-43,-41,-47,-47,-62,-56,-64,-57,-59,-48,-62,-67,-66,-67,-72,-63,-65,-61,-66,-70,-75,-76,-71,-74,-77,-75,-75,-72,-73,-80,-72,-65,-200,-80,-75,-65,-71,-71,-81,-77,-82,-78,-86,-200,-80,-200,-72,-74,-200,-79,-78,-83,-76,-85,-88,-85,-89,-200,-85,-80,-82,-86,-91,-200,-200,-200,-91,-87,-90,-91,-200,-200,-200,-200,-70,-78,-200,-200,-200,-200,-200,-90,-63,-200,-200,-77,-86,-200,-88,-200,-93,-200,-200,-83,-82,-89,-82
1526450202362,-41,-47,-44,-45,-45,-46,-60,-53,-66,-60,-62,-44,-63,-69,-64,-52,-71,-65,-62,-59,-71,-68,-75,-79,-71,-65,-80,-75,-75,-70,-74,-81,-70,-64,-200,-80,-78,-65,-67,-74,-81,-77,-84,-78,-86,-200,-79,-200,-72,-74,-88,-79,-62,-84,-74,-81,-88,-85,-88,-200,-200,-78,-83,-86,-91,-200,-200,-200,-91,-83,-86,-91,-200,-200,-200,-200,-68,-78,-200,-200,-200,-200,-200,-90,-69,-200,-86,-78,-86,-200,-88,-90,-200,-200,-91,-76,-82,-89,-200
1526450205406,-42,-59,-43,-45,-45,-44,-61,-55,-65,-59,-62,-48,-67,-67,-65,-62,-71,-65,-64,-64,-66,-66,-75,-90,-71,-65,-81,-76,-75,-70,-73,-82,-71,-64,-200,-80,-75,-64,-71,-72,-81,-77,-76,-77,-86,-200,-77,-200,-72,-74,-89,-79,-78,-84,-72,-80,-88,-85,-88,-88,-200,-85,-84,-87,-200,-200,-200,-200,-91,-83,-86,-91,-200,-200,-200,-200,-76,-78,-200,-200,-200,-200,-200,-200,-76,-200,-81,-78,-200,-200,-88,-90,-200,-200,-91,-76,-82,-89,-200
1526450208441,-39,-53,-41,-45,-46,-45,-60,-55,-64,-60,-62,-46,-62,-67,-64,-63,-71,-71,-61,-61,-71,-67,-75,-90,-71,-65,-79,-76,-75,-72,-73,-80,-73,-64,-200,-81,-75,-65,-71,-72,-81,-77,-76,-77,-87,-200,-79,-200,-72,-74,-89,-77,-80,-84,-70,-80,-90,-86,-88,-83,-200,-79,-85,-87,-89,-200,-200,-200,-89,-83,-86,-200,-200,-200,-200,-200,-76,-78,-200,-200,-200,-200,-200,-200,-58,-77,-80,-78,-200,-200,-88,-90,-200,-91,-91,-78,-75,-89,-200
1526450211479,-40,-44,-43,-55,-49,-42,-62,-52,-65,-75,-63,-48,-58,-66,-69,-54,-73,-64,-70,-63,-67,-67,-73,-79,-71,-65,-79,-75,-76,-71,-71,-79,-73,-65,-200,-79,-75,-63,-71,-76,-80,-79,-76,-77,-87,-200,-79,-200,-200,-74,-89,-77,-73,-84,-74,-80,-90,-85,-89,-84,-200,-79,-85,-87,-89,-200,-200,-200,-89,-83,-86,-200,-200,-200,-200,-89,-69,-78,-200,-200,-200,-200,-200,-200,-67,-77,-82,-84,-200,-86,-89,-90,-200,-91,-90,-78,-75,-200,-200
1526450214523,-40,-48,-45,-57,-47,-45,-61,-54,-63,-61,-63,-50,-69,-71,-66,-60,-70,-59,-63,-61,-69,-68,-75,-79,-71,-66,-79,-75,-75,-71,-73,-79,-72,-64,-200,-79,-75,-64,-72,-74,-80,-79,-76,-78,-84,-200,-80,-200,-79,-74,-89,-79,-82,-86,-75,-81,-90,-86,-89,-88,-200,-75,-84,-87,-88,-200,-200,-200,-89,-83,-200,-200,-200,-200,-200,-89,-69,-78,-200,-84,-91,-200,-200,-200,-70,-77,-78,-78,-200,-86,-89,-89,-200,-91,-90,-78,-77,-200,-200
1526450217562,-40,-47,-45,-51,-47,-45,-62,-51,-65,-59,-63,-50,-69,-71,-64,-63,-70,-63,-69,-64,-68,-65,-75,-79,-71,-66,-81,-75,-75,-70,-74,-78,-72,-63,-200,-78,-76,-64,-72,-74,-80,-77,-80,-77,-84,-78,-80,-200,-79,-74,-200,-79,-77,-86,-74,-84,-87,-84,-89,-86,-200,-79,-83,-200,-88,-200,-85,-200,-91,-82,-200,-200,-200,-200,-200,-89,-69,-78,-200,-84,-91,-200,-200,-200,-69,-77,-80,-78,-200,-86,-89,-90,-200,-91,-90,-78,-77,-200,-200
