,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526451432556,-29,-40,-49,-50,-53,-49,-60,-59,-78,-74,-65,-65,-62,-69,-69,-71,-68,-74,-74,-73,-74,-78,-79,-72,-78,-78,-200,-200,-76,-82,-76,-77,-200,-81,-200,-200,-200,-200,-75,-200,-200,-85,-83,-85,-88,-90,-200,-200,-200,-200,-200,-200,-200
1526451435589,-29,-40,-49,-50,-53,-49,-60,-59,-78,-74,-65,-65,-62,-69,-69,-71,-68,-74,-74,-73,-74,-78,-79,-72,-78,-78,-200,-200,-76,-82,-76,-77,-200,-81,-200,-200,-200,-200,-75,-200,-200,-85,-83,-85,-88,-90,-200,-200,-200,-200,-200,-200,-200
1526451438629,-29,-40,-49,-50,-53,-49,-60,-59,-78,-74,-65,-65,-62,-69,-69,-71,-68,-74,-74,-73,-74,-78,-79,-72,-78,-78,-200,-200,-76,-82,-76,-77,-200,-81,-200,-200,-200,-200,-75,-200,-200,-85,-83,-85,-88,-90,-200,-200,-200,-200,-200,-200,-200
1526451441672,-29,-39,-48,-52,-55,-49,-60,-60,-79,-69,-65,-67,-62,-74,-69,-70,-200,-74,-200,-78,-73,-79,-200,-74,-80,-74,-74,-200,-75,-82,-75,-81,-78,-84,-200,-200,-200,-200,-75,-200,-200,-200,-83,-85,-88,-90,-85,-86,-88,-200,-200,-200,-200
1526451444720,-29,-39,-48,-52,-55,-50,-60,-60,-79,-69,-65,-67,-60,-70,-70,-68,-200,-74,-200,-77,-71,-79,-200,-74,-80,-74,-74,-81,-76,-82,-75,-78,-78,-82,-200,-200,-200,-200,-75,-85,-200,-200,-83,-85,-88,-90,-85,-88,-88,-200,-200,-200,-200
1526451447753,-29,-39,-48,-52,-55,-50,-60,-60,-79,-69,-65,-67,-60,-70,-70,-68,-200,-74,-200,-77,-71,-79,-200,-74,-80,-74,-74,-81,-76,-82,-75,-78,-78,-82,-200,-200,-200,-200,-75,-85,-200,-200,-83,-85,-88,-90,-85,-88,-88,-200,-200,-200,-200
1526451450772,-29,-39,-48,-52,-55,-50,-60,-60,-79,-69,-65,-67,-60,-70,-70,-68,-200,-74,-200,-77,-71,-79,-200,-74,-80,-74,-74,-81,-76,-82,-75,-78,-78,-82,-200,-200,-200,-200,-75,-85,-200,-200,-83,-85,-88,-90,-85,-88,-88,-200,-200,-200,-200
1526451453818,-29,-39,-50,-52,-52,-49,-58,-61,-200,-75,-65,-64,-59,-70,-73,-69,-200,-75,-75,-74,-74,-75,-200,-72,-77,-76,-200,-82,-77,-81,-76,-78,-200,-82,-200,-200,-200,-200,-75,-85,-83,-86,-200,-86,-200,-93,-200,-88,-200,-83,-83,-87,-200
1526451456856,-29,-39,-50,-52,-53,-49,-58,-60,-200,-75,-65,-66,-59,-70,-69,-69,-200,-75,-75,-75,-72,-75,-200,-73,-77,-76,-200,-82,-78,-81,-76,-75,-200,-82,-200,-200,-200,-200,-75,-85,-83,-86,-200,-86,-200,-93,-200,-88,-200,-83,-83,-87,-200
1526451459901,-29,-39,-50,-52,-53,-49,-58,-60,-200,-75,-65,-66,-59,-70,-69,-69,-200,-75,-75,-75,-72,-75,-200,-73,-77,-76,-200,-82,-78,-81,-76,-75,-200,-82,-200,-200,-200,-200,-75,-85,-83,-86,-200,-86,-200,-93,-200,-88,-200,-83,-83,-87,-200
1526451462946,-29,-39,-50,-52,-53,-49,-58,-60,-200,-75,-65,-66,-59,-70,-69,-69,-200,-75,-75,-75,-72,-75,-200,-73,-77,-76,-200,-82,-78,-81,-76,-75,-200,-82,-200,-200,-200,-200,-75,-85,-83,-86,-200,-86,-200,-93,-200,-88,-200,-83,-83,-87,-200
1526451465980,-31,-39,-48,-52,-52,-48,-58,-60,-200,-73,-65,-66,-62,-69,-69,-69,-68,-200,-200,-77,-72,-76,-78,-73,-200,-71,-200,-200,-78,-81,-76,-78,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-83,-200,-200,-200,-86,-86,-200,-200,-200,-200,-87
