,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018
1526452264249,-40,-29,-60,-55,-59,-62,-63,-62,-63,-59,-65,-63,-71,-65,-70,-79,-65,-79,-85,-81,-72,-76,-67,-200,-73,-200,-82,-83,-83,-200,-200,-84,-200,-200,-200,-200,-86,-200,-200,-79,-200,-200,-81,-86,-84,-89,-92,-200
1526452267298,-40,-29,-60,-55,-59,-62,-63,-62,-63,-59,-65,-63,-71,-65,-70,-79,-65,-79,-85,-81,-72,-76,-67,-200,-73,-200,-82,-83,-83,-200,-200,-84,-200,-200,-200,-200,-86,-200,-200,-79,-200,-200,-81,-86,-84,-89,-92,-200
1526452270340,-40,-29,-60,-55,-59,-62,-63,-62,-63,-59,-65,-63,-71,-65,-70,-79,-65,-79,-85,-81,-72,-76,-67,-200,-73,-200,-82,-83,-83,-200,-200,-84,-200,-200,-200,-200,-86,-200,-200,-79,-200,-200,-81,-86,-84,-89,-92,-200
1526452273377,-42,-28,-57,-55,-58,-61,-62,-62,-64,-60,-67,-62,-72,-69,-70,-84,-64,-77,-84,-80,-200,-77,-68,-87,-72,-200,-82,-83,-81,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-80,-200,-200,-81,-200,-200,-200,-200,-82
1526452276388,-42,-28,-52,-58,-58,-61,-62,-62,-64,-60,-66,-61,-74,-70,-70,-84,-65,-77,-84,-80,-75,-76,-68,-87,-72,-200,-82,-83,-81,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-80,-200,-200,-83,-200,-200,-200,-200,-82
1526452279410,-42,-28,-52,-58,-58,-61,-62,-62,-64,-60,-66,-61,-74,-70,-70,-84,-65,-77,-84,-80,-75,-76,-68,-87,-72,-200,-82,-83,-81,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-80,-200,-200,-83,-200,-200,-200,-200,-82
1526452282457,-42,-28,-52,-58,-58,-61,-62,-62,-64,-60,-66,-61,-74,-70,-70,-84,-65,-77,-84,-80,-75,-76,-68,-87,-72,-200,-82,-83,-81,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-80,-200,-200,-83,-200,-200,-200,-200,-82
1526452285489,-38,-28,-49,-54,-59,-61,-58,-63,-62,-60,-66,-64,-70,-64,-70,-200,-64,-200,-200,-200,-80,-76,-69,-200,-71,-200,-200,-79,-83,-86,-200,-200,-200,-200,-91,-200,-200,-200,-200,-82,-200,-200,-83,-200,-200,-200,-200,-80
1526452288531,-39,-28,-59,-56,-59,-61,-62,-63,-64,-60,-66,-71,-73,-64,-68,-200,-67,-200,-200,-200,-80,-76,-69,-200,-72,-200,-200,-79,-83,-83,-200,-200,-200,-200,-91,-200,-200,-200,-200,-81,-200,-200,-83,-200,-200,-200,-200,-80
1526452291565,-39,-28,-59,-56,-59,-61,-62,-63,-64,-60,-66,-71,-73,-64,-68,-200,-67,-200,-200,-200,-80,-76,-69,-200,-72,-200,-200,-79,-83,-83,-200,-200,-200,-200,-91,-200,-200,-200,-200,-81,-200,-200,-83,-200,-200,-200,-200,-80
1526452294577,-39,-28,-59,-56,-59,-61,-62,-63,-64,-60,-66,-71,-73,-64,-68,-200,-67,-200,-200,-200,-80,-76,-69,-200,-72,-200,-200,-79,-83,-83,-200,-200,-200,-200,-91,-200,-200,-200,-200,-81,-200,-200,-83,-200,-200,-200,-200,-80
1526452297618,-42,-29,-58,-54,-60,-63,-60,-62,-64,-59,-69,-63,-72,-65,-69,-200,-66,-76,-85,-200,-72,-200,-68,-200,-72,-200,-200,-79,-80,-83,-200,-200,-200,-91,-200,-200,-200,-200,-200,-81,-200,-200,-79,-200,-200,-200,-200,-200
