,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D02A88,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526452628032,-38,-43,-41,-49,-50,-42,-46,-55,-36,-54,-47,-52,-60,-54,-59,-50,-200,-59,-56,-68,-50,-65,-56,-74,-62,-60,-65,-71,-73,-70,-75,-200,-74,-78,-62,-72,-75,-74,-78,-80,-71,-79,-77,-76,-86,-67,-200,-200,-73,-200,-200,-69,-85,-78,-80,-81,-82,-200,-200,-200,-200,-87,-88,-200,-86,-200,-91,-200,-200,-67,-200,-200,-88,-85,-83,-200,-200,-200,-200,-200,-200
1526452631080,-35,-40,-39,-45,-50,-44,-46,-54,-36,-54,-49,-52,-60,-54,-59,-47,-200,-58,-56,-68,-51,-65,-56,-74,-62,-60,-65,-71,-69,-70,-67,-200,-73,-78,-62,-77,-75,-77,-81,-80,-68,-79,-77,-76,-86,-67,-200,-80,-73,-200,-200,-67,-83,-77,-80,-81,-82,-200,-200,-200,-200,-87,-88,-200,-200,-200,-91,-200,-200,-67,-200,-200,-85,-83,-83,-82,-89,-200,-200,-200,-200
1526452634122,-39,-40,-39,-46,-49,-43,-48,-54,-38,-54,-47,-52,-53,-54,-59,-47,-62,-62,-58,-70,-54,-65,-56,-74,-65,-60,-66,-69,-70,-70,-63,-200,-73,-78,-62,-77,-75,-75,-80,-80,-70,-79,-77,-74,-86,-67,-82,-80,-72,-200,-200,-67,-83,-77,-80,-81,-76,-200,-81,-200,-200,-86,-88,-88,-200,-200,-91,-200,-200,-67,-200,-200,-85,-84,-83,-82,-89,-84,-200,-200,-200
1526452637178,-38,-41,-40,-54,-53,-40,-48,-53,-37,-54,-54,-49,-50,-55,-59,-49,-62,-62,-58,-66,-59,-69,-56,-74,-65,-60,-66,-69,-70,-70,-63,-200,-73,-78,-60,-77,-76,-75,-80,-80,-70,-79,-77,-86,-200,-68,-82,-80,-72,-200,-200,-68,-83,-77,-81,-200,-76,-200,-81,-200,-200,-86,-88,-88,-200,-200,-91,-200,-200,-67,-200,-200,-85,-84,-83,-82,-89,-84,-200,-200,-200
1526452640248,-35,-41,-40,-53,-44,-40,-47,-54,-37,-52,-50,-50,-50,-55,-60,-53,-62,-57,-58,-66,-53,-80,-58,-200,-63,-200,-66,-69,-71,-70,-65,-200,-73,-74,-59,-77,-76,-83,-80,-78,-67,-79,-80,-86,-200,-69,-82,-80,-72,-200,-200,-69,-86,-77,-81,-200,-71,-200,-81,-200,-200,-88,-88,-88,-200,-200,-91,-200,-200,-67,-200,-200,-85,-84,-83,-82,-89,-84,-200,-200,-200
1526452643294,-38,-42,-38,-57,-44,-43,-47,-56,-38,-53,-48,-50,-50,-55,-60,-49,-62,-53,-58,-73,-53,-69,-58,-200,-65,-200,-66,-69,-71,-73,-65,-200,-72,-74,-61,-77,-76,-83,-83,-78,-67,-79,-80,-84,-200,-69,-82,-82,-72,-200,-200,-68,-86,-78,-81,-80,-71,-200,-81,-200,-200,-87,-200,-88,-200,-200,-200,-200,-200,-67,-200,-200,-84,-84,-83,-82,-89,-84,-200,-200,-200
1526452646349,-36,-44,-41,-56,-50,-42,-49,-51,-38,-52,-49,-50,-53,-53,-60,-49,-62,-58,-58,-69,-54,-69,-54,-200,-61,-200,-66,-69,-71,-72,-65,-200,-72,-75,-60,-78,-76,-81,-83,-78,-68,-79,-78,-84,-200,-69,-82,-82,-72,-200,-200,-66,-86,-78,-81,-84,-71,-200,-81,-200,-200,-87,-200,-88,-200,-200,-200,-200,-200,-67,-200,-200,-84,-84,-83,-200,-200,-84,-200,-200,-200
1526452649403,-36,-44,-37,-55,-44,-44,-46,-54,-39,-52,-49,-51,-50,-53,-60,-47,-200,-59,-200,-69,-54,-69,-54,-67,-61,-200,-65,-72,-82,-71,-65,-200,-72,-77,-58,-78,-79,-81,-83,-80,-68,-79,-78,-75,-200,-67,-82,-81,-200,-200,-200,-66,-86,-78,-81,-84,-76,-200,-82,-200,-200,-86,-200,-88,-91,-200,-200,-200,-200,-200,-200,-200,-84,-88,-83,-200,-200,-200,-85,-200,-200
1526452652466,-36,-44,-41,-53,-48,-44,-48,-55,-39,-55,-57,-49,-50,-53,-59,-49,-64,-53,-77,-66,-58,-69,-60,-66,-61,-200,-65,-72,-74,-71,-63,-200,-72,-77,-58,-78,-79,-75,-83,-80,-71,-200,-78,-75,-82,-67,-82,-81,-200,-200,-200,-69,-82,-78,-81,-84,-72,-200,-82,-200,-200,-88,-200,-88,-91,-93,-200,-200,-200,-64,-200,-79,-84,-88,-200,-81,-200,-200,-85,-200,-200
1526452655529,-35,-44,-41,-54,-49,-40,-48,-53,-38,-54,-50,-49,-50,-54,-60,-50,-64,-58,-77,-67,-58,-68,-60,-66,-61,-200,-65,-69,-70,-71,-63,-200,-73,-72,-61,-78,-77,-75,-83,-80,-71,-200,-78,-75,-82,-67,-82,-81,-200,-200,-200,-69,-82,-77,-81,-84,-72,-200,-82,-200,-200,-88,-200,-200,-91,-93,-200,-200,-200,-63,-200,-79,-84,-88,-200,-81,-200,-200,-85,-88,-200
1526452658575,-35,-44,-37,-53,-49,-39,-46,-51,-42,-53,-49,-49,-51,-53,-63,-50,-64,-60,-52,-67,-51,-68,-60,-73,-62,-64,-65,-71,-69,-71,-64,-200,-73,-73,-61,-78,-76,-78,-80,-78,-71,-200,-80,-75,-82,-67,-82,-81,-200,-200,-200,-69,-84,-81,-81,-84,-72,-200,-82,-200,-200,-88,-200,-88,-91,-93,-200,-200,-200,-63,-200,-79,-200,-88,-200,-81,-200,-200,-85,-88,-95
1526452661611,-35,-45,-36,-51,-48,-38,-44,-51,-38,-53,-56,-49,-49,-53,-61,-48,-64,-65,-56,-66,-54,-68,-56,-73,-63,-64,-65,-71,-70,-71,-62,-200,-73,-75,-61,-75,-77,-78,-80,-78,-71,-200,-78,-75,-82,-70,-82,-81,-200,-200,-200,-69,-84,-77,-81,-200,-70,-200,-82,-200,-200,-87,-200,-88,-84,-93,-200,-200,-200,-63,-200,-79,-200,-88,-200,-80,-200,-200,-85,-88,-95
