,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,whjx-gaofeng-13,whu2011314,WHU-2018
1526458201723,-53,-38,-51,-54,-44,-43,-49,-55,-52,-51,-57,-54,-55,-68,-56,-66,-69,-60,-69,-60,-200,-59,-74,-68,-65,-68,-200,-200,-200,-200,-71,-82,-200,-85,-87,-200,-200,-86,-89,-86,-200,-200,-64,-84,-85,-72,-200,-200,-200
1526458204734,-35,-36,-51,-54,-43,-47,-49,-53,-52,-51,-55,-50,-58,-68,-59,-66,-69,-60,-73,-60,-200,-58,-74,-68,-64,-68,-200,-77,-200,-200,-71,-79,-200,-82,-84,-200,-200,-86,-90,-87,-200,-200,-64,-84,-85,-72,-200,-200,-200
1526458207750,-35,-36,-51,-54,-43,-47,-49,-53,-52,-51,-55,-50,-58,-68,-59,-66,-69,-60,-73,-60,-200,-58,-74,-68,-64,-200,-200,-77,-200,-200,-71,-79,-200,-82,-84,-200,-200,-86,-90,-87,-200,-200,-64,-200,-200,-72,-200,-200,-200
1526458210760,-53,-36,-50,-54,-47,-43,-49,-54,-54,-51,-55,-52,-52,-68,-54,-66,-69,-60,-73,-58,-200,-58,-74,-64,-64,-200,-200,-77,-200,-200,-70,-80,-200,-82,-85,-200,-200,-86,-90,-87,-200,-200,-64,-200,-200,-72,-200,-200,-200
1526458213770,-53,-36,-50,-54,-47,-43,-49,-54,-54,-51,-55,-52,-52,-200,-54,-66,-69,-200,-73,-58,-200,-58,-74,-64,-64,-200,-200,-77,-200,-200,-70,-80,-200,-82,-85,-200,-200,-86,-90,-87,-200,-200,-64,-200,-200,-72,-200,-200,-200
1526458216787,-43,-33,-58,-54,-47,-41,-47,-55,-52,-49,-56,-52,-56,-63,-55,-66,-69,-200,-70,-58,-200,-58,-74,-63,-64,-200,-200,-77,-200,-200,-69,-78,-200,-82,-82,-200,-200,-85,-90,-88,-200,-200,-64,-200,-200,-72,-90,-200,-200
1526458219799,-43,-33,-58,-54,-47,-41,-47,-55,-52,-49,-56,-52,-56,-63,-55,-200,-200,-200,-70,-58,-200,-58,-74,-63,-64,-200,-200,-77,-200,-200,-69,-78,-200,-82,-82,-200,-200,-85,-90,-88,-200,-200,-64,-200,-200,-72,-90,-200,-200
1526458222816,-39,-34,-58,-47,-45,-41,-46,-56,-53,-49,-57,-52,-56,-55,-55,-200,-68,-200,-70,-59,-200,-60,-74,-60,-64,-200,-200,-77,-200,-200,-68,-78,-200,-82,-82,-200,-200,-85,-90,-88,-200,-200,-64,-200,-200,-72,-90,-81,-200
1526458225828,-39,-34,-58,-47,-45,-41,-46,-56,-53,-49,-57,-52,-56,-55,-55,-200,-68,-200,-70,-59,-200,-60,-74,-60,-64,-200,-200,-77,-200,-200,-68,-78,-200,-82,-82,-200,-200,-85,-90,-88,-200,-200,-200,-200,-200,-200,-90,-81,-200
1526458228838,-39,-34,-56,-51,-46,-41,-46,-56,-49,-49,-57,-52,-55,-55,-55,-200,-68,-200,-70,-60,-200,-60,-74,-60,-66,-68,-200,-77,-200,-200,-68,-78,-200,-82,-82,-200,-200,-85,-91,-88,-200,-200,-200,-200,-200,-200,-90,-81,-80
