,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,whjx-gaofeng-13,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526458633865,-33,-36,-54,-42,-59,-56,-65,-67,-44,-47,-52,-53,-52,-52,-200,-63,-56,-50,-200,-69,-61,-72,-76,-77,-89,-63,-73,-200,-82,-86,-200,-79,-200,-81,-83,-84,-62,-63,-75,-78,-80,-81,-86,-90,-200
1526458636876,-33,-36,-54,-42,-59,-56,-65,-67,-44,-47,-52,-53,-52,-52,-200,-63,-56,-50,-200,-69,-61,-72,-76,-77,-89,-63,-73,-200,-82,-86,-200,-79,-200,-81,-83,-84,-62,-63,-75,-78,-80,-81,-86,-90,-200
1526458639896,-32,-36,-54,-42,-60,-56,-61,-67,-44,-47,-52,-53,-52,-54,-67,-57,-56,-48,-76,-73,-61,-74,-77,-77,-89,-62,-73,-200,-82,-86,-200,-79,-200,-81,-83,-84,-62,-59,-75,-78,-80,-81,-86,-90,-200
1526458642915,-32,-36,-54,-42,-60,-56,-61,-67,-44,-47,-52,-53,-52,-54,-67,-57,-56,-48,-76,-73,-61,-74,-77,-77,-200,-62,-73,-200,-82,-86,-200,-79,-200,-200,-83,-84,-62,-59,-75,-78,-80,-81,-86,-90,-200
1526458645932,-32,-15,-57,-42,-61,-55,-63,-67,-44,-47,-53,-55,-52,-54,-67,-61,-56,-52,-76,-73,-61,-74,-77,-77,-92,-62,-73,-200,-82,-83,-200,-79,-200,-79,-83,-84,-62,-59,-75,-78,-80,-81,-86,-90,-200
1526458648946,-32,-15,-57,-42,-61,-55,-63,-67,-44,-47,-53,-55,-52,-54,-67,-61,-56,-52,-76,-73,-61,-74,-77,-77,-92,-62,-73,-200,-82,-83,-200,-79,-200,-79,-200,-200,-62,-59,-75,-78,-80,-81,-86,-90,-200
1526458651962,-35,-33,-56,-43,-61,-55,-61,-71,-44,-46,-51,-52,-52,-54,-67,-61,-54,-52,-76,-73,-61,-73,-77,-77,-92,-62,-73,-200,-81,-82,-200,-79,-200,-79,-200,-200,-62,-59,-75,-78,-80,-81,-86,-90,-200
1526458654975,-35,-33,-56,-43,-61,-55,-61,-71,-44,-46,-51,-52,-52,-54,-67,-61,-54,-52,-76,-73,-61,-73,-77,-77,-92,-62,-73,-200,-81,-82,-200,-79,-200,-79,-200,-200,-200,-59,-200,-78,-80,-81,-86,-90,-200
1526458657987,-31,-35,-56,-44,-61,-55,-61,-71,-45,-46,-50,-51,-52,-54,-67,-62,-62,-52,-76,-73,-62,-76,-77,-74,-92,-62,-73,-200,-81,-82,-78,-79,-200,-79,-200,-200,-200,-59,-200,-78,-80,-81,-86,-90,-200
1526458661007,-31,-35,-56,-44,-61,-55,-61,-71,-45,-46,-50,-51,-52,-54,-67,-62,-62,-52,-76,-73,-62,-76,-77,-74,-92,-62,-73,-200,-81,-82,-78,-79,-200,-79,-200,-200,-200,-59,-200,-200,-200,-200,-200,-200,-200
1526458664021,-33,-38,-56,-44,-61,-55,-61,-71,-45,-46,-50,-55,-52,-58,-67,-63,-63,-52,-76,-73,-62,-75,-79,-79,-92,-66,-73,-200,-80,-84,-78,-79,-200,-79,-87,-200,-200,-57,-200,-200,-200,-200,-200,-200,-93
1526458667031,-33,-38,-56,-44,-61,-55,-61,-71,-45,-46,-50,-55,-52,-58,-200,-63,-63,-52,-200,-200,-62,-75,-79,-79,-92,-66,-73,-200,-80,-84,-78,-79,-200,-79,-87,-200,-200,-57,-200,-200,-200,-200,-200,-200,-93
