,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whjx-gaofeng-13,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526458254354,-38,-52,-48,-46,-46,-47,-57,-49,-51,-59,-62,-57,-55,-59,-61,-56,-60,-62,-72,-66,-57,-76,-52,-71,-76,-80,-79,-87,-86,-80,-83,-85,-84,-200,-86,-56,-65,-73,-84,-86,-53,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458254494,-38,-52,-48,-46,-46,-47,-57,-49,-51,-59,-62,-57,-55,-59,-61,-56,-60,-62,-72,-66,-57,-76,-52,-71,-76,-200,-79,-87,-86,-80,-83,-85,-84,-200,-86,-56,-65,-73,-84,-86,-53,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458257373,-38,-52,-48,-46,-46,-47,-57,-49,-51,-59,-62,-57,-55,-59,-61,-56,-60,-62,-72,-66,-57,-76,-52,-71,-76,-200,-79,-87,-86,-80,-83,-85,-84,-200,-86,-56,-65,-73,-84,-86,-53,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458257511,-38,-52,-48,-46,-46,-47,-57,-49,-51,-59,-62,-57,-55,-59,-61,-56,-60,-62,-72,-66,-57,-76,-52,-71,-76,-200,-79,-87,-86,-80,-83,-85,-84,-200,-86,-56,-65,-73,-84,-86,-53,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458260387,-38,-35,-50,-48,-46,-60,-57,-51,-51,-58,-61,-57,-56,-59,-64,-58,-60,-58,-72,-66,-54,-76,-55,-70,-76,-200,-79,-87,-86,-81,-83,-85,-86,-200,-86,-56,-65,-73,-84,-84,-53,-89,-80,-86,-200,-200,-200,-200,-200,-200,-200
1526458260540,-38,-35,-50,-48,-46,-60,-57,-51,-51,-58,-61,-57,-56,-59,-64,-58,-60,-58,-72,-200,-54,-76,-55,-70,-76,-200,-79,-87,-86,-81,-200,-85,-86,-200,-86,-56,-65,-73,-84,-84,-53,-89,-80,-86,-200,-200,-200,-200,-200,-200,-200
1526458263397,-38,-35,-50,-48,-46,-60,-57,-51,-51,-58,-61,-57,-56,-59,-64,-58,-60,-58,-72,-200,-54,-76,-55,-70,-76,-200,-79,-87,-86,-81,-200,-85,-86,-200,-86,-56,-65,-73,-84,-84,-53,-89,-80,-86,-200,-200,-200,-200,-200,-200,-200
1526458263556,-38,-35,-50,-48,-46,-60,-57,-51,-51,-58,-61,-57,-56,-59,-64,-58,-60,-58,-72,-200,-54,-76,-55,-70,-76,-200,-79,-87,-86,-81,-200,-85,-86,-200,-86,-56,-65,-73,-84,-84,-53,-89,-80,-86,-200,-200,-200,-200,-200,-200,-200
1526458266410,-42,-35,-50,-47,-44,-56,-61,-50,-51,-58,-63,-58,-56,-59,-66,-54,-56,-54,-72,-200,-54,-76,-55,-73,-76,-200,-79,-87,-87,-80,-200,-86,-86,-200,-86,-56,-65,-73,-84,-84,-53,-89,-80,-86,-88,-90,-200,-200,-200,-200,-200
1526458266581,-42,-35,-50,-47,-44,-56,-61,-50,-51,-58,-63,-58,-56,-59,-66,-54,-56,-54,-72,-200,-54,-76,-55,-73,-76,-200,-79,-87,-87,-80,-200,-86,-86,-200,-86,-56,-65,-73,-84,-84,-53,-89,-80,-86,-88,-90,-200,-200,-200,-200,-200
1526458269424,-42,-35,-50,-47,-44,-56,-61,-50,-51,-58,-63,-58,-56,-59,-66,-54,-56,-54,-72,-200,-54,-76,-55,-73,-76,-200,-79,-87,-87,-80,-200,-86,-86,-200,-86,-56,-65,-73,-84,-84,-53,-89,-80,-86,-88,-90,-200,-200,-200,-200,-200
1526458269592,-42,-35,-50,-47,-44,-56,-61,-50,-51,-58,-63,-58,-56,-59,-66,-54,-56,-54,-72,-200,-54,-76,-55,-73,-76,-200,-79,-87,-87,-80,-200,-86,-86,-200,-86,-56,-65,-73,-84,-84,-53,-89,-80,-86,-88,-90,-200,-200,-200,-200,-200
1526458272444,-37,-36,-44,-47,-44,-56,-61,-50,-56,-62,-62,-61,-55,-66,-66,-54,-59,-58,-77,-75,-54,-76,-58,-71,-76,-200,-79,-87,-87,-79,-84,-85,-84,-200,-87,-56,-65,-73,-84,-84,-53,-89,-77,-86,-88,-90,-86,-200,-200,-200,-200
1526458272617,-37,-36,-44,-47,-44,-56,-61,-50,-56,-62,-62,-61,-55,-66,-66,-54,-59,-58,-77,-75,-54,-76,-58,-71,-76,-200,-79,-87,-87,-79,-84,-85,-84,-200,-87,-56,-200,-200,-200,-84,-53,-89,-77,-86,-88,-90,-86,-200,-200,-200,-200
1526458275465,-37,-36,-44,-47,-44,-56,-61,-50,-56,-62,-62,-61,-55,-66,-66,-54,-59,-58,-77,-75,-54,-76,-58,-71,-76,-200,-79,-87,-87,-79,-84,-85,-84,-200,-87,-56,-200,-200,-200,-84,-53,-89,-77,-86,-88,-90,-86,-200,-200,-200,-200
1526458275628,-37,-36,-44,-47,-44,-56,-61,-50,-56,-62,-62,-61,-55,-66,-66,-54,-59,-58,-77,-75,-54,-76,-58,-71,-76,-200,-79,-87,-87,-79,-84,-85,-84,-200,-87,-56,-200,-200,-200,-84,-53,-89,-77,-86,-88,-90,-86,-200,-200,-200,-200
1526458278492,-35,-37,-43,-47,-43,-59,-56,-50,-52,-63,-62,-54,-55,-66,-66,-56,-58,-58,-77,-75,-54,-78,-52,-71,-76,-200,-79,-87,-87,-79,-84,-85,-84,-200,-86,-56,-200,-200,-200,-84,-58,-92,-77,-86,-88,-90,-86,-200,-200,-200,-200
1526458278641,-35,-37,-43,-47,-43,-59,-56,-50,-52,-63,-62,-54,-55,-66,-66,-56,-58,-58,-77,-75,-54,-78,-52,-71,-76,-200,-200,-87,-87,-79,-84,-85,-84,-200,-86,-56,-200,-200,-200,-84,-58,-92,-77,-86,-88,-90,-86,-200,-200,-200,-200
1526458281508,-35,-37,-43,-47,-43,-59,-56,-50,-52,-63,-62,-54,-55,-66,-66,-56,-58,-58,-77,-75,-54,-78,-52,-71,-76,-200,-200,-87,-87,-79,-84,-85,-84,-200,-86,-56,-200,-200,-200,-84,-58,-92,-77,-86,-88,-90,-86,-200,-200,-200,-200
1526458281653,-35,-37,-43,-47,-43,-59,-56,-50,-52,-63,-62,-54,-55,-66,-66,-56,-58,-58,-77,-75,-54,-78,-52,-71,-76,-200,-200,-87,-87,-79,-84,-85,-84,-200,-86,-56,-200,-200,-200,-84,-58,-92,-77,-86,-88,-90,-86,-200,-200,-200,-200
1526458284539,-39,-34,-43,-48,-48,-59,-56,-48,-53,-59,-63,-57,-55,-72,-66,-57,-58,-56,-77,-75,-62,-78,-56,-71,-76,-200,-200,-87,-87,-79,-84,-83,-87,-200,-85,-56,-200,-200,-200,-84,-56,-92,-77,-86,-88,-90,-86,-75,-200,-200,-200
1526458284686,-39,-34,-43,-48,-48,-59,-56,-48,-53,-59,-63,-57,-55,-72,-66,-57,-58,-56,-77,-75,-62,-78,-56,-71,-76,-200,-200,-200,-87,-79,-84,-83,-87,-200,-85,-56,-200,-200,-200,-200,-56,-92,-77,-200,-88,-90,-86,-75,-200,-200,-200
1526458287559,-39,-34,-43,-48,-48,-59,-56,-48,-53,-59,-63,-57,-55,-72,-66,-57,-58,-56,-77,-75,-62,-78,-56,-71,-76,-200,-200,-200,-87,-79,-84,-83,-87,-200,-85,-56,-200,-200,-200,-200,-56,-92,-77,-200,-88,-90,-86,-75,-200,-200,-200
1526458287697,-39,-34,-43,-48,-48,-59,-56,-48,-53,-59,-63,-57,-55,-72,-66,-57,-58,-56,-77,-75,-62,-78,-56,-71,-76,-200,-200,-200,-87,-79,-84,-83,-87,-200,-85,-56,-200,-200,-200,-200,-56,-92,-77,-200,-88,-90,-86,-75,-200,-200,-200
1526458290577,-39,-34,-44,-46,-46,-59,-58,-53,-53,-53,-67,-59,-52,-72,-67,-57,-58,-56,-80,-72,-62,-78,-56,-73,-76,-200,-200,-200,-87,-81,-84,-87,-82,-200,-88,-56,-200,-200,-200,-200,-56,-92,-77,-200,-88,-90,-86,-75,-83,-200,-200
1526458290711,-39,-34,-44,-46,-46,-59,-58,-53,-53,-53,-67,-59,-52,-72,-67,-57,-58,-56,-80,-72,-62,-78,-56,-73,-200,-200,-200,-200,-200,-81,-84,-87,-82,-200,-88,-56,-200,-200,-200,-200,-56,-92,-77,-200,-200,-200,-86,-75,-83,-200,-200
1526458293587,-39,-34,-44,-46,-46,-59,-58,-53,-53,-53,-67,-59,-52,-72,-67,-57,-58,-56,-80,-72,-62,-78,-56,-73,-200,-200,-200,-200,-200,-81,-84,-87,-82,-200,-88,-56,-200,-200,-200,-200,-56,-92,-77,-200,-200,-200,-86,-75,-83,-200,-200
1526458293721,-39,-34,-44,-46,-46,-59,-58,-53,-53,-53,-67,-59,-52,-72,-67,-57,-58,-56,-80,-72,-62,-78,-56,-73,-200,-200,-200,-200,-200,-81,-84,-87,-82,-200,-88,-56,-200,-200,-200,-200,-56,-92,-77,-200,-200,-200,-86,-75,-83,-200,-200
1526458296603,-42,-34,-45,-47,-48,-59,-62,-55,-52,-56,-67,-59,-56,-72,-67,-56,-54,-54,-79,-72,-62,-78,-56,-71,-200,-200,-200,-200,-200,-81,-84,-87,-82,-200,-88,-55,-200,-200,-200,-200,-56,-92,-77,-200,-200,-200,-86,-75,-83,-200,-200
1526458296742,-42,-34,-45,-47,-48,-59,-62,-55,-52,-56,-67,-59,-56,-72,-67,-56,-54,-54,-79,-72,-62,-78,-56,-71,-200,-200,-200,-200,-200,-81,-84,-87,-82,-200,-88,-55,-200,-200,-200,-200,-56,-92,-200,-200,-200,-200,-200,-75,-83,-200,-200
1526458299619,-42,-34,-45,-47,-48,-59,-62,-55,-52,-56,-67,-59,-56,-72,-67,-56,-54,-54,-79,-72,-62,-78,-56,-71,-200,-200,-200,-200,-200,-81,-84,-87,-82,-200,-88,-55,-200,-200,-200,-200,-56,-92,-200,-200,-200,-200,-200,-75,-83,-200,-200
1526458299755,-42,-34,-45,-47,-48,-59,-62,-55,-52,-56,-67,-59,-56,-72,-67,-56,-54,-54,-79,-72,-62,-78,-56,-71,-200,-200,-200,-200,-200,-81,-84,-87,-82,-200,-88,-55,-200,-200,-200,-200,-56,-92,-200,-200,-200,-200,-200,-75,-83,-200,-200
1526458302632,-42,-34,-44,-46,-52,-59,-61,-55,-59,-57,-67,-63,-56,-72,-67,-56,-55,-54,-79,-75,-62,-78,-54,-71,-200,-200,-200,-200,-200,-82,-84,-87,-82,-200,-88,-55,-200,-200,-200,-88,-56,-92,-200,-200,-200,-200,-200,-75,-83,-85,-85
1526458302769,-42,-34,-44,-46,-52,-59,-61,-55,-59,-57,-67,-63,-56,-72,-67,-56,-55,-54,-79,-75,-62,-78,-54,-71,-200,-200,-200,-200,-200,-82,-200,-87,-82,-200,-88,-55,-200,-200,-200,-88,-56,-200,-200,-200,-200,-200,-200,-75,-83,-85,-85
