,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314
1526458706366,-27,-35,-33,-41,-44,-53,-55,-55,-49,-61,-56,-43,-64,-62,-63,-65,-59,-65,-58,-82,-72,-66,-76,-81,-83,-70,-83,-77,-80,-87,-93,-61,-62,-75,-77,-82,-91,-84,-50,-72,-70,-67,-69,-71,-200,-200
1526458709391,-27,-35,-33,-41,-44,-53,-55,-55,-49,-61,-56,-43,-64,-62,-63,-65,-59,-65,-58,-82,-72,-66,-76,-81,-83,-70,-83,-77,-80,-87,-93,-200,-200,-75,-200,-82,-91,-84,-50,-72,-70,-67,-69,-71,-200,-200
1526458712423,-26,-37,-34,-41,-44,-54,-57,-56,-48,-61,-53,-43,-61,-62,-63,-65,-63,-68,-58,-82,-72,-65,-80,-81,-83,-68,-84,-77,-80,-87,-93,-64,-200,-67,-200,-82,-87,-84,-50,-72,-70,-67,-69,-71,-200,-200
1526458715433,-26,-37,-34,-41,-44,-54,-57,-56,-48,-61,-53,-43,-61,-62,-63,-65,-63,-68,-58,-82,-72,-65,-80,-81,-83,-68,-84,-77,-80,-87,-200,-64,-200,-67,-200,-82,-87,-200,-50,-72,-70,-67,-69,-71,-200,-200
1526458718609,-26,-37,-33,-45,-45,-56,-54,-55,-52,-58,-49,-43,-65,-62,-61,-68,-59,-68,-58,-82,-71,-65,-76,-79,-83,-72,-84,-75,-80,-77,-200,-71,-200,-67,-200,-83,-86,-200,-50,-72,-70,-69,-69,-71,-200,-200
1526458721632,-28,-37,-33,-42,-45,-56,-54,-55,-52,-57,-50,-43,-64,-59,-60,-68,-59,-67,-200,-80,-71,-65,-76,-79,-83,-72,-82,-75,-200,-77,-200,-71,-200,-67,-200,-83,-86,-200,-50,-200,-70,-69,-71,-71,-200,-200
1526458724644,-28,-37,-33,-42,-45,-56,-54,-55,-52,-57,-50,-43,-64,-59,-60,-68,-59,-67,-200,-80,-71,-65,-76,-79,-83,-72,-82,-75,-200,-77,-200,-71,-200,-67,-200,-83,-86,-200,-50,-200,-70,-69,-71,-71,-200,-200
1526458727663,-30,-34,-33,-42,-45,-56,-55,-55,-51,-56,-50,-43,-64,-62,-60,-68,-59,-67,-200,-80,-72,-67,-76,-79,-83,-72,-81,-75,-200,-77,-200,-71,-200,-67,-200,-83,-87,-200,-49,-200,-70,-69,-71,-65,-66,-200
1526458730685,-30,-34,-33,-42,-45,-56,-55,-55,-51,-56,-50,-43,-64,-62,-60,-68,-59,-67,-200,-80,-72,-67,-76,-79,-83,-72,-81,-75,-200,-77,-200,-71,-200,-67,-200,-83,-87,-200,-49,-200,-200,-69,-71,-65,-66,-200
1526458733703,-31,-37,-33,-42,-45,-57,-54,-54,-55,-56,-51,-43,-64,-62,-69,-68,-60,-67,-200,-81,-73,-66,-76,-79,-82,-72,-81,-75,-200,-77,-200,-71,-200,-67,-200,-83,-87,-200,-49,-200,-200,-69,-70,-65,-66,-87
1526458736727,-31,-37,-33,-42,-45,-57,-54,-54,-55,-56,-51,-43,-64,-62,-69,-68,-60,-67,-200,-81,-73,-66,-76,-79,-82,-72,-81,-75,-200,-77,-200,-71,-200,-200,-200,-83,-87,-200,-49,-200,-200,-69,-70,-65,-66,-87
1526458739752,-31,-37,-34,-41,-46,-57,-53,-55,-54,-56,-50,-43,-64,-62,-57,-65,-56,-67,-58,-80,-72,-65,-76,-79,-83,-73,-80,-75,-200,-77,-200,-71,-59,-200,-200,-83,-90,-68,-48,-200,-200,-69,-70,-65,-66,-87
