,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0121.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526457007452,-200,-200,-200,-86,-200,-200,-70,-200,-88,-77,-200,-71,-200,-200,-200,-200,-200
1526457007527,-63,-200,-75,-91,-200,-80,-200,-200,-87,-77,-200,-73,-200,-200,-96,-200,-200
1526457012066,-78,-200,-75,-200,-200,-200,-72,-200,-200,-79,-200,-73,-200,-200,-200,-200,-200
1526457012170,-78,-87,-75,-90,-200,-83,-72,-85,-85,-200,-91,-73,-200,-200,-200,-200,-200
1526457012288,-78,-86,-74,-200,-200,-84,-72,-86,-86,-79,-91,-73,-200,-200,-200,-200,-200
1526457012388,-77,-87,-75,-200,-200,-83,-73,-85,-85,-200,-90,-73,-200,-200,-200,-99,-200
1526457012489,-77,-200,-75,-91,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-100,-200
1526457012591,-78,-87,-75,-92,-200,-83,-72,-85,-86,-200,-91,-73,-200,-200,-200,-100,-200
1526457017026,-200,-90,-77,-86,-89,-200,-67,-82,-86,-81,-200,-73,-200,-200,-200,-200,-200
1526457017127,-65,-200,-77,-86,-88,-200,-200,-200,-85,-80,-200,-200,-200,-200,-200,-200,-200
1526457017232,-200,-89,-77,-85,-200,-79,-67,-82,-200,-80,-90,-73,-200,-96,-200,-200,-200
1526457017321,-65,-200,-77,-86,-89,-80,-200,-82,-200,-80,-89,-75,-200,-200,-200,-200,-200
1526457017426,-200,-89,-76,-86,-89,-79,-200,-82,-200,-80,-91,-73,-200,-200,-200,-200,-200
1526457017533,-65,-200,-77,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-95,-200,-200
1526457022062,-62,-84,-74,-87,-200,-79,-200,-200,-200,-79,-79,-200,-91,-200,-200,-200,-200
1526457022165,-61,-200,-73,-200,-200,-79,-69,-87,-200,-79,-78,-200,-93,-200,-200,-200,-200
1526457022296,-63,-84,-74,-200,-200,-79,-200,-87,-200,-79,-200,-200,-200,-97,-96,-200,-200
1526457022387,-62,-84,-74,-87,-89,-200,-70,-87,-200,-79,-200,-73,-200,-200,-200,-200,-200
1526457022494,-62,-83,-200,-200,-200,-79,-200,-87,-200,-78,-200,-200,-200,-200,-200,-200,-200
1526457022594,-62,-200,-75,-200,-200,-200,-72,-200,-86,-200,-78,-200,-200,-200,-200,-200,-200
1526457027059,-85,-86,-74,-89,-200,-84,-72,-200,-85,-200,-91,-74,-200,-200,-200,-95,-200
1526457027165,-85,-87,-75,-200,-100,-83,-200,-87,-85,-200,-91,-73,-200,-200,-200,-200,-200
1526457027263,-85,-86,-74,-200,-101,-83,-71,-86,-200,-80,-90,-72,-200,-200,-200,-99,-200
1526457027373,-83,-86,-75,-90,-100,-200,-72,-85,-85,-200,-91,-73,-200,-200,-200,-200,-200
1526457027570,-200,-200,-75,-200,-200,-83,-72,-200,-86,-80,-91,-72,-200,-200,-200,-200,-200
1526457032012,-65,-89,-77,-86,-90,-79,-68,-83,-85,-80,-92,-71,-200,-95,-200,-200,-200
1526457032123,-64,-88,-77,-200,-89,-80,-67,-200,-86,-79,-90,-71,-200,-200,-200,-200,-200
1526457032209,-63,-200,-78,-200,-200,-200,-67,-200,-85,-80,-90,-72,-200,-200,-200,-200,-200
1526457032312,-65,-200,-77,-86,-91,-200,-67,-200,-200,-80,-89,-71,-200,-200,-200,-200,-200
1526457032435,-65,-91,-78,-200,-91,-200,-67,-200,-85,-200,-200,-71,-200,-200,-200,-200,-200
1526457032526,-200,-200,-76,-200,-200,-200,-68,-200,-86,-79,-89,-74,-200,-200,-200,-200,-99
1526457037025,-200,-83,-200,-200,-200,-200,-71,-200,-200,-81,-78,-71,-93,-200,-93,-200,-200
1526457037123,-62,-200,-73,-88,-88,-78,-72,-200,-200,-81,-78,-71,-91,-200,-95,-200,-200
1526457037229,-62,-200,-74,-200,-200,-79,-200,-200,-87,-200,-78,-71,-93,-200,-200,-200,-200
1526457037337,-200,-200,-72,-88,-200,-78,-70,-200,-87,-82,-78,-71,-200,-200,-200,-200,-200
1526457037463,-62,-200,-74,-200,-200,-79,-71,-200,-87,-81,-77,-72,-200,-200,-95,-200,-200
1526457037579,-62,-200,-74,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457042017,-74,-86,-74,-90,-98,-83,-71,-85,-200,-200,-200,-73,-200,-200,-200,-97,-200
1526457042124,-75,-86,-74,-89,-200,-83,-71,-85,-86,-79,-200,-73,-200,-200,-200,-200,-200
1526457042219,-75,-200,-74,-91,-200,-83,-71,-200,-86,-79,-200,-73,-200,-200,-200,-200,-200
1526457042322,-76,-200,-74,-200,-200,-83,-200,-200,-85,-79,-200,-200,-200,-200,-200,-96,-200
1526457042427,-75,-200,-73,-200,-200,-83,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526457042526,-75,-200,-74,-90,-89,-82,-68,-200,-200,-79,-200,-72,-200,-200,-200,-99,-200
1526457047030,-65,-200,-200,-86,-200,-80,-68,-200,-85,-79,-200,-72,-200,-200,-200,-200,-200
1526457047136,-64,-91,-200,-86,-200,-80,-68,-82,-84,-79,-200,-72,-200,-200,-200,-200,-200
1526457047227,-65,-92,-78,-85,-200,-79,-67,-83,-84,-79,-90,-72,-200,-200,-200,-200,-200
1526457047378,-200,-200,-78,-87,-90,-80,-200,-200,-200,-79,-88,-72,-200,-200,-200,-200,-200
1526457047504,-65,-200,-200,-86,-200,-80,-68,-200,-200,-78,-89,-73,-200,-200,-200,-200,-200
1526457047578,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200
1526457052004,-62,-200,-72,-200,-200,-200,-71,-200,-200,-200,-200,-86,-91,-200,-200,-200,-200
1526457052101,-62,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200
1526457052214,-62,-200,-200,-200,-200,-78,-71,-200,-200,-80,-78,-72,-92,-200,-93,-200,-200
1526457052349,-62,-200,-200,-200,-88,-200,-71,-91,-87,-81,-200,-72,-92,-200,-200,-200,-200
1526457052491,-200,-83,-200,-200,-200,-200,-71,-88,-88,-200,-78,-71,-93,-200,-200,-200,-200
1526457052589,-200,-86,-200,-90,-200,-200,-71,-86,-87,-200,-93,-200,-200,-200,-200,-200,-200
1526457057112,-80,-200,-73,-90,-200,-200,-71,-86,-85,-79,-91,-74,-200,-200,-200,-99,-200
1526457057216,-81,-86,-73,-90,-200,-83,-71,-85,-85,-79,-92,-74,-200,-200,-200,-200,-200
1526457057324,-81,-87,-73,-200,-200,-200,-71,-85,-85,-78,-200,-200,-200,-200,-200,-200,-200
1526457057428,-81,-88,-74,-90,-200,-83,-72,-85,-86,-77,-92,-200,-200,-200,-200,-100,-200
1526457057550,-81,-88,-73,-89,-200,-83,-72,-86,-86,-80,-200,-73,-200,-200,-200,-200,-200
1526457062012,-66,-90,-78,-85,-84,-82,-71,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457062115,-200,-90,-77,-86,-84,-82,-72,-84,-200,-200,-92,-73,-200,-200,-200,-200,-200
1526457062215,-66,-92,-77,-86,-84,-81,-70,-84,-89,-200,-92,-73,-200,-200,-200,-200,-200
1526457062321,-66,-200,-78,-200,-200,-80,-72,-84,-87,-79,-200,-73,-200,-200,-200,-200,-200
1526457062429,-65,-90,-75,-87,-83,-200,-71,-87,-88,-200,-200,-74,-200,-200,-200,-200,-200
1526457062520,-65,-200,-200,-200,-200,-78,-71,-83,-88,-200,-200,-74,-200,-200,-200,-200,-200
