,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526457827281,-87,-93,-88,-81,-69,-74,-76,-90,-87,-200,-200,-200,-200,-200,-200
1526457827426,-87,-92,-200,-200,-200,-74,-200,-90,-86,-200,-200,-200,-200,-200,-200
1526457827541,-88,-93,-88,-81,-69,-75,-76,-89,-87,-200,-200,-200,-200,-200,-200
1526457832017,-200,-200,-94,-77,-70,-200,-68,-200,-96,-200,-92,-93,-96,-200,-200
1526457832145,-200,-94,-92,-77,-200,-73,-68,-200,-200,-200,-200,-200,-200,-200,-200
1526457832280,-200,-200,-200,-77,-72,-73,-68,-200,-200,-200,-200,-91,-200,-200,-200
1526457832373,-84,-200,-200,-200,-72,-73,-68,-200,-200,-200,-93,-200,-96,-200,-200
1526457832485,-84,-94,-200,-77,-200,-73,-69,-92,-200,-200,-200,-200,-200,-200,-200
1526457832604,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457837026,-91,-90,-200,-79,-78,-80,-75,-93,-200,-200,-95,-200,-200,-200,-200
1526457837122,-91,-91,-200,-200,-77,-80,-200,-200,-200,-200,-95,-200,-200,-94,-200
1526457837221,-200,-200,-92,-79,-77,-80,-74,-200,-200,-200,-200,-200,-200,-95,-200
1526457837333,-91,-90,-92,-200,-200,-80,-200,-93,-90,-200,-95,-200,-200,-95,-200
1526457837474,-92,-200,-93,-79,-77,-81,-75,-200,-92,-200,-200,-200,-200,-95,-200
1526457837587,-91,-200,-92,-79,-78,-81,-74,-93,-200,-200,-200,-200,-200,-200,-200
1526457842025,-85,-90,-200,-200,-69,-77,-74,-200,-86,-200,-200,-200,-200,-200,-200
1526457842121,-89,-89,-88,-84,-69,-77,-73,-94,-86,-200,-200,-200,-200,-200,-200
1526457842229,-200,-92,-89,-200,-69,-76,-73,-91,-85,-200,-200,-200,-200,-200,-200
1526457842343,-200,-90,-88,-84,-69,-77,-74,-90,-86,-200,-200,-200,-200,-200,-200
1526457842443,-200,-89,-88,-200,-69,-200,-74,-92,-85,-200,-200,-200,-200,-200,-200
1526457842549,-84,-200,-200,-200,-69,-77,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526457847027,-200,-200,-97,-83,-71,-72,-200,-200,-200,-200,-92,-200,-200,-200,-200
1526457847157,-200,-200,-97,-83,-71,-72,-71,-200,-89,-200,-200,-93,-96,-200,-95
1526457847291,-200,-96,-200,-200,-71,-72,-70,-200,-89,-200,-200,-92,-200,-200,-97
1526457847410,-200,-200,-200,-200,-200,-72,-71,-200,-90,-200,-200,-200,-97,-200,-200
1526457847506,-92,-91,-200,-83,-200,-72,-75,-200,-200,-200,-96,-200,-200,-97,-200
1526457852101,-91,-90,-200,-80,-77,-81,-75,-200,-92,-200,-200,-200,-200,-200,-200
1526457852187,-200,-90,-200,-79,-78,-81,-74,-93,-200,-200,-200,-200,-200,-95,-200
1526457852301,-92,-91,-94,-80,-77,-80,-75,-93,-200,-200,-200,-200,-200,-200,-200
1526457852415,-92,-200,-200,-80,-77,-200,-75,-92,-200,-200,-200,-200,-200,-200,-200
1526457852515,-92,-200,-95,-80,-78,-81,-75,-200,-93,-200,-200,-200,-200,-95,-200
1526457852626,-200,-200,-88,-80,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457857044,-87,-200,-200,-85,-69,-200,-74,-90,-200,-200,-200,-200,-200,-200,-200
1526457857134,-200,-200,-89,-84,-68,-77,-74,-200,-85,-200,-200,-200,-200,-200,-200
1526457857249,-200,-90,-90,-85,-200,-77,-74,-90,-85,-200,-200,-200,-200,-200,-200
1526457857360,-200,-200,-87,-85,-69,-77,-73,-90,-85,-200,-200,-200,-200,-200,-200
1526457857459,-86,-200,-87,-85,-200,-77,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526457857567,-86,-200,-200,-85,-200,-200,-71,-90,-200,-200,-200,-200,-95,-200,-200
1526457862109,-84,-200,-200,-83,-71,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457862163,-84,-96,-97,-84,-70,-72,-71,-93,-200,-200,-92,-200,-95,-200,-95
1526457862270,-84,-95,-95,-84,-70,-72,-71,-200,-88,-200,-200,-91,-95,-200,-200
1526457862391,-200,-95,-200,-84,-200,-72,-72,-200,-87,-200,-91,-200,-95,-200,-200
1526457862504,-84,-200,-200,-83,-71,-72,-71,-200,-88,-200,-92,-200,-200,-200,-95
1526457862625,-200,-200,-200,-200,-72,-81,-200,-92,-89,-200,-200,-200,-200,-200,-200
1526457867057,-92,-200,-200,-79,-77,-200,-200,-92,-200,-200,-95,-200,-200,-200,-200
1526457867168,-90,-90,-93,-80,-77,-200,-75,-93,-200,-200,-95,-200,-97,-200,-200
1526457867296,-200,-90,-93,-80,-77,-81,-74,-200,-200,-200,-95,-200,-200,-200,-200
1526457867396,-92,-90,-93,-79,-200,-80,-75,-200,-91,-200,-200,-200,-200,-200,-200
1526457867510,-90,-89,-93,-81,-76,-80,-75,-200,-200,-200,-94,-200,-200,-200,-200
1526457867628,-91,-200,-93,-200,-200,-80,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526457872034,-85,-200,-200,-85,-69,-76,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526457872137,-86,-200,-200,-85,-200,-76,-75,-91,-86,-200,-200,-200,-200,-200,-200
1526457872245,-86,-91,-200,-84,-200,-76,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526457872346,-85,-89,-88,-84,-69,-76,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526457872476,-84,-90,-89,-83,-200,-200,-75,-91,-200,-200,-200,-200,-200,-200,-200
1526457872590,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
