,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,DLINK_D00EB8,whu2011314,whu2011309,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526459692706,-39,-40,-47,-41,-48,-44,-47,-48,-61,-51,-63,-48,-52,-73,-70,-59,-51,-69,-73,-66,-69,-55,-61,-67,-72,-75,-200,-58,-79,-77,-66,-73,-71,-85,-70,-80,-70,-86,-82,-81,-69,-78,-77,-62,-73,-81,-81,-85,-77,-82,-80,-200,-82,-66,-79,-200,-82,-82,-87,-93,-85,-200,-85,-76,-89,-200,-200,-200,-200,-94,-200,-93,-200,-200,-200,-200,-200,-66,-86,-84,-200,-200,-200,-200,-82,-71,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-89,-94,-200,-200,-200,-200,-200,-200
1526459695753,-35,-41,-44,-40,-50,-46,-42,-49,-68,-52,-60,-43,-62,-69,-67,-68,-49,-73,-72,-66,-67,-67,-66,-65,-74,-70,-73,-71,-76,-73,-67,-81,-65,-85,-68,-80,-69,-86,-81,-79,-66,-76,-81,-60,-76,-80,-82,-84,-76,-82,-81,-83,-86,-66,-88,-86,-84,-78,-85,-95,-92,-200,-86,-78,-89,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-93,-69,-86,-200,-200,-95,-200,-200,-82,-72,-200,-200,-200,-84,-200,-200,-200,-200,-93,-200,-83,-200,-85,-96,-200,-200,-200,-200
1526459698810,-34,-42,-42,-40,-48,-50,-46,-52,-69,-54,-66,-49,-55,-67,-68,-65,-50,-68,-71,-67,-66,-74,-64,-66,-67,-68,-74,-72,-81,-74,-67,-71,-66,-75,-76,-79,-69,-86,-82,-83,-68,-81,-79,-64,-76,-76,-85,-84,-78,-82,-82,-83,-83,-66,-88,-86,-83,-76,-88,-96,-91,-92,-86,-77,-92,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-93,-68,-200,-200,-88,-93,-200,-200,-74,-72,-200,-200,-200,-84,-200,-200,-200,-200,-93,-200,-85,-200,-85,-96,-98,-200,-200,-200
1526459701863,-38,-44,-45,-41,-48,-44,-45,-49,-61,-54,-63,-47,-55,-68,-66,-67,-50,-70,-71,-66,-64,-68,-64,-62,-70,-71,-77,-65,-81,-75,-65,-75,-66,-75,-74,-81,-69,-84,-80,-86,-64,-78,-76,-58,-77,-76,-84,-84,-79,-82,-82,-82,-84,-67,-83,-90,-83,-76,-86,-96,-91,-92,-87,-77,-93,-97,-200,-200,-200,-90,-200,-200,-200,-96,-200,-200,-93,-64,-200,-200,-89,-93,-200,-200,-74,-74,-200,-200,-200,-91,-200,-200,-200,-200,-91,-200,-85,-200,-85,-96,-98,-200,-200,-200
1526459704916,-34,-40,-43,-39,-47,-49,-42,-49,-61,-54,-61,-49,-56,-72,-66,-66,-50,-69,-73,-66,-71,-69,-64,-68,-70,-68,-73,-68,-81,-75,-65,-72,-52,-76,-71,-80,-70,-84,-82,-83,-67,-80,-77,-62,-77,-76,-84,-86,-79,-82,-82,-82,-83,-65,-80,-90,-83,-78,-88,-96,-91,-92,-87,-77,-92,-97,-200,-200,-200,-90,-200,-200,-200,-96,-200,-200,-93,-69,-200,-200,-89,-93,-200,-200,-74,-74,-200,-200,-200,-91,-200,-200,-200,-200,-88,-200,-85,-200,-200,-200,-98,-200,-200,-200
1526459707969,-38,-41,-42,-39,-53,-47,-41,-50,-67,-57,-65,-51,-60,-66,-64,-70,-48,-64,-66,-63,-71,-73,-65,-67,-72,-69,-74,-72,-79,-73,-73,-59,-64,-77,-71,-77,-69,-84,-82,-83,-68,-80,-85,-64,-75,-75,-82,-87,-76,-81,-200,-89,-83,-75,-88,-90,-83,-78,-85,-200,-92,-200,-87,-77,-92,-97,-200,-200,-200,-88,-200,-200,-200,-96,-200,-200,-93,-68,-200,-200,-92,-200,-200,-200,-73,-78,-200,-200,-200,-91,-200,-200,-200,-200,-88,-200,-85,-200,-200,-200,-200,-97,-200,-200
1526459711018,-38,-42,-43,-38,-48,-50,-41,-47,-66,-52,-62,-53,-60,-65,-63,-64,-48,-64,-72,-64,-71,-67,-68,-65,-73,-70,-74,-62,-79,-73,-66,-59,-64,-77,-72,-77,-55,-200,-78,-88,-64,-77,-79,-60,-76,-81,-83,-83,-79,-79,-200,-89,-83,-75,-88,-87,-81,-75,-83,-200,-85,-200,-87,-81,-92,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-91,-68,-200,-89,-89,-200,-200,-200,-73,-72,-84,-200,-200,-200,-200,-96,-200,-200,-88,-200,-85,-200,-200,-95,-200,-97,-81,-200
1526459714067,-36,-41,-49,-37,-49,-45,-43,-50,-67,-53,-61,-46,-59,-68,-68,-66,-47,-74,-73,-67,-65,-64,-68,-63,-74,-72,-74,-62,-80,-74,-65,-75,-68,-79,-74,-83,-71,-200,-78,-85,-70,-77,-76,-62,-77,-77,-83,-84,-79,-85,-63,-81,-83,-68,-85,-90,-84,-75,-88,-95,-85,-200,-87,-81,-92,-94,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-92,-68,-200,-89,-89,-94,-85,-200,-73,-72,-84,-200,-200,-200,-200,-96,-200,-200,-200,-200,-85,-200,-200,-95,-200,-97,-81,-200
1526459717118,-41,-42,-46,-34,-45,-44,-45,-49,-61,-54,-59,-49,-55,-70,-76,-67,-47,-70,-69,-71,-65,-67,-62,-60,-69,-72,-74,-65,-82,-74,-65,-81,-68,-79,-75,-78,-71,-200,-79,-79,-63,-76,-74,-62,-80,-75,-82,-85,-79,-83,-63,-81,-80,-74,-85,-90,-84,-77,-88,-94,-90,-87,-87,-75,-90,-94,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-92,-67,-200,-89,-89,-94,-85,-200,-75,-72,-80,-200,-200,-90,-200,-96,-200,-200,-88,-200,-85,-200,-200,-95,-200,-200,-81,-200
1526459720156,-36,-43,-45,-40,-47,-47,-44,-52,-73,-52,-62,-48,-56,-68,-71,-68,-47,-70,-73,-74,-64,-67,-62,-65,-70,-65,-74,-66,-83,-73,-66,-77,-70,-77,-79,-79,-73,-200,-77,-80,-70,-76,-79,-62,-80,-75,-82,-82,-77,-80,-200,-200,-81,-67,-85,-91,-84,-77,-86,-96,-90,-90,-88,-79,-90,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-94,-69,-200,-200,-200,-96,-200,-200,-75,-200,-83,-200,-200,-89,-200,-200,-200,-200,-88,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526459723208,-40,-42,-46,-41,-48,-46,-42,-50,-68,-52,-64,-49,-54,-69,-71,-64,-50,-72,-69,-67,-74,-67,-63,-61,-71,-74,-62,-61,-86,-73,-66,-77,-70,-78,-79,-79,-68,-200,-77,-79,-66,-77,-78,-59,-77,-73,-83,-82,-80,-79,-82,-81,-83,-73,-83,-91,-82,-75,-86,-96,-87,-90,-87,-79,-90,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-94,-69,-200,-91,-200,-96,-200,-200,-76,-59,-83,-200,-200,-89,-200,-200,-200,-200,-88,-200,-88,-200,-200,-200,-200,-200,-200,-91
1526459726258,-38,-42,-45,-39,-49,-74,-44,-52,-60,-53,-59,-47,-59,-70,-70,-62,-46,-66,-68,-68,-67,-70,-65,-65,-74,-69,-73,-66,-79,-71,-68,-80,-59,-79,-75,-81,-65,-83,-77,-74,-46,-75,-79,-61,-74,-77,-81,-82,-77,-79,-82,-91,-81,-73,-91,-91,-84,-83,-84,-96,-84,-90,-85,-81,-90,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-93,-67,-200,-89,-94,-92,-200,-200,-76,-59,-83,-200,-200,-89,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-91
