,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526459846481,-38,-37,-43,-47,-45,-61,-49,-53,-54,-64,-51,-56,-53,-62,-66,-59,-71,-77,-61,-70,-64,-47,-59,-57,-76,-82,-68,-86,-74,-68,-80,-81,-72,-72,-82,-77,-78,-75,-66,-79,-69,-78,-79,-72,-79,-200,-80,-84,-76,-75,-72,-76,-200,-81,-81,-77,-78,-200,-85,-74,-73,-84,-78,-87,-86,-200,-200,-200,-87,-93,-200,-82,-82,-81,-200,-200,-200,-90,-70,-94,-200,-200,-90,-94,-93,-92,-200,-200,-90,-200,-200,-91,-200,-87,-74,-93,-83,-97,-200,-200,-200,-200,-200,-200,-200,-200
1526459849535,-37,-38,-40,-50,-48,-63,-48,-53,-54,-64,-51,-56,-53,-63,-67,-62,-71,-71,-63,-73,-64,-50,-61,-58,-74,-84,-67,-200,-74,-60,-82,-81,-72,-70,-83,-78,-79,-75,-72,-79,-67,-77,-81,-72,-80,-200,-80,-85,-78,-74,-70,-76,-72,-82,-84,-77,-82,-200,-86,-74,-73,-83,-200,-88,-86,-200,-200,-85,-86,-89,-200,-76,-87,-80,-200,-200,-91,-89,-86,-87,-95,-93,-75,-95,-97,-93,-200,-75,-91,-90,-92,-200,-200,-87,-89,-200,-200,-200,-93,-93,-200,-200,-200,-200,-200,-200
1526459852586,-36,-35,-39,-50,-48,-61,-48,-53,-52,-66,-54,-53,-49,-64,-65,-59,-66,-78,-62,-75,-69,-51,-59,-59,-75,-83,-68,-88,-74,-78,-81,-81,-73,-81,-83,-80,-79,-75,-73,-78,-66,-82,-81,-72,-82,-93,-80,-82,-77,-74,-72,-77,-81,-82,-84,-77,-82,-200,-86,-74,-70,-78,-85,-86,-85,-200,-200,-89,-91,-89,-200,-79,-89,-91,-200,-200,-91,-89,-79,-87,-95,-93,-91,-95,-97,-93,-200,-75,-91,-90,-92,-200,-200,-87,-89,-200,-200,-200,-93,-93,-200,-200,-200,-200,-200,-200
1526459855639,-38,-40,-43,-49,-48,-61,-48,-52,-58,-63,-56,-57,-50,-64,-65,-55,-63,-78,-64,-76,-57,-50,-59,-58,-75,-81,-67,-88,-73,-71,-76,-79,-71,-76,-83,-77,-79,-74,-73,-80,-69,-82,-78,-75,-81,-86,-82,-83,-78,-74,-68,-79,-78,-83,-84,-83,-77,-200,-89,-74,-70,-78,-85,-89,-85,-200,-200,-89,-93,-89,-200,-79,-89,-91,-200,-200,-87,-89,-83,-87,-95,-93,-91,-93,-97,-93,-200,-75,-90,-90,-92,-94,-200,-87,-89,-200,-200,-200,-93,-93,-92,-96,-200,-200,-200,-200
1526459858692,-40,-39,-39,-48,-49,-63,-48,-53,-54,-62,-50,-56,-52,-63,-67,-55,-70,-78,-66,-75,-65,-50,-58,-58,-74,-83,-69,-89,-74,-75,-80,-79,-72,-73,-81,-77,-78,-78,-73,-79,-68,-81,-82,-71,-83,-86,-83,-87,-78,-76,-71,-76,-73,-83,-200,-78,-81,-200,-88,-73,-74,-86,-85,-86,-86,-87,-88,-89,-93,-200,-200,-79,-89,-81,-200,-200,-91,-92,-83,-200,-92,-200,-89,-95,-94,-93,-200,-200,-90,-87,-200,-94,-200,-86,-200,-200,-200,-99,-200,-200,-92,-96,-200,-200,-200,-200
1526459861748,-41,-33,-43,-51,-44,-65,-49,-51,-59,-62,-53,-54,-54,-62,-65,-54,-70,-71,-68,-67,-62,-47,-60,-59,-73,-78,-70,-89,-66,-70,-76,-79,-76,-74,-82,-80,-78,-78,-73,-77,-55,-81,-83,-72,-80,-86,-81,-79,-75,-74,-68,-78,-73,-82,-200,-80,-79,-200,-88,-73,-74,-77,-200,-86,-86,-87,-86,-200,-93,-200,-200,-200,-86,-87,-84,-200,-89,-92,-78,-200,-92,-94,-90,-95,-94,-93,-200,-200,-93,-87,-200,-94,-200,-86,-200,-95,-200,-99,-200,-200,-92,-96,-82,-200,-200,-200
1526459864792,-41,-40,-43,-54,-48,-65,-49,-56,-51,-64,-52,-56,-48,-62,-64,-55,-66,-71,-53,-72,-65,-50,-62,-58,-72,-88,-70,-89,-66,-70,-71,-200,-72,-73,-82,-80,-78,-78,-44,-76,-66,-80,-79,-73,-80,-200,-80,-82,-79,-77,-68,-76,-73,-82,-200,-75,-77,-200,-89,-72,-75,-75,-79,-88,-86,-91,-86,-86,-87,-200,-200,-200,-86,-86,-91,-200,-89,-92,-77,-200,-92,-94,-90,-94,-93,-93,-200,-76,-92,-87,-200,-200,-97,-86,-89,-95,-81,-92,-200,-200,-200,-200,-82,-200,-200,-200
1526459867845,-50,-31,-39,-49,-47,-62,-48,-55,-61,-62,-56,-61,-48,-66,-64,-59,-69,-73,-65,-70,-65,-50,-60,-62,-72,-80,-68,-200,-70,-72,-75,-84,-77,-73,-79,-75,-83,-78,-69,-78,-77,-82,-77,-70,-79,-200,-81,-81,-78,-75,-68,-76,-200,-84,-200,-77,-78,-84,-84,-72,-75,-76,-79,-81,-200,-87,-86,-86,-86,-200,-200,-80,-82,-83,-91,-200,-89,-92,-82,-200,-91,-94,-89,-92,-93,-200,-200,-76,-92,-200,-200,-200,-97,-200,-89,-95,-81,-92,-200,-200,-200,-200,-82,-95,-200,-200
1526459870901,-42,-32,-41,-56,-49,-64,-49,-56,-61,-63,-54,-55,-48,-64,-61,-61,-68,-75,-54,-70,-60,-48,-60,-59,-72,-83,-70,-85,-72,-73,-85,-84,-75,-73,-82,-73,-83,-200,-69,-77,-65,-81,-79,-74,-79,-200,-80,-83,-78,-75,-67,-76,-66,-85,-200,-78,-78,-85,-85,-74,-73,-76,-77,-81,-200,-87,-86,-86,-93,-200,-200,-80,-82,-86,-91,-200,-89,-93,-77,-96,-91,-200,-90,-95,-93,-96,-200,-76,-92,-200,-95,-92,-97,-200,-87,-200,-81,-92,-200,-200,-200,-200,-200,-95,-97,-98
1526459873955,-46,-32,-43,-54,-50,-65,-49,-56,-61,-63,-54,-53,-49,-64,-67,-57,-68,-75,-63,-71,-56,-50,-60,-57,-76,-81,-67,-85,-68,-76,-78,-84,-75,-72,-81,-78,-83,-75,-70,-76,-70,-81,-78,-65,-78,-91,-80,-81,-78,-78,-67,-76,-66,-83,-200,-78,-78,-85,-87,-73,-77,-77,-78,-78,-87,-87,-200,-85,-84,-90,-200,-82,-84,-80,-200,-200,-200,-91,-78,-96,-91,-200,-89,-93,-93,-94,-200,-200,-200,-200,-95,-92,-200,-200,-91,-200,-200,-200,-88,-200,-200,-200,-200,-95,-97,-98
1526459877008,-39,-40,-42,-56,-48,-67,-50,-56,-59,-62,-53,-55,-49,-66,-64,-60,-75,-77,-64,-70,-63,-50,-63,-58,-74,-86,-68,-85,-75,-73,-82,-86,-74,-73,-83,-78,-81,-75,-70,-77,-70,-81,-79,-74,-80,-90,-81,-80,-78,-78,-68,-76,-69,-84,-200,-76,-78,-86,-89,-72,-73,-80,-78,-78,-87,-200,-200,-85,-92,-90,-200,-83,-82,-80,-200,-200,-88,-91,-78,-96,-91,-200,-89,-94,-200,-94,-200,-200,-200,-200,-95,-92,-200,-200,-91,-200,-200,-200,-88,-200,-200,-200,-200,-200,-97,-98
1526459880058,-42,-31,-41,-56,-48,-66,-48,-56,-63,-63,-53,-56,-48,-62,-66,-57,-68,-77,-64,-68,-62,-48,-61,-58,-76,-86,-65,-86,-73,-70,-83,-86,-73,-71,-85,-78,-83,-76,-70,-75,-63,-81,-78,-74,-78,-90,-79,-82,-78,-78,-69,-76,-65,-86,-200,-77,-78,-86,-87,-74,-72,-77,-78,-78,-87,-90,-200,-85,-86,-89,-200,-83,-82,-85,-200,-200,-89,-91,-77,-200,-91,-200,-90,-92,-200,-94,-98,-80,-200,-200,-200,-92,-97,-95,-91,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-97
