,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,DLINK_D02A10,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,DLINK_D00E98,whu2011314,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28
1526460070858,-24,-40,-45,-46,-54,-64,-54,-68,-55,-57,-44,-44,-67,-58,-73,-61,-65,-69,-56,-69,-67,-73,-64,-70,-63,-62,-78,-76,-73,-76,-77,-73,-61,-87,-86,-89,-71,-79,-80,-76,-82,-89,-66,-64,-75,-75,-88,-79,-200,-86,-200,-200,-90,-88,-94,-87,-75,-67,-87,-94,-84,-84,-87,-73,-88,-86,-200,-87,-88,-77,-200,-77,-86,-86,-87,-89,-81,-83,-200,-83,-84,-93,-200,-200,-200,-200,-200,-200,-87,-95,-200,-200,-200,-200,-200,-200,-93,-91,-90,-88,-200,-200,-200,-200,-79,-90,-200,-200,-200
1526460073915,-24,-36,-48,-44,-49,-65,-53,-57,-54,-54,-47,-46,-65,-55,-70,-60,-65,-69,-57,-66,-69,-67,-70,-67,-69,-59,-79,-74,-79,-75,-75,-73,-56,-82,-86,-83,-71,-79,-78,-74,-72,-84,-72,-63,-82,-76,-88,-79,-200,-86,-200,-200,-200,-88,-91,-86,-78,-87,-83,-94,-90,-82,-87,-73,-88,-86,-200,-86,-88,-78,-200,-77,-78,-86,-85,-200,-81,-200,-200,-82,-84,-200,-200,-200,-200,-200,-200,-94,-83,-95,-200,-200,-200,-200,-200,-200,-200,-91,-90,-88,-97,-200,-200,-200,-76,-90,-200,-200,-200
1526460076969,-23,-38,-51,-44,-57,-61,-64,-61,-70,-56,-53,-47,-65,-60,-53,-59,-67,-75,-63,-62,-69,-69,-66,-72,-66,-62,-76,-74,-72,-77,-84,-59,-71,-83,-83,-83,-70,-82,-77,-78,-85,-84,-72,-64,-77,-76,-86,-79,-200,-86,-200,-200,-200,-200,-91,-86,-78,-87,-87,-95,-85,-82,-86,-83,-89,-95,-88,-86,-88,-75,-200,-77,-76,-91,-85,-200,-93,-82,-200,-85,-200,-91,-200,-200,-200,-200,-200,-94,-82,-95,-200,-200,-200,-200,-200,-97,-200,-200,-90,-200,-97,-88,-200,-200,-76,-200,-200,-200,-200
1526460080038,-24,-37,-53,-46,-56,-57,-56,-61,-62,-55,-50,-47,-63,-58,-80,-55,-67,-75,-62,-64,-66,-68,-65,-63,-74,-60,-86,-77,-74,-73,-77,-59,-71,-83,-85,-83,-71,-80,-77,-74,-83,-84,-68,-73,-80,-76,-87,-82,-200,-200,-200,-200,-200,-89,-91,-84,-81,-78,-84,-95,-90,-79,-86,-78,-87,-95,-88,-90,-86,-78,-200,-93,-76,-91,-85,-86,-89,-83,-200,-84,-200,-91,-200,-200,-200,-200,-200,-94,-82,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-97,-88,-200,-200,-76,-200,-93,-200,-200
1526460083092,-22,-39,-52,-48,-56,-57,-57,-63,-61,-56,-50,-47,-63,-59,-70,-63,-67,-63,-58,-73,-70,-72,-67,-66,-74,-64,-81,-77,-73,-74,-79,-74,-62,-83,-82,-200,-70,-77,-77,-75,-83,-200,-68,-74,-77,-80,-82,-82,-200,-200,-80,-200,-200,-89,-200,-85,-84,-78,-84,-93,-89,-79,-84,-74,-87,-92,-88,-89,-85,-77,-200,-93,-79,-91,-200,-86,-81,-83,-200,-84,-92,-91,-200,-92,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-97,-200,-94,-200,-200,-200,-88,-91,-200,-200,-200,-93,-200,-200
1526460086146,-23,-36,-50,-49,-54,-60,-54,-62,-56,-57,-44,-46,-60,-63,-71,-63,-71,-66,-59,-67,-64,-72,-67,-61,-74,-63,-81,-71,-79,-76,-77,-75,-62,-200,-86,-200,-74,-74,-76,-73,-82,-77,-69,-50,-79,-80,-84,-82,-200,-200,-80,-200,-200,-88,-92,-83,-77,-84,-82,-95,-90,-79,-84,-80,-87,-92,-200,-90,-82,-75,-200,-93,-78,-87,-83,-86,-89,-83,-200,-82,-92,-200,-200,-93,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-93,-94,-200,-200,-200,-200,-91,-200,-200,-200,-93,-200,-200
1526460089198,-23,-34,-52,-54,-48,-54,-57,-62,-54,-56,-47,-53,-60,-61,-71,-65,-75,-66,-59,-66,-73,-74,-72,-67,-200,-64,-76,-71,-79,-76,-82,-75,-62,-200,-81,-200,-77,-74,-75,-75,-75,-88,-69,-71,-79,-80,-79,-200,-200,-200,-80,-89,-91,-86,-89,-85,-77,-86,-83,-92,-88,-200,-84,-72,-200,-92,-88,-87,-89,-75,-86,-86,-86,-83,-83,-86,-90,-200,-200,-81,-91,-90,-94,-93,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-93,-94,-96,-200,-94,-200,-91,-200,-83,-200,-200,-89,-200
1526460092259,-23,-24,-53,-52,-50,-56,-53,-62,-55,-60,-49,-51,-62,-64,-60,-63,-74,-68,-59,-72,-72,-69,-67,-68,-74,-67,-77,-67,-79,-76,-82,-80,-57,-87,-82,-86,-71,-75,-74,-74,-74,-88,-74,-70,-79,-81,-80,-80,-200,-90,-88,-89,-91,-86,-89,-87,-78,-84,-81,-93,-90,-83,-200,-75,-90,-88,-85,-89,-84,-75,-86,-86,-84,-83,-83,-200,-91,-200,-82,-81,-91,-90,-95,-91,-200,-88,-200,-91,-83,-200,-200,-200,-200,-200,-200,-200,-95,-200,-96,-200,-94,-200,-91,-200,-83,-200,-200,-89,-200
1526460095307,-24,-33,-56,-48,-49,-58,-54,-61,-58,-55,-49,-49,-61,-64,-60,-61,-78,-69,-55,-69,-75,-70,-68,-69,-72,-62,-79,-70,-80,-76,-86,-75,-58,-85,-82,-86,-74,-79,-70,-74,-72,-88,-69,-70,-81,-78,-79,-81,-200,-90,-88,-89,-91,-86,-88,-85,-77,-86,-81,-95,-87,-83,-200,-71,-90,-90,-84,-90,-85,-76,-86,-84,-84,-88,-200,-85,-90,-200,-82,-80,-91,-90,-95,-91,-200,-92,-200,-93,-83,-200,-200,-200,-200,-200,-200,-200,-95,-95,-96,-200,-97,-200,-91,-200,-83,-200,-200,-89,-96
1526460098363,-23,-35,-52,-49,-54,-58,-55,-61,-59,-56,-43,-48,-63,-61,-77,-68,-70,-66,-59,-65,-68,-64,-63,-70,-75,-64,-85,-74,-77,-76,-80,-74,-61,-88,-83,-91,-77,-74,-74,-80,-81,-200,-68,-63,-76,-82,-80,-66,-200,-90,-88,-82,-200,-86,-88,-84,-78,-88,-82,-91,-85,-83,-200,-73,-90,-92,-86,-90,-85,-73,-200,-84,-82,-85,-86,-87,-87,-200,-82,-82,-94,-200,-97,-91,-200,-92,-200,-93,-87,-200,-200,-200,-200,-200,-200,-200,-95,-95,-93,-200,-97,-200,-200,-200,-200,-200,-200,-97,-96
1526460101420,-33,-36,-46,-46,-53,-62,-54,-61,-54,-56,-45,-45,-60,-58,-78,-65,-69,-63,-59,-64,-68,-70,-62,-70,-75,-61,-85,-81,-77,-75,-78,-72,-64,-88,-83,-91,-76,-73,-75,-75,-82,-200,-68,-68,-76,-82,-83,-66,-200,-90,-79,-82,-200,-76,-88,-86,-76,-89,-81,-91,-92,-200,-88,-73,-90,-96,-86,-90,-86,-77,-200,-84,-81,-85,-86,-87,-88,-200,-200,-83,-94,-200,-97,-200,-200,-94,-94,-93,-87,-200,-200,-200,-200,-200,-200,-200,-200,-95,-93,-200,-97,-200,-200,-200,-78,-200,-200,-97,-96
1526460104470,-23,-34,-55,-51,-44,-60,-61,-59,-55,-54,-46,-47,-65,-57,-74,-65,-69,-71,-54,-67,-75,-64,-67,-70,-72,-60,-81,-65,-81,-78,-80,-76,-57,-87,-84,-83,-73,-80,-76,-75,-70,-200,-67,-62,-76,-78,-82,-79,-200,-89,-92,-200,-91,-76,-89,-82,-74,-89,-82,-92,-90,-84,-88,-71,-87,-91,-87,-85,-82,-77,-200,-200,-81,-86,-200,-87,-90,-83,-200,-83,-90,-200,-94,-78,-200,-94,-94,-200,-82,-97,-200,-200,-200,-200,-200,-200,-96,-200,-93,-200,-95,-81,-200,-81,-73,-200,-200,-200,-200
