,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D00E98,DLINK_D00EB8,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A38
1526460289741,-36,-27,-35,-55,-72,-52,-53,-59,-48,-61,-61,-48,-58,-54,-54,-74,-66,-57,-60,-73,-65,-73,-76,-67,-72,-85,-67,-74,-70,-77,-75,-73,-73,-82,-75,-78,-77,-79,-76,-79,-82,-77,-67,-80,-78,-83,-81,-83,-200,-84,-86,-84,-83,-82,-86,-79,-89,-80,-89,-87,-85,-85,-200,-86,-85,-87,-90,-92,-86,-86,-200,-89,-88,-200,-87,-90,-94,-85,-200,-200,-89,-200,-79,-200,-200,-200,-86,-200,-95,-200,-200,-82,-200,-94,-200,-90,-87,-200,-200,-200,-200,-200,-95,-90,-90,-200,-200,-200
1526460292799,-34,-27,-37,-52,-71,-53,-51,-57,-50,-62,-59,-50,-59,-56,-53,-72,-66,-56,-57,-78,-65,-68,-75,-73,-69,-84,-72,-74,-72,-77,-75,-75,-77,-80,-75,-80,-81,-79,-74,-81,-80,-75,-71,-79,-69,-83,-80,-81,-200,-84,-86,-81,-82,-80,-85,-79,-88,-78,-89,-87,-91,-86,-200,-81,-85,-89,-88,-89,-86,-200,-96,-90,-92,-200,-88,-200,-95,-84,-200,-200,-200,-84,-78,-200,-200,-200,-86,-200,-200,-200,-200,-82,-200,-94,-91,-90,-200,-200,-200,-200,-200,-200,-95,-90,-90,-200,-200,-200
1526460295863,-33,-26,-35,-55,-75,-51,-54,-56,-50,-63,-47,-50,-57,-53,-52,-73,-66,-55,-57,-72,-62,-69,-72,-67,-71,-86,-72,-79,-75,-77,-76,-73,-74,-81,-74,-76,-79,-80,-74,-79,-80,-77,-67,-78,-69,-83,-80,-79,-73,-86,-86,-85,-82,-80,-87,-77,-87,-79,-88,-85,-91,-85,-77,-88,-83,-88,-90,-88,-86,-86,-96,-88,-93,-200,-87,-200,-95,-84,-200,-200,-200,-84,-80,-200,-200,-200,-83,-200,-93,-200,-200,-82,-200,-200,-91,-90,-200,-200,-200,-89,-200,-200,-94,-200,-90,-200,-200,-200
1526460298913,-36,-31,-37,-58,-72,-47,-57,-57,-50,-65,-63,-49,-65,-55,-56,-63,-200,-57,-55,-70,-60,-74,-76,-65,-72,-85,-72,-79,-73,-77,-77,-69,-74,-86,-73,-80,-78,-81,-70,-81,-79,-79,-65,-78,-80,-85,-80,-79,-73,-82,-200,-88,-78,-85,-87,-77,-88,-79,-88,-86,-91,-83,-84,-84,-84,-88,-93,-90,-88,-83,-96,-89,-90,-200,-87,-200,-95,-86,-200,-200,-200,-84,-81,-200,-200,-200,-83,-200,-93,-200,-200,-77,-200,-200,-91,-88,-200,-200,-200,-89,-200,-200,-94,-200,-200,-200,-200,-200
1526460301961,-37,-32,-36,-56,-69,-50,-53,-57,-50,-60,-49,-50,-57,-54,-56,-69,-61,-55,-57,-74,-64,-72,-75,-68,-72,-83,-74,-75,-73,-76,-76,-76,-74,-83,-73,-80,-80,-78,-73,-79,-80,-76,-66,-80,-78,-88,-80,-82,-73,-82,-200,-83,-83,-83,-84,-80,-89,-80,-88,-85,-200,-83,-83,-84,-84,-90,-93,-90,-88,-85,-200,-89,-90,-200,-87,-91,-200,-86,-200,-200,-200,-200,-80,-200,-83,-200,-84,-200,-94,-200,-200,-78,-200,-200,-200,-92,-200,-200,-200,-89,-89,-200,-94,-200,-200,-95,-200,-200
1526460305015,-36,-27,-36,-65,-71,-48,-53,-56,-49,-62,-48,-48,-56,-55,-57,-66,-62,-55,-58,-72,-65,-74,-74,-65,-69,-84,-68,-79,-73,-74,-77,-73,-70,-84,-78,-77,-80,-80,-67,-81,-80,-75,-67,-76,-72,-90,-81,-78,-79,-82,-200,-84,-80,-84,-85,-79,-89,-79,-90,-85,-200,-84,-83,-83,-85,-89,-93,-90,-86,-85,-200,-89,-90,-96,-87,-89,-95,-86,-200,-200,-200,-200,-78,-83,-83,-200,-84,-200,-94,-200,-200,-79,-200,-96,-95,-90,-200,-200,-200,-93,-89,-200,-96,-200,-200,-95,-200,-200
1526460308069,-37,-33,-31,-62,-77,-48,-58,-53,-49,-63,-62,-47,-57,-56,-58,-75,-66,-55,-57,-72,-62,-72,-71,-65,-70,-83,-70,-82,-73,-74,-77,-69,-71,-84,-76,-81,-83,-80,-73,-80,-80,-78,-67,-77,-70,-91,-81,-78,-79,-200,-80,-84,-79,-84,-85,-79,-89,-79,-90,-86,-86,-84,-79,-84,-85,-88,-200,-89,-86,-85,-93,-88,-90,-96,-87,-90,-95,-200,-200,-200,-200,-200,-77,-83,-83,-200,-84,-200,-93,-200,-200,-78,-200,-94,-95,-90,-86,-200,-200,-83,-89,-200,-96,-200,-200,-95,-82,-200
1526460311127,-38,-32,-36,-61,-75,-49,-59,-56,-50,-63,-62,-47,-57,-54,-59,-66,-66,-54,-56,-70,-63,-67,-72,-63,-73,-85,-67,-85,-76,-74,-77,-72,-72,-84,-75,-81,-83,-81,-66,-78,-82,-81,-64,-77,-78,-91,-82,-80,-79,-200,-80,-86,-79,-82,-85,-79,-89,-85,-90,-87,-93,-85,-82,-87,-85,-88,-94,-89,-86,-200,-92,-88,-91,-96,-87,-90,-95,-200,-200,-200,-200,-77,-78,-83,-200,-200,-200,-200,-92,-200,-200,-78,-200,-94,-94,-90,-86,-200,-200,-83,-200,-200,-96,-200,-200,-200,-82,-200
1526460314186,-38,-33,-39,-55,-81,-40,-58,-52,-50,-61,-62,-47,-58,-53,-60,-66,-60,-55,-61,-70,-63,-66,-72,-62,-75,-81,-67,-85,-76,-73,-77,-69,-75,-88,-77,-82,-80,-83,-75,-79,-82,-77,-63,-75,-73,-91,-82,-83,-200,-200,-75,-86,-75,-82,-85,-81,-92,-85,-75,-86,-80,-85,-79,-65,-87,-88,-92,-88,-88,-83,-93,-89,-89,-96,-87,-89,-200,-90,-200,-200,-200,-79,-78,-80,-86,-200,-87,-200,-96,-200,-200,-78,-95,-94,-94,-91,-86,-200,-200,-83,-200,-200,-96,-200,-200,-200,-82,-95
1526460317242,-39,-31,-42,-53,-77,-47,-56,-57,-50,-62,-62,-45,-53,-56,-58,-71,-60,-56,-55,-69,-62,-66,-75,-61,-73,-77,-66,-84,-76,-69,-77,-70,-70,-86,-76,-80,-80,-80,-75,-79,-73,-75,-63,-75,-74,-90,-82,-81,-200,-200,-81,-86,-76,-82,-88,-81,-91,-85,-75,-83,-80,-81,-79,-79,-89,-88,-90,-88,-82,-82,-89,-91,-89,-93,-87,-89,-200,-90,-200,-200,-200,-79,-78,-83,-86,-200,-87,-200,-96,-200,-200,-77,-95,-200,-98,-90,-200,-200,-94,-200,-200,-200,-96,-200,-200,-200,-82,-95
1526460320294,-37,-33,-33,-58,-77,-47,-58,-55,-51,-63,-63,-46,-53,-54,-57,-65,-62,-53,-58,-72,-61,-74,-69,-63,-68,-83,-64,-79,-200,-76,-77,-70,-77,-86,-73,-82,-83,-78,-74,-79,-73,-80,-64,-81,-73,-89,-83,-83,-80,-200,-81,-84,-74,-83,-86,-78,-87,-200,-75,-86,-80,-86,-79,-82,-86,-88,-93,-88,-82,-84,-95,-89,-89,-93,-200,-88,-200,-90,-200,-200,-200,-79,-78,-80,-85,-200,-84,-200,-94,-200,-200,-78,-95,-200,-92,-91,-200,-200,-94,-200,-200,-200,-96,-200,-200,-200,-82,-95
1526460323343,-39,-30,-38,-50,-79,-47,-58,-56,-51,-63,-58,-48,-57,-54,-60,-71,-60,-56,-54,-72,-60,-63,-77,-64,-72,-79,-70,-78,-71,-77,-78,-70,-74,-86,-79,-77,-80,-78,-76,-86,-73,-75,-66,-76,-82,-92,-83,-81,-80,-83,-81,-84,-77,-80,-89,-80,-89,-200,-84,-86,-91,-83,-79,-81,-89,-88,-92,-92,-89,-85,-88,-89,-200,-93,-200,-88,-200,-200,-200,-200,-200,-200,-77,-78,-85,-200,-90,-200,-97,-200,-200,-78,-93,-200,-92,-93,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-98
