,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,DLINK_D00E98,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526459474347,-35,-49,-69,-36,-56,-55,-43,-59,-53,-58,-49,-63,-55,-64,-49,-59,-74,-62,-66,-66,-68,-83,-77,-64,-80,-74,-61,-77,-64,-74,-76,-76,-79,-80,-73,-68,-72,-86,-80,-87,-200,-82,-90,-85,-67,-80,-80,-77,-85,-81,-82,-200,-85,-79,-86,-83,-80,-87,-87,-89,-85,-91,-84,-200,-200,-75,-86,-85,-86,-74,-90,-93,-96,-200,-91,-91,-200,-200,-89,-200,-93,-97,-88,-200,-200,-200,-87,-200,-200,-200,-90,-94,-90,-200,-91,-200,-94,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200
1526459477395,-33,-43,-66,-44,-55,-57,-46,-55,-58,-58,-47,-62,-56,-61,-56,-59,-74,-61,-66,-61,-71,-82,-75,-65,-80,-76,-66,-75,-65,-71,-74,-76,-75,-82,-79,-67,-72,-81,-80,-90,-200,-82,-90,-200,-58,-82,-80,-77,-83,-80,-81,-200,-85,-77,-86,-83,-85,-87,-85,-89,-87,-91,-80,-200,-200,-79,-85,-82,-86,-76,-94,-93,-96,-200,-89,-91,-200,-200,-83,-200,-200,-98,-91,-200,-200,-200,-87,-200,-200,-200,-90,-94,-90,-200,-91,-200,-200,-200,-200,-200,-200,-94,-92,-200,-200,-200,-200,-200
1526459480446,-34,-49,-59,-35,-55,-53,-47,-57,-57,-54,-51,-57,-53,-57,-53,-62,-61,-62,-65,-61,-69,-80,-75,-64,-81,-78,-74,-78,-65,-71,-78,-73,-75,-82,-73,-67,-73,-84,-79,-90,-200,-87,-92,-200,-61,-79,-86,-77,-83,-81,-89,-200,-84,-81,-89,-85,-81,-84,-85,-200,-88,-95,-80,-200,-200,-79,-82,-80,-88,-75,-94,-92,-200,-200,-89,-89,-200,-200,-86,-200,-200,-98,-93,-200,-96,-77,-84,-79,-200,-200,-90,-94,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-96,-200,-200,-200,-200
1526459483502,-33,-46,-68,-38,-56,-53,-43,-56,-53,-55,-49,-65,-53,-62,-49,-58,-63,-60,-65,-64,-67,-84,-75,-66,-81,-77,-70,-77,-65,-72,-78,-75,-81,-83,-76,-71,-74,-83,-77,-90,-200,-87,-92,-92,-61,-86,-86,-66,-83,-83,-82,-75,-84,-82,-89,-82,-85,-85,-85,-200,-87,-95,-83,-200,-200,-79,-83,-83,-85,-78,-94,-94,-93,-87,-89,-91,-200,-200,-84,-200,-200,-97,-93,-200,-96,-78,-84,-79,-200,-200,-93,-93,-91,-200,-200,-97,-200,-200,-95,-200,-200,-200,-92,-96,-200,-200,-200,-200
1526459486555,-36,-49,-68,-36,-54,-56,-47,-56,-63,-56,-50,-62,-56,-64,-50,-57,-68,-59,-66,-68,-68,-82,-76,-65,-82,-77,-74,-77,-61,-68,-78,-74,-78,-81,-76,-70,-77,-83,-80,-200,-200,-87,-88,-92,-69,-81,-86,-66,-84,-83,-84,-75,-84,-79,-89,-84,-81,-83,-85,-90,-87,-90,-81,-200,-200,-79,-82,-84,-85,-75,-94,-95,-92,-87,-92,-74,-200,-200,-86,-200,-200,-97,-93,-200,-96,-78,-84,-87,-200,-200,-93,-94,-90,-200,-200,-97,-200,-200,-95,-200,-200,-200,-200,-96,-200,-200,-200,-200
1526459489613,-35,-49,-68,-44,-53,-58,-38,-58,-61,-55,-49,-63,-54,-64,-52,-62,-68,-61,-73,-68,-68,-81,-79,-52,-81,-76,-70,-77,-61,-73,-76,-72,-81,-84,-76,-66,-75,-81,-78,-200,-200,-82,-89,-92,-66,-82,-200,-66,-84,-79,-84,-75,-83,-80,-87,-85,-81,-84,-85,-90,-85,-73,-81,-200,-87,-72,-87,-77,-85,-78,-91,-95,-94,-91,-93,-74,-200,-200,-86,-200,-89,-97,-93,-200,-200,-65,-200,-86,-200,-200,-93,-95,-90,-200,-200,-97,-200,-98,-95,-200,-200,-94,-200,-200,-200,-200,-200,-200
1526459492667,-35,-46,-67,-46,-55,-54,-48,-58,-62,-56,-53,-60,-55,-62,-52,-63,-73,-68,-67,-65,-69,-83,-78,-65,-80,-75,-54,-77,-61,-73,-73,-76,-82,-84,-77,-66,-75,-84,-78,-200,-200,-82,-89,-200,-68,-87,-87,-78,-84,-81,-82,-200,-83,-78,-89,-83,-81,-91,-86,-90,-84,-73,-82,-200,-87,-72,-86,-77,-200,-77,-91,-95,-93,-92,-92,-74,-200,-200,-86,-200,-89,-200,-93,-200,-200,-65,-85,-86,-200,-200,-90,-94,-90,-200,-200,-200,-200,-98,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200
1526459495724,-35,-50,-65,-36,-56,-58,-47,-49,-58,-56,-51,-63,-56,-63,-53,-61,-72,-63,-74,-61,-69,-83,-78,-64,-83,-75,-72,-80,-200,-72,-75,-74,-79,-80,-74,-68,-77,-80,-78,-84,-200,-82,-89,-83,-70,-85,-82,-78,-84,-82,-86,-77,-84,-80,-90,-84,-81,-82,-86,-200,-89,-73,-82,-200,-87,-72,-89,-81,-89,-77,-91,-94,-93,-92,-92,-91,-200,-200,-90,-93,-87,-95,-91,-200,-200,-65,-85,-87,-200,-200,-90,-94,-90,-200,-200,-98,-200,-98,-200,-200,-200,-94,-200,-200,-96,-200,-200,-200
1526459498769,-34,-48,-60,-34,-53,-58,-47,-49,-58,-55,-50,-64,-56,-61,-52,-61,-68,-61,-66,-66,-68,-80,-75,-51,-79,-77,-72,-78,-200,-74,-66,-75,-77,-83,-72,-69,-73,-75,-79,-84,-200,-85,-91,-83,-67,-79,-82,-76,-200,-80,-88,-77,-81,-80,-90,-84,-82,-82,-86,-85,-85,-200,-82,-200,-200,-200,-83,-79,-85,-76,-95,-94,-93,-92,-92,-92,-200,-200,-90,-93,-87,-97,-91,-200,-200,-200,-85,-87,-200,-200,-92,-94,-90,-200,-200,-98,-200,-200,-200,-200,-200,-94,-200,-200,-96,-91,-200,-200
1526459501825,-42,-42,-59,-43,-55,-59,-49,-49,-52,-54,-50,-57,-59,-65,-56,-57,-79,-64,-74,-61,-70,-81,-77,-64,-79,-74,-73,-86,-83,-75,-73,-76,-82,-83,-76,-67,-73,-80,-78,-83,-200,-81,-86,-83,-70,-79,-82,-78,-200,-79,-85,-77,-88,-77,-89,-89,-82,-82,-200,-85,-86,-88,-200,-200,-85,-79,-89,-79,-85,-76,-88,-94,-200,-94,-92,-92,-200,-200,-90,-93,-75,-93,-91,-200,-200,-200,-85,-81,-200,-200,-92,-93,-90,-200,-200,-98,-200,-200,-200,-200,-200,-94,-90,-200,-96,-91,-200,-200
1526459504881,-39,-43,-60,-37,-57,-58,-41,-64,-65,-55,-51,-59,-55,-62,-54,-57,-70,-66,-72,-61,-67,-84,-70,-61,-84,-75,-69,-80,-83,-75,-73,-79,-80,-81,-65,-66,-74,-83,-79,-83,-200,-88,-89,-83,-71,-85,-78,-78,-83,-80,-86,-68,-86,-77,-88,-93,-82,-84,-200,-85,-84,-88,-200,-200,-85,-79,-89,-80,-87,-75,-93,-93,-93,-91,-200,-88,-200,-200,-200,-200,-75,-93,-200,-200,-200,-80,-85,-89,-200,-200,-92,-92,-91,-200,-200,-200,-200,-77,-200,-200,-200,-200,-90,-200,-200,-91,-200,-200
1526459507940,-32,-43,-62,-43,-58,-52,-48,-56,-54,-54,-51,-60,-55,-59,-52,-57,-63,-63,-73,-65,-69,-83,-71,-67,-78,-79,-66,-73,-83,-75,-73,-72,-78,-82,-72,-67,-70,-74,-76,-87,-200,-85,-93,-86,-67,-78,-81,-73,-83,-70,-88,-68,-86,-77,-87,-83,-85,-81,-200,-200,-84,-92,-200,-200,-85,-80,-86,-82,-87,-74,-93,-93,-93,-88,-90,-88,-200,-200,-86,-200,-75,-93,-200,-200,-200,-72,-200,-89,-200,-200,-90,-93,-91,-200,-200,-200,-200,-77,-200,-200,-200,-200,-90,-200,-200,-93,-90,-96
