,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,whu2011309,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48
1526460366626,-44,-44,-34,-54,-37,-72,-42,-59,-47,-57,-63,-49,-57,-66,-64,-57,-67,-75,-57,-60,-82,-59,-73,-72,-56,-73,-80,-75,-80,-200,-60,-85,-66,-66,-67,-78,-74,-54,-83,-88,-87,-82,-68,-88,-79,-79,-82,-76,-88,-71,-76,-84,-71,-200,-83,-93,-90,-82,-89,-93,-76,-84,-87,-93,-200,-83,-82,-200,-200,-89,-85,-83,-73,-91,-200,-86,-85,-200,-93,-91,-94,-90,-95,-200,-95,-73,-90,-200,-200,-200,-200,-200,-91,-200,-200,-200,-91,-200,-97,-200,-87,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526460369677,-39,-41,-34,-54,-39,-66,-43,-62,-47,-57,-61,-50,-60,-53,-65,-56,-65,-74,-54,-59,-81,-61,-71,-71,-67,-73,-76,-71,-80,-200,-61,-83,-66,-65,-66,-78,-65,-56,-83,-88,-87,-81,-76,-88,-79,-73,-77,-75,-93,-69,-75,-84,-70,-200,-83,-200,-89,-86,-90,-93,-200,-84,-87,-94,-200,-83,-200,-200,-200,-85,-86,-200,-72,-200,-200,-89,-85,-200,-93,-200,-200,-200,-95,-200,-92,-73,-90,-200,-200,-94,-200,-200,-91,-85,-200,-200,-91,-200,-200,-200,-87,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526460372725,-45,-41,-34,-57,-38,-66,-42,-68,-49,-57,-63,-48,-57,-70,-63,-57,-65,-76,-54,-63,-78,-66,-74,-71,-69,-78,-77,-71,-74,-200,-59,-83,-69,-66,-66,-75,-68,-57,-83,-85,-82,-82,-76,-86,-200,-73,-77,-74,-93,-68,-74,-84,-76,-89,-83,-200,-89,-87,-92,-93,-79,-85,-200,-94,-200,-83,-200,-86,-200,-84,-86,-83,-73,-91,-200,-89,-85,-200,-93,-200,-200,-200,-200,-200,-90,-74,-89,-200,-200,-96,-200,-200,-200,-85,-200,-200,-91,-200,-200,-200,-87,-94,-92,-200,-200,-200,-200,-200,-200,-200
1526460375786,-46,-42,-34,-57,-40,-63,-48,-66,-46,-57,-63,-50,-55,-68,-67,-56,-65,-75,-55,-62,-80,-61,-74,-72,-63,-53,-77,-74,-76,-200,-63,-80,-66,-64,-67,-76,-74,-57,-83,-85,-82,-82,-76,-85,-84,-73,-81,-74,-89,-68,-74,-93,-75,-89,-77,-200,-89,-84,-95,-200,-78,-86,-87,-91,-200,-82,-86,-89,-86,-85,-88,-82,-64,-91,-200,-86,-84,-200,-200,-96,-200,-92,-200,-200,-93,-73,-89,-200,-200,-94,-200,-200,-200,-87,-200,-93,-200,-200,-200,-200,-200,-200,-92,-96,-98,-200,-200,-200,-200,-200
1526460378838,-40,-46,-33,-53,-39,-56,-41,-59,-47,-58,-64,-50,-57,-75,-61,-58,-200,-75,-58,-62,-80,-67,-72,-73,-67,-79,-79,-72,-80,-200,-60,-82,-68,-64,-68,-76,-68,-55,-82,-85,-84,-80,-200,-86,-84,-73,-86,-78,-89,-69,-73,-93,-75,-80,-83,-200,-200,-85,-92,-200,-80,-87,-88,-91,-200,-82,-86,-93,-86,-86,-84,-81,-73,-91,-97,-89,-84,-95,-91,-96,-200,-90,-97,-200,-89,-73,-89,-200,-200,-94,-200,-200,-200,-85,-200,-93,-200,-200,-200,-200,-200,-200,-92,-96,-98,-200,-200,-200,-200,-200
1526460381894,-40,-48,-34,-52,-40,-63,-40,-62,-49,-58,-63,-50,-57,-68,-64,-56,-200,-75,-61,-60,-76,-59,-71,-73,-67,-79,-76,-71,-79,-87,-58,-85,-66,-67,-68,-76,-67,-54,-82,-200,-84,-80,-200,-85,-83,-72,-85,-78,-89,-66,-75,-93,-75,-80,-83,-200,-89,-88,-93,-94,-80,-85,-84,-91,-200,-84,-86,-93,-86,-84,-84,-82,-73,-200,-97,-89,-86,-95,-91,-96,-200,-90,-97,-200,-90,-73,-89,-200,-200,-94,-200,-200,-89,-85,-200,-93,-86,-200,-200,-200,-200,-95,-200,-96,-98,-200,-200,-200,-200,-200
1526460384962,-45,-42,-35,-56,-39,-62,-50,-60,-48,-60,-63,-49,-60,-69,-65,-57,-200,-69,-55,-47,-83,-58,-71,-75,-66,-67,-78,-70,-75,-87,-60,-85,-66,-67,-67,-78,-68,-57,-81,-200,-76,-81,-200,-86,-83,-74,-78,-79,-200,-73,-74,-84,-74,-80,-83,-93,-88,-85,-88,-94,-80,-87,-94,-91,-94,-82,-200,-93,-200,-84,-84,-83,-72,-200,-97,-90,-85,-95,-91,-200,-200,-90,-97,-200,-92,-200,-89,-200,-200,-200,-200,-200,-89,-85,-200,-200,-86,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526460388016,-41,-46,-34,-53,-37,-62,-42,-60,-43,-61,-58,-50,-57,-69,-64,-60,-64,-75,-57,-58,-83,-61,-71,-75,-67,-77,-83,-72,-78,-87,-61,-85,-68,-65,-68,-79,-72,-59,-80,-86,-77,-81,-200,-89,-83,-74,-78,-76,-200,-71,-73,-87,-75,-85,-83,-93,-88,-81,-91,-94,-200,-87,-94,-200,-94,-81,-200,-200,-200,-89,-85,-83,-72,-200,-96,-90,-85,-200,-200,-200,-200,-200,-200,-200,-90,-76,-89,-200,-200,-94,-200,-200,-89,-85,-200,-200,-86,-200,-93,-200,-200,-95,-200,-200,-200,-90,-94,-95,-97,-200
1526460391074,-38,-43,-35,-52,-40,-62,-42,-59,-49,-64,-61,-49,-61,-74,-67,-61,-61,-73,-56,-59,-76,-61,-71,-71,-65,-68,-83,-69,-85,-89,-58,-82,-67,-56,-69,-79,-66,-55,-80,-84,-74,-80,-200,-87,-86,-74,-83,-74,-200,-69,-76,-87,-74,-85,-83,-93,-88,-85,-86,-200,-80,-87,-92,-95,-96,-86,-200,-90,-86,-81,-82,-84,-71,-200,-98,-90,-85,-200,-200,-92,-93,-91,-200,-200,-90,-75,-89,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-82,-200,-94,-200,-200,-84,-94,-95,-97,-200
1526460394131,-40,-46,-33,-52,-40,-66,-42,-67,-52,-60,-64,-51,-57,-68,-62,-58,-61,-74,-57,-60,-85,-58,-71,-74,-65,-75,-83,-69,-90,-89,-57,-83,-68,-67,-66,-78,-71,-56,-80,-84,-82,-81,-200,-87,-82,-74,-79,-79,-200,-72,-73,-87,-76,-85,-82,-200,-88,-84,-90,-200,-81,-85,-92,-93,-95,-82,-200,-90,-86,-90,-82,-81,-71,-200,-98,-89,-85,-200,-200,-92,-94,-91,-200,-200,-90,-75,-89,-200,-200,-94,-200,-200,-200,-85,-200,-200,-200,-200,-95,-200,-82,-200,-93,-91,-96,-84,-95,-95,-97,-94
1526460397193,-40,-43,-34,-54,-41,-66,-41,-67,-42,-61,-62,-51,-59,-71,-64,-58,-61,-75,-57,-62,-85,-63,-73,-71,-69,-72,-78,-73,-90,-89,-57,-83,-66,-68,-68,-78,-69,-57,-80,-77,-82,-81,-200,-88,-84,-80,-79,-74,-200,-72,-74,-91,-76,-200,-82,-200,-88,-85,-89,-92,-78,-86,-92,-95,-96,-81,-200,-92,-86,-84,-82,-82,-54,-200,-98,-89,-85,-200,-200,-92,-93,-91,-200,-200,-200,-74,-89,-200,-200,-93,-83,-200,-200,-84,-200,-200,-200,-200,-95,-200,-82,-200,-93,-91,-96,-84,-95,-200,-97,-94
1526460400248,-46,-35,-34,-52,-39,-62,-41,-59,-47,-61,-58,-51,-56,-71,-65,-52,-57,-80,-56,-61,-85,-62,-73,-70,-68,-75,-80,-75,-79,-200,-62,-82,-68,-63,-68,-77,-69,-56,-78,-88,-82,-80,-200,-90,-84,-81,-78,-75,-91,-73,-77,-91,-74,-200,-82,-200,-200,-80,-89,-92,-78,-86,-92,-92,-96,-81,-200,-90,-200,-86,-200,-82,-71,-200,-97,-89,-84,-200,-200,-200,-93,-91,-200,-200,-90,-74,-89,-97,-200,-93,-83,-200,-200,-86,-200,-200,-89,-200,-95,-200,-89,-200,-93,-91,-96,-200,-95,-200,-200,-94
