,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526451800551,-200,-66,-86,-77,-61,-89,-90,-86,-81,-200,-81,-200,-200,-86,-84,-200,-200,-200,-200,-200,-90,-200,-82,-200,-200,-200,-200,-200,-200
1526451800713,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-96,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200
1526451800823,-200,-200,-87,-200,-200,-89,-200,-200,-200,-200,-200,-90,-200,-87,-86,-200,-200,-200,-84,-200,-90,-84,-83,-200,-200,-200,-200,-200,-200
1526451800973,-88,-66,-200,-80,-61,-87,-200,-200,-80,-88,-83,-200,-200,-86,-200,-200,-200,-200,-200,-94,-88,-200,-200,-200,-102,-200,-200,-200,-200
1526451806465,-84,-66,-200,-89,-56,-200,-200,-200,-80,-88,-200,-89,-200,-200,-86,-95,-200,-200,-200,-92,-200,-200,-200,-200,-97,-200,-200,-200,-200
1526451810649,-200,-67,-200,-76,-56,-200,-200,-200,-80,-200,-200,-200,-200,-200,-86,-200,-200,-200,-82,-92,-86,-200,-200,-200,-200,-200,-92,-200,-200
1526451810751,-84,-200,-200,-200,-57,-90,-90,-200,-79,-200,-200,-89,-200,-200,-88,-200,-200,-200,-82,-91,-200,-200,-200,-200,-96,-200,-200,-200,-200
1526451810897,-200,-200,-86,-200,-200,-200,-200,-86,-79,-200,-200,-200,-82,-200,-86,-200,-96,-200,-200,-94,-90,-200,-81,-200,-200,-200,-200,-200,-200
1526451815663,-200,-200,-200,-77,-61,-200,-200,-86,-200,-200,-82,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451815759,-200,-68,-200,-200,-61,-88,-200,-86,-200,-200,-82,-90,-200,-85,-85,-200,-95,-200,-84,-200,-200,-85,-81,-200,-200,-200,-200,-200,-200
1526451815861,-200,-63,-200,-200,-200,-200,-92,-86,-82,-200,-200,-89,-200,-200,-85,-200,-96,-200,-83,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200
1526451820569,-89,-63,-200,-200,-58,-200,-200,-200,-200,-200,-83,-200,-81,-200,-200,-200,-200,-200,-81,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526451820684,-88,-200,-200,-80,-58,-200,-88,-200,-200,-200,-200,-200,-81,-88,-200,-200,-96,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200
1526451820784,-89,-63,-200,-200,-58,-200,-200,-92,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451820894,-88,-200,-200,-200,-58,-200,-88,-91,-90,-92,-200,-200,-200,-88,-90,-200,-200,-200,-200,-92,-89,-78,-200,-200,-200,-200,-200,-200,-200
1526451825568,-85,-200,-200,-77,-56,-200,-200,-200,-77,-200,-200,-200,-77,-200,-200,-200,-200,-200,-79,-92,-85,-88,-200,-200,-200,-200,-200,-200,-200
1526451825662,-200,-200,-200,-200,-56,-200,-200,-200,-77,-88,-85,-200,-77,-200,-200,-200,-200,-200,-80,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526451825781,-200,-200,-200,-77,-56,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-96,-200,-200,-80,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526451825912,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-97,-200,-200,-200,-200
1526451830598,-89,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-105,-200,-200,-100,-200,-200,-200,-200,-95,-200,-200,-200,-200
1526451830792,-200,-62,-200,-84,-57,-200,-200,-85,-87,-91,-81,-200,-200,-87,-200,-200,-200,-200,-80,-90,-86,-78,-200,-200,-94,-200,-200,-200,-200
1526451830920,-86,-200,-89,-83,-58,-92,-200,-86,-88,-200,-200,-200,-200,-89,-200,-103,-200,-200,-200,-90,-88,-200,-200,-200,-95,-200,-200,-200,-200
1526451831046,-86,-62,-200,-200,-58,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-95,-200,-80,-91,-86,-200,-200,-200,-200,-200,-200,-100,-97
1526451835556,-200,-75,-200,-200,-56,-200,-200,-92,-200,-200,-83,-200,-200,-200,-89,-200,-200,-200,-77,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451835643,-200,-200,-200,-200,-56,-200,-90,-200,-79,-200,-83,-200,-78,-200,-89,-200,-200,-200,-78,-91,-200,-200,-200,-200,-200,-88,-200,-200,-200
1526451835750,-84,-74,-200,-200,-56,-200,-200,-200,-200,-200,-83,-200,-200,-200,-89,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200
1526451835892,-85,-74,-200,-200,-59,-200,-200,-200,-79,-200,-83,-200,-77,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451840633,-200,-66,-200,-80,-59,-200,-200,-200,-81,-200,-81,-200,-85,-200,-80,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451840737,-200,-66,-200,-79,-59,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526451840837,-200,-66,-200,-78,-59,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451840981,-200,-62,-200,-200,-59,-200,-200,-200,-200,-200,-200,-200,-82,-88,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526451845664,-200,-62,-200,-83,-59,-200,-200,-86,-200,-200,-200,-200,-82,-88,-82,-200,-200,-200,-81,-200,-200,-78,-200,-200,-95,-200,-200,-200,-200
1526451845758,-87,-200,-200,-82,-59,-200,-89,-86,-200,-90,-82,-200,-80,-88,-82,-200,-200,-200,-80,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526451845870,-87,-200,-200,-200,-200,-200,-89,-200,-86,-200,-200,-200,-200,-87,-200,-200,-200,-91,-80,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200
1526451845980,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-92,-81,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200
