,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526448642681,-29,-43,-47,-55,-57,-63,-61,-56,-66,-71,-62,-68,-60,-68,-73,-77,-72,-200,-74,-74,-76,-78,-75,-79,-76,-77,-79,-200,-83,-200,-200,-83,-78,-200,-87,-91,-78,-200,-84,-200,-85,-86,-86,-82,-89,-92,-200,-200,-200,-200,-200,-200
1526448645711,-29,-43,-47,-55,-57,-63,-61,-56,-66,-71,-62,-68,-60,-68,-73,-77,-72,-200,-74,-74,-76,-78,-75,-79,-76,-77,-79,-200,-83,-200,-200,-83,-78,-200,-87,-91,-78,-200,-84,-200,-85,-86,-86,-82,-89,-92,-200,-200,-200,-200,-200,-200
1526448648751,-29,-43,-47,-55,-57,-63,-61,-56,-66,-71,-62,-68,-60,-68,-73,-77,-72,-200,-74,-74,-76,-78,-75,-79,-76,-77,-79,-200,-83,-200,-200,-83,-78,-200,-87,-91,-78,-200,-84,-200,-85,-86,-86,-82,-89,-92,-200,-200,-200,-200,-200,-200
1526448651798,-29,-49,-46,-53,-57,-64,-61,-59,-65,-71,-61,-68,-62,-200,-75,-73,-69,-78,-73,-70,-76,-76,-76,-78,-78,-77,-79,-200,-81,-200,-200,-80,-76,-200,-85,-200,-200,-89,-85,-200,-200,-200,-84,-82,-200,-89,-87,-88,-200,-200,-200,-200
1526448654841,-31,-47,-46,-54,-57,-64,-64,-59,-65,-71,-58,-66,-65,-200,-75,-74,-70,-80,-69,-70,-76,-77,-76,-75,-78,-80,-77,-200,-81,-200,-200,-77,-78,-200,-86,-200,-200,-89,-85,-200,-200,-200,-84,-82,-200,-89,-87,-88,-85,-200,-200,-200
1526448657856,-31,-47,-46,-54,-57,-64,-64,-59,-65,-71,-58,-66,-65,-200,-75,-74,-70,-80,-69,-70,-76,-77,-76,-75,-78,-80,-77,-200,-81,-200,-200,-77,-78,-200,-86,-200,-200,-89,-85,-200,-200,-200,-84,-82,-200,-89,-87,-88,-85,-200,-200,-200
1526448660898,-31,-47,-46,-54,-57,-64,-64,-59,-65,-71,-58,-66,-65,-200,-75,-74,-70,-80,-69,-70,-76,-77,-76,-75,-78,-80,-77,-200,-81,-200,-200,-77,-78,-200,-86,-200,-200,-89,-85,-200,-200,-200,-84,-82,-200,-89,-87,-88,-85,-200,-200,-200
1526448663937,-30,-42,-47,-54,-58,-62,-60,-57,-65,-68,-67,-66,-71,-200,-72,-74,-71,-84,-70,-75,-75,-77,-74,-73,-200,-80,-79,-200,-200,-200,-200,-83,-79,-86,-88,-200,-80,-200,-83,-200,-200,-200,-200,-80,-200,-200,-200,-200,-85,-87,-87,-200
1526448666980,-30,-49,-52,-54,-57,-63,-60,-59,-64,-69,-67,-68,-63,-68,-70,-74,-71,-85,-70,-75,-76,-76,-74,-75,-76,-77,-79,-200,-200,-87,-200,-82,-79,-86,-88,-200,-80,-200,-83,-200,-200,-200,-89,-82,-200,-200,-200,-200,-87,-87,-85,-200
1526448670016,-30,-49,-52,-54,-57,-63,-60,-59,-64,-69,-67,-68,-63,-68,-70,-74,-71,-85,-70,-75,-76,-76,-74,-75,-76,-77,-79,-200,-200,-87,-200,-82,-79,-86,-88,-200,-80,-200,-83,-200,-200,-200,-89,-82,-200,-200,-200,-200,-87,-87,-85,-200
1526448673061,-30,-49,-52,-54,-57,-63,-60,-59,-64,-69,-67,-68,-63,-68,-70,-74,-71,-85,-70,-75,-76,-76,-74,-75,-76,-77,-79,-200,-200,-87,-200,-82,-79,-86,-88,-200,-80,-200,-83,-200,-200,-200,-89,-82,-200,-200,-200,-200,-87,-87,-85,-200
1526448676098,-28,-43,-48,-55,-58,-63,-62,-59,-61,-70,-63,-65,-65,-68,-71,-75,-74,-78,-200,-70,-78,-78,-76,-73,-76,-79,-80,-200,-83,-87,-200,-82,-82,-200,-87,-200,-78,-200,-84,-200,-200,-200,-85,-82,-200,-200,-87,-90,-87,-85,-86,-88
