,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,WHU-2018,DLINK_D07F10,TP-LINK_1398,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526456544393,-50,-38,-48,-53,-60,-60,-62,-52,-45,-66,-68,-72,-74,-74,-81,-65,-61,-70,-81,-200,-61,-69,-70,-71,-87,-63,-63,-67,-88,-77,-83,-86,-88,-72,-77,-200,-200,-83,-78,-89,-79,-82,-200,-81,-77,-89,-75,-83,-200,-89,-85,-84,-85,-80,-200,-87,-200,-200,-82,-87,-78,-83,-200,-200,-87,-200,-200,-88,-91,-87,-200,-84,-200,-200,-200,-92,-87,-91,-84,-200,-91,-81,-92,-200,-200,-200,-64,-69,-85,-200,-84,-86,-68,-85,-90,-200,-200,-87,-90,-200,-87,-92,-82,-89,-200,-200
1526456547432,-42,-38,-48,-53,-57,-61,-63,-54,-45,-66,-69,-72,-73,-73,-81,-66,-66,-70,-80,-200,-61,-69,-67,-71,-87,-58,-64,-67,-88,-77,-83,-86,-200,-71,-83,-200,-200,-83,-80,-87,-72,-82,-200,-80,-77,-89,-75,-82,-87,-86,-78,-84,-86,-80,-89,-87,-82,-200,-82,-87,-79,-85,-200,-200,-87,-200,-88,-87,-89,-87,-200,-84,-200,-200,-200,-90,-87,-87,-82,-200,-91,-84,-92,-200,-200,-200,-64,-73,-77,-90,-83,-86,-68,-81,-200,-77,-200,-86,-89,-200,-86,-92,-82,-89,-200,-200
1526456550478,-43,-15,-47,-53,-60,-60,-65,-53,-46,-66,-68,-72,-72,-75,-81,-65,-61,-69,-79,-200,-61,-69,-70,-72,-80,-58,-66,-67,-200,-76,-83,-84,-200,-75,-84,-87,-200,-83,-80,-84,-76,-80,-200,-80,-76,-89,-75,-86,-87,-81,-77,-86,-86,-81,-89,-89,-82,-200,-82,-87,-78,-85,-200,-200,-89,-200,-87,-87,-89,-89,-89,-84,-200,-91,-200,-91,-87,-87,-82,-200,-91,-84,-92,-200,-200,-200,-64,-73,-77,-89,-85,-86,-68,-81,-200,-77,-90,-86,-89,-200,-86,-90,-82,-89,-200,-200
1526456553516,-42,-36,-48,-52,-58,-60,-64,-53,-45,-70,-67,-72,-74,-75,-81,-65,-62,-70,-79,-200,-61,-200,-70,-71,-86,-58,-62,-67,-200,-76,-83,-84,-200,-75,-84,-87,-200,-84,-82,-88,-76,-84,-82,-80,-78,-89,-75,-84,-87,-81,-77,-86,-78,-81,-89,-88,-82,-200,-82,-87,-77,-93,-200,-200,-89,-200,-87,-87,-89,-86,-89,-84,-200,-91,-200,-91,-200,-87,-87,-200,-200,-84,-92,-200,-93,-200,-66,-73,-77,-89,-85,-200,-69,-83,-200,-77,-90,-88,-89,-200,-87,-90,-200,-200,-90,-200
1526456556550,-42,-37,-48,-53,-55,-62,-61,-53,-45,-66,-67,-200,-71,-75,-82,-66,-63,-69,-81,-200,-59,-200,-71,-73,-86,-58,-64,-66,-200,-76,-82,-83,-200,-74,-84,-87,-200,-85,-82,-87,-76,-84,-82,-80,-78,-89,-79,-84,-89,-83,-77,-87,-79,-84,-89,-88,-82,-200,-80,-200,-77,-93,-200,-200,-91,-200,-87,-90,-89,-86,-89,-84,-200,-91,-200,-91,-83,-87,-87,-200,-200,-81,-200,-200,-93,-200,-69,-70,-78,-85,-85,-83,-70,-83,-200,-77,-90,-88,-90,-200,-87,-90,-200,-200,-89,-89
1526456559586,-41,-36,-48,-53,-68,-61,-61,-53,-45,-66,-66,-200,-73,-75,-82,-65,-64,-69,-80,-200,-61,-71,-72,-70,-86,-84,-62,-67,-200,-76,-82,-84,-200,-74,-86,-87,-200,-85,-82,-82,-77,-80,-82,-80,-78,-88,-79,-84,-89,-87,-79,-83,-79,-84,-92,-88,-200,-200,-88,-200,-78,-84,-200,-200,-91,-200,-87,-88,-89,-86,-89,-84,-200,-92,-200,-91,-83,-200,-86,-200,-200,-83,-200,-200,-93,-200,-66,-70,-78,-85,-92,-84,-73,-77,-200,-200,-90,-88,-90,-200,-87,-90,-200,-200,-89,-90
1526456562619,-50,-37,-47,-54,-57,-60,-64,-53,-45,-66,-67,-200,-73,-74,-81,-66,-59,-70,-81,-200,-61,-71,-68,-74,-81,-59,-67,-67,-84,-76,-84,-81,-200,-74,-78,-90,-200,-81,-80,-85,-77,-79,-84,-80,-78,-88,-73,-84,-89,-82,-77,-84,-83,-83,-92,-88,-200,-200,-80,-200,-78,-88,-200,-200,-89,-200,-200,-88,-200,-88,-200,-84,-200,-92,-200,-200,-83,-200,-86,-200,-200,-83,-200,-200,-89,-200,-66,-71,-78,-85,-92,-84,-73,-82,-200,-200,-200,-89,-90,-200,-87,-200,-200,-200,-87,-90
1526456565665,-49,-36,-48,-52,-57,-61,-63,-51,-44,-72,-74,-200,-73,-74,-82,-66,-65,-70,-80,-200,-61,-71,-70,-73,-86,-59,-63,-67,-84,-76,-84,-83,-200,-74,-82,-86,-200,-85,-80,-85,-69,-80,-84,-82,-77,-88,-73,-87,-89,-82,-76,-84,-78,-83,-92,-88,-200,-200,-81,-89,-78,-90,-200,-200,-88,-200,-200,-90,-200,-88,-91,-84,-200,-92,-200,-200,-86,-200,-83,-200,-200,-84,-200,-200,-89,-200,-66,-71,-78,-85,-84,-83,-67,-80,-200,-200,-200,-87,-87,-200,-87,-200,-200,-200,-88,-90
1526456568712,-42,-37,-48,-56,-58,-61,-59,-58,-43,-71,-67,-70,-73,-74,-83,-63,-59,-70,-81,-200,-63,-73,-70,-72,-81,-60,-64,-67,-84,-76,-84,-83,-200,-74,-86,-91,-200,-88,-80,-85,-76,-81,-84,-82,-79,-87,-79,-87,-89,-83,-77,-87,-78,-83,-92,-89,-200,-200,-81,-89,-78,-85,-200,-200,-87,-200,-200,-86,-200,-86,-90,-200,-200,-92,-200,-91,-87,-90,-83,-200,-200,-82,-200,-200,-89,-200,-66,-71,-200,-85,-85,-84,-69,-80,-200,-75,-200,-87,-91,-200,-200,-200,-200,-200,-88,-89
1526456571760,-42,-37,-48,-54,-58,-61,-60,-52,-46,-70,-69,-70,-73,-75,-83,-67,-65,-70,-81,-200,-62,-73,-71,-73,-81,-62,-62,-67,-88,-76,-83,-83,-200,-72,-78,-88,-200,-69,-77,-83,-77,-81,-84,-81,-81,-87,-79,-82,-89,-80,-79,-89,-86,-80,-200,-87,-89,-200,-80,-89,-77,-90,-200,-200,-88,-200,-89,-88,-200,-89,-90,-200,-200,-92,-200,-91,-87,-90,-83,-200,-200,-82,-200,-200,-91,-200,-66,-70,-76,-85,-84,-87,-74,-80,-200,-77,-200,-87,-91,-200,-87,-200,-200,-200,-86,-89
1526456574798,-43,-36,-48,-62,-60,-59,-63,-58,-45,-72,-66,-70,-70,-75,-81,-67,-73,-69,-79,-200,-70,-73,-69,-73,-81,-60,-65,-67,-88,-76,-83,-83,-200,-73,-78,-88,-200,-86,-77,-89,-77,-81,-200,-81,-87,-87,-76,-85,-200,-85,-79,-89,-86,-80,-200,-87,-89,-200,-80,-92,-76,-85,-200,-200,-91,-200,-89,-88,-200,-89,-90,-200,-200,-92,-200,-91,-85,-90,-87,-200,-200,-84,-200,-200,-91,-200,-63,-71,-76,-85,-84,-87,-68,-80,-200,-77,-200,-87,-91,-200,-86,-200,-84,-200,-87,-89
1526456577835,-47,-37,-48,-51,-58,-59,-63,-51,-44,-66,-64,-70,-69,-74,-81,-65,-63,-69,-79,-200,-62,-66,-70,-73,-83,-57,-65,-67,-88,-74,-82,-84,-200,-73,-79,-88,-200,-83,-77,-83,-77,-81,-87,-81,-78,-87,-71,-84,-200,-86,-77,-89,-84,-83,-200,-87,-89,-200,-84,-92,-77,-85,-200,-200,-91,-200,-85,-88,-200,-90,-90,-200,-200,-94,-200,-92,-84,-91,-82,-200,-200,-84,-200,-200,-93,-200,-66,-71,-76,-200,-85,-87,-81,-81,-89,-77,-200,-87,-91,-200,-86,-90,-84,-200,-87,-89
