,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526457383239,-37,-35,-37,-48,-41,-48,-60,-55,-50,-50,-54,-58,-56,-62,-65,-62,-65,-71,-69,-68,-67,-69,-74,-69,-85,-77,-84,-78,-70,-81,-77,-72,-76,-82,-76,-69,-79,-77,-84,-83,-70,-87,-82,-200,-79,-85,-83,-78,-85,-85,-200,-80,-82,-85,-88,-200,-90,-85,-84,-77,-200,-85,-200,-86,-85,-91,-200,-90,-200,-88,-200,-87,-88,-200,-200,-91,-200,-84,-86,-87,-68,-200,-200,-91,-77,-76,-80,-89,-91,-91,-77,-89,-89,-90,-77,-87,-81,-87,-90,-200,-200,-200,-200,-200,-200
1526457386264,-37,-35,-36,-45,-41,-48,-59,-54,-50,-52,-59,-60,-56,-63,-67,-65,-66,-71,-69,-70,-69,-69,-74,-69,-87,-72,-84,-79,-65,-80,-77,-72,-76,-80,-76,-74,-70,-77,-80,-80,-74,-87,-80,-200,-81,-86,-83,-78,-83,-200,-200,-81,-83,-85,-87,-75,-90,-86,-85,-200,-200,-200,-200,-87,-87,-200,-200,-90,-200,-88,-200,-90,-90,-200,-200,-200,-200,-83,-86,-94,-80,-200,-200,-91,-89,-78,-80,-89,-91,-91,-200,-200,-86,-89,-200,-200,-81,-87,-90,-87,-200,-200,-200,-200,-200
1526457389297,-45,-15,-37,-40,-41,-48,-54,-55,-47,-50,-53,-59,-56,-63,-67,-64,-66,-78,-69,-70,-67,-69,-74,-69,-87,-75,-84,-80,-69,-82,-200,-72,-76,-80,-75,-70,-79,-77,-80,-83,-74,-87,-81,-82,-80,-90,-85,-78,-84,-77,-200,-80,-83,-200,-87,-75,-90,-84,-85,-77,-200,-200,-200,-86,-87,-200,-200,-200,-200,-88,-200,-88,-90,-200,-200,-200,-200,-84,-86,-94,-80,-200,-200,-91,-89,-78,-82,-89,-200,-91,-200,-200,-90,-89,-200,-200,-81,-87,-90,-87,-91,-200,-200,-200,-200
1526457392312,-36,-35,-37,-47,-41,-48,-55,-57,-48,-51,-55,-57,-57,-63,-65,-64,-66,-71,-68,-70,-67,-69,-73,-69,-88,-72,-84,-80,-71,-82,-200,-72,-73,-81,-74,-70,-79,-77,-80,-83,-74,-200,-82,-82,-81,-85,-83,-78,-84,-77,-90,-80,-82,-200,-87,-85,-90,-84,-85,-77,-200,-91,-89,-87,-86,-93,-81,-200,-200,-88,-200,-88,-90,-200,-200,-200,-200,-84,-86,-94,-79,-200,-200,-200,-89,-76,-82,-200,-90,-200,-200,-200,-90,-89,-200,-200,-200,-200,-90,-87,-91,-200,-200,-200,-200
1526457395357,-17,-39,-36,-53,-41,-48,-56,-55,-48,-50,-54,-59,-58,-66,-66,-64,-66,-71,-69,-68,-69,-68,-75,-69,-88,-68,-84,-88,-70,-81,-200,-71,-75,-81,-75,-82,-79,-77,-80,-83,-66,-200,-82,-82,-81,-85,-85,-78,-86,-79,-90,-81,-82,-200,-87,-76,-90,-85,-85,-77,-200,-91,-89,-90,-86,-93,-81,-90,-200,-89,-200,-86,-200,-200,-200,-200,-200,-85,-86,-94,-79,-200,-89,-91,-89,-76,-86,-200,-90,-92,-200,-87,-90,-89,-200,-200,-200,-200,-90,-87,-91,-200,-200,-200,-200
1526457398401,-36,-35,-39,-45,-41,-48,-59,-57,-51,-52,-59,-60,-61,-63,-65,-58,-70,-69,-69,-69,-71,-69,-75,-70,-88,-67,-200,-79,-69,-80,-76,-72,-73,-81,-75,-82,-78,-76,-81,-83,-74,-200,-68,-85,-79,-86,-82,-200,-86,-79,-90,-70,-82,-200,-89,-75,-90,-84,-85,-77,-200,-91,-89,-87,-86,-93,-81,-90,-200,-90,-200,-87,-200,-200,-200,-200,-200,-84,-86,-200,-79,-200,-89,-91,-77,-76,-86,-200,-90,-92,-200,-90,-90,-200,-200,-200,-200,-200,-90,-200,-91,-89,-200,-200,-200
1526457401446,-16,-39,-37,-47,-43,-48,-64,-55,-52,-52,-56,-61,-61,-63,-66,-58,-68,-71,-69,-70,-66,-69,-75,-69,-88,-70,-85,-79,-70,-82,-76,-72,-74,-82,-84,-82,-79,-77,-81,-83,-74,-89,-76,-85,-81,-87,-82,-200,-88,-79,-90,-70,-82,-200,-89,-75,-90,-84,-85,-76,-200,-91,-89,-87,-86,-93,-81,-90,-200,-90,-200,-87,-90,-200,-200,-200,-200,-84,-92,-200,-79,-200,-86,-91,-77,-76,-83,-200,-90,-92,-72,-90,-200,-200,-200,-200,-200,-200,-90,-200,-200,-89,-200,-200,-200
1526457404486,-41,-39,-37,-47,-39,-48,-56,-55,-50,-52,-61,-65,-56,-65,-66,-65,-74,-79,-69,-70,-67,-69,-75,-69,-88,-69,-83,-76,-72,-81,-75,-72,-74,-82,-81,-71,-79,-77,-80,-200,-72,-89,-83,-84,-80,-87,-92,-76,-83,-83,-93,-80,-200,-200,-89,-72,-89,-86,-85,-77,-200,-83,-200,-88,-86,-200,-200,-200,-200,-90,-200,-90,-90,-200,-200,-200,-85,-85,-92,-94,-200,-200,-86,-200,-80,-78,-83,-200,-92,-200,-72,-89,-88,-92,-81,-200,-200,-76,-200,-200,-200,-91,-91,-200,-200
1526457407543,-36,-34,-37,-47,-41,-48,-54,-55,-52,-54,-55,-59,-59,-62,-67,-65,-67,-70,-69,-55,-66,-69,-73,-70,-88,-68,-87,-78,-72,-82,-76,-72,-75,-82,-75,-71,-78,-77,-79,-83,-74,-89,-80,-84,-82,-84,-83,-76,-82,-83,-93,-80,-200,-200,-89,-72,-89,-85,-87,-77,-200,-83,-200,-86,-86,-200,-200,-200,-200,-88,-200,-89,-90,-200,-200,-200,-85,-84,-92,-94,-200,-200,-86,-200,-73,-77,-84,-200,-92,-200,-72,-89,-88,-92,-81,-200,-200,-76,-90,-200,-200,-91,-91,-200,-200
1526457410583,-40,-36,-46,-48,-39,-48,-55,-61,-57,-54,-58,-63,-64,-62,-67,-65,-67,-72,-69,-69,-68,-69,-67,-70,-89,-69,-87,-78,-69,-81,-78,-71,-75,-73,-73,-71,-79,-77,-79,-82,-74,-200,-83,-80,-86,-85,-83,-76,-82,-83,-89,-80,-200,-200,-89,-76,-92,-86,-85,-76,-200,-83,-200,-87,-86,-200,-200,-200,-200,-88,-200,-90,-200,-200,-200,-200,-85,-83,-92,-94,-81,-200,-200,-200,-73,-77,-84,-200,-89,-200,-76,-88,-90,-83,-81,-200,-200,-76,-90,-200,-200,-91,-91,-200,-200
1526457413603,-41,-38,-37,-46,-41,-48,-54,-50,-52,-48,-55,-59,-61,-62,-65,-63,-67,-76,-74,-68,-68,-72,-72,-70,-89,-72,-86,-80,-69,-81,-78,-73,-74,-80,-74,-71,-77,-77,-79,-82,-74,-200,-83,-80,-79,-85,-83,-200,-83,-200,-89,-80,-84,-200,-91,-76,-92,-86,-85,-76,-200,-83,-89,-87,-88,-200,-200,-200,-200,-88,-200,-90,-90,-200,-200,-200,-200,-83,-92,-94,-81,-200,-200,-200,-78,-78,-84,-200,-89,-200,-76,-88,-90,-83,-81,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526457416637,-35,-35,-36,-44,-42,-48,-55,-58,-51,-49,-58,-58,-59,-63,-67,-65,-64,-74,-68,-67,-70,-69,-77,-67,-89,-68,-78,-80,-69,-81,-78,-72,-76,-73,-70,-71,-79,-78,-79,-82,-73,-200,-80,-80,-79,-85,-82,-200,-85,-200,-89,-81,-84,-200,-91,-74,-92,-84,-86,-76,-200,-200,-89,-88,-88,-200,-200,-200,-200,-88,-200,-88,-90,-200,-200,-86,-85,-87,-85,-200,-81,-200,-200,-90,-78,-76,-83,-200,-89,-200,-79,-87,-90,-83,-200,-200,-200,-76,-90,-200,-200,-200,-200,-90,-92
