,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,TP-LINK_1398,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526457937716,-41,-47,-56,-58,-63,-63,-76,-73,-66,-63,-62,-73,-83,-74,-68,-73,-82,-72,-74,-83,-75,-82,-81,-75,-83,-83,-86,-91,-82,-86,-77,-83,-85,-200,-200,-90,-82,-79,-200,-80,-89,-81,-87,-85,-91,-200,-82,-86,-91,-89,-88,-82,-200,-89,-90,-89,-200,-83,-200,-85,-91,-89,-200,-200,-89,-200,-200,-86,-200,-90,-200,-91,-200,-90,-200,-80,-73,-84,-88,-91,-92,-200,-200
1526457940753,-42,-50,-56,-59,-63,-68,-72,-71,-77,-65,-64,-75,-78,-77,-65,-72,-82,-70,-75,-83,-75,-200,-81,-75,-90,-83,-85,-91,-78,-84,-80,-88,-82,-85,-200,-200,-82,-79,-200,-80,-90,-81,-87,-85,-91,-200,-82,-86,-91,-89,-88,-81,-200,-89,-90,-89,-200,-85,-91,-85,-91,-88,-95,-200,-89,-200,-83,-86,-200,-91,-90,-200,-200,-90,-90,-77,-73,-86,-88,-91,-92,-200,-200
1526457943794,-40,-48,-55,-62,-63,-66,-78,-72,-65,-64,-65,-72,-79,-77,-70,-72,-82,-69,-75,-83,-75,-200,-84,-81,-85,-83,-84,-91,-78,-87,-78,-88,-82,-85,-84,-85,-79,-79,-200,-79,-89,-81,-89,-85,-200,-200,-82,-86,-90,-85,-88,-79,-200,-89,-90,-90,-200,-82,-91,-84,-91,-88,-95,-200,-88,-88,-83,-85,-200,-91,-86,-200,-200,-90,-90,-77,-73,-84,-200,-91,-92,-200,-200
1526457946832,-41,-46,-56,-59,-66,-65,-74,-72,-66,-61,-66,-84,-79,-76,-70,-74,-81,-71,-75,-82,-78,-200,-84,-77,-88,-200,-84,-200,-86,-84,-83,-85,-84,-84,-84,-85,-86,-80,-200,-89,-91,-200,-88,-200,-91,-200,-81,-87,-90,-85,-88,-80,-200,-91,-89,-88,-200,-85,-89,-85,-200,-88,-91,-200,-88,-88,-83,-86,-200,-91,-88,-200,-200,-91,-90,-76,-200,-83,-84,-200,-200,-92,-200
1526457949861,-40,-48,-56,-59,-64,-65,-75,-72,-67,-62,-62,-77,-83,-78,-70,-73,-82,-69,-76,-82,-79,-200,-84,-88,-88,-200,-85,-200,-87,-84,-83,-85,-84,-84,-84,-85,-86,-79,-200,-79,-91,-200,-88,-90,-92,-200,-83,-87,-90,-85,-88,-80,-200,-91,-89,-90,-200,-84,-90,-89,-89,-88,-88,-200,-88,-88,-200,-87,-200,-91,-88,-200,-200,-92,-200,-76,-74,-83,-84,-200,-200,-92,-200
1526457952901,-40,-48,-56,-61,-64,-62,-73,-71,-65,-63,-66,-77,-83,-77,-71,-75,-82,-74,-76,-82,-78,-200,-83,-80,-85,-200,-85,-88,-80,-83,-83,-86,-83,-84,-85,-85,-86,-80,-200,-79,-91,-200,-87,-90,-92,-200,-79,-82,-200,-200,-88,-80,-200,-87,-93,-87,-200,-84,-89,-86,-89,-89,-89,-200,-87,-200,-200,-87,-200,-91,-88,-200,-200,-92,-200,-79,-74,-85,-83,-200,-200,-92,-200
1526457955943,-41,-47,-54,-57,-65,-66,-80,-71,-66,-63,-63,-75,-81,-76,-70,-74,-80,-71,-73,-82,-78,-200,-84,-86,-89,-86,-84,-88,-79,-83,-83,-85,-83,-84,-85,-85,-85,-79,-200,-76,-200,-82,-87,-87,-92,-200,-79,-87,-200,-200,-88,-80,-200,-87,-92,-89,-200,-82,-88,-89,-89,-89,-89,-200,-87,-200,-200,-89,-200,-91,-89,-200,-89,-89,-200,-79,-74,-85,-74,-90,-200,-92,-200
1526457958983,-40,-47,-57,-60,-64,-65,-75,-72,-67,-65,-63,-74,-84,-77,-69,-71,-83,-69,-74,-81,-78,-200,-84,-70,-89,-86,-84,-89,-84,-82,-200,-85,-88,-200,-85,-89,-83,-78,-200,-80,-200,-83,-87,-89,-91,-200,-79,-87,-90,-200,-88,-82,-200,-87,-92,-89,-200,-83,-88,-88,-92,-89,-86,-200,-82,-200,-200,-86,-200,-91,-89,-200,-90,-89,-200,-79,-74,-79,-82,-90,-200,-200,-87
1526457962023,-41,-46,-57,-62,-64,-67,-74,-74,-65,-62,-65,-76,-79,-77,-68,-71,-83,-71,-74,-82,-78,-79,-83,-70,-89,-86,-84,-89,-84,-86,-75,-85,-88,-200,-85,-89,-83,-79,-200,-80,-200,-83,-88,-89,-91,-200,-80,-87,-90,-85,-87,-81,-200,-87,-90,-89,-200,-83,-89,-88,-92,-88,-88,-87,-82,-87,-200,-85,-200,-200,-89,-200,-90,-89,-200,-79,-200,-82,-85,-90,-200,-200,-87
1526457965064,-41,-49,-63,-67,-64,-69,-75,-73,-61,-64,-73,-74,-79,-76,-71,-73,-83,-69,-77,-88,-76,-79,-83,-70,-89,-86,-84,-89,-84,-82,-79,-91,-90,-200,-200,-89,-86,-80,-200,-79,-200,-82,-88,-91,-91,-200,-87,-89,-93,-85,-90,-81,-200,-200,-90,-89,-200,-83,-91,-88,-92,-88,-88,-87,-92,-87,-95,-85,-200,-88,-89,-200,-90,-94,-200,-79,-200,-82,-85,-90,-200,-200,-87
1526457968095,-42,-46,-57,-60,-64,-67,-75,-73,-68,-63,-63,-74,-82,-77,-70,-72,-82,-72,-76,-82,-76,-80,-83,-83,-89,-86,-84,-90,-84,-80,-81,-91,-82,-200,-200,-89,-84,-78,-200,-81,-200,-81,-88,-89,-91,-200,-80,-87,-93,-89,-90,-82,-200,-200,-90,-89,-200,-83,-91,-88,-91,-88,-88,-87,-81,-87,-95,-86,-200,-89,-200,-200,-90,-91,-200,-79,-200,-83,-85,-88,-200,-200,-87
1526457971134,-43,-48,-56,-60,-63,-65,-75,-75,-61,-64,-63,-76,-80,-77,-70,-71,-83,-72,-77,-82,-76,-80,-85,-83,-89,-200,-84,-90,-78,-80,-74,-85,-85,-200,-200,-200,-84,-78,-200,-79,-87,-81,-85,-88,-91,-200,-80,-83,-91,-89,-89,-80,-200,-87,-88,-88,-200,-82,-91,-88,-89,-88,-88,-87,-81,-87,-95,-85,-200,-89,-200,-200,-200,-91,-88,-76,-200,-81,-85,-88,-200,-200,-200
