,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526457502885,-40,-31,-37,-35,-49,-44,-58,-44,-54,-55,-53,-59,-50,-61,-57,-65,-63,-73,-75,-76,-53,-58,-73,-80,-72,-74,-71,-79,-66,-71,-67,-76,-71,-71,-84,-78,-74,-200,-84,-78,-87,-77,-74,-76,-79,-200,-66,-84,-76,-81,-82,-85,-78,-200,-200,-89,-200,-88,-75,-200,-79,-81,-79,-81,-86,-71,-87,-88,-88,-88,-90,-85,-89,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-74,-76,-79,-88,-200,-85,-88,-88,-90,-83,-86,-90,-87,-200,-200,-200,-74,-88,-88,-81,-200,-200
1526457505915,-38,-31,-36,-36,-49,-45,-59,-44,-53,-55,-57,-59,-50,-73,-56,-66,-62,-70,-75,-76,-55,-57,-73,-80,-72,-200,-71,-79,-57,-68,-66,-76,-72,-70,-84,-76,-72,-200,-83,-78,-200,-77,-58,-74,-68,-200,-66,-79,-76,-81,-82,-85,-78,-200,-200,-89,-200,-88,-75,-200,-80,-84,-79,-81,-86,-70,-87,-88,-200,-88,-90,-87,-88,-200,-200,-200,-200,-200,-90,-200,-87,-200,-74,-74,-76,-85,-200,-200,-81,-88,-88,-90,-89,-80,-89,-87,-200,-200,-200,-75,-88,-88,-81,-200,-200
1526457508954,-39,-32,-36,-35,-48,-45,-58,-45,-60,-53,-58,-60,-50,-65,-58,-66,-71,-70,-75,-75,-52,-58,-73,-80,-76,-200,-71,-87,-71,-70,-65,-76,-71,-70,-84,-76,-73,-200,-84,-78,-200,-77,-74,-74,-68,-200,-66,-84,-75,-81,-82,-84,-78,-200,-200,-200,-200,-88,-72,-200,-79,-84,-79,-80,-86,-71,-87,-88,-89,-88,-200,-87,-88,-200,-200,-200,-200,-200,-90,-200,-87,-200,-74,-73,-77,-78,-200,-81,-81,-88,-88,-200,-82,-80,-89,-200,-200,-90,-200,-73,-88,-88,-81,-200,-200
1526457511992,-40,-31,-35,-36,-48,-44,-58,-45,-61,-53,-55,-58,-57,-62,-58,-66,-61,-73,-74,-75,-55,-58,-73,-81,-72,-200,-71,-87,-68,-69,-69,-76,-70,-71,-84,-76,-70,-200,-84,-200,-200,-78,-74,-74,-68,-200,-65,-84,-74,-200,-82,-85,-79,-200,-200,-200,-200,-200,-75,-200,-79,-84,-79,-83,-88,-70,-87,-89,-91,-92,-200,-87,-88,-200,-91,-200,-200,-89,-90,-200,-86,-200,-76,-73,-79,-78,-200,-81,-84,-85,-200,-200,-82,-80,-89,-200,-200,-86,-200,-73,-200,-200,-81,-91,-200
1526457515025,-40,-15,-37,-36,-49,-44,-56,-45,-69,-55,-58,-59,-50,-60,-53,-73,-72,-70,-74,-75,-54,-58,-73,-81,-72,-200,-72,-87,-80,-71,-67,-200,-74,-80,-200,-78,-67,-200,-84,-200,-200,-78,-74,-74,-80,-200,-66,-84,-74,-200,-82,-85,-79,-200,-200,-200,-200,-200,-75,-200,-79,-84,-78,-83,-93,-80,-92,-88,-90,-92,-89,-87,-88,-200,-91,-200,-200,-89,-90,-200,-86,-200,-76,-73,-77,-84,-200,-81,-85,-89,-200,-200,-87,-80,-89,-200,-200,-86,-200,-73,-200,-200,-200,-91,-200
1526457518066,-40,-32,-36,-36,-49,-44,-57,-44,-54,-53,-56,-58,-56,-60,-57,-73,-63,-74,-72,-75,-52,-58,-73,-81,-74,-200,-71,-87,-73,-71,-66,-200,-70,-71,-200,-78,-69,-200,-84,-200,-85,-76,-74,-79,-80,-200,-66,-77,-74,-200,-83,-85,-79,-200,-200,-89,-200,-200,-76,-200,-80,-86,-79,-84,-87,-76,-86,-88,-88,-92,-91,-200,-88,-200,-91,-200,-200,-89,-200,-200,-85,-200,-74,-73,-77,-84,-200,-81,-86,-89,-200,-200,-87,-200,-88,-200,-200,-86,-200,-73,-200,-200,-200,-89,-200
1526457521109,-40,-15,-36,-35,-48,-45,-59,-45,-52,-55,-59,-61,-50,-67,-57,-73,-64,-70,-73,-75,-53,-59,-73,-80,-73,-74,-71,-92,-70,-71,-67,-200,-73,-73,-84,-78,-68,-200,-83,-200,-85,-78,-75,-79,-69,-200,-66,-85,-74,-200,-81,-84,-79,-200,-200,-89,-200,-200,-75,-200,-79,-86,-79,-87,-87,-72,-88,-88,-88,-92,-91,-200,-88,-200,-91,-200,-200,-89,-200,-200,-85,-200,-73,-83,-77,-84,-200,-200,-86,-89,-86,-200,-87,-200,-88,-89,-200,-86,-200,-200,-200,-200,-200,-89,-200
1526457524128,-39,-41,-37,-35,-50,-45,-57,-43,-52,-53,-54,-58,-55,-59,-56,-66,-64,-71,-77,-76,-53,-61,-73,-82,-72,-78,-71,-81,-91,-68,-62,-200,-72,-71,-85,-74,-74,-200,-83,-77,-85,-78,-75,-79,-68,-200,-66,-86,-76,-82,-83,-84,-78,-200,-200,-89,-200,-200,-75,-200,-79,-86,-79,-82,-86,-92,-85,-200,-88,-91,-90,-200,-200,-200,-200,-200,-200,-90,-200,-200,-84,-200,-75,-83,-77,-78,-200,-200,-86,-200,-86,-200,-84,-200,-88,-89,-200,-81,-200,-75,-200,-200,-200,-89,-92
1526457527170,-39,-31,-35,-36,-50,-45,-58,-44,-53,-55,-55,-59,-52,-65,-52,-66,-63,-71,-77,-75,-53,-58,-73,-81,-77,-76,-71,-80,-67,-70,-70,-77,-71,-70,-85,-74,-69,-200,-83,-77,-200,-78,-77,-76,-80,-200,-66,-83,-76,-74,-81,-84,-78,-200,-200,-200,-200,-85,-74,-200,-79,-84,-78,-82,-86,-72,-87,-200,-89,-91,-91,-200,-200,-200,-200,-200,-200,-90,-200,-200,-89,-200,-75,-73,-76,-79,-200,-200,-86,-89,-86,-200,-84,-200,-88,-89,-200,-81,-200,-75,-200,-200,-200,-200,-92
1526457530207,-39,-32,-39,-16,-49,-44,-72,-53,-54,-61,-56,-60,-65,-59,-58,-64,-65,-71,-77,-74,-53,-68,-71,-80,-78,-76,-71,-87,-71,-71,-69,-77,-71,-71,-85,-76,-75,-200,-84,-77,-200,-77,-77,-77,-82,-200,-66,-83,-76,-74,-81,-84,-78,-200,-200,-200,-200,-85,-74,-200,-78,-90,-79,-82,-86,-73,-87,-200,-89,-91,-91,-200,-200,-200,-200,-200,-200,-90,-200,-200,-89,-200,-75,-81,-77,-79,-200,-200,-86,-88,-200,-200,-87,-200,-88,-200,-200,-91,-200,-75,-200,-200,-200,-200,-92
1526457533249,-39,-31,-35,-35,-48,-44,-58,-45,-52,-55,-55,-58,-51,-64,-58,-64,-65,-71,-74,-74,-54,-52,-73,-80,-77,-76,-71,-87,-68,-71,-66,-77,-70,-71,-200,-77,-74,-200,-83,-200,-200,-78,-77,-73,-81,-200,-66,-85,-200,-74,-83,-85,-78,-200,-200,-200,-200,-85,-75,-200,-78,-84,-79,-200,-86,-76,-87,-200,-89,-200,-91,-200,-200,-200,-200,-200,-200,-90,-90,-200,-85,-200,-75,-81,-76,-84,-200,-200,-86,-86,-200,-200,-87,-200,-87,-88,-200,-91,-200,-75,-200,-200,-200,-90,-200
1526457536292,-39,-32,-35,-36,-49,-44,-59,-45,-60,-55,-59,-58,-52,-59,-60,-65,-67,-70,-72,-74,-55,-54,-73,-80,-76,-76,-71,-87,-74,-70,-69,-77,-73,-71,-200,-77,-74,-200,-83,-200,-200,-77,-76,-76,-80,-200,-66,-83,-200,-74,-81,-85,-78,-200,-200,-200,-200,-85,-76,-200,-78,-84,-79,-200,-87,-73,-87,-90,-89,-200,-91,-90,-200,-200,-200,-200,-200,-90,-91,-84,-83,-200,-75,-81,-76,-84,-200,-200,-86,-86,-200,-200,-87,-81,-87,-88,-200,-91,-200,-200,-200,-200,-200,-90,-200
