,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,MERCURY_0166,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526457027675,-32,-36,-47,-56,-52,-58,-57,-63,-57,-59,-62,-58,-62,-59,-70,-67,-65,-62,-73,-71,-68,-68,-72,-67,-66,-73,-80,-78,-70,-76,-73,-74,-200,-76,-75,-77,-80,-92,-85,-75,-76,-82,-79,-79,-82,-200,-86,-88,-90,-87,-88,-200,-84,-88,-84,-94,-83,-89,-87,-89,-86,-200,-200,-87,-88,-77,-82,-77,-90,-84,-91,-76,-200,-88,-89,-91,-84,-83,-86,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200
1526457030718,-32,-35,-47,-53,-50,-57,-58,-62,-57,-58,-60,-55,-62,-59,-68,-70,-65,-62,-70,-71,-68,-68,-72,-67,-72,-74,-78,-77,-70,-75,-74,-73,-200,-76,-74,-77,-77,-92,-85,-77,-76,-88,-79,-200,-78,-200,-86,-85,-91,-87,-88,-86,-82,-90,-84,-94,-83,-89,-87,-89,-86,-91,-200,-88,-86,-76,-82,-77,-90,-84,-92,-76,-200,-200,-200,-90,-84,-83,-86,-200,-200,-84,-200,-200,-200,-81,-200,-200,-200,-200,-200
1526457033762,-33,-35,-47,-53,-51,-58,-61,-72,-58,-66,-62,-58,-61,-59,-68,-69,-70,-63,-72,-72,-71,-70,-74,-67,-71,-75,-74,-74,-67,-77,-74,-74,-200,-77,-75,-77,-79,-91,-85,-77,-77,-84,-84,-81,-78,-200,-83,-85,-91,-88,-88,-86,-82,-90,-83,-200,-85,-91,-87,-89,-86,-91,-200,-85,-86,-76,-82,-77,-90,-85,-92,-200,-200,-200,-200,-90,-83,-83,-86,-91,-69,-84,-74,-200,-200,-81,-200,-200,-200,-200,-200
1526457036803,-34,-35,-47,-53,-48,-58,-57,-64,-54,-59,-61,-57,-62,-58,-68,-69,-71,-63,-73,-71,-69,-65,-73,-69,-75,-75,-78,-74,-71,-72,-74,-73,-200,-76,-76,-76,-79,-91,-87,-77,-75,-84,-84,-79,-78,-200,-87,-86,-91,-88,-88,-86,-82,-90,-85,-200,-83,-91,-88,-85,-87,-91,-200,-87,-86,-77,-82,-77,-200,-79,-92,-200,-200,-90,-200,-89,-83,-200,-200,-91,-69,-84,-74,-70,-91,-81,-200,-200,-200,-200,-200
1526457039845,-31,-35,-47,-55,-50,-56,-59,-62,-55,-59,-60,-56,-61,-59,-63,-69,-70,-71,-72,-70,-72,-68,-74,-69,-74,-75,-76,-74,-71,-75,-74,-74,-200,-75,-74,-76,-78,-91,-87,-76,-76,-84,-78,-79,-79,-200,-88,-86,-91,-88,-84,-86,-85,-90,-85,-200,-83,-89,-88,-89,-87,-90,-200,-87,-86,-79,-82,-81,-82,-80,-92,-200,-200,-88,-89,-89,-83,-83,-86,-91,-77,-84,-74,-70,-91,-200,-87,-200,-200,-200,-200
1526457042890,-32,-34,-47,-54,-51,-57,-58,-61,-55,-58,-62,-59,-62,-58,-63,-70,-66,-62,-73,-70,-71,-67,-74,-69,-76,-75,-76,-74,-70,-74,-200,-47,-200,-76,-75,-77,-78,-91,-88,-69,-75,-84,-80,-79,-80,-200,-88,-84,-90,-88,-84,-200,-84,-88,-84,-91,-85,-89,-88,-89,-87,-90,-200,-89,-91,-71,-82,-81,-83,-81,-200,-200,-200,-88,-88,-89,-83,-83,-86,-91,-77,-84,-79,-70,-91,-200,-87,-200,-200,-200,-200
1526457045935,-32,-36,-47,-53,-52,-57,-61,-63,-53,-62,-57,-62,-61,-61,-65,-69,-69,-66,-71,-71,-72,-68,-77,-68,-70,-73,-78,-77,-70,-76,-72,-75,-200,-76,-76,-77,-78,-88,-84,-78,-76,-84,-76,-81,-84,-76,-82,-82,-91,-200,-84,-200,-84,-88,-84,-91,-84,-91,-83,-87,-200,-90,-83,-88,-89,-78,-82,-80,-83,-84,-89,-79,-200,-87,-88,-91,-84,-82,-86,-92,-77,-86,-79,-200,-200,-200,-87,-85,-89,-200,-200
1526457048974,-31,-34,-47,-52,-49,-58,-64,-62,-54,-62,-60,-59,-61,-59,-69,-68,-67,-66,-71,-71,-65,-68,-77,-68,-72,-73,-77,-76,-72,-75,-72,-72,-200,-76,-76,-77,-75,-88,-84,-75,-77,-72,-82,-81,-84,-76,-87,-90,-91,-80,-86,-200,-84,-88,-84,-91,-85,-91,-83,-87,-200,-200,-83,-88,-88,-71,-81,-80,-83,-84,-89,-79,-200,-87,-91,-91,-84,-81,-86,-92,-200,-86,-79,-200,-200,-200,-200,-85,-89,-200,-200
1526457052009,-33,-36,-47,-54,-52,-60,-57,-72,-58,-60,-59,-56,-61,-60,-69,-68,-67,-66,-71,-70,-72,-69,-76,-69,-74,-73,-77,-73,-71,-75,-72,-74,-200,-75,-74,-77,-80,-88,-84,-75,-77,-72,-83,-81,-80,-76,-88,-83,-91,-79,-86,-200,-84,-88,-200,-200,-84,-89,-89,-87,-200,-200,-83,-88,-88,-78,-81,-82,-200,-84,-89,-79,-200,-87,-91,-90,-82,-82,-85,-92,-76,-85,-74,-200,-200,-200,-200,-85,-88,-200,-200
1526457055041,-30,-36,-47,-53,-53,-58,-67,-74,-56,-71,-70,-61,-61,-67,-70,-68,-69,-70,-72,-71,-74,-74,-76,-69,-74,-73,-77,-76,-70,-78,-72,-75,-200,-76,-74,-77,-82,-200,-200,-76,-79,-84,-84,-80,-80,-200,-83,-92,-91,-79,-86,-200,-85,-87,-83,-92,-88,-89,-89,-87,-200,-90,-83,-88,-90,-77,-83,-82,-200,-84,-89,-79,-200,-200,-86,-90,-84,-82,-85,-92,-77,-85,-74,-200,-200,-200,-200,-200,-88,-200,-200
1526457058088,-31,-36,-46,-51,-52,-57,-59,-64,-58,-57,-60,-59,-61,-58,-69,-68,-66,-70,-71,-70,-71,-71,-78,-68,-75,-72,-78,-74,-71,-75,-72,-73,-200,-77,-74,-78,-69,-200,-200,-75,-79,-74,-80,-81,-80,-200,-83,-84,-200,-79,-87,-200,-85,-86,-84,-92,-86,-89,-89,-200,-89,-90,-200,-87,-90,-75,-82,-82,-200,-200,-89,-200,-200,-86,-88,-90,-84,-81,-85,-200,-76,-85,-78,-200,-200,-75,-200,-200,-88,-91,-200
1526457061136,-33,-24,-46,-53,-52,-57,-59,-70,-59,-62,-60,-59,-61,-58,-67,-68,-60,-70,-71,-71,-72,-62,-78,-69,-70,-72,-78,-77,-70,-74,-73,-74,-200,-75,-74,-76,-79,-200,-82,-76,-74,-74,-79,-81,-83,-200,-82,-81,-200,-79,-87,-200,-84,-86,-84,-92,-86,-90,-88,-86,-89,-90,-200,-87,-90,-76,-82,-82,-200,-86,-89,-200,-200,-86,-88,-90,-80,-81,-86,-200,-76,-84,-78,-200,-200,-74,-89,-200,-89,-91,-90
