,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011309,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DQKJ
1526457225206,-30,-43,-54,-45,-51,-53,-56,-54,-58,-64,-65,-64,-78,-50,-65,-63,-59,-60,-64,-60,-67,-200,-73,-68,-70,-76,-68,-69,-68,-66,-81,-57,-69,-63,-75,-72,-76,-76,-69,-69,-92,-67,-71,-81,-74,-65,-83,-77,-79,-76,-73,-83,-77,-81,-83,-75,-69,-82,-81,-85,-200,-200,-82,-80,-85,-80,-84,-85,-83,-200,-79,-79,-86,-84,-82,-81,-80,-88,-200,-86,-82,-200,-90,-90,-200,-200,-91,-91,-200,-200,-91,-88,-88,-90,-90,-84,-84,-200,-60,-91,-200,-200,-81,-200,-91,-89,-84,-87,-88,-200,-200,-200
1526457228250,-26,-40,-45,-45,-50,-52,-55,-58,-61,-66,-64,-63,-78,-54,-200,-56,-60,-61,-64,-55,-67,-200,-73,-68,-71,-76,-69,-69,-67,-66,-79,-67,-70,-63,-74,-71,-74,-75,-69,-69,-84,-75,-73,-200,-67,-68,-83,-77,-79,-76,-60,-80,-77,-200,-79,-200,-69,-82,-81,-78,-200,-200,-81,-80,-85,-80,-84,-85,-82,-200,-79,-79,-85,-84,-82,-79,-80,-89,-200,-87,-200,-86,-90,-90,-200,-200,-91,-92,-200,-89,-94,-88,-88,-90,-90,-83,-88,-200,-60,-94,-200,-200,-81,-200,-91,-92,-86,-87,-88,-79,-200,-200
1526457231294,-28,-40,-54,-45,-52,-53,-60,-54,-59,-66,-54,-64,-78,-52,-200,-53,-60,-60,-64,-63,-67,-200,-73,-67,-71,-76,-68,-68,-68,-66,-81,-67,-68,-62,-76,-72,-77,-75,-69,-69,-84,-75,-73,-200,-67,-69,-83,-77,-78,-76,-60,-84,-79,-200,-79,-75,-78,-78,-78,-75,-200,-200,-82,-80,-85,-80,-84,-84,-82,-200,-79,-80,-86,-84,-82,-81,-80,-89,-91,-87,-83,-86,-78,-89,-200,-200,-200,-88,-200,-89,-94,-200,-91,-90,-90,-83,-79,-200,-62,-90,-200,-200,-81,-200,-91,-92,-86,-87,-88,-79,-200,-200
1526457234335,-7,-40,-54,-46,-52,-53,-58,-56,-61,-66,-59,-57,-74,-55,-65,-55,-60,-60,-200,-56,-67,-200,-73,-68,-71,-200,-68,-69,-68,-76,-81,-62,-68,-63,-75,-72,-75,-77,-73,-69,-84,-75,-72,-200,-71,-68,-200,-88,-80,-76,-58,-88,-79,-200,-78,-72,-76,-78,-78,-75,-200,-200,-82,-80,-85,-80,-86,-85,-83,-200,-200,-78,-86,-83,-82,-81,-88,-89,-91,-86,-82,-84,-90,-89,-200,-200,-200,-88,-200,-89,-93,-200,-91,-90,-200,-83,-79,-200,-55,-93,-200,-200,-81,-200,-91,-92,-83,-87,-200,-87,-200,-200
1526457237376,-26,-40,-53,-47,-49,-53,-57,-53,-61,-64,-57,-64,-74,-51,-64,-56,-60,-60,-67,-59,-66,-200,-73,-68,-71,-200,-68,-69,-65,-67,-81,-69,-69,-62,-74,-72,-75,-74,-73,-67,-83,-64,-73,-200,-71,-70,-84,-78,-81,-76,-58,-81,-77,-83,-79,-72,-78,-78,-78,-75,-200,-200,-82,-80,-85,-79,-86,-85,-82,-200,-200,-77,-85,-84,-83,-81,-88,-89,-91,-87,-82,-85,-90,-89,-200,-200,-90,-89,-200,-87,-91,-88,-91,-87,-91,-82,-85,-200,-56,-93,-200,-200,-76,-200,-91,-92,-83,-200,-200,-87,-92,-200
1526457240390,-30,-42,-53,-46,-48,-53,-60,-57,-61,-64,-60,-65,-74,-56,-66,-56,-60,-62,-67,-54,-66,-200,-200,-68,-70,-200,-70,-61,-65,-74,-80,-61,-69,-67,-75,-70,-76,-74,-73,-80,-83,-64,-73,-200,-71,-70,-84,-80,-81,-76,-58,-81,-79,-83,-79,-72,-78,-78,-78,-79,-81,-200,-82,-80,-85,-79,-84,-84,-82,-200,-200,-77,-85,-83,-82,-81,-88,-88,-91,-83,-82,-85,-90,-89,-200,-200,-91,-89,-200,-87,-91,-88,-91,-87,-91,-84,-85,-200,-65,-93,-200,-200,-76,-200,-91,-200,-83,-200,-200,-87,-92,-200
1526457243430,-26,-40,-56,-46,-52,-53,-57,-54,-60,-64,-59,-63,-74,-55,-63,-56,-60,-61,-67,-57,-67,-200,-73,-68,-71,-76,-70,-66,-65,-67,-78,-63,-69,-65,-74,-73,-76,-76,-78,-72,-83,-67,-73,-200,-67,-70,-84,-74,-79,-76,-58,-81,-79,-83,-79,-72,-74,-80,-78,-79,-81,-200,-82,-88,-200,-81,-84,-85,-83,-200,-200,-78,-85,-84,-82,-79,-81,-88,-200,-83,-82,-88,-90,-84,-200,-200,-91,-89,-200,-87,-89,-88,-200,-88,-91,-84,-85,-200,-63,-93,-200,-200,-76,-200,-93,-200,-83,-200,-200,-87,-92,-200
1526457246473,-30,-41,-53,-46,-51,-53,-59,-58,-59,-64,-59,-63,-74,-55,-63,-55,-59,-63,-65,-56,-66,-200,-73,-66,-71,-76,-70,-71,-66,-68,-79,-71,-71,-65,-76,-74,-73,-75,-78,-72,-83,-67,-73,-200,-65,-64,-84,-79,-78,-76,-200,-80,-79,-83,-79,-200,-75,-80,-200,-79,-81,-200,-82,-80,-200,-81,-85,-85,-83,-200,-200,-77,-85,-84,-82,-80,-80,-90,-200,-88,-82,-86,-200,-68,-200,-200,-91,-89,-200,-87,-90,-88,-200,-89,-91,-84,-84,-200,-63,-90,-200,-200,-76,-200,-93,-200,-85,-200,-200,-87,-92,-200
1526457249509,-14,-40,-53,-46,-48,-53,-59,-57,-60,-200,-62,-57,-74,-52,-64,-56,-63,-61,-64,-59,-66,-82,-73,-68,-71,-76,-70,-72,-66,-68,-78,-63,-70,-64,-75,-72,-74,-77,-78,-71,-83,-67,-73,-200,-65,-68,-84,-77,-78,-76,-200,-91,-77,-200,-79,-200,-75,-84,-200,-77,-78,-200,-82,-81,-200,-81,-83,-85,-83,-200,-200,-77,-89,-84,-83,-80,-80,-88,-200,-88,-200,-86,-200,-68,-200,-200,-90,-89,-200,-87,-90,-200,-200,-89,-200,-84,-84,-200,-57,-90,-200,-200,-80,-200,-93,-200,-85,-200,-200,-200,-200,-200
1526457252553,-25,-39,-53,-45,-49,-53,-64,-58,-56,-66,-62,-58,-72,-53,-64,-56,-61,-60,-64,-60,-66,-82,-62,-68,-71,-75,-200,-71,-66,-65,-78,-65,-66,-63,-78,-72,-71,-75,-78,-70,-83,-65,-72,-200,-65,-68,-85,-80,-79,-76,-200,-80,-77,-200,-81,-200,-75,-84,-200,-77,-82,-200,-82,-80,-200,-80,-85,-84,-83,-200,-200,-77,-89,-84,-84,-80,-82,-88,-200,-88,-200,-86,-200,-68,-200,-200,-90,-89,-200,-87,-89,-200,-200,-89,-200,-200,-86,-200,-57,-92,-200,-200,-80,-200,-93,-200,-85,-200,-200,-200,-200,-91
1526457255585,-30,-42,-56,-46,-50,-52,-58,-52,-57,-66,-56,-66,-74,-54,-65,-54,-60,-61,-66,-59,-66,-82,-73,-68,-71,-75,-67,-73,-72,-68,-78,-68,-70,-63,-76,-73,-70,-75,-73,-66,-84,-63,-73,-200,-77,-67,-85,-78,-80,-75,-200,-80,-76,-200,-78,-200,-69,-78,-80,-75,-82,-200,-82,-80,-200,-80,-85,-84,-82,-200,-200,-77,-86,-83,-83,-80,-82,-89,-200,-86,-200,-86,-200,-68,-200,-200,-90,-89,-200,-89,-92,-200,-200,-89,-200,-200,-83,-200,-57,-92,-200,-200,-80,-200,-200,-200,-85,-200,-200,-200,-200,-91
1526457258627,-27,-41,-57,-47,-48,-53,-54,-57,-59,-64,-54,-60,-74,-57,-59,-59,-61,-62,-66,-55,-66,-80,-74,-66,-71,-75,-72,-73,-70,-68,-80,-69,-66,-63,-74,-74,-70,-75,-73,-72,-84,-63,-75,-81,-73,-70,-85,-78,-79,-76,-60,-82,-76,-200,-78,-72,-78,-78,-80,-75,-82,-200,-81,-80,-200,-80,-84,-84,-82,-200,-82,-200,-87,-83,-83,-84,-82,-90,-200,-86,-81,-200,-200,-91,-200,-200,-90,-89,-200,-89,-92,-200,-200,-200,-97,-200,-83,-200,-63,-92,-200,-89,-80,-200,-200,-200,-200,-200,-200,-200,-200,-91
