,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526448950937,-36,-45,-44,-55,-54,-45,-60,-59,-60,-59,-200,-63,-53,-63,-200,-71,-200,-61,-67,-64,-72,-200,-78,-74,-78,-70,-77,-78,-72,-70,-59,-72,-79,-74,-200,-200,-200,-79,-82,-200,-200,-88,-200,-82,-84,-87,-86,-89,-200,-200,-200
1526448953980,-36,-45,-44,-55,-54,-45,-60,-59,-60,-59,-200,-63,-53,-63,-200,-71,-200,-61,-67,-64,-72,-200,-78,-74,-78,-70,-77,-78,-72,-70,-59,-72,-79,-74,-200,-200,-200,-79,-82,-200,-200,-88,-200,-82,-84,-87,-86,-89,-200,-200,-200
1526448957014,-36,-45,-44,-55,-54,-45,-60,-59,-60,-59,-200,-63,-53,-63,-200,-71,-200,-61,-67,-64,-72,-200,-78,-74,-78,-70,-77,-78,-72,-70,-59,-72,-79,-74,-200,-200,-200,-79,-82,-200,-200,-88,-200,-82,-84,-87,-86,-89,-200,-200,-200
1526448960060,-40,-45,-54,-56,-63,-57,-76,-65,-67,-66,-79,-63,-62,-74,-74,-75,-200,-68,-71,-70,-72,-79,-82,-82,-200,-77,-72,-86,-76,-200,-72,-75,-79,-74,-200,-200,-200,-200,-200,-200,-200,-88,-200,-87,-84,-200,-86,-93,-82,-92,-200
1526448963110,-45,-45,-54,-56,-61,-57,-73,-63,-67,-65,-80,-67,-62,-74,-77,-75,-200,-68,-71,-74,-72,-78,-82,-82,-200,-80,-76,-86,-78,-200,-71,-74,-88,-82,-200,-200,-200,-200,-200,-200,-200,-88,-200,-87,-84,-200,-86,-93,-82,-92,-200
1526448966136,-45,-45,-54,-56,-61,-57,-73,-63,-67,-65,-80,-67,-62,-74,-77,-75,-200,-68,-71,-74,-72,-78,-82,-82,-200,-80,-76,-86,-78,-200,-71,-74,-88,-82,-200,-200,-200,-200,-200,-200,-200,-88,-200,-87,-84,-200,-86,-93,-82,-92,-200
1526448969180,-45,-45,-54,-56,-61,-57,-73,-63,-67,-65,-80,-67,-62,-74,-77,-75,-200,-68,-71,-74,-72,-78,-82,-82,-200,-80,-76,-86,-78,-200,-71,-74,-88,-82,-200,-200,-200,-200,-200,-200,-200,-88,-200,-87,-84,-200,-86,-93,-82,-92,-200
1526448972216,-41,-45,-53,-55,-66,-58,-72,-63,-66,-64,-80,-67,-61,-80,-77,-76,-200,-70,-72,-75,-71,-79,-200,-200,-87,-80,-79,-90,-77,-78,-72,-74,-88,-82,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-82,-200,-91
1526448975260,-41,-48,-53,-55,-62,-58,-73,-63,-66,-67,-80,-69,-68,-76,-77,-76,-78,-71,-75,-75,-71,-79,-200,-200,-87,-82,-77,-90,-77,-78,-71,-74,-88,-82,-200,-200,-200,-82,-200,-200,-200,-200,-200,-89,-89,-200,-200,-200,-82,-200,-91
1526448978305,-41,-48,-53,-55,-62,-58,-73,-63,-66,-67,-80,-69,-68,-76,-77,-76,-78,-71,-75,-75,-71,-79,-200,-200,-87,-82,-77,-90,-77,-78,-71,-74,-88,-82,-200,-200,-200,-82,-200,-200,-200,-200,-200,-89,-89,-200,-200,-200,-82,-200,-91
1526448981320,-41,-48,-53,-55,-62,-58,-73,-63,-66,-67,-80,-69,-68,-76,-77,-76,-78,-71,-75,-75,-71,-79,-200,-200,-87,-82,-77,-90,-77,-78,-71,-74,-88,-82,-200,-200,-200,-82,-200,-200,-200,-200,-200,-89,-89,-200,-200,-200,-82,-200,-91
1526448984362,-46,-47,-51,-55,-61,-58,-73,-64,-64,-67,-81,-67,-63,-75,-74,-77,-78,-69,-74,-75,-75,-78,-200,-200,-86,-81,-76,-200,-200,-78,-70,-73,-200,-84,-200,-200,-200,-82,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-92,-200
