,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,TP-LINK_1398
1526448018426,-34,-45,-43,-41,-29,-42,-49,-41,-36,-52,-47,-45,-47,-51,-47,-37,-42,-47,-50,-56,-59,-57,-56,-59,-58,-49,-62,-65,-63,-54,-67,-63,-66,-59,-65,-61,-200,-60,-63,-53,-200,-59,-55,-200,-200,-200,-67,-63,-66,-200,-70,-64,-74,-200,-200,-75,-79,-82,-86,-86,-88,-82,-200,-81,-48,-65,-67,-76,-78,-92,-200,-200,-200,-200
1526448021437,-36,-45,-43,-41,-29,-42,-49,-38,-36,-52,-45,-37,-48,-48,-47,-37,-39,-47,-49,-56,-59,-52,-55,-200,-58,-49,-200,-65,-63,-58,-67,-63,-200,-56,-65,-61,-200,-60,-61,-53,-200,-59,-54,-200,-200,-200,-66,-64,-66,-200,-70,-67,-74,-200,-200,-75,-76,-85,-86,-86,-88,-86,-200,-82,-48,-68,-200,-76,-78,-92,-76,-200,-200,-200
1526448024448,-35,-46,-46,-47,-31,-45,-51,-40,-36,-49,-45,-36,-46,-44,-48,-37,-40,-47,-50,-56,-59,-52,-55,-200,-57,-46,-200,-68,-63,-58,-67,-64,-200,-63,-65,-61,-200,-60,-63,-54,-200,-59,-54,-200,-200,-200,-68,-65,-64,-200,-200,-67,-75,-200,-200,-76,-78,-86,-86,-83,-90,-84,-200,-82,-48,-68,-200,-200,-78,-92,-76,-200,-200,-200
1526448027477,-35,-45,-47,-50,-31,-45,-47,-44,-35,-49,-41,-36,-43,-42,-46,-37,-43,-47,-49,-200,-59,-51,-55,-200,-61,-46,-200,-68,-60,-49,-67,-64,-200,-63,-65,-61,-200,-62,-70,-54,-200,-59,-54,-200,-200,-200,-64,-64,-68,-200,-69,-63,-71,-200,-200,-76,-77,-83,-85,-84,-90,-88,-200,-82,-200,-68,-200,-200,-200,-92,-76,-200,-200,-200
1526448030510,-41,-45,-47,-50,-31,-40,-48,-44,-36,-49,-41,-41,-45,-44,-46,-37,-39,-46,-47,-200,-59,-55,-50,-200,-61,-45,-62,-68,-60,-47,-69,-64,-200,-63,-65,-65,-200,-60,-62,-59,-200,-59,-54,-200,-200,-200,-68,-64,-64,-200,-69,-63,-73,-200,-200,-77,-77,-86,-87,-84,-88,-83,-200,-82,-200,-68,-200,-200,-200,-92,-76,-200,-200,-200
1526448033544,-37,-45,-48,-50,-35,-42,-44,-38,-36,-49,-41,-41,-44,-44,-46,-39,-39,-46,-47,-200,-61,-51,-50,-200,-63,-48,-62,-66,-60,-47,-67,-67,-70,-63,-66,-65,-200,-60,-61,-52,-200,-61,-54,-200,-200,-200,-64,-62,-66,-200,-69,-64,-72,-200,-69,-75,-76,-86,-87,-84,-87,-84,-200,-80,-42,-68,-200,-200,-200,-92,-76,-72,-90,-200
1526448036578,-36,-45,-44,-43,-38,-40,-46,-36,-36,-49,-54,-38,-43,-41,-47,-39,-39,-46,-47,-200,-61,-51,-50,-200,-59,-49,-62,-66,-60,-47,-65,-67,-70,-63,-66,-65,-200,-60,-64,-52,-200,-58,-54,-200,-200,-200,-65,-63,-67,-200,-69,-65,-74,-200,-69,-79,-76,-82,-87,-84,-88,-86,-200,-84,-48,-68,-200,-200,-200,-92,-76,-72,-90,-200
1526448039609,-39,-50,-48,-48,-34,-43,-45,-36,-36,-49,-49,-42,-47,-46,-54,-37,-39,-44,-46,-200,-61,-56,-48,-200,-57,-46,-62,-66,-60,-47,-67,-67,-70,-52,-66,-65,-200,-60,-67,-52,-200,-59,-54,-200,-200,-200,-70,-62,-66,-200,-69,-64,-75,-200,-69,-75,-77,-81,-87,-84,-87,-85,-200,-79,-48,-68,-200,-200,-200,-200,-76,-72,-90,-200
1526448042637,-39,-50,-48,-53,-30,-42,-48,-36,-35,-49,-43,-42,-45,-46,-54,-38,-42,-48,-47,-53,-59,-56,-56,-200,-60,-51,-62,-66,-65,-47,-70,-64,-70,-52,-66,-63,-200,-60,-63,-52,-200,-62,-56,-72,-200,-73,-68,-64,-70,-200,-72,-62,-78,-200,-69,-78,-74,-81,-85,-86,-87,-83,-200,-79,-49,-200,-200,-200,-200,-200,-200,-72,-90,-73
1526448045670,-39,-50,-48,-53,-30,-39,-46,-42,-36,-200,-55,-39,-44,-46,-46,-38,-54,-56,-51,-53,-59,-55,-48,-200,-55,-49,-62,-66,-67,-47,-68,-64,-70,-52,-66,-63,-200,-60,-66,-55,-200,-65,-56,-72,-200,-73,-66,-61,-66,-200,-72,-62,-75,-200,-69,-73,-74,-81,-86,-86,-89,-82,-200,-79,-42,-200,-200,-200,-200,-200,-200,-72,-90,-73
1526448048694,-36,-50,-47,-53,-37,-39,-45,-40,-33,-60,-45,-37,-47,-50,-51,-38,-42,-49,-48,-53,-61,-50,-50,-200,-56,-47,-62,-66,-67,-47,-71,-63,-70,-56,-66,-63,-200,-58,-66,-50,-200,-65,-55,-72,-200,-73,-65,-60,-70,-200,-72,-64,-74,-200,-67,-75,-76,-81,-86,-86,-89,-85,-200,-81,-42,-200,-67,-72,-200,-200,-200,-72,-90,-73
1526448051722,-35,-47,-43,-50,-32,-39,-45,-40,-33,-55,-49,-37,-46,-50,-47,-35,-38,-49,-47,-53,-60,-50,-50,-200,-60,-47,-200,-66,-67,-48,-71,-63,-73,-56,-66,-63,-200,-58,-62,-50,-200,-65,-55,-72,-200,-73,-65,-61,-70,-200,-72,-64,-74,-200,-67,-75,-78,-83,-87,-86,-89,-85,-200,-81,-46,-200,-67,-72,-200,-200,-200,-72,-90,-73
