,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011309,D-Link_DIR-823Pro_5GHz,whu2011314,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz
1526448744021,-33,-34,-36,-39,-44,-42,-47,-41,-50,-52,-44,-39,-47,-56,-49,-45,-48,-62,-58,-45,-54,-47,-60,-51,-54,-52,-59,-55,-64,-65,-53,-64,-73,-59,-59,-66,-200,-73,-67,-74,-70,-200,-78,-69,-76,-200,-200,-85,-200,-200,-78,-83,-85,-200,-87,-87,-200,-200,-200,-58,-56,-73,-77,-79,-93,-72,-200
1526448747042,-33,-35,-43,-39,-44,-42,-45,-41,-52,-52,-44,-39,-50,-56,-54,-43,-49,-57,-56,-45,-57,-47,-60,-51,-55,-52,-60,-55,-60,-64,-55,-67,-73,-55,-65,-67,-200,-72,-67,-74,-70,-200,-78,-71,-75,-200,-200,-85,-200,-200,-78,-84,-85,-200,-86,-87,-200,-200,-200,-59,-56,-73,-77,-79,-93,-72,-200
1526448750073,-32,-36,-35,-38,-41,-45,-45,-42,-54,-52,-45,-39,-51,-55,-56,-43,-49,-61,-55,-45,-55,-47,-60,-51,-56,-52,-60,-55,-54,-64,-55,-67,-73,-55,-63,-66,-200,-72,-200,-74,-70,-200,-78,-71,-72,-200,-200,-85,-200,-200,-76,-82,-86,-200,-85,-89,-200,-200,-200,-59,-56,-73,-77,-79,-93,-72,-200
1526448753098,-31,-36,-36,-42,-48,-44,-45,-38,-54,-48,-44,-43,-59,-53,-51,-54,-46,-56,-54,-45,-55,-47,-60,-51,-52,-55,-60,-55,-54,-67,-55,-63,-73,-54,-58,-66,-200,-72,-200,-74,-70,-77,-78,-73,-75,-200,-200,-83,-200,-200,-77,-82,-87,-200,-85,-88,-200,-200,-89,-59,-56,-73,-77,-79,-93,-72,-200
1526448756128,-44,-32,-35,-39,-40,-44,-45,-38,-46,-45,-44,-41,-51,-49,-44,-43,-46,-56,-55,-45,-55,-200,-60,-48,-54,-51,-60,-55,-54,-65,-55,-65,-73,-54,-59,-67,-200,-76,-200,-74,-73,-77,-78,-73,-81,-200,-200,-82,-200,-200,-79,-78,-85,-200,-85,-88,-200,-200,-89,-59,-200,-200,-200,-79,-93,-72,-200
1526448759155,-31,-35,-34,-38,-45,-44,-43,-39,-50,-47,-43,-40,-47,-52,-47,-50,-47,-56,-53,-50,-55,-200,-60,-48,-51,-49,-59,-55,-63,-69,-55,-65,-73,-52,-58,-68,-200,-71,-200,-200,-74,-77,-78,-71,-78,-200,-200,-86,-200,-200,-78,-82,-85,-200,-83,-88,-200,-200,-89,-59,-200,-200,-200,-79,-93,-72,-200
1526448762182,-31,-35,-32,-46,-42,-40,-45,-39,-47,-51,-43,-44,-47,-52,-50,-50,-48,-51,-53,-50,-55,-54,-200,-48,-51,-49,-61,-55,-63,-64,-57,-64,-200,-56,-53,-68,-200,-75,-200,-200,-74,-77,-78,-72,-74,-200,-200,-84,-200,-200,-78,-86,-85,-200,-88,-88,-200,-200,-89,-59,-61,-200,-200,-200,-200,-72,-200
1526448765208,-39,-32,-32,-40,-42,-40,-45,-40,-47,-51,-43,-40,-48,-55,-50,-50,-48,-53,-56,-49,-55,-55,-200,-48,-52,-49,-60,-200,-63,-68,-57,-65,-200,-56,-61,-68,-200,-72,-200,-200,-73,-68,-200,-71,-75,-200,-200,-85,-200,-200,-78,-85,-83,-88,-88,-88,-200,-200,-89,-59,-61,-200,-200,-200,-200,-200,-200
1526448768238,-37,-36,-36,-40,-43,-52,-45,-42,-48,-54,-43,-37,-51,-55,-48,-50,-51,-53,-52,-49,-55,-55,-58,-52,-58,-47,-60,-200,-63,-67,-57,-66,-200,-56,-59,-70,-200,-69,-200,-200,-70,-68,-200,-70,-76,-200,-200,-82,-200,-200,-77,-85,-86,-88,-84,-88,-200,-200,-89,-200,-62,-200,-200,-200,-200,-200,-200
1526448771268,-34,-34,-33,-39,-41,-42,-45,-42,-48,-54,-47,-41,-50,-55,-49,-44,-51,-56,-52,-49,-55,-54,-58,-52,-55,-48,-60,-200,-63,-70,-57,-69,-200,-56,-61,-66,-200,-69,-200,-200,-70,-68,-200,-70,-77,-200,-200,-87,-200,-200,-77,-87,-86,-88,-85,-88,-200,-200,-89,-53,-62,-200,-200,-200,-200,-200,-200
1526448774300,-34,-34,-36,-39,-39,-42,-45,-45,-54,-51,-47,-43,-50,-55,-49,-42,-51,-53,-52,-50,-55,-54,-58,-52,-55,-48,-57,-200,-63,-68,-57,-67,-200,-56,-60,-64,-61,-69,-200,-200,-70,-68,-200,-73,-72,-200,-200,-85,-200,-200,-77,-86,-86,-88,-85,-88,-200,-200,-200,-53,-62,-200,-200,-200,-200,-200,-90
1526448777332,-37,-33,-36,-39,-39,-54,-46,-45,-54,-51,-47,-39,-50,-55,-46,-45,-51,-53,-52,-47,-55,-57,-58,-49,-55,-56,-59,-57,-57,-68,-57,-67,-200,-55,-63,-64,-61,-72,-200,-78,-73,-68,-200,-73,-75,-200,-200,-86,-200,-200,-80,-82,-84,-88,-86,-89,-200,-200,-200,-53,-62,-200,-200,-200,-200,-200,-90
