,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DQKJ,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz
1526448817269,-35,-45,-28,-40,-44,-47,-41,-49,-48,-48,-51,-39,-59,-54,-49,-60,-50,-62,-57,-44,-45,-53,-55,-200,-62,-54,-60,-43,-59,-55,-50,-200,-200,-200,-69,-64,-200,-64,-61,-71,-70,-71,-70,-70,-75,-83,-85,-89,-200,-88,-200,-200,-84,-200,-91,-200,-60,-72,-68,-61,-64,-68,-69,-82,-62,-60,-200,-200,-200,-200,-200
1526448820298,-35,-46,-28,-39,-49,-47,-39,-52,-48,-48,-49,-36,-59,-54,-49,-52,-45,-62,-58,-44,-50,-54,-55,-200,-64,-54,-60,-43,-59,-55,-45,-200,-71,-200,-67,-60,-200,-62,-69,-69,-68,-67,-73,-70,-75,-84,-89,-89,-200,-88,-200,-200,-82,-200,-91,-200,-60,-72,-200,-61,-64,-68,-69,-82,-63,-60,-71,-78,-87,-200,-200
1526448823331,-31,-46,-26,-39,-48,-50,-38,-52,-44,-50,-49,-36,-59,-55,-49,-55,-47,-61,-58,-44,-50,-54,-51,-200,-60,-52,-62,-43,-57,-55,-45,-200,-71,-200,-67,-62,-200,-70,-69,-72,-67,-74,-73,-70,-73,-85,-88,-88,-200,-88,-200,-200,-89,-200,-91,-200,-59,-72,-200,-61,-70,-69,-69,-82,-59,-60,-71,-78,-87,-200,-200
1526448826359,-35,-48,-24,-39,-48,-49,-38,-52,-43,-46,-50,-37,-59,-56,-51,-51,-49,-57,-58,-44,-45,-59,-54,-200,-63,-60,-62,-43,-57,-58,-46,-200,-71,-200,-67,-67,-200,-68,-69,-70,-68,-74,-76,-70,-73,-87,-86,-86,-200,-88,-200,-200,-87,-200,-91,-82,-59,-72,-200,-58,-70,-69,-69,-82,-59,-60,-71,-78,-87,-200,-200
1526448829390,-35,-48,-25,-38,-48,-45,-39,-52,-46,-51,-50,-37,-59,-56,-51,-51,-48,-55,-58,-39,-41,-59,-54,-200,-66,-55,-62,-44,-57,-58,-47,-200,-71,-200,-67,-65,-200,-68,-65,-70,-71,-76,-75,-70,-81,-87,-83,-88,-200,-88,-200,-200,-86,-200,-89,-82,-58,-200,-200,-52,-70,-69,-200,-200,-59,-60,-71,-78,-87,-200,-200
1526448832416,-31,-45,-28,-37,-49,-51,-39,-52,-43,-47,-50,-41,-59,-49,-46,-51,-41,-58,-58,-37,-41,-59,-54,-200,-65,-53,-62,-40,-57,-58,-42,-200,-71,-59,-68,-61,-200,-66,-65,-72,-73,-71,-73,-70,-78,-87,-82,-88,-200,-90,-200,-200,-80,-200,-89,-82,-58,-200,-200,-52,-70,-69,-200,-200,-59,-60,-71,-78,-87,-200,-200
1526448835447,-32,-54,-25,-37,-46,-51,-39,-52,-48,-50,-50,-45,-200,-48,-53,-51,-46,-61,-58,-38,-40,-59,-58,-200,-65,-53,-64,-40,-57,-58,-42,-200,-71,-59,-69,-61,-200,-70,-65,-70,-75,-70,-72,-200,-78,-88,-84,-88,-200,-89,-200,-200,-75,-200,-89,-82,-58,-200,-200,-52,-70,-69,-200,-200,-59,-200,-73,-78,-87,-200,-200
1526448838478,-34,-48,-28,-38,-46,-47,-38,-52,-42,-46,-48,-52,-200,-49,-51,-50,-46,-61,-58,-42,-45,-50,-53,-200,-61,-50,-60,-40,-57,-58,-46,-200,-71,-59,-65,-67,-200,-68,-61,-66,-73,-73,-75,-200,-76,-85,-87,-89,-200,-89,-200,-200,-80,-200,-89,-82,-58,-200,-200,-52,-70,-69,-67,-200,-63,-200,-73,-78,-87,-200,-200
1526448841509,-34,-44,-27,-38,-42,-47,-41,-50,-42,-49,-48,-50,-200,-51,-55,-47,-48,-59,-200,-42,-41,-50,-55,-200,-63,-54,-59,-39,-57,-58,-46,-200,-200,-59,-69,-61,-200,-68,-59,-71,-73,-73,-69,-200,-76,-84,-88,-89,-200,-90,-200,-200,-81,-200,-89,-82,-58,-60,-200,-52,-70,-75,-60,-200,-64,-61,-73,-200,-200,-68,-89
1526448844522,-35,-44,-31,-40,-42,-47,-37,-50,-42,-50,-50,-50,-200,-55,-55,-54,-48,-59,-200,-42,-41,-50,-59,-200,-66,-51,-59,-39,-200,-58,-49,-200,-200,-59,-66,-61,-200,-71,-59,-73,-76,-69,-74,-200,-81,-87,-87,-89,-200,-90,-200,-200,-82,-200,-89,-82,-58,-60,-200,-52,-200,-75,-60,-200,-64,-61,-73,-200,-200,-68,-89
1526448847551,-34,-45,-27,-40,-42,-42,-36,-50,-42,-46,-50,-38,-51,-51,-57,-50,-46,-59,-62,-39,-41,-54,-61,-200,-65,-51,-62,-41,-53,-46,-45,-200,-200,-59,-66,-62,-200,-67,-59,-77,-69,-68,-74,-200,-82,-86,-86,-88,-200,-90,-200,-200,-79,-200,-88,-200,-58,-60,-200,-52,-200,-75,-60,-200,-60,-61,-73,-200,-200,-68,-89
1526448850579,-35,-44,-26,-47,-50,-43,-37,-50,-42,-52,-50,-37,-51,-48,-49,-50,-48,-60,-59,-40,-41,-53,-53,-62,-61,-51,-59,-39,-53,-46,-43,-200,-200,-64,-67,-65,-200,-69,-59,-74,-70,-71,-72,-200,-76,-86,-86,-86,-200,-90,-200,-200,-80,-200,-92,-200,-59,-60,-200,-60,-72,-75,-60,-200,-60,-64,-73,-200,-200,-68,-89
