,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,DLINK_D02A20,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D02A10,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526465514994,-41,-32,-52,-55,-50,-48,-70,-61,-52,-57,-69,-65,-57,-58,-40,-68,-66,-62,-75,-55,-79,-67,-67,-60,-65,-50,-59,-74,-74,-81,-77,-81,-200,-81,-200,-70,-86,-200,-80,-79,-76,-65,-73,-89,-83,-80,-87,-200,-80,-200,-200,-87,-67,-74,-89,-200,-80,-87,-89,-84,-67,-80,-200,-92,-77,-85,-96,-200,-86,-83,-200,-92,-90,-95,-85,-94,-200,-76,-94,-200,-89,-200,-200,-96,-200,-200,-200,-94,-84,-200,-97,-76,-75,-70,-64,-93,-77,-200,-200,-95,-93,-90,-93,-200,-97,-200,-86,-92,-97,-200,-200,-200,-200
1526465518050,-40,-25,-57,-54,-56,-49,-64,-63,-51,-54,-67,-61,-59,-60,-40,-60,-66,-63,-77,-47,-77,-67,-67,-59,-62,-50,-55,-76,-74,-78,-80,-78,-200,-84,-200,-69,-85,-200,-79,-86,-76,-64,-59,-89,-80,-80,-89,-200,-200,-200,-200,-84,-68,-74,-89,-91,-75,-86,-87,-75,-81,-79,-200,-91,-200,-85,-96,-200,-85,-83,-200,-87,-84,-94,-86,-94,-200,-77,-94,-95,-89,-200,-200,-96,-200,-75,-200,-94,-84,-200,-200,-77,-75,-72,-64,-95,-77,-200,-200,-95,-91,-90,-93,-200,-97,-200,-200,-92,-97,-200,-200,-200,-200
1526465521103,-41,-42,-47,-52,-55,-48,-60,-64,-54,-55,-64,-63,-60,-55,-39,-70,-66,-62,-70,-49,-78,-69,-61,-67,-64,-48,-52,-75,-65,-79,-77,-79,-200,-79,-200,-68,-84,-69,-78,-85,-76,-65,-65,-86,-80,-84,-87,-94,-200,-94,-200,-84,-61,-78,-89,-91,-76,-83,-87,-71,-78,-80,-200,-91,-80,-83,-94,-87,-85,-200,-200,-87,-92,-92,-91,-96,-200,-75,-94,-95,-200,-200,-200,-200,-200,-81,-200,-94,-84,-200,-200,-77,-75,-72,-64,-80,-77,-200,-200,-200,-91,-90,-200,-200,-97,-200,-200,-92,-97,-96,-200,-200,-200
1526465524153,-40,-32,-56,-52,-51,-48,-60,-63,-51,-57,-65,-61,-58,-60,-40,-69,-67,-63,-79,-57,-76,-69,-60,-65,-65,-49,-55,-77,-65,-80,-79,-79,-200,-79,-200,-64,-84,-74,-78,-85,-77,-63,-65,-87,-80,-87,-91,-94,-78,-94,-200,-84,-60,-74,-200,-91,-73,-80,-89,-73,-77,-80,-200,-91,-80,-80,-94,-89,-86,-200,-200,-87,-92,-92,-86,-96,-200,-76,-200,-95,-88,-200,-95,-200,-200,-81,-200,-200,-83,-200,-200,-75,-75,-72,-200,-80,-200,-200,-200,-200,-91,-86,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200
1526465527216,-44,-25,-59,-51,-55,-48,-50,-67,-48,-52,-62,-61,-56,-60,-43,-69,-66,-62,-76,-49,-78,-70,-64,-63,-61,-53,-54,-77,-79,-81,-75,-82,-200,-79,-200,-64,-84,-74,-78,-88,-77,-63,-65,-85,-82,-80,-88,-94,-81,-94,-200,-84,-60,-76,-200,-200,-75,-86,-95,-76,-80,-78,-200,-89,-81,-79,-94,-88,-85,-200,-200,-87,-92,-94,-84,-96,-79,-78,-91,-200,-87,-200,-94,-200,-200,-81,-200,-95,-82,-200,-200,-74,-77,-79,-62,-80,-79,-200,-200,-200,-200,-86,-200,-200,-200,-96,-200,-200,-200,-96,-200,-200,-200
1526465530274,-39,-32,-53,-59,-56,-52,-54,-65,-52,-57,-69,-61,-62,-59,-40,-63,-63,-59,-84,-52,-78,-70,-58,-60,-60,-51,-56,-83,-80,-82,-76,-82,-200,-85,-200,-71,-84,-74,-78,-88,-74,-65,-65,-81,-81,-81,-88,-94,-78,-200,-200,-86,-62,-75,-91,-89,-73,-86,-92,-76,-77,-78,-200,-95,-81,-78,-200,-88,-85,-200,-200,-87,-88,-94,-83,-200,-79,-78,-90,-200,-87,-200,-94,-200,-200,-200,-200,-95,-82,-200,-200,-74,-76,-79,-73,-200,-79,-200,-200,-200,-90,-86,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200
1526465533328,-46,-31,-69,-58,-55,-49,-75,-57,-51,-53,-72,-62,-60,-59,-41,-64,-62,-65,-76,-50,-75,-70,-66,-64,-59,-47,-57,-72,-76,-82,-77,-83,-200,-80,-83,-67,-84,-200,-85,-88,-74,-71,-71,-85,-84,-81,-88,-200,-78,-200,-200,-89,-70,-75,-91,-89,-73,-82,-89,-76,-70,-85,-200,-90,-81,-84,-91,-88,-83,-84,-200,-87,-86,-95,-87,-97,-79,-75,-92,-95,-87,-200,-94,-200,-200,-200,-200,-95,-88,-200,-200,-80,-72,-79,-78,-200,-79,-95,-200,-200,-90,-200,-200,-200,-200,-96,-200,-95,-200,-96,-94,-96,-200
1526465536381,-40,-26,-59,-60,-53,-49,-63,-58,-52,-58,-64,-59,-58,-59,-41,-66,-62,-60,-80,-58,-79,-74,-65,-60,-60,-52,-64,-69,-84,-76,-77,-81,-200,-82,-83,-72,-200,-77,-80,-80,-74,-68,-71,-92,-79,-82,-92,-200,-78,-200,-200,-88,-63,-75,-86,-89,-80,-87,-86,-75,-76,-85,-200,-91,-200,-86,-92,-200,-83,-81,-200,-200,-89,-95,-88,-97,-87,-76,-92,-95,-200,-200,-200,-97,-200,-200,-200,-200,-87,-200,-200,-74,-72,-79,-77,-91,-200,-95,-200,-200,-90,-96,-200,-200,-200,-200,-200,-95,-200,-96,-94,-95,-200
1526465539439,-50,-25,-57,-59,-55,-47,-63,-59,-53,-59,-61,-59,-63,-58,-40,-65,-61,-64,-78,-50,-79,-80,-63,-60,-62,-56,-61,-74,-75,-80,-71,-77,-200,-85,-83,-63,-200,-77,-82,-79,-200,-65,-75,-88,-83,-86,-92,-92,-76,-200,-200,-87,-65,-77,-86,-200,-79,-88,-86,-75,-83,-85,-91,-91,-200,-84,-93,-89,-83,-81,-200,-200,-91,-95,-88,-94,-89,-74,-92,-95,-87,-200,-200,-97,-200,-80,-200,-95,-85,-200,-200,-74,-73,-72,-66,-91,-200,-95,-94,-200,-200,-96,-200,-200,-200,-95,-200,-95,-200,-96,-94,-95,-200
1526465542492,-43,-34,-55,-53,-52,-49,-63,-57,-50,-65,-51,-66,-63,-58,-40,-68,-61,-62,-77,-54,-84,-71,-61,-63,-65,-56,-54,-74,-72,-81,-74,-77,-200,-85,-200,-63,-200,-77,-76,-79,-200,-62,-71,-91,-83,-84,-92,-92,-75,-200,-200,-87,-60,-81,-86,-200,-69,-84,-87,-83,-86,-77,-91,-91,-200,-85,-93,-91,-94,-81,-200,-88,-91,-93,-88,-94,-94,-74,-92,-200,-87,-200,-200,-97,-200,-80,-200,-95,-83,-200,-200,-74,-74,-72,-78,-91,-200,-200,-94,-200,-200,-96,-200,-200,-200,-95,-200,-200,-200,-200,-200,-92,-200
1526465545549,-42,-26,-58,-57,-49,-49,-60,-61,-54,-52,-61,-64,-57,-64,-40,-70,-62,-68,-84,-51,-77,-71,-58,-66,-65,-49,-54,-81,-78,-79,-77,-77,-200,-85,-80,-70,-200,-77,-80,-93,-200,-62,-62,-91,-80,-83,-90,-88,-75,-200,-200,-87,-69,-81,-200,-200,-72,-82,-89,-75,-76,-83,-91,-92,-200,-90,-93,-85,-81,-200,-200,-88,-86,-93,-88,-94,-94,-78,-92,-95,-87,-200,-95,-97,-200,-80,-200,-95,-86,-200,-200,-74,-74,-72,-65,-91,-200,-200,-94,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-92,-200
1526465548599,-43,-26,-58,-58,-52,-54,-60,-58,-58,-50,-59,-63,-60,-64,-41,-67,-67,-64,-79,-51,-74,-75,-59,-59,-62,-49,-59,-75,-76,-79,-71,-75,-200,-79,-80,-70,-200,-77,-81,-93,-200,-68,-62,-88,-80,-88,-88,-88,-86,-200,-200,-85,-71,-76,-200,-200,-77,-81,-92,-73,-76,-83,-200,-89,-200,-88,-91,-89,-81,-200,-200,-88,-88,-93,-89,-200,-87,-80,-94,-95,-90,-200,-95,-97,-200,-200,-200,-95,-87,-200,-200,-74,-72,-78,-65,-88,-200,-97,-94,-95,-200,-200,-200,-200,-200,-91,-200,-91,-200,-200,-200,-92,-95
