,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00E98,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526465368810,-36,-50,-41,-49,-54,-56,-55,-62,-58,-49,-69,-65,-61,-61,-60,-58,-40,-56,-59,-64,-58,-72,-75,-69,-66,-200,-68,-77,-69,-71,-83,-80,-86,-200,-71,-69,-76,-71,-89,-64,-80,-68,-71,-200,-61,-73,-77,-92,-200,-75,-86,-77,-94,-93,-74,-68,-83,-61,-89,-73,-90,-76,-82,-90,-94,-89,-83,-81,-96,-95,-90,-93,-200,-82,-91,-200,-200,-200,-200,-200,-200,-200,-200,-90,-92,-84,-88,-81,-200,-83,-200,-200,-200,-89,-88,-200,-200,-200,-95,-200,-91,-80,-91,-95,-97,-200,-200,-200,-200,-200,-200,-200
1526465371864,-36,-47,-39,-46,-59,-58,-55,-65,-61,-50,-71,-71,-63,-64,-61,-59,-39,-57,-62,-64,-72,-72,-72,-61,-69,-81,-76,-73,-70,-70,-82,-80,-89,-200,-63,-66,-78,-78,-89,-65,-82,-71,-70,-200,-56,-83,-76,-89,-200,-75,-84,-77,-93,-93,-72,-68,-80,-62,-89,-87,-94,-76,-82,-90,-200,-91,-83,-78,-96,-95,-93,-93,-200,-82,-93,-200,-200,-200,-92,-200,-200,-200,-200,-200,-92,-80,-90,-81,-200,-83,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-80,-91,-95,-97,-200,-200,-200,-200,-200,-200,-200
1526465374910,-35,-46,-50,-49,-57,-48,-55,-60,-61,-54,-71,-70,-62,-67,-68,-61,-42,-59,-67,-60,-52,-61,-73,-60,-69,-81,-74,-70,-73,-70,-87,-85,-85,-200,-64,-67,-73,-81,-200,-66,-89,-80,-73,-200,-59,-80,-76,-89,-200,-77,-85,-77,-93,-92,-73,-68,-80,-64,-89,-87,-90,-68,-86,-87,-200,-91,-78,-78,-96,-200,-91,-200,-200,-82,-94,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-77,-90,-89,-200,-83,-200,-200,-200,-200,-88,-95,-200,-200,-96,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200
1526465377961,-34,-48,-47,-49,-62,-44,-55,-63,-57,-50,-71,-69,-62,-80,-68,-59,-38,-61,-60,-63,-54,-63,-68,-60,-67,-81,-67,-68,-76,-72,-87,-82,-83,-200,-62,-67,-72,-81,-200,-66,-79,-79,-73,-200,-69,-78,-79,-93,-89,-77,-80,-70,-86,-92,-67,-75,-80,-69,-79,-85,-91,-74,-86,-90,-90,-90,-84,-83,-89,-200,-93,-200,-200,-90,-94,-200,-200,-200,-92,-93,-200,-200,-200,-94,-200,-77,-90,-89,-200,-200,-85,-200,-200,-200,-200,-95,-200,-200,-96,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526465381009,-38,-48,-41,-46,-59,-56,-59,-68,-58,-52,-76,-65,-50,-63,-74,-59,-39,-58,-58,-61,-54,-63,-72,-60,-71,-200,-77,-68,-81,-74,-89,-82,-88,-200,-69,-69,-82,-80,-200,-66,-80,-80,-70,-86,-61,-77,-78,-93,-88,-75,-86,-75,-87,-91,-70,-75,-82,-69,-90,-85,-88,-77,-82,-89,-90,-90,-81,-80,-89,-92,-95,-200,-200,-84,-94,-93,-200,-200,-92,-92,-200,-200,-200,-92,-200,-82,-200,-93,-200,-200,-85,-200,-200,-200,-200,-98,-200,-200,-96,-200,-200,-200,-200,-92,-200,-92,-93,-94,-200,-200,-200,-200
1526465384069,-34,-46,-40,-50,-59,-51,-55,-63,-60,-50,-76,-62,-53,-62,-61,-60,-44,-64,-59,-63,-64,-67,-76,-54,-70,-200,-76,-72,-76,-68,-89,-82,-88,-200,-61,-63,-73,-72,-200,-63,-79,-71,-71,-86,-68,-81,-76,-94,-88,-76,-83,-73,-91,-91,-74,-70,-82,-62,-91,-88,-88,-57,-85,-89,-90,-92,-84,-80,-89,-92,-95,-93,-200,-82,-200,-93,-200,-200,-92,-92,-200,-200,-200,-92,-91,-77,-200,-93,-200,-200,-85,-95,-200,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200,-92,-200,-92,-93,-94,-200,-200,-200,-200
1526465387129,-35,-53,-41,-49,-75,-53,-61,-65,-60,-52,-71,-62,-63,-62,-61,-61,-39,-57,-55,-65,-53,-67,-72,-65,-68,-200,-71,-68,-72,-68,-89,-83,-90,-200,-72,-70,-81,-78,-200,-63,-79,-72,-69,-86,-51,-88,-74,-94,-88,-79,-83,-73,-91,-92,-74,-71,-82,-59,-91,-88,-91,-57,-85,-89,-200,-90,-82,-80,-200,-93,-94,-93,-200,-81,-92,-95,-200,-200,-200,-92,-200,-200,-200,-92,-91,-77,-85,-93,-200,-200,-200,-95,-200,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200,-92,-200,-92,-93,-94,-200,-200,-200,-200
1526465390178,-38,-48,-43,-49,-75,-56,-50,-67,-60,-51,-71,-62,-67,-63,-61,-62,-40,-59,-67,-60,-50,-66,-69,-65,-73,-200,-67,-74,-77,-73,-80,-85,-93,-200,-70,-67,-73,-78,-200,-61,-77,-73,-71,-200,-53,-84,-77,-93,-200,-76,-85,-73,-91,-96,-76,-73,-78,-59,-87,-89,-92,-73,-85,-87,-200,-88,-82,-200,-200,-95,-91,-93,-200,-87,-93,-96,-200,-200,-92,-200,-200,-200,-200,-200,-96,-79,-85,-93,-200,-200,-200,-95,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-81,-98,-200,-200
1526465393245,-36,-44,-42,-49,-63,-54,-55,-67,-60,-53,-71,-63,-58,-64,-63,-57,-41,-62,-63,-61,-61,-72,-72,-65,-64,-200,-75,-72,-81,-73,-80,-83,-85,-200,-67,-67,-82,-78,-200,-64,-82,-73,-71,-200,-53,-82,-79,-91,-200,-78,-86,-73,-87,-90,-80,-72,-78,-63,-87,-89,-90,-73,-200,-89,-200,-88,-86,-80,-200,-93,-91,-93,-200,-87,-90,-96,-200,-200,-94,-94,-200,-200,-200,-200,-96,-78,-85,-93,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-81,-98,-200,-200
1526465396306,-35,-42,-40,-49,-58,-53,-56,-61,-59,-53,-200,-65,-62,-62,-62,-58,-47,-58,-59,-71,-67,-75,-73,-63,-66,-200,-76,-73,-79,-71,-81,-84,-91,-200,-61,-64,-81,-77,-87,-65,-87,-71,-72,-200,-66,-77,-74,-91,-200,-77,-83,-73,-93,-94,-71,-73,-78,-59,-87,-89,-89,-73,-86,-93,-200,-91,-86,-81,-94,-93,-91,-93,-200,-80,-92,-96,-200,-200,-94,-92,-200,-200,-200,-200,-91,-77,-200,-200,-200,-88,-88,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-81,-98,-200,-200
1526465399358,-35,-49,-41,-50,-59,-56,-54,-62,-62,-55,-76,-64,-61,-61,-62,-65,-43,-62,-63,-59,-61,-79,-74,-63,-65,-200,-75,-78,-77,-74,-81,-83,-85,-200,-69,-62,-77,-76,-88,-66,-81,-74,-71,-85,-63,-84,-73,-91,-87,-77,-83,-200,-93,-94,-69,-73,-200,-62,-200,-89,-89,-74,-89,-93,-200,-91,-87,-82,-94,-93,-91,-93,-200,-81,-92,-93,-200,-200,-92,-92,-200,-200,-200,-200,-89,-78,-200,-200,-200,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-92,-94,-200,-200,-200,-89,-200
1526465402413,-42,-48,-40,-50,-66,-58,-53,-62,-61,-53,-76,-62,-64,-61,-62,-64,-45,-61,-67,-65,-61,-70,-72,-59,-72,-86,-73,-78,-79,-76,-81,-84,-85,-200,-73,-70,-78,-76,-88,-62,-80,-72,-68,-85,-60,-83,-79,-200,-85,-78,-86,-200,-90,-90,-74,-74,-84,-61,-88,-200,-90,-74,-89,-86,-88,-89,-86,-84,-94,-93,-93,-93,-200,-83,-90,-95,-200,-200,-92,-94,-200,-200,-200,-200,-89,-78,-200,-94,-200,-88,-88,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-79,-200,-200,-200,-92,-94,-200,-200,-200,-89,-98
