,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526465577979,-86,-200,-200,-200,-200,-200,-92,-200,-200,-84,-200,-90,-200,-200,-200,-200,-200,-200
1526465582415,-85,-77,-87,-96,-200,-89,-91,-200,-92,-82,-200,-90,-200,-80,-200,-200,-200,-200
1526465582517,-83,-77,-86,-97,-200,-200,-92,-200,-94,-82,-86,-200,-200,-79,-200,-200,-200,-200
1526465582630,-85,-76,-86,-200,-91,-88,-200,-200,-94,-81,-86,-91,-200,-80,-200,-200,-200,-200
1526465582715,-85,-78,-86,-96,-92,-89,-92,-200,-92,-80,-200,-91,-200,-81,-200,-200,-200,-200
1526465582820,-200,-77,-200,-96,-91,-88,-93,-98,-93,-200,-87,-91,-95,-200,-200,-200,-200,-200
1526465582941,-84,-77,-85,-95,-200,-82,-91,-95,-95,-81,-85,-200,-95,-88,-200,-200,-200,-200
1526465587378,-74,-81,-76,-92,-200,-63,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526465587481,-200,-80,-200,-89,-92,-200,-200,-200,-200,-200,-86,-89,-93,-73,-200,-200,-200,-200
1526465587591,-74,-80,-76,-200,-91,-63,-200,-200,-200,-86,-200,-200,-200,-73,-200,-200,-200,-200
1526465587710,-74,-79,-200,-91,-200,-63,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526465587824,-74,-80,-76,-200,-91,-63,-200,-200,-200,-200,-200,-91,-200,-72,-200,-200,-200,-200
1526465587932,-74,-74,-200,-91,-200,-200,-200,-200,-86,-87,-200,-89,-89,-74,-200,-200,-200,-200
1526465592474,-77,-77,-200,-200,-200,-71,-200,-200,-86,-88,-90,-88,-200,-74,-200,-200,-200,-97
1526465592710,-200,-73,-200,-200,-89,-71,-200,-200,-200,-89,-90,-88,-200,-74,-200,-95,-200,-200
1526465592831,-77,-75,-77,-200,-89,-200,-200,-200,-200,-200,-89,-200,-200,-74,-200,-200,-200,-200
1526465597377,-200,-200,-86,-95,-91,-89,-200,-95,-94,-83,-200,-200,-200,-78,-200,-200,-200,-200
1526465597489,-200,-77,-87,-94,-91,-86,-93,-200,-95,-82,-200,-91,-200,-200,-200,-200,-200,-200
1526465597573,-85,-78,-86,-95,-92,-90,-93,-200,-95,-82,-86,-93,-95,-80,-200,-200,-200,-200
1526465597743,-200,-77,-87,-200,-92,-90,-200,-200,-200,-200,-200,-91,-96,-80,-200,-200,-200,-200
1526465597858,-200,-200,-200,-97,-91,-200,-200,-200,-200,-82,-87,-200,-94,-80,-200,-200,-200,-200
1526465597972,-74,-79,-76,-200,-200,-63,-200,-200,-200,-200,-87,-200,-200,-80,-200,-200,-200,-200
1526465602552,-73,-79,-200,-200,-200,-64,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200
1526465602662,-74,-79,-75,-91,-200,-200,-200,-200,-200,-86,-200,-200,-200,-73,-200,-200,-200,-200
1526465602772,-73,-80,-200,-200,-200,-63,-200,-200,-200,-85,-200,-91,-93,-73,-200,-200,-200,-200
1526465602891,-200,-79,-76,-200,-88,-200,-200,-200,-200,-200,-200,-89,-200,-73,-200,-200,-200,-200
1526465607409,-76,-74,-77,-89,-88,-200,-200,-200,-86,-200,-200,-200,-200,-74,-200,-95,-200,-200
1526465607529,-200,-74,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200
1526465607641,-77,-74,-200,-200,-200,-71,-200,-200,-200,-81,-200,-200,-200,-74,-93,-97,-200,-200
1526465607742,-200,-74,-200,-89,-89,-200,-200,-200,-200,-81,-200,-200,-91,-74,-92,-200,-200,-200
1526465607845,-76,-76,-77,-88,-88,-71,-200,-200,-86,-200,-200,-200,-200,-200,-92,-96,-200,-96
1526465607984,-77,-74,-200,-96,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465612387,-86,-77,-87,-200,-90,-91,-94,-200,-200,-82,-87,-90,-200,-200,-200,-200,-200,-200
1526465612500,-84,-77,-86,-200,-91,-90,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200
1526465612600,-200,-77,-86,-95,-90,-88,-200,-96,-94,-82,-86,-91,-200,-80,-200,-200,-200,-200
1526465612730,-84,-76,-200,-200,-90,-89,-200,-96,-93,-81,-86,-90,-200,-80,-200,-200,-200,-200
1526465612838,-84,-77,-200,-200,-91,-88,-200,-200,-200,-82,-86,-90,-200,-80,-200,-200,-200,-200
1526465612934,-200,-76,-200,-200,-200,-200,-92,-96,-200,-82,-200,-200,-93,-80,-200,-200,-200,-200
