,WHU-2018,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526460835644,-26,-28,-37,-45,-47,-47,-41,-47,-55,-47,-53,-56,-56,-200,-57,-63,-200,-200,-60,-66,-68,-66,-200,-72,-67,-54,-200,-200,-70,-68,-72,-71,-67,-77,-64,-48,-200,-75,-58,-200,-200,-200,-200,-75,-81,-75,-77,-73,-200,-83,-200,-200,-200,-200,-84,-200,-58,-65,-69,-200,-75,-88,-200,-200,-200,-200,-79,-200,-64,-200,-200,-200,-200,-200,-200,-200,-66,-85,-200,-200,-200,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460838707,-26,-29,-36,-45,-50,-47,-43,-48,-55,-47,-72,-56,-56,-200,-52,-62,-200,-200,-84,-66,-62,-65,-84,-72,-66,-54,-200,-64,-69,-69,-72,-71,-200,-75,-64,-74,-90,-76,-79,-200,-200,-200,-200,-77,-90,-84,-200,-80,-81,-83,-200,-87,-200,-200,-91,-200,-200,-71,-69,-200,-74,-200,-200,-90,-86,-200,-80,-200,-64,-200,-200,-90,-200,-89,-200,-200,-66,-86,-200,-89,-200,-200,-92,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460841768,-31,-30,-36,-46,-80,-47,-42,-48,-55,-49,-53,-56,-56,-200,-53,-62,-200,-62,-62,-68,-62,-65,-84,-72,-66,-54,-200,-65,-70,-68,-72,-69,-65,-75,-75,-76,-81,-76,-79,-200,-200,-200,-76,-83,-90,-77,-77,-80,-81,-83,-200,-87,-200,-200,-91,-200,-200,-74,-69,-200,-74,-200,-200,-90,-86,-200,-77,-200,-64,-200,-88,-90,-200,-89,-200,-200,-67,-86,-200,-89,-200,-200,-92,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460844829,-28,-29,-39,-46,-48,-41,-40,-43,-55,-47,-53,-55,-57,-48,-54,-66,-200,-61,-62,-68,-62,-66,-200,-200,-69,-66,-70,-63,-71,-68,-69,-70,-67,-200,-75,-77,-81,-77,-57,-200,-76,-200,-76,-83,-83,-83,-77,-82,-200,-200,-200,-73,-200,-77,-200,-200,-59,-74,-200,-200,-200,-200,-200,-200,-86,-70,-77,-200,-200,-200,-88,-200,-200,-200,-200,-200,-67,-84,-200,-200,-200,-87,-200,-200,-200,-79,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460847837,-25,-31,-36,-46,-45,-52,-41,-50,-56,-68,-53,-59,-55,-55,-53,-62,-61,-61,-200,-200,-65,-66,-200,-200,-68,-55,-70,-63,-73,-68,-69,-70,-67,-200,-64,-77,-80,-75,-79,-200,-76,-200,-200,-81,-83,-83,-76,-80,-75,-200,-84,-73,-200,-77,-200,-200,-55,-69,-200,-200,-200,-200,-200,-200,-86,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-90,-87,-200,-200,-200,-79,-82,-78,-200,-200,-200,-200,-200,-200,-200,-200
1526460850869,-30,-40,-36,-79,-45,-43,-43,-48,-54,-48,-54,-58,-58,-55,-55,-64,-64,-200,-58,-68,-65,-200,-200,-200,-66,-62,-70,-200,-75,-70,-69,-200,-200,-74,-68,-77,-80,-76,-78,-200,-200,-200,-200,-83,-81,-80,-76,-82,-84,-200,-84,-200,-200,-200,-79,-200,-62,-69,-200,-67,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-91,-84,-81,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-90,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200
1526460853928,-26,-30,-39,-45,-50,-42,-41,-46,-54,-47,-54,-56,-57,-200,-59,-65,-64,-63,-72,-72,-72,-80,-84,-72,-65,-62,-70,-200,-72,-68,-68,-200,-68,-74,-64,-77,-89,-77,-80,-200,-77,-200,-72,-82,-80,-83,-200,-82,-84,-200,-200,-73,-200,-200,-92,-200,-59,-200,-200,-67,-200,-200,-79,-200,-87,-200,-81,-200,-200,-200,-200,-91,-84,-89,-200,-200,-77,-84,-200,-200,-200,-89,-200,-80,-90,-200,-200,-200,-83,-88,-200,-200,-200,-200,-200,-200
1526460856997,-26,-29,-36,-44,-44,-45,-41,-47,-54,-48,-56,-56,-57,-50,-50,-65,-67,-63,-72,-68,-59,-80,-84,-71,-65,-50,-70,-200,-71,-68,-68,-64,-68,-74,-64,-77,-89,-76,-57,-200,-77,-200,-72,-71,-81,-83,-200,-82,-80,-200,-200,-73,-89,-200,-92,-200,-59,-200,-200,-67,-75,-89,-79,-200,-87,-200,-81,-200,-64,-200,-200,-91,-84,-89,-200,-200,-77,-83,-200,-200,-200,-89,-200,-80,-90,-200,-200,-200,-83,-88,-79,-200,-200,-200,-200,-200
1526460860050,-27,-29,-37,-45,-47,-47,-43,-48,-56,-47,-52,-56,-56,-50,-53,-60,-67,-200,-67,-68,-61,-64,-200,-68,-64,-50,-74,-200,-71,-69,-71,-71,-200,-200,-64,-78,-200,-78,-78,-200,-200,-200,-200,-78,-81,-85,-200,-200,-79,-200,-200,-200,-89,-200,-200,-200,-56,-71,-70,-200,-75,-89,-200,-200,-200,-68,-200,-200,-64,-200,-200,-91,-200,-200,-200,-200,-65,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-82,-200,-200,-200,-200
1526460863118,-21,-28,-36,-45,-47,-40,-41,-65,-56,-47,-74,-56,-56,-67,-52,-66,-77,-63,-91,-70,-59,-64,-68,-68,-64,-56,-75,-200,-71,-68,-71,-70,-200,-200,-64,-78,-200,-75,-78,-200,-200,-200,-200,-84,-200,-83,-200,-83,-79,-81,-200,-200,-89,-200,-84,-200,-74,-71,-68,-71,-200,-200,-200,-200,-200,-83,-200,-91,-67,-200,-200,-200,-200,-200,-91,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-82,-83,-90,-200,-200
1526460866166,-31,-31,-36,-43,-44,-40,-40,-68,-56,-47,-54,-55,-56,-55,-56,-64,-63,-61,-91,-70,-64,-200,-66,-68,-200,-56,-75,-65,-72,-69,-200,-63,-200,-200,-200,-76,-200,-77,-81,-200,-200,-75,-200,-85,-200,-81,-79,-83,-77,-81,-200,-200,-200,-200,-84,-200,-74,-58,-73,-69,-71,-200,-200,-200,-200,-83,-200,-91,-67,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-83,-90,-200,-200
1526460869234,-26,-29,-39,-67,-48,-42,-44,-47,-69,-47,-54,-57,-57,-54,-83,-63,-63,-63,-200,-69,-68,-80,-86,-72,-65,-55,-200,-65,-71,-69,-200,-71,-200,-91,-63,-76,-200,-78,-77,-200,-76,-75,-200,-81,-200,-83,-79,-200,-77,-200,-200,-86,-87,-200,-200,-200,-72,-58,-68,-69,-71,-88,-200,-200,-200,-70,-200,-200,-62,-200,-200,-200,-200,-91,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-84
