,vlucci.com AC-V1.4.0.0,0123.0012-vlucci.com A1.4.0.1,0124.0012-vlucci.com A1.4.0.1,0122.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526461687354,-200,-200,-89,-200,-200,-200,-96,-200
1526461687457,-200,-200,-87,-200,-200,-200,-97,-200
1526461692148,-200,-81,-83,-200,-200,-200,-200,-200
1526461692232,-200,-200,-83,-200,-200,-200,-200,-200
1526461692332,-200,-200,-82,-200,-200,-200,-91,-91
1526461696989,-200,-71,-82,-200,-200,-200,-200,-200
1526461697236,-200,-71,-83,-200,-200,-200,-200,-200
1526461697328,-200,-71,-200,-200,-200,-200,-200,-91
1526461697438,-200,-71,-89,-200,-200,-200,-200,-200
1526461702048,-200,-79,-89,-200,-200,-200,-200,-200
1526461702141,-200,-79,-89,-200,-200,-200,-200,-200
1526461702262,-200,-79,-90,-200,-200,-200,-200,-200
1526461702347,-98,-78,-200,-200,-200,-94,-200,-200
1526461706985,-200,-77,-83,-200,-200,-93,-200,-200
1526461707094,-200,-77,-82,-200,-200,-200,-200,-200
1526461707180,-200,-78,-82,-200,-200,-200,-200,-97
1526461707401,-200,-76,-81,-200,-200,-200,-200,-200
1526461707434,-200,-77,-81,-200,-200,-200,-200,-200
1526461712129,-200,-78,-87,-200,-200,-200,-200,-92
