,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526451205037,-46,-57,-70,-54,-72,-74,-64,-62,-64,-65,-60,-83,-87,-66,-74,-51,-87,-200,-82,-82,-93,-81,-85,-74,-78,-68,-81,-200,-200,-200,-200,-85,-200,-200,-85,-200,-77,-85,-90,-200,-200,-200
1526451208052,-46,-57,-70,-54,-72,-74,-64,-62,-64,-65,-60,-83,-87,-66,-74,-51,-87,-200,-82,-82,-93,-81,-85,-74,-78,-68,-81,-200,-200,-200,-200,-85,-200,-200,-85,-200,-77,-85,-90,-200,-200,-200
1526451211086,-46,-57,-70,-54,-72,-74,-64,-62,-64,-65,-60,-83,-87,-66,-74,-51,-87,-200,-82,-82,-93,-81,-85,-74,-78,-68,-81,-200,-200,-200,-200,-85,-200,-200,-85,-200,-77,-85,-90,-200,-200,-200
1526451214119,-51,-57,-69,-52,-72,-68,-64,-63,-66,-68,-67,-83,-87,-66,-74,-49,-87,-81,-78,-83,-200,-79,-86,-79,-80,-67,-82,-200,-200,-200,-200,-85,-200,-89,-85,-200,-200,-200,-200,-200,-200,-200
1526451217153,-51,-58,-72,-56,-72,-70,-64,-63,-62,-69,-62,-83,-87,-69,-75,-49,-87,-81,-79,-83,-200,-80,-86,-73,-80,-67,-82,-200,-200,-200,-200,-85,-200,-89,-85,-200,-77,-200,-200,-83,-200,-200
1526451220192,-51,-58,-72,-56,-72,-70,-64,-63,-62,-69,-62,-83,-87,-69,-75,-49,-87,-81,-79,-83,-200,-80,-86,-73,-80,-67,-82,-200,-200,-200,-200,-85,-200,-89,-85,-200,-77,-200,-200,-83,-200,-200
1526451223232,-51,-58,-72,-56,-72,-70,-64,-63,-62,-69,-62,-83,-87,-69,-75,-49,-87,-81,-79,-83,-200,-80,-86,-73,-80,-67,-82,-200,-200,-200,-200,-85,-200,-89,-85,-200,-77,-200,-200,-83,-200,-200
1526451226276,-45,-58,-68,-55,-74,-69,-64,-63,-63,-66,-59,-78,-85,-65,-75,-51,-85,-81,-79,-82,-200,-78,-86,-73,-81,-67,-82,-200,-200,-200,-200,-86,-200,-200,-84,-200,-76,-200,-89,-82,-87,-200
1526451229312,-45,-57,-68,-54,-72,-69,-72,-63,-61,-69,-60,-78,-86,-65,-73,-51,-85,-81,-79,-82,-200,-83,-86,-75,-81,-70,-82,-200,-200,-200,-200,-86,-200,-200,-84,-200,-76,-200,-89,-82,-87,-200
1526451232350,-45,-57,-68,-54,-72,-69,-72,-63,-61,-69,-60,-78,-86,-65,-73,-51,-85,-81,-79,-82,-200,-83,-86,-75,-81,-70,-82,-200,-200,-200,-200,-86,-200,-200,-84,-200,-76,-200,-89,-82,-87,-200
1526451235390,-45,-57,-68,-54,-72,-69,-72,-63,-61,-69,-60,-78,-86,-65,-73,-51,-85,-81,-79,-82,-200,-83,-86,-75,-81,-70,-82,-200,-200,-200,-200,-86,-200,-200,-84,-200,-76,-200,-89,-82,-87,-200
1526451238429,-48,-58,-70,-50,-72,-67,-64,-62,-66,-70,-60,-79,-86,-65,-76,-50,-200,-200,-81,-82,-200,-80,-86,-73,-200,-68,-80,-200,-200,-200,-200,-86,-200,-200,-84,-200,-200,-200,-200,-82,-200,-97
