,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526452582653,-79,-200,-200,-85,-200,-200,-75,-200,-200,-200,-78,-200,-200,-200,-97,-200,-200,-81,-73,-200,-200,-200,-200,-87,-66,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200
1526452582774,-200,-70,-76,-85,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-82,-72,-200,-72,-96,-200,-87,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526452582892,-79,-69,-75,-85,-200,-200,-76,-80,-200,-89,-200,-200,-200,-200,-200,-90,-200,-82,-72,-200,-72,-200,-200,-86,-66,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452583000,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-71,-200,-200,-200,-200,-73,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526452587408,-200,-200,-200,-200,-200,-200,-200,-200,-87,-71,-77,-86,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-96,-200,-95,-200,-200,-200,-200,-200
1526452587530,-200,-200,-72,-81,-93,-200,-200,-200,-200,-200,-77,-86,-93,-200,-200,-87,-200,-78,-74,-200,-200,-200,-200,-89,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200
1526452587621,-80,-68,-200,-81,-200,-200,-77,-200,-200,-70,-77,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-72,-200,-200,-200,-89,-200,-200,-200,-200
1526452587742,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-77,-86,-93,-200,-200,-200,-86,-200,-73,-200,-71,-200,-200,-200,-65,-72,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526452587828,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-67,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526452587939,-200,-200,-73,-81,-200,-200,-72,-83,-87,-70,-77,-200,-93,-200,-98,-200,-86,-200,-81,-200,-200,-200,-200,-96,-68,-86,-72,-200,-200,-200,-90,-95,-200,-200,-200
1526452592490,-200,-70,-83,-200,-200,-200,-72,-93,-200,-79,-200,-200,-200,-200,-200,-200,-86,-200,-80,-200,-200,-200,-200,-95,-200,-78,-81,-200,-200,-200,-200,-200,-200,-200,-200
1526452592596,-93,-70,-81,-87,-200,-96,-71,-93,-92,-200,-88,-200,-200,-200,-200,-90,-86,-98,-200,-200,-74,-200,-200,-95,-200,-77,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526452592785,-95,-70,-81,-200,-92,-96,-72,-200,-92,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-73,-200,-200,-96,-80,-77,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526452592902,-93,-69,-200,-200,-93,-95,-71,-93,-200,-77,-200,-200,-200,-200,-200,-89,-200,-200,-80,-93,-74,-200,-200,-95,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526452593026,-83,-70,-81,-87,-200,-200,-72,-93,-92,-200,-87,-200,-95,-200,-200,-200,-200,-200,-200,-94,-200,-200,-93,-96,-84,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452597397,-85,-71,-200,-85,-89,-200,-200,-80,-200,-90,-200,-200,-200,-200,-95,-89,-200,-82,-74,-200,-73,-200,-200,-200,-66,-83,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526452597517,-88,-70,-72,-84,-90,-200,-200,-80,-200,-200,-200,-94,-200,-200,-200,-90,-85,-82,-72,-200,-73,-200,-200,-200,-200,-200,-74,-200,-90,-200,-200,-200,-200,-200,-200
1526452597631,-200,-70,-75,-200,-91,-200,-81,-200,-200,-84,-200,-200,-200,-200,-95,-92,-200,-84,-73,-200,-200,-200,-200,-87,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452597805,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-82,-73,-200,-200,-200,-89,-200,-67,-75,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526452597909,-83,-200,-75,-88,-200,-200,-77,-79,-200,-82,-78,-200,-92,-200,-200,-200,-200,-200,-72,-200,-71,-200,-90,-200,-67,-73,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526452598026,-200,-71,-200,-85,-88,-200,-75,-200,-200,-200,-78,-200,-200,-200,-90,-200,-84,-82,-200,-200,-200,-95,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452602409,-200,-68,-72,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-89,-200,-85,-77,-72,-200,-72,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200
1526452602512,-80,-68,-72,-200,-200,-200,-75,-83,-200,-70,-200,-200,-200,-200,-90,-86,-86,-77,-72,-93,-200,-200,-200,-200,-65,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452602640,-80,-68,-72,-200,-200,-200,-75,-200,-200,-71,-76,-200,-200,-200,-200,-85,-87,-200,-200,-200,-72,-200,-200,-200,-67,-72,-72,-200,-200,-200,-200,-200,-200,-200,-200
1526452602770,-200,-68,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-72,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452602880,-81,-68,-73,-86,-200,-200,-200,-84,-87,-71,-76,-86,-200,-200,-200,-200,-200,-77,-73,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200
1526452607417,-200,-200,-83,-88,-94,-200,-71,-93,-93,-77,-84,-200,-200,-200,-200,-89,-88,-94,-80,-200,-73,-200,-200,-200,-75,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526452607508,-91,-70,-200,-87,-200,-200,-200,-93,-200,-78,-84,-200,-93,-200,-200,-89,-88,-200,-81,-93,-73,-200,-200,-96,-76,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452607678,-91,-70,-200,-87,-93,-200,-72,-93,-200,-200,-200,-200,-93,-200,-200,-90,-88,-200,-80,-94,-73,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452607744,-92,-200,-200,-87,-94,-94,-200,-200,-200,-200,-200,-200,-93,-93,-200,-200,-88,-94,-200,-200,-74,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452607847,-92,-200,-84,-86,-94,-94,-71,-200,-200,-78,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452607950,-200,-70,-84,-87,-94,-93,-71,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-80,-200,-200,-200,-200,-96,-76,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526452608063,-200,-200,-200,-86,-93,-200,-200,-200,-200,-86,-200,-200,-200,-200,-99,-200,-200,-96,-200,-200,-73,-200,-92,-87,-200,-78,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526452612441,-200,-70,-73,-85,-91,-200,-74,-81,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-71,-92,-91,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526452612533,-80,-70,-73,-85,-89,-200,-75,-80,-200,-85,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452612639,-200,-70,-200,-200,-92,-200,-77,-200,-200,-90,-78,-200,-200,-200,-200,-200,-83,-81,-72,-95,-72,-200,-200,-87,-67,-200,-79,-200,-88,-200,-200,-200,-94,-200,-200
1526452612734,-200,-70,-73,-84,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-82,-72,-200,-72,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526452612849,-200,-69,-200,-200,-200,-200,-74,-200,-200,-86,-78,-200,-93,-200,-200,-91,-200,-82,-72,-200,-72,-200,-200,-200,-200,-200,-80,-200,-88,-200,-200,-200,-94,-94,-200
1526452612957,-200,-70,-74,-200,-89,-200,-77,-80,-200,-89,-78,-200,-200,-200,-200,-200,-82,-200,-73,-200,-200,-200,-200,-200,-67,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526452613079,-200,-200,-200,-200,-200,-88,-76,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-72,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452617432,-200,-68,-70,-200,-91,-200,-200,-86,-200,-71,-76,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-90,-90,-67,-71,-73,-200,-200,-94,-200,-200,-200,-200,-200
1526452617530,-81,-68,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-90,-200,-200,-200,-74,-200,-67,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-94,-200,-200,-200
1526452617644,-78,-200,-200,-82,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-78,-200,-90,-200,-200,-200,-200,-68,-73,-200,-200,-200,-200,-200,-200,-200,-200,-98
1526452617760,-80,-200,-77,-85,-92,-200,-200,-200,-86,-70,-200,-200,-200,-200,-200,-86,-200,-77,-200,-200,-67,-200,-200,-200,-200,-73,-68,-96,-200,-200,-200,-200,-200,-200,-200
1526452617847,-200,-68,-200,-200,-94,-200,-200,-85,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-68,-73,-66,-200,-200,-200,-200,-200,-200,-200,-200
1526452617948,-200,-68,-200,-200,-200,-200,-200,-84,-88,-68,-200,-85,-85,-200,-200,-86,-200,-200,-200,-200,-68,-200,-200,-200,-200,-72,-65,-200,-200,-200,-90,-200,-200,-200,-200
1526452618057,-200,-71,-200,-84,-200,-200,-78,-83,-89,-200,-200,-85,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452622411,-200,-71,-84,-200,-200,-200,-71,-200,-200,-77,-200,-200,-200,-91,-200,-200,-86,-200,-80,-200,-73,-200,-200,-94,-77,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452622514,-200,-200,-83,-88,-200,-200,-71,-200,-200,-78,-200,-200,-200,-93,-200,-90,-200,-200,-81,-200,-73,-200,-200,-200,-200,-77,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526452622628,-200,-200,-83,-86,-93,-200,-72,-93,-200,-200,-200,-200,-200,-94,-200,-200,-87,-200,-80,-200,-200,-200,-200,-200,-77,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452622749,-200,-200,-200,-200,-200,-96,-72,-200,-200,-78,-86,-200,-200,-200,-200,-200,-200,-97,-80,-200,-73,-200,-200,-200,-77,-77,-78,-200,-200,-200,-200,-200,-200,-200,-200
1526452622845,-200,-70,-84,-87,-94,-200,-72,-200,-200,-78,-200,-200,-93,-200,-200,-200,-200,-95,-80,-200,-73,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452622944,-200,-70,-200,-200,-200,-94,-72,-94,-200,-200,-84,-200,-200,-200,-200,-200,-200,-95,-80,-200,-73,-200,-200,-95,-77,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452627402,-200,-70,-200,-85,-90,-200,-75,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-83,-73,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452627520,-200,-200,-74,-200,-200,-200,-77,-80,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200
1526452627626,-200,-200,-74,-200,-90,-200,-74,-82,-200,-200,-200,-200,-200,-200,-200,-90,-200,-82,-73,-200,-71,-200,-92,-88,-67,-73,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526452627725,-200,-71,-74,-200,-90,-200,-76,-200,-200,-84,-200,-200,-200,-200,-200,-88,-84,-200,-72,-200,-72,-200,-200,-200,-67,-200,-78,-200,-89,-200,-200,-200,-200,-200,-200
1526452627833,-85,-70,-73,-85,-200,-200,-200,-80,-90,-83,-200,-200,-200,-200,-200,-91,-84,-82,-73,-200,-72,-200,-94,-86,-200,-73,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526452627936,-86,-200,-74,-200,-200,-200,-73,-80,-200,-200,-79,-200,-200,-200,-200,-200,-85,-82,-73,-200,-200,-200,-96,-86,-67,-74,-77,-200,-200,-200,-200,-200,-200,-200,-200
1526452628052,-86,-70,-74,-200,-200,-200,-200,-80,-200,-200,-79,-200,-200,-200,-200,-91,-84,-200,-200,-200,-200,-200,-200,-200,-67,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452632415,-200,-69,-72,-80,-96,-200,-200,-85,-200,-67,-200,-86,-200,-200,-200,-88,-87,-200,-200,-200,-74,-200,-200,-88,-68,-74,-200,-200,-200,-96,-200,-200,-200,-200,-200
1526452632523,-76,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-85,-200,-200,-92,-200,-85,-76,-72,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452632617,-76,-200,-72,-200,-200,-200,-200,-85,-87,-200,-200,-85,-200,-200,-92,-200,-85,-77,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452632732,-200,-200,-72,-81,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-92,-89,-84,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452632829,-76,-200,-200,-200,-99,-200,-200,-200,-200,-68,-75,-85,-200,-200,-94,-200,-84,-77,-71,-200,-200,-200,-200,-200,-200,-73,-71,-200,-200,-200,-200,-200,-200,-200,-200
1526452632968,-200,-200,-72,-200,-200,-200,-200,-200,-200,-69,-75,-85,-200,-200,-200,-200,-85,-200,-72,-200,-200,-200,-200,-200,-67,-200,-200,-94,-95,-200,-200,-200,-200,-200,-200
1526452633116,-200,-72,-200,-82,-100,-200,-74,-200,-200,-70,-200,-200,-98,-200,-200,-93,-89,-200,-200,-200,-79,-200,-200,-200,-81,-73,-200,-200,-200,-200,-96,-200,-200,-200,-200
1526452637458,-200,-71,-80,-93,-200,-94,-74,-94,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-79,-81,-200,-95,-200,-200,-200,-200,-200,-200
1526452637575,-200,-72,-200,-200,-97,-93,-75,-200,-200,-75,-200,-200,-200,-200,-200,-200,-88,-89,-85,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452637683,-200,-71,-200,-200,-200,-200,-74,-94,-200,-76,-200,-200,-200,-200,-200,-200,-200,-88,-86,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526452637788,-200,-72,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-86,-200,-200,-200,-200,-200,-75,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200
1526452637890,-200,-200,-85,-200,-99,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526452637994,-200,-72,-200,-94,-200,-97,-200,-200,-200,-74,-200,-200,-96,-200,-200,-200,-200,-200,-87,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
