,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526460714126,-31,-45,-53,-69,-55,-56,-68,-54,-61,-67,-76,-75,-54,-68,-78,-85,-69,-77,-86,-73,-85,-78,-83,-79,-200,-75,-200,-77,-76,-200,-87,-82,-93,-90,-88,-200,-88,-88,-89,-84,-200,-200,-200,-75,-77,-90,-200,-75,-200,-200,-200,-91,-89,-200,-92,-200
1526460717159,-29,-45,-52,-67,-61,-56,-67,-54,-63,-66,-64,-75,-57,-67,-78,-85,-80,-77,-91,-71,-84,-79,-83,-79,-200,-74,-200,-77,-77,-200,-87,-81,-91,-90,-84,-200,-86,-84,-90,-85,-200,-200,-200,-80,-79,-89,-89,-71,-200,-200,-200,-200,-89,-200,-92,-200
1526460720166,-22,-45,-87,-77,-62,-57,-69,-56,-64,-66,-70,-78,-56,-70,-78,-200,-73,-73,-91,-80,-84,-79,-83,-80,-200,-74,-200,-79,-77,-200,-87,-81,-91,-200,-86,-200,-87,-89,-89,-85,-200,-200,-200,-71,-79,-90,-89,-71,-200,-200,-200,-200,-89,-200,-92,-92
1526460723196,-30,-46,-49,-66,-61,-57,-65,-55,-61,-65,-68,-75,-56,-67,-79,-200,-75,-78,-91,-71,-84,-80,-82,-82,-200,-73,-200,-77,-77,-200,-87,-80,-92,-88,-87,-200,-88,-89,-89,-87,-89,-200,-200,-70,-80,-90,-89,-78,-85,-200,-200,-200,-89,-90,-200,-92
1526460726227,-30,-46,-54,-69,-62,-55,-68,-56,-63,-65,-68,-76,-57,-65,-78,-200,-80,-77,-91,-72,-84,-78,-83,-81,-200,-75,-200,-78,-77,-200,-88,-78,-92,-88,-86,-200,-86,-89,-89,-87,-89,-200,-200,-81,-81,-91,-92,-77,-85,-200,-200,-200,-89,-90,-200,-92
1526460729258,-32,-46,-53,-68,-58,-56,-68,-54,-63,-64,-72,-78,-55,-68,-77,-84,-75,-78,-200,-74,-83,-81,-84,-81,-200,-79,-200,-82,-77,-200,-87,-86,-92,-90,-85,-200,-88,-86,-89,-86,-89,-200,-200,-74,-81,-91,-90,-77,-85,-200,-200,-200,-90,-90,-200,-92
1526460732291,-30,-47,-52,-69,-61,-56,-68,-56,-61,-66,-69,-75,-58,-68,-78,-84,-70,-75,-200,-71,-83,-81,-84,-80,-200,-75,-200,-78,-77,-200,-88,-84,-92,-90,-86,-200,-88,-84,-89,-86,-90,-200,-200,-77,-77,-90,-91,-79,-85,-200,-200,-200,-88,-90,-200,-200
1526460735321,-30,-45,-52,-79,-61,-55,-74,-52,-60,-66,-83,-75,-56,-68,-86,-84,-74,-74,-89,-80,-92,-87,-85,-80,-200,-77,-200,-78,-77,-200,-92,-81,-91,-90,-86,-200,-89,-86,-89,-86,-90,-200,-200,-73,-81,-90,-91,-79,-200,-200,-200,-200,-88,-200,-200,-200
1526460738352,-30,-47,-51,-70,-61,-57,-65,-54,-63,-66,-77,-77,-55,-68,-77,-85,-71,-76,-88,-73,-83,-79,-84,-79,-200,-78,-83,-78,-78,-200,-92,-81,-91,-90,-85,-200,-84,-85,-200,-86,-90,-200,-200,-82,-81,-90,-89,-79,-200,-85,-200,-200,-88,-200,-200,-200
1526460741382,-31,-46,-51,-66,-60,-56,-65,-54,-61,-64,-76,-77,-56,-68,-78,-85,-75,-76,-88,-71,-84,-79,-85,-79,-200,-78,-83,-82,-78,-200,-88,-81,-91,-90,-85,-200,-85,-85,-89,-200,-90,-200,-200,-82,-80,-86,-89,-79,-200,-85,-200,-200,-88,-200,-200,-200
1526460744415,-30,-44,-50,-72,-62,-56,-66,-56,-60,-64,-72,-78,-54,-64,-78,-83,-79,-76,-88,-78,-84,-78,-84,-79,-200,-75,-83,-78,-79,-200,-87,-83,-91,-90,-84,-200,-85,-88,-89,-200,-200,-200,-200,-71,-80,-86,-89,-79,-200,-85,-200,-200,-89,-200,-200,-200
1526460747445,-32,-48,-52,-70,-60,-56,-68,-55,-61,-65,-65,-71,-56,-66,-78,-82,-76,-75,-88,-72,-82,-78,-85,-82,-200,-72,-83,-78,-78,-200,-87,-81,-200,-90,-84,-200,-86,-87,-91,-200,-200,-200,-200,-81,-80,-92,-89,-78,-200,-85,-200,-200,-89,-200,-200,-200
