,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526460885017,-34,-40,-34,-51,-54,-59,-61,-68,-66,-62,-70,-76,-78,-79,-78,-79,-80,-81,-80,-85,-85,-84,-86,-200,-87,-85,-79,-83,-83,-200,-88,-87,-200,-200,-88,-89,-88,-200,-85,-90,-88,-88,-86,-200,-73,-82,-87,-81,-200,-92,-92,-200,-200,-200
1526460888046,-33,-40,-35,-53,-56,-64,-61,-69,-69,-64,-67,-74,-76,-79,-79,-79,-78,-80,-81,-87,-82,-84,-88,-200,-89,-84,-88,-84,-87,-200,-87,-82,-200,-200,-86,-91,-91,-91,-86,-90,-86,-87,-200,-200,-72,-84,-87,-79,-89,-92,-200,-200,-200,-200
1526460891076,-34,-40,-35,-51,-52,-64,-63,-68,-68,-63,-73,-77,-76,-78,-77,-77,-77,-78,-81,-88,-83,-85,-88,-200,-90,-84,-88,-83,-83,-88,-87,-85,-200,-200,-86,-87,-89,-91,-86,-90,-88,-90,-86,-200,-72,-82,-87,-84,-89,-90,-200,-200,-200,-200
1526460894110,-32,-39,-35,-52,-54,-57,-61,-68,-68,-63,-74,-69,-82,-78,-79,-78,-76,-69,-82,-84,-84,-84,-88,-200,-89,-82,-87,-83,-83,-88,-89,-85,-200,-200,-86,-87,-87,-91,-84,-200,-88,-89,-86,-91,-74,-82,-86,-81,-89,-90,-200,-200,-200,-200
1526460897137,-33,-40,-35,-51,-51,-61,-61,-68,-66,-64,-67,-80,-77,-78,-79,-78,-80,-80,-81,-89,-81,-84,-87,-200,-89,-82,-87,-83,-84,-88,-89,-85,-200,-200,-87,-91,-86,-200,-86,-89,-88,-89,-86,-91,-74,-81,-90,-79,-89,-90,-200,-200,-200,-200
1526460900144,-34,-40,-16,-55,-62,-65,-63,-70,-75,-64,-76,-70,-82,-79,-79,-78,-80,-79,-81,-86,-84,-96,-87,-200,-95,-84,-87,-83,-84,-88,-89,-83,-200,-200,-87,-91,-89,-200,-86,-89,-88,-89,-89,-91,-73,-83,-90,-80,-91,-90,-200,-200,-200,-200
1526460903176,-34,-40,-35,-51,-54,-53,-62,-69,-70,-66,-68,-76,-78,-78,-79,-78,-80,-75,-81,-83,-83,-96,-88,-200,-95,-85,-87,-84,-84,-200,-89,-83,-200,-200,-87,-89,-91,-90,-86,-89,-86,-90,-89,-91,-73,-83,-88,-80,-89,-93,-200,-200,-200,-200
1526460906206,-34,-40,-35,-50,-54,-64,-60,-68,-67,-63,-74,-75,-76,-79,-79,-78,-80,-80,-81,-86,-83,-89,-88,-200,-95,-83,-86,-84,-84,-200,-200,-86,-200,-200,-87,-89,-91,-90,-86,-92,-89,-90,-89,-91,-74,-85,-88,-86,-89,-89,-200,-200,-200,-200
1526460909237,-34,-41,-36,-52,-54,-64,-55,-68,-66,-65,-73,-74,-78,-78,-78,-77,-80,-75,-83,-85,-84,-87,-87,-200,-87,-83,-86,-84,-200,-200,-88,-85,-200,-200,-86,-90,-85,-87,-86,-89,-89,-90,-88,-91,-75,-82,-88,-86,-90,-89,-200,-92,-92,-200
1526460912268,-35,-40,-35,-50,-51,-61,-61,-69,-66,-64,-68,-77,-81,-79,-79,-79,-79,-79,-82,-86,-83,-83,-86,-200,-87,-83,-86,-84,-200,-200,-88,-83,-200,-200,-86,-89,-84,-89,-87,-90,-89,-90,-89,-91,-74,-83,-88,-87,-90,-89,-200,-92,-92,-200
1526460915304,-33,-41,-32,-50,-55,-67,-66,-74,-77,-65,-79,-75,-83,-81,-85,-78,-82,-79,-82,-83,-83,-93,-86,-200,-86,-79,-86,-77,-87,-200,-88,-83,-200,-200,-87,-89,-88,-89,-87,-89,-89,-90,-88,-91,-80,-83,-200,-81,-90,-89,-200,-92,-92,-200
1526460918335,-34,-43,-46,-52,-57,-58,-60,-71,-66,-64,-75,-79,-82,-81,-80,-78,-80,-80,-86,-83,-82,-93,-85,-90,-88,-87,-85,-77,-87,-200,-86,-83,-200,-200,-88,-89,-88,-89,-88,-90,-89,-90,-87,-91,-74,-83,-200,-82,-90,-200,-200,-92,-92,-89
