,DLINK_D02A20,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,WHU-2018,DLINK_D02A10
1526463135506,-36,-42,-55,-55,-45,-54,-57,-72,-62,-63,-58,-53,-72,-66,-75,-65,-56,-72,-200,-73,-61,-78,-79,-71,-75,-76,-74,-74,-82,-83,-82,-81,-79,-78,-200,-74,-84,-78,-86,-89,-87,-200,-200,-200,-200,-90,-200,-76,-92,-79,-82,-200,-85,-200,-200,-82,-90,-91,-89,-86,-92,-87,-88,-90,-200,-200,-200,-200
1526463138540,-32,-43,-52,-51,-53,-54,-54,-72,-52,-65,-54,-53,-68,-58,-71,-65,-66,-69,-74,-75,-63,-73,-79,-69,-76,-76,-76,-74,-82,-80,-82,-78,-88,-73,-200,-78,-84,-78,-86,-89,-85,-200,-78,-200,-200,-90,-200,-88,-92,-79,-82,-200,-85,-200,-200,-200,-200,-91,-89,-86,-92,-87,-88,-90,-90,-200,-200,-200
1526463141573,-25,-44,-51,-48,-47,-55,-54,-75,-53,-63,-54,-51,-65,-62,-71,-62,-59,-68,-84,-68,-62,-69,-79,-66,-79,-76,-79,-72,-82,-84,-87,-75,-75,-73,-200,-82,-200,-80,-88,-89,-86,-200,-82,-200,-200,-90,-200,-88,-92,-78,-200,-200,-91,-200,-200,-200,-200,-91,-89,-86,-92,-87,-90,-90,-90,-200,-200,-200
1526463144595,-30,-43,-55,-48,-49,-55,-56,-76,-54,-61,-68,-51,-65,-63,-71,-63,-60,-67,-82,-66,-62,-74,-79,-69,-77,-78,-77,-74,-200,-83,-87,-76,-75,-73,-200,-82,-200,-83,-88,-89,-87,-200,-82,-200,-200,-200,-200,-88,-92,-74,-200,-200,-92,-200,-200,-200,-200,-200,-200,-86,-200,-200,-91,-200,-90,-200,-200,-200
1526463147623,-33,-46,-58,-45,-50,-58,-53,-75,-57,-62,-59,-49,-65,-60,-74,-69,-57,-70,-77,-71,-63,-81,-200,-71,-79,-78,-74,-70,-93,-76,-87,-76,-84,-78,-200,-80,-200,-81,-86,-89,-85,-200,-81,-90,-200,-89,-200,-200,-200,-76,-82,-82,-89,-200,-200,-200,-200,-84,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200
1526463150656,-28,-49,-56,-47,-50,-57,-53,-74,-56,-62,-58,-52,-67,-47,-71,-62,-60,-72,-80,-69,-62,-76,-78,-68,-78,-78,-75,-75,-93,-79,-200,-76,-84,-72,-200,-80,-84,-80,-84,-200,-86,-200,-84,-89,-200,-89,-200,-200,-200,-77,-82,-81,-89,-200,-200,-200,-200,-84,-200,-200,-200,-200,-91,-200,-200,-91,-200,-200
1526463153688,-25,-48,-58,-44,-49,-61,-52,-89,-60,-63,-59,-51,-67,-60,-74,-67,-55,-73,-80,-69,-62,-78,-78,-71,-80,-200,-75,-75,-89,-77,-200,-200,-84,-72,-200,-84,-84,-80,-84,-200,-86,-200,-84,-90,-200,-89,-200,-200,-200,-77,-88,-77,-88,-200,-93,-200,-200,-84,-200,-200,-200,-200,-88,-200,-200,-91,-200,-200
1526463156726,-27,-49,-57,-46,-48,-59,-59,-77,-56,-62,-58,-54,-67,-59,-73,-66,-56,-76,-75,-69,-62,-78,-79,-67,-81,-85,-76,-75,-89,-77,-89,-82,-84,-72,-200,-84,-84,-80,-84,-200,-86,-88,-84,-90,-83,-200,-200,-200,-90,-77,-88,-77,-88,-200,-93,-200,-91,-88,-90,-200,-90,-200,-88,-200,-200,-91,-200,-200
1526463159752,-36,-43,-60,-48,-48,-60,-52,-73,-55,-62,-58,-54,-68,-58,-74,-67,-56,-74,-75,-69,-60,-72,-79,-69,-81,-85,-76,-76,-85,-77,-89,-82,-84,-72,-200,-82,-84,-80,-87,-200,-84,-88,-84,-90,-83,-200,-200,-200,-90,-77,-86,-78,-88,-200,-93,-200,-91,-88,-90,-200,-90,-200,-88,-200,-200,-91,-200,-200
1526463162784,-33,-46,-57,-49,-49,-43,-59,-76,-56,-62,-58,-54,-68,-59,-74,-69,-56,-74,-75,-69,-61,-71,-82,-66,-81,-84,-76,-77,-85,-78,-91,-82,-82,-200,-200,-83,-200,-200,-87,-200,-85,-87,-84,-90,-83,-89,-200,-200,-90,-77,-86,-80,-88,-200,-93,-200,-91,-87,-90,-200,-90,-200,-91,-200,-200,-200,-90,-200
1526463165816,-28,-45,-55,-47,-48,-58,-57,-75,-58,-61,-64,-50,-68,-58,-73,-68,-56,-65,-76,-69,-62,-75,-84,-67,-83,-84,-76,-76,-85,-80,-91,-82,-82,-200,-80,-87,-200,-200,-88,-89,-86,-87,-83,-90,-83,-89,-200,-200,-90,-78,-86,-78,-200,-200,-200,-200,-91,-87,-90,-200,-90,-200,-91,-200,-200,-200,-90,-90
1526463168847,-26,-45,-58,-45,-48,-59,-52,-72,-58,-64,-55,-55,-68,-57,-71,-65,-56,-73,-76,-200,-64,-75,-81,-65,-79,-82,-75,-76,-88,-80,-91,-82,-82,-77,-80,-87,-200,-200,-88,-89,-86,-87,-86,-90,-200,-89,-200,-85,-200,-78,-86,-78,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-91,-200,-200,-200,-90,-90
