,DLINK_D02A20,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,DLINK_D00EC0,WHU-2018,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526462992457,-44,-44,-45,-43,-50,-57,-48,-59,-54,-56,-67,-72,-60,-69,-69,-86,-76,-75,-70,-83,-70,-71,-65,-70,-75,-81,-79,-78,-82,-85,-87,-86,-200,-80,-86,-200,-92,-200,-200,-200,-200,-90,-63,-75,-200,-78,-200,-83,-85,-84,-88,-75,-200,-85,-200,-87,-85,-200,-91,-86,-91,-87,-90,-90,-91,-200,-200,-200,-200
1526462995492,-43,-41,-45,-49,-54,-53,-48,-54,-44,-59,-54,-67,-59,-69,-68,-88,-73,-75,-75,-71,-70,-68,-63,-72,-77,-74,-83,-77,-80,-86,-89,-84,-85,-80,-86,-200,-92,-89,-200,-200,-200,-90,-58,-73,-200,-84,-200,-83,-200,-84,-88,-75,-200,-83,-84,-87,-85,-200,-91,-86,-91,-87,-90,-90,-91,-200,-200,-200,-200
1526462998526,-45,-42,-51,-44,-53,-52,-47,-52,-45,-53,-58,-67,-61,-64,-70,-88,-74,-69,-74,-81,-70,-66,-63,-72,-75,-70,-83,-75,-80,-86,-89,-85,-85,-82,-91,-88,-92,-89,-200,-200,-200,-90,-58,-71,-200,-82,-200,-83,-200,-200,-88,-73,-200,-82,-84,-200,-85,-200,-90,-200,-200,-87,-90,-90,-90,-88,-90,-200,-200
1526463001561,-47,-42,-49,-45,-65,-53,-47,-57,-45,-55,-64,-65,-64,-67,-70,-87,-74,-69,-74,-77,-74,-73,-63,-71,-73,-70,-79,-75,-80,-86,-89,-85,-88,-82,-91,-88,-92,-90,-200,-200,-200,-90,-66,-72,-200,-79,-200,-87,-85,-89,-88,-73,-84,-82,-84,-200,-85,-200,-90,-200,-200,-200,-200,-90,-90,-88,-90,-200,-200
1526463004572,-46,-42,-48,-42,-58,-53,-42,-51,-52,-55,-60,-66,-65,-69,-71,-89,-77,-69,-77,-77,-70,-70,-63,-70,-76,-70,-79,-75,-80,-86,-89,-88,-86,-89,-90,-88,-200,-90,-200,-200,-200,-90,-66,-73,-200,-79,-200,-87,-85,-89,-88,-72,-84,-82,-85,-200,-88,-200,-90,-200,-200,-200,-200,-200,-90,-88,-90,-200,-200
1526463007606,-46,-41,-51,-44,-54,-52,-47,-57,-50,-56,-60,-60,-60,-69,-72,-89,-77,-52,-75,-77,-69,-70,-63,-73,-76,-73,-79,-73,-200,-86,-89,-88,-86,-89,-90,-88,-200,-90,-200,-200,-200,-90,-70,-70,-200,-74,-200,-87,-85,-90,-88,-72,-84,-82,-85,-200,-88,-200,-89,-200,-200,-200,-92,-200,-89,-88,-90,-200,-200
1526463010634,-41,-41,-49,-42,-54,-52,-42,-55,-53,-55,-62,-70,-63,-65,-72,-89,-72,-67,-75,-77,-72,-72,-62,-70,-77,-76,-79,-73,-200,-86,-89,-88,-89,-89,-90,-200,-200,-90,-200,-91,-200,-200,-61,-71,-200,-74,-200,-87,-85,-90,-88,-81,-85,-200,-85,-200,-88,-200,-89,-200,-200,-200,-92,-200,-89,-200,-200,-200,-200
1526463013664,-44,-45,-54,-44,-53,-53,-49,-58,-49,-60,-60,-66,-62,-61,-72,-89,-72,-67,-75,-200,-69,-73,-64,-71,-74,-73,-80,-73,-200,-86,-89,-88,-89,-89,-90,-85,-200,-200,-200,-91,-200,-200,-61,-71,-200,-83,-200,-84,-85,-90,-200,-74,-85,-200,-85,-200,-88,-200,-90,-200,-200,-200,-92,-200,-89,-92,-200,-200,-200
1526463016693,-45,-42,-43,-41,-51,-53,-45,-51,-50,-56,-61,-67,-63,-61,-72,-88,-71,-67,-77,-80,-69,-70,-55,-70,-73,-73,-78,-73,-200,-85,-89,-200,-89,-200,-200,-85,-200,-90,-200,-91,-200,-200,-60,-70,-200,-83,-200,-86,-85,-89,-200,-74,-84,-81,-87,-200,-200,-200,-90,-85,-200,-200,-92,-200,-89,-92,-200,-90,-200
1526463019724,-42,-41,-48,-41,-53,-53,-46,-52,-53,-56,-60,-67,-65,-64,-74,-86,-71,-67,-76,-80,-74,-73,-62,-57,-77,-73,-78,-73,-200,-85,-200,-87,-89,-87,-89,-85,-200,-90,-200,-89,-200,-200,-60,-74,-200,-83,-200,-86,-200,-89,-200,-74,-84,-81,-87,-90,-86,-200,-90,-85,-200,-200,-200,-200,-200,-92,-200,-90,-200
1526463022758,-41,-40,-46,-43,-52,-54,-48,-51,-50,-55,-64,-64,-66,-65,-70,-86,-75,-67,-76,-81,-73,-73,-52,-72,-72,-73,-77,-200,-200,-85,-200,-88,-200,-87,-89,-85,-200,-90,-200,-89,-200,-200,-60,-70,-200,-80,-200,-86,-82,-86,-200,-81,-84,-81,-87,-90,-86,-200,-90,-85,-200,-200,-91,-200,-92,-92,-200,-90,-200
1526463025793,-42,-40,-45,-42,-51,-54,-47,-53,-50,-56,-59,-65,-65,-64,-70,-87,-73,-67,-73,-81,-71,-71,-49,-75,-77,-75,-78,-74,-200,-85,-200,-88,-200,-87,-89,-85,-200,-91,-200,-90,-200,-89,-71,-70,-200,-80,-200,-86,-82,-87,-90,-81,-83,-81,-89,-86,-86,-200,-90,-85,-200,-200,-91,-200,-92,-200,-200,-90,-93
