,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526463350675,-48,-54,-39,-49,-45,-55,-54,-55,-58,-64,-65,-70,-70,-67,-59,-52,-63,-65,-76,-58,-55,-54,-75,-81,-200,-63,-65,-71,-83,-75,-79,-47,-80,-75,-79,-83,-81,-77,-64,-81,-77,-85,-200,-79,-89,-84,-75,-92,-87,-200,-91,-85,-79,-200,-71,-200,-89,-91,-73,-75,-84,-84,-84,-82,-89,-88,-90,-90,-71,-89,-83,-89,-91,-200,-200,-200,-200
1526463353716,-50,-54,-38,-61,-49,-68,-54,-44,-56,-63,-72,-62,-73,-70,-60,-49,-64,-63,-76,-57,-55,-53,-77,-80,-200,-65,-66,-71,-83,-74,-76,-47,-80,-81,-200,-83,-81,-77,-60,-78,-79,-85,-200,-81,-89,-84,-74,-92,-87,-200,-91,-85,-79,-200,-73,-85,-89,-91,-73,-74,-84,-84,-83,-82,-89,-88,-90,-90,-73,-200,-83,-89,-91,-88,-200,-200,-200
1526463356746,-49,-54,-38,-52,-47,-63,-55,-50,-55,-63,-67,-64,-66,-67,-58,-53,-64,-63,-76,-54,-56,-54,-74,-78,-200,-63,-66,-73,-83,-74,-76,-53,-80,-79,-200,-86,-84,-77,-62,-78,-79,-200,-200,-81,-89,-84,-77,-200,-85,-200,-200,-85,-79,-200,-76,-85,-89,-91,-73,-76,-84,-87,-83,-82,-88,-88,-200,-90,-64,-200,-200,-200,-91,-88,-200,-200,-200
1526463359760,-48,-56,-39,-48,-48,-63,-55,-52,-55,-63,-67,-69,-64,-67,-57,-54,-59,-66,-70,-56,-58,-52,-72,-81,-200,-68,-64,-74,-85,-74,-76,-47,-79,-77,-78,-86,-84,-77,-64,-78,-79,-86,-200,-80,-88,-84,-76,-89,-85,-200,-200,-85,-80,-94,-76,-85,-89,-90,-73,-74,-200,-87,-83,-82,-88,-86,-200,-90,-64,-200,-200,-200,-91,-88,-91,-200,-200
1526463362798,-49,-54,-38,-51,-48,-58,-54,-45,-55,-60,-67,-66,-62,-68,-57,-53,-58,-64,-70,-57,-57,-52,-74,-80,-200,-66,-64,-69,-85,-74,-76,-48,-80,-81,-78,-86,-84,-200,-63,-72,-79,-86,-200,-80,-88,-200,-76,-89,-85,-200,-87,-200,-80,-94,-76,-85,-89,-90,-66,-75,-200,-87,-83,-82,-88,-86,-200,-90,-72,-200,-200,-200,-200,-88,-91,-200,-200
1526463365810,-49,-54,-38,-51,-48,-58,-54,-52,-55,-62,-67,-76,-62,-67,-56,-52,-63,-65,-70,-57,-60,-54,-73,-80,-200,-63,-58,-70,-89,-200,-200,-49,-79,-79,-78,-84,-84,-200,-65,-65,-200,-86,-87,-79,-89,-84,-77,-89,-81,-200,-87,-86,-79,-89,-71,-200,-89,-90,-66,-74,-200,-87,-200,-85,-88,-87,-200,-91,-72,-200,-200,-200,-90,-200,-91,-200,-200
1526463368819,-51,-55,-38,-51,-48,-58,-50,-51,-53,-62,-68,-65,-63,-68,-56,-52,-61,-62,-70,-55,-59,-58,-75,-80,-200,-66,-64,-74,-89,-200,-76,-49,-79,-76,-78,-84,-200,-200,-65,-73,-200,-86,-87,-82,-89,-84,-78,-89,-88,-200,-87,-86,-79,-89,-71,-200,-89,-90,-69,-74,-200,-87,-200,-85,-200,-87,-200,-91,-72,-200,-200,-200,-90,-200,-91,-200,-200
1526463371846,-52,-52,-38,-64,-46,-58,-57,-48,-54,-65,-68,-74,-62,-67,-57,-53,-66,-63,-200,-55,-58,-57,-76,-76,-200,-63,-64,-74,-80,-72,-74,-48,-79,-77,-78,-76,-200,-200,-66,-71,-200,-83,-87,-82,-89,-84,-80,-200,-84,-200,-87,-87,-83,-89,-66,-200,-200,-200,-69,-74,-200,-200,-200,-85,-200,-87,-200,-91,-72,-200,-200,-200,-90,-200,-89,-59,-200
1526463374863,-48,-52,-39,-49,-49,-57,-55,-46,-57,-59,-68,-65,-60,-70,-63,-53,-62,-62,-66,-57,-57,-52,-78,-76,-200,-64,-63,-70,-80,-72,-74,-48,-79,-77,-77,-84,-200,-200,-64,-73,-200,-83,-87,-82,-89,-84,-76,-200,-87,-200,-87,-87,-83,-89,-66,-200,-88,-200,-68,-76,-75,-200,-200,-85,-89,-87,-200,-91,-72,-200,-200,-200,-90,-89,-89,-59,-200
1526463377900,-48,-57,-39,-47,-48,-59,-55,-51,-58,-64,-64,-67,-60,-69,-57,-53,-64,-63,-71,-56,-58,-55,-74,-83,-71,-63,-62,-70,-88,-72,-74,-50,-78,-74,-77,-84,-200,-200,-63,-75,-200,-83,-87,-82,-200,-83,-73,-92,-75,-200,-87,-85,-83,-200,-68,-200,-89,-88,-71,-75,-75,-89,-200,-83,-89,-84,-200,-200,-75,-200,-200,-200,-200,-89,-89,-59,-200
1526463380936,-46,-56,-39,-46,-47,-58,-58,-52,-59,-62,-67,-69,-61,-70,-58,-53,-60,-62,-71,-56,-60,-58,-77,-83,-71,-59,-61,-70,-88,-72,-74,-50,-78,-77,-77,-84,-200,-200,-66,-75,-200,-83,-87,-81,-200,-83,-75,-90,-83,-200,-85,-89,-83,-200,-68,-200,-89,-90,-71,-76,-75,-89,-200,-83,-89,-85,-200,-90,-75,-200,-200,-200,-200,-89,-89,-59,-200
1526463383954,-46,-55,-38,-47,-47,-56,-56,-51,-57,-62,-63,-69,-70,-66,-58,-53,-59,-65,-74,-56,-62,-55,-71,-83,-73,-63,-61,-74,-88,-200,-82,-52,-80,-78,-200,-85,-200,-200,-62,-74,-200,-200,-87,-81,-87,-82,-75,-90,-88,-200,-89,-86,-78,-200,-68,-200,-89,-90,-71,-75,-77,-89,-200,-83,-89,-88,-200,-90,-75,-86,-200,-200,-200,-87,-200,-77,-88
