,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,MERCURY_0166,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98
1526457205067,-31,-30,-45,-46,-51,-57,-56,-54,-56,-49,-45,-70,-54,-58,-67,-47,-51,-52,-65,-66,-62,-68,-68,-60,-69,-59,-71,-88,-63,-76,-74,-67,-85,-59,-200,-84,-86,-85,-84,-63,-66,-66,-66,-200,-200,-200,-200,-79,-92,-200,-68,-200,-85,-200,-76,-86,-75,-85,-200,-80,-200,-200,-200,-200,-69,-71,-78,-200,-81,-82,-86,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457208109,-33,-29,-44,-46,-52,-58,-57,-51,-73,-48,-45,-70,-50,-58,-200,-57,-51,-56,-64,-66,-62,-64,-200,-60,-68,-63,-48,-68,-67,-76,-74,-67,-68,-84,-200,-84,-86,-84,-84,-67,-66,-65,-68,-200,-200,-200,-200,-79,-200,-200,-68,-200,-85,-200,-76,-200,-75,-200,-200,-200,-200,-200,-200,-200,-70,-71,-78,-200,-81,-83,-200,-200,-81,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457211120,-32,-31,-45,-46,-54,-56,-60,-60,-73,-49,-46,-200,-54,-200,-71,-57,-50,-57,-64,-72,-62,-64,-200,-57,-69,-62,-69,-61,-67,-200,-69,-69,-85,-76,-200,-84,-85,-86,-200,-64,-200,-65,-68,-200,-85,-200,-200,-200,-200,-200,-63,-200,-75,-200,-200,-200,-200,-200,-200,-79,-200,-200,-76,-200,-67,-200,-200,-76,-200,-83,-200,-200,-81,-88,-77,-82,-87,-88,-90,-200,-200,-200,-200,-200,-200,-200
1526457214176,-32,-32,-44,-68,-51,-57,-54,-54,-57,-47,-45,-200,-67,-59,-68,-57,-51,-56,-66,-72,-61,-64,-200,-56,-68,-62,-67,-60,-67,-200,-80,-69,-85,-82,-200,-85,-85,-86,-200,-68,-63,-65,-66,-200,-85,-200,-200,-200,-200,-89,-61,-200,-75,-200,-77,-200,-78,-200,-200,-79,-200,-200,-76,-200,-72,-72,-200,-74,-200,-200,-200,-200,-200,-200,-77,-82,-87,-88,-90,-88,-200,-200,-200,-200,-200,-200
1526457217208,-34,-29,-46,-47,-45,-58,-52,-52,-57,-45,-47,-200,-57,-60,-63,-57,-50,-53,-66,-66,-61,-64,-200,-62,-69,-61,-67,-60,-67,-200,-84,-58,-85,-84,-62,-85,-87,-200,-200,-67,-63,-64,-66,-200,-72,-200,-200,-200,-200,-89,-61,-200,-200,-76,-77,-200,-78,-200,-72,-200,-200,-200,-200,-200,-72,-72,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-87,-200,-200,-200,-200,-200
1526457220249,-34,-31,-47,-48,-46,-56,-51,-54,-64,-46,-45,-59,-54,-66,-63,-200,-49,-52,-200,-75,-73,-200,-200,-62,-69,-61,-200,-61,-67,-81,-84,-71,-81,-81,-62,-86,-85,-200,-200,-67,-200,-62,-66,-200,-72,-200,-200,-200,-200,-200,-58,-200,-200,-74,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200
1526457223318,-34,-30,-45,-45,-48,-56,-52,-54,-74,-47,-46,-67,-57,-62,-63,-63,-52,-51,-67,-65,-73,-63,-63,-62,-69,-59,-200,-51,-56,-81,-83,-56,-81,-80,-69,-86,-85,-200,-85,-67,-200,-65,-64,-75,-72,-200,-200,-200,-200,-200,-63,-200,-200,-75,-77,-200,-200,-200,-72,-200,-200,-200,-200,-200,-67,-200,-79,-200,-200,-75,-86,-200,-200,-200,-200,-92,-200,-200,-89,-200,-87,-80,-200,-200,-200,-200
1526457226366,-33,-30,-47,-49,-49,-56,-61,-55,-68,-46,-46,-67,-56,-62,-64,-62,-51,-51,-65,-65,-200,-64,-63,-57,-68,-58,-200,-89,-64,-200,-56,-71,-83,-80,-69,-200,-200,-200,-85,-67,-66,-65,-64,-75,-70,-200,-200,-200,-200,-200,-69,-200,-70,-75,-77,-200,-200,-74,-75,-200,-200,-200,-200,-200,-67,-200,-80,-200,-200,-75,-86,-200,-200,-200,-200,-92,-200,-200,-89,-200,-200,-80,-80,-200,-200,-200
1526457229378,-37,-29,-44,-46,-73,-56,-55,-52,-68,-48,-45,-67,-55,-60,-72,-63,-51,-51,-78,-65,-60,-64,-63,-57,-68,-59,-200,-62,-64,-200,-74,-70,-83,-80,-69,-200,-69,-200,-85,-64,-65,-65,-64,-75,-73,-200,-200,-200,-200,-200,-62,-200,-70,-76,-77,-200,-200,-74,-75,-80,-200,-81,-200,-200,-70,-70,-80,-200,-200,-76,-86,-200,-200,-200,-200,-92,-200,-200,-89,-200,-200,-80,-80,-83,-200,-200
1526457232420,-34,-30,-46,-45,-52,-59,-54,-55,-200,-75,-45,-70,-54,-64,-71,-62,-51,-55,-78,-68,-61,-65,-200,-58,-69,-59,-200,-61,-65,-200,-74,-73,-84,-84,-200,-86,-85,-81,-200,-64,-65,-66,-200,-200,-73,-200,-200,-200,-200,-90,-70,-71,-70,-73,-200,-200,-200,-200,-200,-80,-200,-81,-200,-200,-68,-70,-80,-200,-82,-76,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200
1526457235489,-34,-29,-46,-45,-56,-54,-54,-51,-72,-46,-45,-70,-55,-63,-73,-64,-52,-67,-65,-70,-66,-65,-200,-58,-69,-65,-70,-61,-67,-200,-74,-67,-85,-83,-200,-86,-83,-81,-200,-63,-200,-66,-200,-200,-200,-200,-200,-200,-200,-90,-59,-71,-200,-73,-84,-200,-200,-200,-75,-86,-200,-200,-200,-200,-68,-200,-78,-200,-82,-200,-200,-200,-81,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-74,-84
1526457238511,-36,-29,-45,-45,-62,-55,-55,-53,-66,-48,-43,-64,-59,-75,-73,-63,-52,-68,-65,-66,-63,-66,-200,-60,-68,-65,-70,-61,-65,-200,-74,-70,-83,-82,-200,-86,-88,-82,-200,-64,-66,-64,-45,-200,-92,-200,-200,-200,-200,-89,-59,-84,-200,-73,-84,-200,-200,-200,-75,-86,-200,-200,-200,-200,-84,-200,-78,-200,-83,-89,-200,-200,-81,-200,-200,-200,-85,-200,-200,-200,-88,-200,-200,-200,-74,-84
