,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526457391740,-29,-44,-47,-51,-70,-44,-43,-56,-49,-58,-52,-46,-200,-62,-52,-68,-72,-69,-200,-200,-63,-65,-82,-73,-67,-70,-31,-80,-73,-75,-69,-200,-79,-69,-200,-200,-79,-64,-200,-66,-70,-66,-200,-74,-200,-200,-200,-81,-90,-200,-200,-81,-200,-69,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-77,-200,-200,-200,-200,-200,-86,-84,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526457394819,-30,-43,-47,-51,-58,-44,-73,-55,-45,-58,-65,-46,-65,-64,-70,-68,-72,-68,-80,-200,-63,-66,-82,-73,-68,-70,-35,-76,-73,-75,-72,-200,-79,-71,-200,-78,-76,-68,-200,-66,-66,-67,-200,-74,-200,-200,-200,-81,-76,-200,-80,-81,-200,-71,-80,-200,-200,-200,-200,-200,-200,-200,-82,-200,-86,-72,-77,-72,-200,-200,-200,-200,-74,-85,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526457397858,-30,-44,-47,-52,-58,-45,-53,-55,-47,-58,-67,-45,-62,-64,-70,-68,-200,-68,-80,-200,-63,-66,-200,-58,-66,-200,-31,-79,-73,-75,-67,-200,-79,-69,-200,-78,-76,-73,-200,-200,-66,-67,-200,-200,-200,-200,-200,-85,-76,-200,-80,-86,-86,-71,-80,-89,-200,-200,-200,-200,-200,-200,-82,-200,-200,-72,-76,-72,-200,-200,-200,-200,-74,-85,-200,-200,-200,-200,-200,-200,-200,-76,-85,-86,-200,-200,-200,-200,-200
1526457400909,-29,-43,-48,-51,-53,-69,-46,-55,-51,-59,-57,-45,-64,-61,-67,-200,-71,-70,-200,-200,-63,-200,-200,-59,-66,-200,-30,-79,-72,-200,-67,-200,-78,-66,-67,-200,-200,-71,-200,-200,-200,-66,-200,-52,-72,-200,-200,-81,-72,-200,-200,-86,-86,-70,-80,-86,-200,-200,-200,-70,-75,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-86,-200,-200,-76,-76,-85,-86,-200,-200,-200,-200,-200
1526457403978,-30,-43,-46,-51,-60,-43,-47,-55,-49,-59,-52,-44,-64,-64,-69,-200,-71,-69,-200,-200,-63,-200,-200,-59,-68,-200,-35,-78,-73,-79,-67,-200,-79,-69,-67,-200,-78,-71,-200,-66,-200,-73,-200,-67,-72,-200,-200,-83,-70,-200,-200,-86,-86,-69,-80,-86,-200,-200,-200,-70,-75,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-85,-200,-83,-200,-86,-200,-200,-76,-78,-85,-86,-81,-87,-200,-200,-200
1526457407011,-30,-37,-46,-52,-58,-44,-45,-62,-47,-57,-52,-46,-200,-60,-66,-68,-200,-69,-200,-200,-66,-65,-72,-68,-67,-71,-31,-78,-70,-79,-71,-200,-79,-69,-69,-200,-77,-200,-200,-66,-65,-67,-200,-62,-68,-200,-200,-81,-70,-200,-200,-86,-200,-72,-80,-200,-200,-200,-200,-70,-200,-200,-80,-83,-87,-73,-78,-200,-200,-200,-80,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-81,-87,-90,-200,-200
1526457410106,-27,-44,-53,-50,-63,-44,-50,-56,-51,-60,-200,-48,-65,-61,-68,-65,-68,-66,-200,-200,-62,-64,-72,-61,-67,-69,-33,-200,-75,-200,-72,-200,-80,-62,-69,-200,-77,-67,-200,-200,-68,-67,-200,-62,-68,-200,-200,-80,-200,-200,-200,-84,-200,-72,-200,-200,-200,-200,-200,-70,-84,-200,-80,-83,-87,-73,-200,-80,-200,-200,-80,-200,-69,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-90,-85,-200
1526457413145,-31,-37,-44,-52,-53,-47,-45,-47,-50,-54,-57,-50,-65,-59,-68,-69,-70,-66,-200,-200,-62,-65,-200,-67,-67,-75,-35,-200,-74,-200,-66,-200,-60,-65,-200,-200,-200,-67,-200,-200,-64,-200,-200,-66,-200,-200,-200,-82,-200,-200,-200,-84,-200,-71,-79,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-69,-200,-200,-200,-200,-89,-200,-200,-78,-200,-200,-200,-200,-200,-200,-85,-200
1526457416177,-30,-39,-46,-52,-57,-43,-47,-57,-50,-58,-61,-50,-200,-59,-69,-70,-70,-67,-67,-200,-60,-66,-200,-58,-67,-75,-37,-200,-75,-200,-85,-200,-77,-65,-63,-81,-200,-200,-200,-200,-64,-200,-200,-66,-200,-200,-200,-79,-66,-200,-200,-200,-200,-68,-77,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-85,-200,-200,-83,-200,-200,-200,-78,-81,-200,-200,-200,-200,-200,-200,-200
1526457419238,-30,-43,-45,-51,-64,-44,-47,-55,-47,-60,-52,-45,-68,-58,-70,-70,-70,-67,-67,-200,-62,-66,-53,-58,-71,-75,-34,-200,-73,-200,-67,-200,-80,-72,-65,-81,-200,-200,-200,-200,-67,-65,-81,-66,-69,-200,-200,-80,-75,-89,-200,-86,-200,-70,-80,-200,-200,-200,-200,-68,-200,-200,-200,-200,-86,-200,-200,-200,-200,-84,-200,-200,-200,-87,-200,-200,-83,-200,-200,-200,-78,-81,-200,-200,-200,-200,-200,-200,-87
1526457422307,-30,-44,-45,-51,-62,-44,-47,-53,-44,-51,-52,-46,-68,-58,-69,-68,-200,-200,-200,-200,-62,-66,-53,-200,-64,-200,-33,-200,-73,-79,-74,-200,-80,-72,-67,-200,-76,-200,-200,-200,-63,-65,-81,-200,-69,-200,-200,-81,-75,-89,-200,-85,-200,-71,-79,-84,-200,-200,-200,-72,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-74,-84,-79,-200,-200,-200,-200,-200,-78,-200,-84,-200,-200,-200,-200,-200,-87
