,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526456711576,-28,-31,-45,-45,-53,-52,-200,-52,-58,-200,-53,-68,-86,-57,-60,-72,-58,-63,-58,-64,-61,-64,-65,-70,-55,-41,-63,-62,-200,-200,-76,-73,-69,-200,-73,-200,-69,-79,-200,-74,-200,-79,-81,-81,-200,-84,-200,-200,-200,-62,-69,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-72,-86,-200,-77,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456714626,-37,-33,-51,-46,-70,-53,-200,-53,-61,-57,-60,-68,-85,-62,-58,-69,-58,-63,-59,-68,-65,-58,-66,-72,-56,-45,-63,-62,-200,-74,-76,-54,-68,-200,-76,-200,-69,-76,-200,-86,-84,-79,-81,-81,-200,-80,-200,-200,-200,-66,-69,-200,-200,-200,-200,-81,-200,-200,-200,-200,-72,-200,-200,-200,-200,-65,-200,-72,-86,-200,-77,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456717669,-29,-31,-52,-45,-51,-55,-200,-53,-61,-58,-57,-69,-87,-58,-57,-68,-59,-63,-69,-68,-60,-64,-65,-72,-55,-84,-200,-70,-200,-74,-200,-73,-68,-200,-75,-200,-69,-78,-200,-53,-87,-200,-200,-200,-200,-53,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-74,-200,-200,-200,-200,-65,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526456720689,-29,-31,-50,-47,-52,-53,-200,-53,-60,-58,-58,-69,-86,-56,-58,-69,-59,-63,-58,-200,-65,-62,-65,-67,-55,-84,-200,-63,-200,-200,-200,-73,-200,-200,-71,-200,-200,-52,-200,-87,-87,-200,-200,-200,-200,-84,-200,-200,-200,-66,-66,-200,-200,-200,-200,-200,-200,-67,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-82,-200,-200,-200,-200,-200,-200,-200
1526456723748,-87,-31,-47,-47,-53,-57,-81,-51,-58,-58,-58,-74,-86,-56,-58,-66,-59,-66,-62,-200,-61,-65,-53,-67,-62,-79,-200,-63,-200,-200,-200,-53,-200,-73,-75,-200,-75,-78,-200,-86,-85,-200,-200,-200,-200,-83,-200,-200,-200,-66,-66,-89,-200,-200,-77,-200,-200,-67,-200,-78,-87,-200,-200,-200,-200,-200,-91,-200,-200,-200,-89,-200,-90,-75,-82,-80,-85,-200,-200,-200,-200,-200
1526456726808,-29,-36,-45,-47,-53,-52,-81,-53,-62,-61,-58,-68,-86,-55,-200,-66,-57,-66,-57,-200,-65,-56,-59,-65,-56,-41,-60,-72,-65,-76,-200,-73,-200,-73,-74,-80,-73,-83,-200,-84,-85,-200,-200,-200,-200,-82,-88,-200,-200,-200,-200,-89,-200,-200,-77,-200,-200,-200,-200,-78,-70,-200,-200,-200,-200,-72,-91,-200,-200,-200,-89,-200,-90,-200,-200,-80,-85,-88,-200,-200,-200,-200
1526456729857,-29,-30,-50,-46,-52,-52,-81,-53,-62,-58,-57,-65,-86,-64,-64,-65,-68,-66,-68,-200,-65,-53,-65,-65,-61,-41,-60,-70,-65,-76,-200,-72,-200,-73,-74,-80,-73,-74,-81,-84,-84,-200,-200,-200,-200,-84,-88,-200,-200,-65,-69,-89,-200,-200,-77,-200,-200,-200,-200,-78,-72,-200,-200,-200,-200,-72,-91,-78,-200,-200,-78,-200,-90,-200,-200,-80,-85,-88,-200,-200,-200,-200
1526456732870,-200,-30,-48,-48,-51,-51,-200,-52,-58,-58,-57,-70,-86,-56,-59,-68,-58,-200,-59,-67,-65,-63,-64,-66,-62,-46,-63,-65,-66,-77,-200,-73,-200,-200,-72,-73,-74,-79,-82,-86,-75,-200,-200,-200,-200,-84,-200,-200,-200,-65,-69,-200,-200,-200,-77,-200,-200,-70,-200,-200,-72,-200,-200,-200,-200,-200,-200,-78,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456735937,-37,-30,-49,-46,-53,-52,-200,-52,-60,-58,-58,-70,-85,-55,-59,-68,-66,-64,-59,-66,-65,-63,-65,-68,-62,-41,-63,-70,-66,-77,-200,-72,-200,-200,-72,-73,-74,-79,-82,-86,-84,-200,-200,-200,-200,-85,-200,-200,-200,-64,-69,-200,-200,-200,-77,-200,-200,-70,-200,-200,-72,-200,-200,-200,-200,-66,-200,-78,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456738949,-37,-31,-48,-47,-68,-56,-72,-53,-58,-56,-59,-64,-64,-55,-59,-68,-63,-64,-59,-66,-65,-64,-64,-69,-59,-41,-61,-70,-200,-200,-74,-73,-71,-200,-73,-200,-74,-63,-200,-86,-84,-200,-200,-200,-200,-81,-200,-200,-200,-64,-200,-200,-200,-200,-200,-79,-200,-200,-200,-89,-200,-200,-200,-200,-200,-75,-90,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-87,-91,-200,-200
1526456742011,-35,-38,-48,-47,-51,-52,-71,-54,-52,-58,-58,-69,-85,-58,-200,-66,-60,-200,-65,-200,-60,-61,-66,-69,-56,-44,-63,-200,-65,-200,-74,-73,-71,-200,-74,-200,-72,-79,-200,-86,-85,-200,-200,-200,-200,-82,-200,-200,-200,-64,-68,-200,-200,-69,-200,-79,-200,-200,-200,-89,-200,-200,-200,-200,-200,-75,-90,-82,-84,-200,-79,-200,-200,-200,-200,-200,-200,-200,-87,-91,-87,-90
1526456745077,-29,-38,-47,-44,-53,-54,-71,-53,-58,-58,-58,-67,-85,-64,-59,-70,-60,-63,-59,-69,-59,-63,-71,-68,-60,-45,-62,-73,-65,-200,-67,-74,-66,-200,-78,-200,-72,-84,-200,-87,-84,-200,-200,-200,-200,-79,-200,-200,-200,-66,-69,-200,-200,-69,-76,-79,-200,-200,-200,-89,-200,-200,-200,-200,-200,-65,-90,-82,-88,-200,-79,-85,-200,-200,-200,-200,-200,-200,-87,-91,-87,-90
