,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011314,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526456958899,-37,-34,-200,-78,-55,-66,-77,-70,-56,-54,-56,-67,-59,-72,-58,-200,-57,-70,-77,-63,-67,-65,-82,-69,-64,-73,-52,-200,-69,-47,-76,-72,-77,-70,-200,-200,-75,-50,-200,-67,-200,-76,-75,-200,-68,-200,-200,-200,-200,-200,-85,-200,-77,-200,-200,-80,-200,-80,-74,-79,-72,-200,-200,-200,-200,-76,-86,-86,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456961955,-23,-46,-200,-39,-59,-68,-77,-48,-49,-48,-51,-68,-59,-72,-56,-60,-68,-68,-62,-56,-55,-59,-74,-69,-64,-66,-52,-68,-67,-48,-76,-75,-82,-67,-200,-78,-59,-50,-200,-200,-200,-76,-75,-200,-68,-200,-200,-85,-200,-200,-87,-200,-70,-200,-200,-200,-200,-80,-200,-200,-72,-200,-200,-200,-200,-200,-86,-86,-87,-88,-83,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526456965018,-26,-37,-50,-41,-59,-66,-75,-46,-57,-59,-54,-68,-57,-68,-59,-73,-68,-67,-62,-59,-55,-57,-76,-69,-64,-66,-52,-63,-67,-48,-74,-75,-79,-73,-200,-78,-67,-52,-200,-200,-200,-76,-75,-200,-75,-200,-200,-85,-200,-200,-87,-200,-70,-200,-200,-200,-79,-80,-200,-200,-72,-200,-200,-200,-200,-200,-86,-86,-87,-88,-83,-86,-89,-85,-200,-200,-200,-200,-200,-200,-200
1526456968035,-24,-36,-49,-43,-62,-62,-75,-52,-49,-51,-52,-56,-63,-62,-60,-73,-68,-67,-63,-59,-58,-64,-76,-63,-200,-72,-59,-62,-66,-49,-70,-75,-79,-77,-200,-78,-73,-55,-69,-200,-200,-84,-200,-200,-76,-200,-200,-85,-200,-200,-87,-200,-61,-200,-200,-77,-79,-77,-81,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-86,-90,-85,-200,-200,-200,-200,-200,-200,-200
1526456971057,-23,-36,-49,-41,-63,-70,-200,-47,-54,-49,-52,-64,-57,-60,-59,-200,-68,-200,-63,-59,-56,-68,-79,-63,-200,-67,-59,-63,-68,-46,-70,-200,-78,-70,-200,-86,-71,-53,-69,-200,-80,-84,-200,-200,-72,-200,-200,-85,-200,-200,-200,-200,-61,-200,-200,-81,-71,-77,-79,-200,-76,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-87,-90,-200,-70,-200,-200,-200,-200,-200,-200
1526456974091,-23,-37,-46,-42,-61,-61,-200,-63,-53,-50,-53,-64,-51,-64,-59,-200,-68,-68,-72,-62,-53,-65,-77,-65,-200,-67,-60,-65,-67,-49,-70,-200,-78,-74,-200,-86,-71,-54,-69,-75,-80,-200,-200,-79,-72,-88,-200,-200,-200,-200,-200,-200,-67,-200,-200,-76,-71,-200,-79,-200,-76,-200,-200,-200,-200,-81,-200,-200,-89,-200,-200,-87,-200,-200,-70,-80,-200,-200,-200,-200,-200
1526456977157,-24,-36,-47,-40,-57,-66,-72,-50,-54,-53,-53,-63,-63,-63,-59,-200,-200,-68,-72,-60,-70,-63,-53,-65,-200,-67,-60,-63,-65,-48,-200,-200,-75,-77,-200,-200,-63,-54,-69,-75,-200,-67,-200,-79,-200,-88,-200,-200,-77,-200,-200,-200,-62,-200,-200,-76,-71,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-88,-200,-200,-80,-200,-200,-200,-200,-200
1526456980203,-25,-36,-47,-41,-58,-66,-72,-50,-53,-53,-53,-52,-62,-64,-57,-200,-200,-200,-64,-60,-57,-63,-73,-200,-200,-65,-58,-64,-67,-48,-200,-200,-71,-73,-200,-200,-74,-200,-200,-73,-200,-67,-200,-200,-76,-83,-200,-200,-80,-200,-200,-200,-62,-200,-200,-74,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-88,-200,-200,-200,-86,-91,-200,-200,-200
1526456983246,-24,-37,-47,-42,-59,-66,-70,-45,-55,-52,-53,-57,-62,-66,-57,-70,-72,-200,-63,-60,-56,-63,-74,-75,-200,-66,-58,-63,-65,-48,-200,-200,-71,-74,-200,-200,-75,-55,-70,-73,-200,-81,-200,-200,-77,-83,-200,-200,-80,-200,-200,-200,-62,-86,-200,-74,-73,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-88,-200,-200,-82,-86,-91,-85,-200,-200
1526456986308,-23,-36,-44,-44,-58,-67,-70,-64,-55,-47,-55,-57,-47,-66,-58,-70,-72,-200,-63,-200,-59,-64,-72,-65,-200,-65,-57,-62,-68,-49,-70,-200,-200,-74,-200,-200,-72,-52,-70,-200,-200,-81,-74,-200,-80,-200,-200,-87,-200,-200,-84,-200,-69,-86,-200,-200,-73,-200,-200,-200,-69,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-82,-200,-200,-85,-200,-200
1526456989316,-23,-33,-44,-43,-63,-68,-71,-56,-55,-53,-59,-70,-54,-68,-57,-200,-62,-200,-62,-200,-68,-68,-77,-65,-200,-73,-57,-62,-62,-50,-81,-200,-74,-71,-200,-200,-73,-77,-200,-200,-76,-74,-74,-200,-74,-200,-200,-87,-200,-200,-84,-85,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-80,-81
