,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526456118253,-42,-24,-42,-45,-48,-50,-63,-59,-54,-53,-47,-53,-58,-71,-55,-53,-37,-73,-60,-77,-68,-52,-74,-67,-53,-60,-71,-73,-69,-79,-200,-72,-200,-75,-82,-76,-200,-200,-74,-200,-200,-61,-200,-77,-200,-200,-83,-85,-200,-79,-200,-86,-200,-200,-200,-85,-66,-200,-200,-67,-200,-74,-67,-63,-200,-82,-200,-200,-200,-200,-200,-200,-200,-77,-68,-200,-76,-80,-86,-89,-200,-200,-200,-200
1526456121298,-47,-24,-87,-49,-44,-52,-63,-60,-53,-53,-49,-57,-52,-71,-54,-55,-37,-200,-59,-77,-200,-53,-200,-70,-52,-200,-70,-200,-67,-200,-200,-71,-82,-74,-82,-76,-200,-74,-74,-200,-200,-65,-200,-74,-68,-200,-200,-86,-200,-79,-200,-200,-200,-200,-200,-200,-62,-200,-200,-67,-200,-200,-67,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-76,-80,-200,-90,-74,-200,-200,-200
1526456124350,-48,-31,-47,-49,-47,-55,-66,-54,-66,-54,-48,-57,-52,-200,-54,-52,-36,-200,-61,-68,-200,-54,-200,-70,-54,-200,-70,-200,-64,-78,-200,-66,-82,-74,-82,-54,-200,-74,-200,-200,-200,-65,-200,-75,-71,-200,-200,-88,-200,-200,-200,-86,-200,-200,-200,-200,-61,-200,-200,-68,-200,-200,-200,-74,-87,-76,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-76,-79,-200,-90,-74,-85,-200,-200
1526456127409,-47,-26,-48,-48,-45,-50,-62,-58,-66,-54,-46,-59,-74,-200,-45,-54,-36,-200,-92,-70,-200,-53,-200,-71,-53,-200,-73,-75,-66,-78,-200,-70,-200,-75,-83,-76,-200,-200,-200,-200,-72,-57,-200,-69,-71,-200,-200,-88,-200,-200,-200,-86,-200,-200,-200,-200,-60,-200,-200,-67,-78,-200,-70,-67,-200,-76,-200,-200,-200,-200,-200,-200,-74,-80,-200,-200,-200,-81,-200,-200,-200,-85,-200,-200
1526456130477,-42,-25,-47,-49,-49,-52,-63,-54,-78,-54,-87,-59,-53,-60,-52,-53,-37,-200,-57,-70,-200,-53,-200,-68,-53,-200,-72,-76,-66,-78,-200,-67,-200,-75,-79,-79,-200,-200,-200,-200,-70,-57,-200,-79,-71,-200,-200,-88,-200,-200,-200,-86,-200,-200,-200,-200,-65,-200,-200,-69,-73,-200,-70,-67,-200,-76,-200,-200,-200,-200,-200,-200,-74,-80,-200,-200,-200,-81,-200,-200,-200,-85,-200,-200
1526456133481,-45,-27,-47,-50,-49,-49,-80,-55,-53,-200,-49,-64,-52,-85,-54,-53,-39,-200,-52,-69,-70,-69,-72,-69,-53,-57,-76,-87,-69,-200,-200,-68,-200,-75,-82,-75,-91,-200,-200,-200,-74,-63,-200,-78,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-65,-200,-200,-82,-75,-74,-200,-65,-200,-200,-200,-200,-200,-76,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-77,-200,-92,-200
1526456136546,-50,-27,-45,-49,-44,-52,-80,-55,-52,-55,-52,-56,-53,-69,-54,-55,-36,-200,-59,-69,-70,-54,-72,-72,-200,-79,-78,-73,-73,-70,-200,-68,-200,-75,-86,-54,-90,-70,-200,-200,-73,-66,-200,-77,-68,-200,-200,-87,-200,-82,-200,-200,-200,-200,-200,-200,-65,-200,-200,-82,-75,-74,-68,-66,-85,-200,-200,-200,-62,-76,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-77,-200,-92,-200
1526456139590,-50,-28,-45,-48,-45,-51,-80,-56,-51,-57,-48,-59,-51,-70,-53,-55,-35,-200,-59,-69,-70,-55,-72,-71,-200,-79,-76,-73,-73,-70,-200,-68,-200,-75,-86,-81,-89,-70,-200,-200,-71,-65,-200,-77,-68,-200,-200,-87,-200,-82,-200,-200,-200,-200,-200,-200,-65,-200,-200,-82,-75,-74,-79,-65,-84,-200,-200,-200,-59,-76,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-77,-200,-92,-200
1526456142655,-50,-32,-45,-48,-46,-51,-61,-62,-47,-59,-53,-59,-50,-70,-53,-54,-36,-200,-60,-200,-69,-55,-200,-70,-200,-68,-75,-76,-64,-200,-200,-70,-200,-74,-88,-80,-89,-200,-71,-200,-71,-67,-200,-77,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-64,-200,-200,-200,-200,-71,-75,-65,-84,-200,-200,-200,-59,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456145661,-32,-28,-48,-43,-47,-46,-52,-57,-56,-59,-56,-59,-62,-57,-54,-53,-40,-200,-60,-70,-69,-55,-200,-71,-66,-56,-71,-76,-63,-200,-200,-67,-200,-74,-77,-78,-200,-200,-71,-200,-200,-60,-200,-83,-69,-67,-200,-77,-200,-200,-200,-200,-200,-200,-79,-86,-58,-200,-200,-200,-73,-71,-75,-65,-200,-200,-200,-200,-59,-200,-200,-200,-70,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456148706,-39,-31,-51,-46,-50,-56,-56,-61,-50,-200,-54,-50,-71,-78,-54,-50,-42,-200,-58,-70,-200,-61,-200,-71,-66,-58,-73,-89,-63,-74,-200,-67,-200,-74,-74,-55,-200,-200,-200,-200,-91,-62,-200,-73,-71,-70,-200,-77,-200,-200,-200,-81,-200,-200,-79,-86,-62,-200,-200,-86,-87,-79,-200,-200,-200,-200,-200,-200,-53,-74,-200,-87,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456151740,-32,-31,-50,-42,-50,-51,-59,-64,-53,-200,-52,-50,-58,-78,-53,-54,-40,-200,-61,-67,-200,-57,-66,-69,-57,-51,-72,-89,-68,-74,-77,-200,-200,-75,-53,-76,-200,-200,-200,-200,-73,-62,-200,-79,-73,-70,-200,-200,-200,-200,-200,-86,-200,-200,-200,-84,-62,-200,-200,-86,-87,-79,-200,-59,-200,-200,-200,-200,-59,-74,-200,-87,-200,-200,-200,-200,-200,-78,-200,-200,-82,-200,-200,-90
