,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526457124327,-34,-34,-35,-34,-51,-60,-77,-55,-74,-64,-50,-51,-41,-77,-60,-54,-61,-59,-61,-81,-63,-54,-84,-67,-65,-62,-200,-76,-63,-71,-64,-64,-200,-85,-76,-200,-200,-200,-200,-77,-80,-83,-200,-200,-83,-81,-88,-61,-66,-66,-90,-82,-85,-84,-87,-200,-200,-68,-200,-200,-200,-200,-76,-88,-200,-200,-200,-200,-200,-200,-74,-91,-92,-93,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457127331,-27,-36,-40,-33,-51,-61,-63,-53,-74,-62,-50,-50,-43,-200,-60,-57,-63,-59,-61,-81,-64,-49,-57,-59,-65,-56,-200,-76,-200,-71,-64,-64,-76,-80,-200,-73,-200,-200,-79,-77,-200,-200,-200,-200,-83,-200,-76,-58,-67,-66,-200,-83,-200,-84,-200,-200,-200,-64,-200,-200,-200,-200,-77,-70,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-88,-88,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457130336,-33,-34,-40,-33,-65,-60,-62,-56,-74,-67,-63,-51,-43,-200,-60,-54,-66,-59,-73,-73,-60,-53,-55,-59,-65,-62,-200,-76,-64,-71,-63,-64,-76,-80,-200,-73,-200,-200,-79,-77,-78,-87,-200,-200,-83,-200,-76,-59,-62,-66,-200,-82,-200,-84,-88,-200,-200,-62,-73,-200,-200,-200,-77,-70,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-88,-88,-70,-70,-200,-200,-200,-200,-200,-200,-200,-200
1526457133340,-27,-36,-41,-32,-48,-59,-63,-58,-74,-63,-50,-52,-67,-200,-61,-63,-66,-59,-73,-64,-60,-54,-57,-80,-63,-64,-200,-76,-63,-71,-65,-64,-76,-71,-200,-73,-80,-200,-79,-65,-78,-87,-200,-200,-83,-200,-76,-59,-65,-200,-73,-82,-200,-84,-87,-200,-200,-62,-73,-200,-200,-86,-76,-70,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-70,-70,-200,-200,-200,-200,-200,-200,-200,-200
1526457136396,-34,-34,-40,-34,-77,-62,-64,-53,-61,-63,-50,-52,-67,-74,-61,-47,-57,-57,-75,-64,-200,-54,-59,-59,-65,-64,-200,-74,-63,-70,-64,-200,-200,-83,-200,-200,-80,-200,-79,-63,-200,-200,-200,-200,-200,-200,-200,-59,-83,-200,-73,-80,-200,-84,-87,-200,-200,-65,-200,-200,-200,-86,-76,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-72,-79,-82,-200,-200,-200,-200,-200
1526457139415,-27,-35,-39,-34,-52,-61,-64,-66,-74,-63,-54,-62,-42,-74,-60,-51,-60,-63,-75,-81,-56,-52,-58,-59,-65,-64,-200,-80,-63,-70,-64,-200,-200,-79,-200,-72,-80,-200,-79,-77,-200,-200,-200,-200,-200,-85,-200,-59,-65,-69,-73,-82,-200,-83,-87,-200,-200,-65,-76,-200,-200,-86,-74,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-75,-79,-80,-77,-89,-200,-200,-200
1526457142462,-26,-35,-38,-35,-51,-60,-61,-56,-75,-66,-51,-54,-47,-74,-61,-49,-61,-59,-61,-81,-74,-54,-58,-84,-67,-68,-200,-74,-200,-71,-65,-200,-200,-59,-200,-70,-200,-200,-79,-75,-200,-200,-200,-200,-200,-85,-200,-58,-62,-69,-78,-71,-200,-83,-85,-200,-200,-64,-76,-78,-200,-200,-74,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-75,-79,-86,-77,-89,-83,-200,-200
1526457145505,-33,-34,-35,-34,-51,-58,-60,-57,-78,-64,-50,-52,-42,-75,-60,-55,-56,-57,-61,-64,-66,-54,-68,-56,-74,-68,-200,-76,-200,-69,-65,-66,-200,-70,-200,-70,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-58,-64,-200,-78,-82,-83,-84,-85,-200,-200,-66,-200,-78,-78,-200,-74,-200,-200,-84,-86,-200,-200,-200,-200,-200,-74,-88,-200,-200,-200,-200,-200,-200,-83,-200,-200,-83,-76,-200
1526457148579,-33,-34,-40,-34,-56,-60,-61,-56,-74,-62,-50,-52,-44,-75,-61,-53,-64,-60,-58,-64,-55,-54,-56,-55,-63,-79,-200,-76,-63,-71,-65,-66,-200,-81,-200,-70,-200,-76,-200,-77,-91,-200,-200,-200,-83,-200,-200,-62,-65,-200,-73,-82,-85,-84,-85,-200,-200,-66,-88,-78,-78,-200,-74,-91,-200,-84,-86,-200,-200,-200,-200,-200,-74,-88,-200,-200,-200,-200,-200,-200,-83,-200,-200,-83,-76,-200
1526457151620,-27,-36,-40,-34,-51,-60,-61,-56,-74,-64,-48,-55,-44,-200,-61,-63,-64,-59,-60,-64,-63,-54,-56,-57,-69,-65,-200,-76,-63,-71,-64,-200,-74,-80,-200,-71,-200,-76,-200,-77,-91,-200,-200,-200,-83,-200,-200,-60,-65,-64,-72,-83,-85,-84,-200,-200,-200,-64,-73,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457154687,-28,-36,-40,-34,-58,-61,-62,-69,-73,-64,-48,-59,-44,-200,-60,-52,-63,-60,-60,-64,-63,-53,-53,-63,-69,-65,-200,-75,-63,-71,-65,-67,-74,-81,-200,-71,-200,-79,-200,-77,-91,-83,-200,-200,-83,-200,-200,-58,-65,-64,-72,-82,-84,-83,-87,-200,-200,-64,-73,-77,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200
1526457157738,-78,-36,-41,-35,-51,-58,-62,-69,-76,-64,-50,-55,-44,-200,-60,-54,-62,-59,-63,-67,-63,-51,-54,-63,-63,-64,-200,-75,-200,-72,-61,-67,-200,-81,-200,-73,-200,-79,-75,-82,-200,-83,-200,-200,-200,-200,-200,-59,-70,-200,-84,-85,-84,-84,-87,-200,-200,-56,-78,-77,-200,-200,-74,-72,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-87,-200,-84
