,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,DLINK_D02A58
1526457034208,-32,-42,-45,-49,-45,-52,-51,-52,-55,-63,-54,-59,-52,-61,-67,-62,-63,-58,-60,-200,-65,-73,-67,-67,-71,-64,-67,-66,-200,-72,-71,-70,-200,-68,-79,-200,-80,-80,-88,-61,-66,-200,-80,-80,-200,-82,-200,-200,-71,-200,-200,-88,-74,-200,-200,-200,-83,-200,-85,-200,-200,-87,-200,-200,-200,-87,-79,-85,-85,-80,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526457037235,-34,-41,-45,-45,-44,-52,-53,-53,-54,-63,-54,-56,-51,-200,-67,-56,-63,-61,-60,-86,-65,-70,-90,-67,-71,-64,-69,-76,-200,-72,-72,-70,-82,-68,-79,-200,-82,-53,-200,-61,-200,-200,-80,-80,-200,-200,-200,-200,-79,-200,-200,-200,-70,-74,-200,-88,-200,-200,-85,-88,-200,-87,-200,-200,-200,-200,-200,-200,-200,-80,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526457040297,-32,-41,-45,-48,-47,-52,-48,-53,-55,-62,-57,-55,-50,-62,-65,-63,-64,-61,-61,-86,-67,-70,-90,-62,-63,-66,-68,-75,-200,-73,-72,-90,-79,-200,-200,-200,-81,-62,-80,-61,-200,-200,-200,-80,-200,-82,-200,-200,-79,-200,-200,-200,-70,-74,-200,-88,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457043357,-32,-42,-45,-47,-48,-67,-52,-53,-55,-62,-55,-59,-49,-64,-65,-56,-61,-61,-78,-68,-67,-68,-90,-71,-70,-72,-81,-75,-200,-75,-72,-71,-79,-200,-200,-200,-80,-79,-80,-61,-62,-200,-79,-81,-200,-82,-200,-200,-79,-200,-200,-200,-75,-74,-200,-87,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-87,-200,-200,-200,-200,-200,-200
1526457046367,-32,-42,-45,-44,-48,-71,-47,-52,-54,-63,-55,-50,-49,-63,-66,-63,-63,-60,-69,-70,-200,-65,-200,-71,-71,-72,-63,-72,-200,-73,-71,-71,-200,-200,-200,-200,-71,-71,-200,-200,-66,-200,-80,-80,-200,-83,-200,-200,-77,-200,-200,-200,-75,-84,-200,-80,-86,-200,-200,-89,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-89,-84,-86,-200,-200,-200,-200
1526457049427,-33,-45,-42,-44,-46,-55,-51,-52,-55,-65,-54,-59,-51,-63,-67,-63,-65,-60,-68,-65,-62,-65,-68,-200,-80,-64,-64,-72,-200,-75,-72,-200,-200,-68,-200,-200,-72,-80,-200,-61,-75,-200,-80,-79,-200,-83,-200,-200,-77,-200,-200,-200,-200,-72,-77,-83,-86,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-84,-86,-200,-200,-200,-200
1526457052463,-31,-47,-44,-48,-46,-55,-73,-51,-53,-64,-58,-58,-59,-64,-68,-59,-62,-62,-68,-64,-62,-68,-68,-200,-71,-76,-69,-200,-200,-70,-71,-79,-200,-68,-200,-200,-71,-78,-200,-58,-75,-200,-200,-80,-200,-200,-200,-200,-76,-200,-200,-200,-200,-72,-77,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200
1526457055515,-30,-52,-44,-45,-48,-200,-46,-51,-54,-63,-54,-59,-52,-85,-62,-57,-63,-61,-68,-55,-69,-68,-58,-200,-71,-72,-71,-74,-200,-73,-70,-74,-200,-200,-200,-200,-80,-79,-200,-68,-200,-200,-77,-82,-200,-82,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-82,-200,-86,-87,-200,-200
1526457058568,-34,-41,-45,-46,-45,-51,-48,-53,-54,-61,-53,-57,-51,-64,-66,-57,-78,-59,-68,-81,-65,-66,-67,-200,-70,-72,-63,-74,-200,-76,-61,-71,-200,-200,-200,-200,-81,-80,-200,-59,-83,-200,-91,-79,-200,-82,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-90,-200,-82,-200,-86,-87,-200,-200
1526457061594,-31,-42,-44,-47,-50,-51,-47,-53,-54,-62,-57,-58,-51,-64,-65,-57,-64,-61,-68,-67,-65,-66,-65,-200,-70,-72,-63,-200,-200,-73,-71,-70,-200,-200,-200,-79,-82,-79,-200,-63,-83,-200,-91,-78,-200,-84,-200,-200,-200,-200,-200,-200,-69,-200,-76,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-80,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526457064638,-32,-42,-45,-47,-45,-54,-48,-52,-54,-64,-56,-55,-50,-64,-67,-55,-65,-66,-65,-67,-65,-66,-66,-200,-71,-83,-64,-200,-200,-73,-71,-76,-81,-200,-86,-79,-81,-80,-200,-61,-66,-200,-91,-69,-200,-84,-200,-200,-200,-200,-200,-200,-78,-71,-76,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-80,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526457067696,-32,-42,-45,-44,-47,-54,-47,-50,-54,-61,-55,-59,-61,-65,-66,-56,-59,-61,-64,-70,-65,-200,-63,-66,-52,-68,-72,-200,-200,-72,-71,-72,-80,-200,-86,-79,-50,-79,-85,-61,-66,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-78,-71,-76,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-82,-88
