,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,whjx-xiaozhuyang-1,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526456339009,-30,-45,-47,-41,-38,-53,-59,-50,-53,-57,-71,-58,-200,-68,-62,-62,-85,-64,-62,-65,-200,-67,-65,-73,-63,-65,-200,-67,-61,-200,-200,-74,-70,-77,-78,-77,-83,-64,-71,-75,-77,-200,-57,-200,-73,-83,-86,-80,-87,-200,-200,-200,-86,-85,-81,-59,-75,-55,-87,-80,-200,-73,-200,-200,-76,-76,-74,-85,-200,-200,-70,-200,-200,-200,-85,-200,-89,-82,-87,-90,-73,-81,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526456342070,-25,-44,-63,-43,-36,-51,-57,-48,-51,-55,-200,-51,-200,-60,-62,-65,-69,-64,-65,-65,-200,-67,-63,-200,-69,-69,-200,-59,-59,-60,-200,-77,-73,-78,-86,-77,-200,-64,-71,-69,-81,-200,-58,-200,-200,-81,-200,-200,-87,-200,-200,-89,-86,-85,-200,-59,-200,-48,-200,-200,-200,-73,-200,-200,-200,-71,-74,-85,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-73,-81,-88,-89,-83,-200,-200,-200,-200,-200,-200,-200
1526456345127,-27,-47,-56,-42,-36,-51,-55,-52,-49,-60,-200,-72,-200,-57,-61,-55,-69,-59,-65,-65,-63,-67,-63,-200,-49,-69,-73,-59,-60,-61,-200,-74,-73,-78,-85,-69,-200,-63,-71,-69,-80,-200,-58,-200,-77,-81,-200,-200,-86,-200,-200,-89,-86,-85,-200,-59,-88,-47,-200,-200,-200,-73,-200,-200,-200,-71,-74,-85,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-73,-78,-88,-89,-83,-74,-200,-200,-200,-200,-200,-200
1526456348135,-26,-49,-55,-44,-37,-48,-59,-51,-49,-57,-200,-71,-200,-56,-57,-51,-69,-55,-64,-200,-69,-66,-67,-200,-57,-68,-72,-65,-66,-61,-71,-73,-72,-200,-82,-83,-200,-63,-74,-200,-78,-200,-64,-200,-77,-200,-88,-200,-73,-200,-200,-200,-200,-200,-82,-200,-88,-49,-200,-200,-200,-71,-200,-87,-200,-83,-74,-200,-200,-200,-71,-86,-200,-200,-200,-84,-200,-200,-200,-200,-63,-78,-200,-200,-200,-74,-76,-88,-89,-200,-200,-200
1526456351181,-24,-44,-56,-42,-37,-49,-59,-51,-49,-57,-200,-71,-200,-54,-57,-54,-69,-56,-63,-68,-62,-66,-67,-200,-74,-68,-72,-65,-63,-200,-71,-74,-73,-200,-81,-83,-200,-62,-74,-71,-57,-200,-64,-200,-200,-200,-89,-200,-87,-200,-200,-200,-200,-200,-82,-70,-200,-56,-200,-82,-200,-71,-200,-87,-200,-72,-200,-200,-200,-200,-71,-86,-200,-200,-200,-84,-200,-200,-200,-200,-63,-200,-200,-200,-79,-200,-82,-88,-89,-70,-200,-200
1526456354238,-25,-50,-55,-44,-36,-49,-59,-52,-50,-56,-62,-63,-62,-50,-57,-54,-69,-56,-65,-68,-62,-66,-67,-200,-74,-68,-72,-57,-62,-200,-74,-77,-73,-200,-73,-200,-200,-59,-74,-71,-79,-200,-63,-200,-200,-84,-79,-200,-87,-200,-200,-200,-200,-200,-85,-70,-200,-54,-200,-82,-200,-71,-200,-87,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-63,-200,-200,-200,-79,-200,-82,-88,-89,-70,-200,-200
1526456357263,-26,-43,-55,-43,-34,-50,-59,-45,-49,-54,-62,-54,-64,-53,-200,-52,-200,-58,-62,-200,-62,-67,-200,-200,-49,-200,-200,-65,-62,-200,-74,-70,-68,-200,-73,-200,-200,-62,-200,-80,-70,-200,-59,-200,-75,-84,-90,-200,-84,-200,-200,-200,-200,-200,-85,-64,-200,-55,-200,-86,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200
1526456360307,-28,-43,-54,-44,-37,-50,-57,-50,-50,-54,-70,-69,-63,-53,-200,-67,-200,-60,-60,-200,-61,-67,-78,-77,-73,-200,-74,-66,-61,-200,-200,-74,-74,-200,-72,-200,-200,-60,-200,-80,-78,-200,-62,-200,-75,-200,-90,-200,-84,-200,-200,-200,-200,-200,-200,-64,-200,-58,-200,-86,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200
1526456363351,-26,-48,-56,-42,-37,-49,-58,-52,-47,-57,-71,-70,-63,-53,-63,-51,-83,-60,-61,-200,-59,-81,-78,-87,-50,-73,-74,-66,-62,-63,-83,-74,-70,-200,-82,-83,-200,-66,-72,-80,-78,-200,-62,-200,-75,-200,-89,-200,-84,-200,-200,-200,-200,-200,-200,-66,-200,-50,-200,-86,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-69,-87,-75,-79,-200,-200,-200,-79,-200,-200,-87,-89,-200,-200,-200,-200,-76,-200,-200,-200,-83,-200
1526456366385,-25,-39,-50,-42,-33,-49,-55,-52,-52,-52,-71,-68,-200,-56,-57,-49,-83,-200,-65,-64,-61,-66,-200,-87,-70,-73,-75,-55,-64,-63,-83,-74,-70,-81,-86,-74,-200,-67,-72,-200,-77,-200,-200,-200,-200,-200,-89,-200,-84,-200,-200,-200,-200,-89,-200,-62,-200,-50,-200,-86,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-74,-87,-75,-79,-200,-200,-200,-200,-200,-200,-87,-89,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200
1526456369455,-29,-45,-65,-55,-37,-51,-55,-50,-51,-51,-62,-69,-200,-55,-57,-79,-76,-59,-61,-58,-60,-66,-200,-87,-73,-65,-75,-59,-64,-63,-73,-74,-72,-81,-81,-74,-200,-67,-68,-200,-77,-200,-200,-200,-73,-200,-87,-200,-84,-200,-200,-200,-200,-89,-200,-59,-200,-53,-200,-82,-200,-80,-78,-200,-200,-74,-200,-87,-200,-200,-74,-87,-77,-79,-200,-200,-90,-200,-200,-200,-87,-89,-200,-200,-200,-74,-76,-200,-200,-200,-200,-200
1526456372501,-28,-47,-50,-56,-35,-49,-58,-50,-51,-51,-63,-66,-200,-58,-200,-46,-68,-59,-64,-58,-57,-67,-200,-200,-51,-70,-75,-60,-200,-200,-68,-71,-71,-200,-84,-200,-200,-68,-70,-200,-76,-200,-200,-200,-73,-200,-87,-200,-200,-200,-200,-200,-200,-200,-79,-60,-200,-52,-200,-82,-200,-80,-78,-200,-200,-74,-200,-87,-200,-200,-200,-200,-77,-200,-88,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-73,-200,-78
