,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,whu2011314,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,MERCURY_0166,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526456635989,-17,-46,-48,-50,-37,-50,-52,-59,-58,-65,-53,-64,-73,-59,-64,-63,-59,-65,-76,-64,-64,-83,-53,-53,-58,-81,-76,-200,-200,-63,-63,-200,-83,-82,-82,-200,-200,-69,-74,-200,-67,-82,-72,-200,-200,-56,-74,-200,-200,-81,-200,-200,-200,-200,-68,-69,-200,-200,-200,-77,-200,-200,-200,-200,-200,-90,-200,-88,-200,-200,-200,-81,-86,-88,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456639001,-12,-45,-49,-54,-35,-64,-53,-57,-59,-67,-52,-65,-73,-59,-67,-62,-58,-64,-76,-64,-64,-90,-63,-55,-58,-82,-76,-200,-200,-63,-62,-69,-83,-63,-82,-200,-200,-69,-74,-200,-67,-81,-72,-200,-200,-62,-76,-200,-200,-81,-75,-89,-200,-200,-68,-72,-74,-200,-200,-77,-87,-80,-82,-86,-200,-90,-200,-88,-200,-200,-200,-81,-86,-88,-85,-83,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456642055,-17,-43,-46,-52,-37,-53,-51,-57,-55,-66,-51,-89,-200,-58,-66,-62,-56,-64,-200,-66,-65,-78,-62,-65,-60,-82,-200,-200,-200,-61,-62,-69,-200,-50,-200,-200,-200,-69,-200,-73,-200,-81,-69,-200,-200,-57,-76,-200,-80,-200,-75,-89,-200,-200,-61,-72,-74,-200,-200,-200,-87,-80,-82,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-92,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456645116,-17,-46,-44,-50,-35,-49,-53,-67,-54,-68,-52,-68,-200,-58,-65,-73,-55,-65,-76,-64,-65,-77,-64,-57,-60,-81,-71,-200,-71,-62,-62,-69,-200,-82,-75,-73,-79,-69,-200,-73,-200,-70,-70,-200,-200,-63,-73,-200,-80,-200,-75,-89,-200,-200,-61,-69,-74,-200,-200,-200,-87,-80,-82,-86,-200,-200,-200,-200,-200,-200,-200,-81,-86,-89,-200,-83,-92,-85,-90,-79,-84,-87,-200,-200,-200,-200,-200,-200
1526456648126,-17,-47,-47,-51,-36,-51,-52,-57,-58,-90,-53,-200,-200,-59,-64,-61,-59,-200,-86,-69,-64,-81,-64,-56,-59,-81,-200,-200,-73,-53,-64,-69,-200,-84,-70,-200,-200,-200,-200,-200,-200,-71,-71,-200,-85,-57,-75,-200,-200,-79,-79,-88,-200,-200,-200,-200,-76,-200,-82,-200,-200,-200,-200,-87,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200
1526456651188,-24,-45,-47,-48,-35,-50,-53,-58,-53,-90,-53,-66,-200,-73,-64,-61,-57,-64,-74,-69,-64,-81,-64,-57,-55,-82,-74,-200,-73,-63,-58,-69,-200,-84,-70,-200,-200,-200,-200,-200,-200,-81,-69,-200,-85,-61,-75,-200,-200,-79,-79,-88,-200,-200,-67,-200,-76,-77,-82,-81,-200,-79,-200,-87,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200
1526456654247,-17,-46,-50,-51,-36,-50,-54,-57,-53,-90,-53,-66,-77,-65,-69,-65,-57,-65,-78,-69,-65,-81,-64,-54,-57,-81,-73,-200,-73,-54,-61,-70,-82,-81,-72,-73,-79,-63,-200,-81,-200,-81,-73,-200,-85,-74,-75,-200,-200,-79,-79,-88,-200,-200,-64,-65,-76,-82,-82,-81,-200,-79,-200,-87,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200
1526456657308,-24,-47,-49,-53,-39,-51,-52,-57,-55,-65,-52,-67,-77,-59,-66,-66,-59,-65,-78,-66,-65,-200,-65,-56,-59,-81,-75,-200,-200,-62,-62,-70,-82,-84,-72,-73,-78,-69,-200,-81,-200,-80,-73,-200,-200,-74,-76,-200,-200,-200,-200,-200,-200,-200,-68,-68,-200,-82,-200,-76,-78,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456660357,-17,-43,-51,-49,-35,-50,-52,-58,-58,-71,-53,-67,-200,-57,-69,-66,-58,-65,-200,-64,-200,-200,-64,-57,-57,-81,-77,-200,-71,-62,-63,-200,-80,-84,-71,-200,-76,-72,-73,-200,-70,-79,-70,-200,-200,-57,-76,-86,-200,-200,-200,-200,-200,-200,-62,-68,-75,-200,-200,-76,-78,-79,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-79,-200,-200,-200,-200,-200,-200
1526456663451,-18,-64,-54,-41,-37,-50,-52,-56,-58,-60,-52,-68,-85,-62,-88,-64,-63,-65,-200,-65,-59,-72,-54,-58,-65,-83,-200,-80,-200,-65,-62,-64,-77,-85,-78,-73,-77,-86,-73,-81,-200,-79,-74,-200,-82,-57,-73,-200,-200,-200,-200,-200,-200,-200,-64,-200,-200,-85,-81,-80,-200,-79,-200,-200,-200,-83,-200,-200,-84,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-82,-86,-86,-88,-89,-200,-200
1526456666517,-18,-57,-53,-43,-37,-50,-53,-63,-58,-59,-54,-63,-71,-61,-88,-64,-63,-77,-200,-65,-59,-72,-54,-58,-65,-83,-67,-80,-200,-65,-62,-71,-77,-85,-78,-73,-77,-86,-73,-81,-200,-83,-77,-200,-82,-61,-81,-200,-200,-200,-200,-200,-200,-200,-64,-200,-200,-85,-81,-80,-83,-79,-200,-200,-200,-83,-200,-200,-84,-200,-200,-200,-88,-200,-200,-81,-200,-200,-200,-200,-200,-82,-86,-86,-88,-89,-80,-200
1526456669577,-18,-48,-48,-46,-35,-57,-53,-59,-53,-60,-49,-63,-70,-66,-74,-64,-59,-66,-200,-65,-62,-74,-61,-58,-64,-83,-67,-80,-200,-61,-61,-67,-77,-81,-78,-73,-77,-72,-73,-81,-200,-81,-70,-200,-82,-58,-81,-200,-200,-79,-200,-200,-200,-200,-56,-73,-200,-85,-87,-78,-83,-80,-80,-200,-200,-83,-200,-200,-84,-200,-200,-200,-88,-200,-200,-81,-200,-200,-200,-200,-200,-82,-86,-86,-88,-89,-80,-89
