,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018
1526465165027,-42,-41,-53,-61,-62,-58,-58,-60,-63,-70,-67,-64,-69,-72,-70,-89,-67,-72,-73,-79,-200,-73,-69,-200,-75,-80,-74,-82,-78,-82,-200,-90,-77,-84,-87,-86,-91,-86,-200,-200,-89,-200,-83,-90,-88,-89,-92,-92,-200,-90,-82,-91,-91,-200,-200,-87,-90,-200,-92,-91,-92,-200,-88,-73,-200,-200,-200,-90,-92,-200,-84,-92,-89,-200,-200,-200,-200
1526465168064,-42,-41,-56,-55,-57,-58,-56,-68,-58,-71,-63,-76,-66,-74,-72,-74,-66,-72,-77,-73,-200,-69,-77,-200,-75,-79,-75,-83,-80,-78,-200,-86,-75,-80,-83,-86,-81,-78,-200,-200,-200,-200,-81,-90,-82,-90,-200,-87,-200,-91,-82,-89,-89,-200,-91,-87,-90,-200,-91,-91,-200,-85,-88,-73,-200,-200,-200,-90,-92,-200,-84,-92,-89,-200,-200,-200,-200
1526465171106,-44,-45,-55,-54,-53,-57,-55,-68,-59,-54,-61,-59,-66,-74,-67,-64,-65,-72,-76,-73,-88,-71,-78,-200,-71,-84,-79,-80,-83,-80,-200,-86,-75,-79,-88,-88,-84,-84,-200,-200,-90,-200,-84,-90,-84,-87,-86,-87,-200,-91,-82,-89,-89,-200,-91,-84,-85,-200,-90,-91,-91,-83,-87,-74,-200,-200,-200,-88,-91,-90,-200,-200,-200,-200,-200,-200,-200
1526465174143,-41,-39,-53,-54,-54,-59,-51,-68,-60,-67,-62,-57,-66,-70,-69,-62,-65,-70,-74,-76,-88,-69,-76,-200,-71,-75,-70,-78,-83,-82,-200,-85,-77,-79,-83,-85,-82,-83,-200,-200,-90,-200,-86,-90,-82,-87,-86,-86,-200,-91,-81,-87,-89,-200,-91,-78,-87,-200,-90,-91,-91,-81,-87,-74,-87,-91,-200,-87,-91,-90,-200,-200,-200,-89,-200,-200,-200
1526465177183,-43,-37,-53,-58,-61,-62,-56,-68,-57,-60,-65,-61,-66,-69,-69,-74,-66,-69,-68,-80,-88,-73,-78,-200,-72,-76,-73,-81,-79,-79,-200,-87,-71,-76,-88,-90,-82,-91,-200,-200,-89,-200,-83,-200,-85,-90,-86,-86,-200,-86,-83,-87,-89,-200,-91,-82,-87,-200,-90,-91,-91,-81,-87,-74,-87,-89,-200,-87,-90,-90,-200,-200,-200,-89,-90,-92,-200
1526465180222,-41,-37,-56,-59,-59,-60,-55,-68,-56,-59,-61,-65,-69,-55,-71,-70,-67,-68,-72,-80,-88,-71,-78,-200,-72,-75,-74,-79,-80,-83,-200,-87,-75,-84,-78,-90,-82,-81,-200,-200,-87,-200,-83,-200,-85,-90,-90,-89,-200,-86,-82,-87,-89,-200,-90,-82,-87,-200,-90,-91,-91,-84,-89,-75,-87,-89,-200,-87,-90,-94,-200,-200,-200,-89,-88,-92,-200
1526465183260,-43,-37,-52,-57,-50,-61,-53,-60,-58,-59,-64,-63,-70,-70,-72,-68,-68,-69,-71,-80,-200,-70,-77,-200,-69,-77,-68,-79,-81,-81,-200,-91,-74,-86,-81,-90,-86,-80,-88,-200,-87,-200,-85,-200,-85,-90,-90,-92,-200,-89,-82,-86,-200,-200,-90,-84,-87,-200,-90,-91,-200,-83,-89,-76,-87,-89,-90,-89,-91,-94,-200,-200,-93,-88,-88,-92,-200
1526465186299,-43,-40,-53,-63,-63,-67,-62,-60,-65,-68,-67,-70,-68,-75,-72,-78,-69,-72,-72,-73,-200,-70,-76,-200,-80,-78,-72,-79,-83,-82,-200,-88,-80,-84,-87,-86,-79,-90,-88,-200,-90,-200,-83,-200,-80,-87,-90,-89,-200,-92,-82,-90,-91,-200,-90,-86,-89,-200,-91,-91,-200,-83,-90,-72,-200,-88,-90,-91,-90,-91,-200,-200,-89,-87,-88,-200,-90
1526465189333,-45,-40,-58,-59,-61,-60,-62,-64,-65,-70,-62,-69,-61,-76,-70,-85,-72,-75,-72,-72,-200,-74,-79,-200,-74,-78,-77,-84,-82,-84,-200,-88,-77,-85,-90,-86,-79,-88,-88,-200,-90,-200,-83,-200,-86,-87,-89,-91,-200,-92,-85,-90,-89,-200,-200,-88,-85,-200,-92,-93,-200,-83,-90,-71,-200,-88,-90,-91,-90,-91,-200,-200,-89,-91,-200,-200,-90
1526465192373,-42,-38,-54,-55,-58,-58,-66,-71,-57,-59,-63,-63,-61,-72,-75,-68,-59,-71,-73,-74,-200,-70,-77,-200,-70,-78,-73,-84,-78,-82,-200,-86,-70,-80,-86,-87,-81,-84,-200,-200,-90,-200,-82,-82,-86,-90,-89,-91,-200,-85,-80,-90,-89,-200,-200,-81,-85,-200,-92,-93,-200,-200,-90,-71,-89,-88,-91,-91,-90,-91,-200,-200,-90,-91,-200,-92,-90
1526465195414,-43,-36,-54,-54,-56,-62,-66,-44,-61,-60,-57,-57,-61,-68,-78,-66,-62,-67,-73,-74,-87,-70,-77,-200,-77,-74,-72,-81,-85,-84,-200,-86,-75,-93,-88,-87,-79,-84,-200,-200,-90,-200,-87,-82,-81,-90,-89,-91,-200,-85,-88,-90,-93,-200,-94,-84,-88,-200,-92,-93,-200,-200,-89,-78,-89,-88,-87,-91,-91,-90,-200,-200,-90,-91,-200,-92,-200
1526465198452,-42,-37,-54,-57,-58,-59,-60,-72,-56,-57,-62,-58,-64,-71,-69,-60,-67,-69,-70,-78,-87,-69,-77,-200,-70,-75,-72,-78,-83,-82,-72,-86,-78,-81,-80,-86,-79,-83,-200,-200,-200,-200,-84,-82,-84,-89,-89,-88,-200,-85,-88,-88,-90,-200,-94,-84,-88,-200,-92,-93,-200,-200,-87,-78,-89,-88,-87,-90,-91,-90,-200,-200,-90,-91,-200,-92,-200
