,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D02A10,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526449911605,-45,-33,-60,-42,-63,-46,-47,-45,-73,-69,-65,-64,-51,-56,-79,-55,-79,-47,-52,-58,-47,-75,-58,-66,-65,-61,-63,-59,-200,-71,-71,-84,-74,-82,-78,-70,-79,-63,-55,-200,-67,-70,-63,-72,-80,-81,-200,-63,-70,-78,-84,-77,-66,-77,-81,-200,-76,-80,-69,-92,-200,-78,-81,-200,-79,-90,-91,-86,-200,-200,-84,-85,-84,-200,-82,-88,-200,-200,-89,-200,-54,-200,-88,-85,-84,-89,-84,-200,-89,-200,-200,-78,-82,-91,-200,-68,-83,-200,-85,-200,-200,-87,-91,-84,-200,-86,-87,-90,-86,-200,-200,-81,-91,-93,-91,-200,-200,-200,-200,-200,-200
1526449914644,-50,-32,-55,-50,-55,-42,-46,-45,-64,-69,-74,-64,-53,-62,-80,-57,-62,-46,-54,-57,-50,-68,-66,-66,-66,-59,-63,-58,-82,-72,-74,-79,-73,-82,-76,-71,-200,-62,-59,-200,-66,-69,-71,-71,-79,-81,-200,-63,-70,-79,-84,-81,-73,-80,-81,-200,-75,-81,-73,-92,-200,-78,-80,-200,-80,-200,-90,-86,-200,-87,-83,-78,-200,-200,-84,-88,-200,-200,-88,-200,-56,-200,-88,-85,-94,-200,-83,-90,-88,-200,-200,-80,-82,-90,-200,-70,-83,-200,-84,-200,-200,-88,-200,-200,-200,-86,-87,-90,-86,-200,-92,-81,-200,-200,-89,-89,-92,-200,-200,-200,-200
1526449917682,-40,-32,-51,-42,-50,-38,-46,-45,-60,-71,-65,-64,-49,-56,-80,-56,-62,-43,-56,-57,-45,-71,-67,-73,-47,-56,-76,-58,-76,-72,-74,-84,-71,-82,-77,-72,-75,-62,-51,-200,-67,-67,-71,-71,-84,-73,-200,-60,-71,-79,-200,-76,-73,-79,-82,-200,-76,-81,-73,-92,-200,-78,-80,-200,-77,-87,-90,-83,-200,-87,-78,-83,-84,-200,-82,-88,-200,-200,-89,-200,-56,-200,-88,-84,-84,-88,-86,-90,-88,-200,-200,-79,-82,-89,-200,-67,-82,-200,-83,-200,-200,-88,-200,-200,-200,-200,-87,-90,-88,-200,-92,-200,-200,-200,-90,-89,-92,-91,-200,-200,-200
1526449920730,-43,-31,-50,-49,-50,-43,-47,-41,-63,-69,-58,-65,-49,-57,-80,-56,-74,-45,-53,-56,-48,-69,-58,-70,-64,-58,-76,-56,-76,-72,-69,-82,-71,-200,-77,-71,-79,-62,-63,-200,-68,-73,-70,-71,-78,-73,-200,-61,-71,-72,-90,-78,-65,-83,-82,-200,-78,-81,-81,-81,-200,-76,-81,-200,-79,-91,-88,-84,-200,-87,-78,-83,-84,-200,-79,-88,-200,-200,-89,-200,-55,-200,-200,-84,-84,-88,-86,-90,-88,-200,-200,-79,-81,-89,-200,-68,-82,-82,-83,-200,-200,-88,-200,-200,-200,-200,-200,-90,-84,-200,-92,-200,-200,-200,-88,-89,-92,-92,-200,-200,-200
1526449923777,-46,-31,-54,-46,-57,-42,-47,-43,-62,-84,-58,-64,-52,-53,-200,-56,-70,-46,-53,-58,-54,-70,-61,-74,-65,-59,-69,-59,-76,-200,-74,-68,-72,-79,-77,-70,-79,-59,-59,-200,-66,-70,-70,-71,-78,-73,-200,-64,-69,-73,-90,-71,-63,-83,-80,-200,-77,-200,-81,-83,-89,-77,-81,-200,-79,-91,-89,-86,-200,-87,-78,-82,-84,-200,-68,-88,-200,-200,-89,-200,-54,-200,-200,-85,-83,-88,-84,-90,-89,-200,-200,-80,-81,-90,-200,-66,-82,-83,-84,-200,-200,-88,-200,-200,-200,-200,-200,-90,-84,-200,-89,-200,-200,-200,-88,-200,-200,-92,-200,-200,-200
1526449926815,-47,-31,-56,-48,-58,-41,-46,-43,-63,-71,-62,-66,-49,-55,-84,-56,-61,-53,-55,-57,-50,-69,-58,-71,-64,-61,-69,-60,-76,-73,-69,-83,-71,-79,-72,-71,-79,-62,-51,-200,-66,-69,-70,-71,-81,-73,-200,-65,-68,-76,-90,-71,-64,-79,-81,-200,-76,-200,-71,-84,-89,-77,-81,-200,-79,-91,-85,-86,-200,-80,-82,-85,-84,-200,-68,-88,-200,-200,-89,-200,-51,-200,-89,-85,-83,-92,-83,-87,-90,-200,-200,-74,-81,-82,-200,-68,-82,-83,-84,-200,-200,-87,-200,-200,-200,-81,-89,-90,-84,-200,-91,-200,-200,-200,-89,-200,-90,-92,-89,-200,-200
1526449929832,-47,-31,-56,-48,-58,-41,-46,-43,-63,-71,-62,-66,-49,-55,-84,-56,-61,-53,-55,-57,-50,-69,-58,-71,-64,-61,-69,-60,-76,-73,-69,-83,-71,-79,-72,-71,-79,-62,-51,-200,-66,-69,-70,-71,-81,-73,-200,-65,-68,-76,-90,-71,-64,-79,-81,-200,-76,-200,-71,-84,-89,-77,-81,-200,-79,-91,-85,-86,-200,-80,-82,-85,-84,-200,-68,-88,-200,-200,-89,-200,-51,-200,-89,-85,-83,-92,-83,-87,-90,-200,-200,-74,-81,-82,-200,-68,-82,-83,-84,-200,-200,-87,-200,-200,-200,-81,-89,-90,-84,-200,-91,-200,-200,-200,-89,-200,-90,-92,-89,-200,-200
1526449932876,-47,-31,-56,-48,-58,-41,-46,-43,-63,-71,-62,-66,-49,-55,-84,-56,-61,-53,-55,-57,-50,-69,-58,-71,-64,-61,-69,-60,-76,-73,-69,-83,-71,-79,-72,-71,-79,-62,-51,-200,-66,-69,-70,-71,-81,-73,-200,-65,-68,-76,-90,-71,-64,-79,-81,-200,-76,-200,-71,-84,-89,-77,-81,-200,-79,-91,-85,-86,-200,-80,-82,-85,-84,-200,-68,-88,-200,-200,-89,-200,-51,-200,-89,-85,-83,-92,-83,-87,-90,-200,-200,-74,-81,-82,-200,-68,-82,-83,-84,-200,-200,-87,-200,-200,-200,-81,-89,-90,-84,-200,-91,-200,-200,-200,-89,-200,-90,-92,-89,-200,-200
1526449935925,-47,-31,-56,-48,-58,-41,-46,-43,-63,-71,-62,-66,-49,-55,-84,-56,-61,-53,-55,-57,-50,-69,-58,-71,-64,-61,-69,-60,-76,-73,-69,-83,-71,-79,-72,-71,-79,-62,-51,-200,-66,-69,-70,-71,-81,-73,-200,-65,-68,-76,-90,-71,-64,-79,-81,-200,-76,-200,-71,-84,-89,-77,-81,-200,-79,-91,-85,-86,-200,-80,-82,-85,-84,-200,-68,-88,-200,-200,-89,-200,-51,-200,-89,-85,-83,-92,-83,-87,-90,-200,-200,-74,-81,-82,-200,-68,-82,-83,-84,-200,-200,-87,-200,-200,-200,-81,-89,-90,-84,-200,-91,-200,-200,-200,-89,-200,-90,-92,-89,-200,-200
1526449938939,-41,-39,-56,-56,-61,-40,-46,-43,-54,-71,-62,-66,-49,-55,-84,-56,-68,-53,-55,-57,-41,-72,-55,-67,-64,-61,-69,-60,-76,-73,-64,-83,-71,-79,-72,-71,-79,-62,-64,-200,-66,-69,-70,-71,-81,-73,-88,-65,-68,-76,-90,-71,-64,-79,-81,-200,-76,-75,-71,-84,-89,-77,-81,-200,-79,-91,-85,-86,-200,-80,-82,-85,-84,-200,-68,-88,-200,-200,-89,-200,-51,-200,-89,-85,-83,-92,-83,-87,-90,-200,-200,-74,-81,-82,-200,-68,-82,-83,-84,-200,-200,-87,-200,-200,-200,-81,-89,-200,-84,-200,-91,-200,-200,-200,-89,-200,-90,-92,-89,-89,-200
1526449941955,-43,-23,-51,-55,-62,-24,-48,-55,-54,-200,-60,-66,-49,-65,-200,-54,-63,-46,-59,-52,-49,-74,-55,-69,-62,-62,-68,-61,-200,-73,-72,-84,-71,-79,-79,-72,-80,-200,-57,-200,-67,-61,-69,-200,-81,-200,-88,-72,-68,-72,-200,-71,-71,-200,-81,-200,-200,-75,-71,-90,-200,-77,-81,-200,-79,-91,-85,-83,-200,-77,-82,-85,-84,-200,-82,-88,-200,-200,-200,-200,-200,-200,-200,-85,-83,-89,-85,-200,-86,-200,-200,-74,-82,-82,-200,-68,-200,-83,-84,-200,-200,-90,-200,-85,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-91,-92,-89,-89,-200
1526449944968,-38,-15,-49,-51,-56,-48,-48,-56,-58,-200,-60,-63,-49,-58,-200,-55,-66,-50,-52,-65,-49,-68,-77,-69,-67,-63,-68,-61,-200,-75,-71,-86,-75,-87,-85,-71,-80,-70,-64,-200,-71,-62,-71,-200,-81,-84,-88,-72,-70,-72,-200,-74,-75,-82,-81,-200,-200,-78,-200,-90,-200,-78,-200,-200,-79,-89,-85,-83,-200,-77,-87,-200,-84,-200,-82,-88,-200,-200,-200,-200,-200,-200,-90,-200,-200,-97,-82,-90,-88,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-89,-91
