,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,ez-hr-honglianhu-1,DQKJ,D-Link_DIR-823Pro_5GHz
1526449383044,-26,-37,-67,-37,-46,-36,-49,-63,-60,-77,-60,-56,-51,-66,-67,-74,-57,-60,-56,-69,-80,-70,-200,-70,-72,-73,-73,-68,-78,-73,-72,-77,-75,-73,-80,-75,-200,-69,-77,-73,-84,-200,-77,-73,-74,-85,-200,-80,-80,-78,-84,-82,-85,-78,-80,-85,-81,-81,-200,-89,-86,-84,-85,-200,-79,-86,-86,-93,-200,-88,-85,-87,-87,-90,-89,-86,-84,-89,-87,-200,-200,-76,-79,-78,-90,-80,-87,-86,-88,-89,-200,-91,-200,-200,-90,-91,-89,-88,-86,-200,-200,-83,-200,-91,-92,-88
1526449386084,-33,-37,-67,-39,-45,-36,-49,-63,-61,-67,-62,-60,-52,-67,-66,-74,-56,-61,-56,-67,-80,-71,-200,-70,-71,-76,-72,-66,-78,-79,-71,-77,-75,-73,-80,-74,-200,-68,-77,-73,-84,-200,-75,-75,-83,-84,-200,-80,-81,-79,-83,-82,-86,-78,-80,-82,-82,-82,-200,-89,-88,-81,-85,-200,-83,-86,-88,-93,-200,-86,-85,-87,-87,-200,-90,-86,-84,-82,-88,-200,-200,-74,-79,-78,-90,-80,-87,-86,-88,-89,-200,-91,-200,-200,-200,-93,-89,-200,-86,-200,-200,-200,-200,-200,-92,-88
1526449389122,-32,-40,-67,-37,-42,-37,-48,-61,-60,-67,-62,-59,-52,-69,-66,-73,-56,-63,-62,-69,-77,-77,-86,-66,-75,-72,-73,-71,-78,-74,-72,-76,-75,-74,-77,-61,-200,-65,-77,-73,-84,-200,-77,-75,-75,-87,-200,-82,-81,-79,-83,-78,-84,-78,-85,-87,-83,-81,-200,-89,-86,-89,-84,-200,-83,-88,-88,-93,-200,-87,-85,-87,-200,-200,-90,-85,-86,-84,-89,-200,-200,-74,-73,-78,-90,-79,-87,-85,-91,-90,-91,-91,-200,-200,-90,-93,-87,-84,-200,-200,-200,-200,-200,-200,-92,-88
1526449392164,-33,-35,-64,-41,-45,-36,-48,-61,-61,-70,-62,-56,-52,-70,-66,-73,-56,-63,-58,-69,-80,-71,-86,-65,-75,-73,-70,-61,-74,-77,-71,-76,-75,-72,-77,-77,-200,-70,-77,-75,-84,-200,-75,-76,-74,-83,-200,-82,-83,-79,-79,-82,-84,-78,-85,-87,-81,-82,-200,-89,-87,-89,-88,-200,-83,-87,-88,-89,-89,-87,-85,-86,-200,-89,-88,-83,-85,-83,-89,-200,-200,-75,-70,-78,-200,-79,-88,-85,-91,-87,-91,-85,-82,-200,-89,-89,-87,-84,-200,-200,-200,-200,-91,-200,-200,-200
1526449395213,-30,-37,-64,-39,-39,-36,-49,-63,-61,-69,-65,-65,-58,-67,-66,-73,-47,-71,-58,-68,-80,-70,-88,-67,-75,-81,-73,-67,-74,-74,-77,-74,-79,-73,-77,-75,-200,-66,-77,-75,-200,-200,-75,-75,-82,-88,-200,-79,-80,-79,-79,-89,-84,-78,-85,-87,-88,-82,-200,-200,-87,-89,-87,-200,-83,-87,-88,-89,-89,-87,-84,-87,-200,-89,-88,-85,-85,-84,-89,-200,-200,-75,-81,-78,-78,-79,-88,-90,-89,-87,-91,-85,-82,-200,-89,-94,-87,-84,-200,-87,-200,-200,-91,-200,-200,-200
1526449398262,-33,-37,-61,-38,-46,-36,-49,-63,-60,-66,-61,-57,-50,-68,-66,-71,-58,-63,-56,-68,-77,-77,-87,-71,-74,-78,-68,-65,-74,-78,-72,-76,-74,-71,-81,-73,-200,-68,-77,-73,-200,-200,-75,-75,-82,-88,-200,-81,-82,-80,-79,-78,-84,-78,-86,-84,-83,-82,-200,-90,-87,-89,-87,-200,-82,-84,-90,-89,-89,-87,-84,-87,-200,-89,-90,-85,-86,-86,-89,-200,-200,-74,-81,-78,-81,-79,-88,-90,-89,-87,-91,-79,-82,-200,-89,-91,-88,-84,-86,-82,-200,-200,-90,-200,-200,-200
1526449401311,-15,-38,-68,-38,-40,-35,-49,-63,-60,-69,-63,-67,-54,-70,-66,-68,-56,-67,-56,-68,-77,-77,-86,-71,-75,-79,-81,-73,-74,-75,-80,-74,-75,-72,-80,-74,-200,-69,-77,-73,-200,-200,-74,-75,-91,-88,-200,-83,-80,-81,-79,-83,-83,-78,-86,-84,-83,-81,-200,-90,-87,-79,-87,-200,-84,-85,-79,-89,-88,-87,-84,-85,-200,-94,-89,-85,-86,-84,-89,-200,-200,-74,-75,-78,-81,-79,-88,-90,-89,-87,-200,-79,-82,-200,-89,-91,-88,-200,-87,-82,-200,-200,-90,-200,-200,-200
1526449404347,-33,-34,-63,-36,-39,-36,-49,-63,-61,-67,-64,-59,-54,-66,-66,-71,-55,-65,-57,-68,-80,-72,-87,-65,-75,-72,-73,-73,-81,-71,-73,-76,-73,-72,-80,-74,-200,-68,-76,-73,-200,-200,-75,-73,-74,-88,-200,-80,-81,-79,-84,-83,-84,-78,-80,-82,-83,-81,-200,-91,-87,-79,-87,-200,-83,-85,-90,-200,-90,-89,-84,-85,-200,-94,-89,-85,-86,-83,-90,-200,-200,-76,-79,-82,-81,-78,-88,-200,-200,-89,-200,-79,-83,-200,-200,-90,-88,-200,-87,-82,-200,-200,-90,-200,-200,-200
1526449407377,-27,-37,-67,-36,-39,-38,-49,-64,-61,-70,-64,-58,-52,-67,-66,-73,-58,-64,-59,-68,-80,-78,-87,-67,-75,-72,-72,-70,-81,-79,-71,-74,-75,-71,-79,-74,-200,-66,-76,-74,-86,-200,-76,-75,-74,-86,-200,-81,-80,-80,-84,-83,-85,-78,-86,-84,-84,-81,-200,-91,-88,-89,-87,-200,-83,-87,-90,-200,-90,-88,-85,-85,-200,-94,-89,-85,-86,-83,-89,-200,-200,-74,-75,-77,-81,-78,-88,-200,-200,-89,-200,-200,-83,-200,-200,-90,-88,-200,-84,-200,-200,-84,-200,-200,-200,-200
1526449410412,-26,-49,-67,-41,-25,-42,-49,-65,-60,-78,-68,-57,-52,-66,-66,-74,-57,-61,-56,-68,-79,-71,-90,-62,-200,-72,-73,-70,-81,-73,-73,-74,-74,-73,-77,-73,-200,-68,-76,-74,-86,-200,-76,-73,-74,-86,-200,-81,-80,-80,-84,-82,-85,-79,-86,-83,-81,-81,-200,-84,-88,-89,-87,-200,-83,-87,-90,-200,-90,-92,-85,-87,-200,-200,-89,-85,-86,-85,-89,-200,-200,-74,-79,-79,-90,-80,-88,-87,-200,-89,-200,-200,-82,-82,-200,-90,-88,-200,-84,-200,-200,-84,-200,-200,-200,-200
1526449413438,-27,-38,-71,-37,-46,-37,-49,-62,-60,-68,-61,-62,-51,-69,-66,-73,-56,-61,-57,-68,-79,-78,-88,-68,-200,-73,-70,-65,-70,-79,-71,-75,-75,-73,-80,-73,-200,-68,-76,-74,-84,-200,-76,-73,-74,-86,-200,-81,-83,-80,-85,-83,-85,-78,-85,-83,-81,-80,-200,-84,-88,-89,-86,-91,-82,-87,-89,-200,-89,-92,-85,-86,-200,-200,-90,-83,-85,-85,-89,-200,-200,-76,-73,-78,-90,-80,-88,-85,-200,-89,-200,-200,-82,-82,-89,-89,-88,-200,-84,-200,-200,-84,-200,-200,-200,-200
1526449416487,-26,-39,-67,-37,-43,-36,-49,-65,-60,-69,-66,-57,-53,-67,-66,-73,-59,-64,-61,-69,-79,-69,-88,-65,-200,-74,-72,-65,-70,-81,-71,-75,-74,-73,-78,-75,-200,-68,-78,-70,-83,-200,-76,-75,-74,-86,-200,-84,-83,-80,-86,-79,-85,-78,-81,-85,-82,-80,-200,-84,-89,-89,-87,-91,-82,-87,-89,-200,-89,-88,-84,-86,-200,-200,-88,-85,-87,-85,-89,-200,-200,-75,-73,-78,-90,-79,-88,-85,-200,-89,-200,-200,-82,-82,-90,-91,-88,-82,-86,-200,-200,-84,-200,-200,-200,-200
