,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,DLINK_D02A48,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526450095393,-33,-22,-60,-45,-46,-49,-46,-52,-61,-55,-47,-56,-58,-71,-53,-62,-54,-69,-48,-65,-73,-62,-57,-64,-71,-55,-64,-85,-67,-55,-49,-53,-67,-76,-77,-72,-70,-74,-68,-62,-74,-200,-70,-73,-62,-79,-200,-69,-68,-80,-85,-88,-200,-78,-72,-77,-69,-83,-73,-80,-75,-70,-67,-200,-76,-81,-200,-86,-200,-81,-200,-200,-78,-87,-86,-88,-75,-89,-78,-200,-200,-200,-200,-200,-80,-200,-82,-200,-200,-200,-79,-200,-74,-79,-77,-81,-83,-83,-88,-90,-87,-82,-200,-86,-91,-200,-83,-200,-82,-85,-200,-86,-89,-91,-88,-89,-89,-90,-200,-200,-200
1526450098449,-33,-39,-53,-35,-39,-44,-55,-52,-58,-57,-48,-56,-65,-71,-46,-64,-54,-69,-47,-66,-73,-56,-57,-61,-71,-55,-71,-85,-69,-55,-50,-51,-87,-77,-62,-72,-71,-74,-70,-62,-74,-200,-65,-72,-62,-79,-64,-66,-64,-80,-85,-88,-200,-80,-74,-77,-68,-83,-73,-77,-76,-71,-67,-200,-76,-82,-200,-87,-200,-81,-200,-200,-83,-87,-86,-88,-75,-89,-78,-81,-200,-200,-200,-200,-80,-200,-82,-200,-200,-200,-77,-200,-71,-84,-77,-80,-83,-84,-88,-90,-89,-200,-200,-200,-91,-200,-83,-200,-200,-85,-200,-200,-89,-200,-88,-89,-89,-90,-84,-200,-200
1526450101503,-34,-35,-54,-33,-31,-45,-48,-52,-58,-55,-48,-71,-61,-68,-47,-63,-53,-70,-55,-64,-72,-54,-53,-67,-71,-54,-70,-200,-68,-54,-51,-51,-68,-77,-66,-72,-71,-75,-65,-81,-73,-77,-67,-72,-69,-81,-64,-67,-66,-79,-81,-200,-64,-80,-73,-79,-68,-83,-72,-77,-75,-71,-69,-200,-76,-81,-200,-87,-200,-81,-200,-200,-83,-88,-87,-88,-200,-89,-78,-81,-200,-200,-200,-200,-80,-200,-81,-200,-200,-88,-77,-200,-73,-84,-78,-82,-83,-83,-87,-90,-91,-88,-200,-200,-91,-200,-86,-90,-200,-87,-200,-200,-89,-200,-200,-89,-89,-90,-84,-200,-200
1526450104546,-34,-39,-55,-33,-37,-45,-51,-53,-62,-54,-45,-66,-60,-70,-51,-61,-53,-67,-63,-73,-66,-54,-53,-73,-69,-54,-70,-86,-68,-56,-55,-51,-68,-77,-73,-72,-68,-78,-63,-81,-73,-77,-69,-72,-69,-81,-64,-67,-60,-79,-81,-200,-64,-80,-84,-76,-71,-83,-73,-78,-76,-71,-69,-200,-76,-81,-200,-87,-200,-80,-200,-200,-83,-88,-87,-88,-76,-200,-83,-81,-200,-200,-200,-200,-84,-200,-84,-92,-200,-88,-77,-200,-68,-84,-78,-81,-83,-83,-89,-90,-91,-88,-200,-90,-93,-88,-85,-90,-200,-87,-90,-200,-89,-200,-200,-200,-89,-90,-84,-200,-200
1526450107617,-34,-39,-53,-34,-32,-44,-52,-52,-57,-59,-62,-56,-64,-71,-47,-58,-54,-70,-48,-63,-66,-56,-53,-63,-70,-54,-75,-86,-68,-52,-53,-50,-65,-77,-67,-73,-71,-71,-64,-81,-73,-70,-68,-72,-69,-81,-64,-62,-64,-81,-81,-200,-64,-76,-78,-77,-70,-200,-71,-80,-75,-71,-71,-200,-75,-81,-200,-85,-68,-81,-200,-200,-83,-88,-87,-88,-75,-200,-83,-81,-200,-200,-200,-200,-84,-200,-84,-92,-200,-88,-79,-200,-68,-84,-78,-82,-82,-84,-89,-89,-91,-88,-200,-90,-93,-88,-83,-90,-200,-87,-90,-200,-90,-200,-80,-200,-200,-200,-84,-200,-200
1526450110655,-40,-39,-62,-42,-37,-44,-61,-47,-57,-66,-42,-58,-62,-70,-48,-59,-53,-69,-50,-67,-66,-51,-58,-66,-70,-54,-74,-86,-68,-55,-53,-51,-68,-77,-65,-70,-71,-74,-74,-64,-73,-70,-66,-81,-69,-80,-200,-66,-64,-81,-81,-200,-64,-76,-78,-77,-69,-200,-71,-79,-75,-71,-71,-200,-76,-81,-200,-85,-68,-81,-200,-200,-200,-87,-85,-87,-75,-200,-81,-89,-200,-200,-200,-200,-84,-200,-82,-92,-200,-88,-79,-200,-68,-200,-79,-83,-82,-84,-88,-89,-91,-88,-89,-90,-93,-88,-83,-90,-200,-87,-90,-200,-90,-200,-80,-200,-200,-200,-200,-200,-200
1526450113683,-33,-40,-51,-35,-33,-45,-52,-54,-59,-57,-43,-58,-65,-72,-49,-60,-53,-70,-48,-65,-66,-55,-57,-64,-71,-200,-69,-82,-68,-55,-52,-52,-59,-75,-67,-71,-72,-72,-74,-81,-70,-70,-65,-81,-200,-81,-200,-67,-64,-82,-82,-200,-64,-79,-76,-77,-69,-82,-73,-79,-76,-68,-71,-200,-76,-81,-200,-85,-67,-84,-200,-200,-200,-90,-87,-87,-76,-200,-82,-88,-200,-200,-200,-89,-83,-200,-82,-92,-200,-89,-79,-200,-68,-200,-77,-83,-82,-84,-88,-89,-88,-200,-88,-90,-93,-88,-83,-200,-200,-87,-90,-200,-90,-200,-80,-200,-200,-200,-83,-200,-200
1526450116733,-37,-35,-57,-40,-45,-49,-56,-61,-64,-64,-43,-57,-64,-72,-52,-60,-53,-70,-54,-64,-73,-61,-54,-66,-71,-76,-69,-80,-73,-56,-52,-51,-67,-78,-72,-70,-68,-80,-74,-81,-70,-70,-71,-81,-65,-81,-200,-67,-66,-80,-82,-200,-64,-77,-73,-76,-68,-88,-73,-79,-76,-70,-71,-200,-76,-85,-200,-85,-67,-85,-200,-200,-81,-87,-88,-87,-76,-200,-82,-88,-200,-200,-200,-89,-81,-200,-82,-200,-200,-88,-78,-200,-200,-200,-77,-83,-82,-83,-88,-89,-90,-86,-88,-200,-200,-200,-85,-200,-200,-87,-90,-200,-90,-200,-80,-200,-200,-200,-83,-200,-200
1526450119784,-34,-35,-56,-34,-39,-45,-52,-52,-63,-57,-43,-61,-65,-72,-51,-63,-53,-70,-52,-66,-72,-56,-55,-61,-71,-56,-70,-80,-67,-52,-54,-51,-67,-78,-66,-70,-67,-79,-72,-80,-70,-70,-71,-75,-65,-81,-200,-68,-66,-80,-80,-200,-67,-77,-73,-76,-69,-88,-73,-79,-75,-71,-67,-88,-76,-85,-200,-85,-67,-86,-200,-200,-81,-88,-88,-86,-76,-87,-80,-88,-200,-200,-200,-89,-81,-200,-82,-200,-200,-88,-78,-200,-200,-81,-77,-83,-82,-84,-88,-90,-90,-86,-88,-200,-200,-200,-85,-200,-200,-87,-90,-200,-200,-200,-200,-200,-200,-200,-83,-84,-200
1526450122800,-39,-40,-53,-32,-35,-44,-53,-52,-58,-57,-41,-59,-60,-75,-48,-61,-54,-70,-50,-64,-72,-60,-56,-62,-70,-77,-75,-80,-67,-56,-55,-51,-68,-78,-66,-74,-71,-75,-72,-81,-200,-70,-71,-75,-65,-81,-200,-67,-67,-81,-79,-200,-62,-82,-73,-77,-54,-88,-71,-78,-75,-70,-67,-88,-77,-83,-200,-86,-70,-86,-200,-200,-81,-87,-86,-86,-74,-87,-82,-87,-200,-200,-200,-200,-81,-200,-83,-200,-200,-90,-78,-200,-70,-81,-78,-82,-83,-84,-89,-90,-90,-92,-91,-90,-200,-91,-85,-200,-200,-87,-90,-89,-200,-200,-86,-200,-200,-200,-200,-84,-79
1526450125844,-39,-40,-54,-34,-36,-45,-57,-53,-57,-57,-41,-59,-60,-75,-51,-60,-54,-69,-50,-64,-72,-56,-64,-62,-70,-77,-75,-81,-67,-54,-61,-52,-68,-74,-67,-74,-69,-73,-72,-81,-200,-70,-65,-72,-200,-79,-200,-69,-66,-82,-79,-200,-62,-78,-74,-77,-71,-200,-72,-78,-75,-69,-70,-88,-77,-83,-200,-86,-69,-86,-200,-200,-200,-88,-86,-86,-74,-88,-82,-87,-200,-200,-89,-200,-200,-91,-85,-200,-200,-90,-79,-200,-70,-80,-77,-82,-81,-84,-88,-90,-90,-92,-91,-90,-200,-91,-85,-200,-200,-86,-200,-89,-200,-200,-86,-200,-200,-200,-200,-84,-79
1526450128886,-40,-36,-52,-34,-39,-44,-53,-52,-57,-57,-42,-61,-62,-66,-51,-53,-54,-68,-50,-65,-71,-60,-57,-62,-70,-72,-75,-81,-67,-55,-55,-52,-67,-74,-65,-74,-73,-72,-66,-64,-200,-200,-65,-72,-200,-78,-200,-58,-66,-82,-80,-200,-62,-78,-74,-77,-71,-83,-72,-78,-75,-70,-70,-200,-77,-83,-200,-86,-69,-200,-200,-200,-83,-88,-86,-86,-74,-88,-83,-87,-200,-200,-89,-200,-81,-91,-83,-200,-200,-90,-79,-200,-70,-80,-77,-82,-82,-84,-88,-88,-89,-87,-89,-90,-200,-91,-84,-92,-200,-87,-200,-89,-200,-200,-86,-89,-200,-200,-200,-200,-79
