,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,DQKJ,DLINK_D02A30
1526449188554,-48,-42,-40,-47,-59,-59,-59,-67,-66,-71,-59,-72,-60,-69,-67,-80,-84,-71,-76,-80,-73,-73,-74,-80,-83,-84,-78,-71,-82,-86,-76,-86,-75,-80,-82,-82,-89,-83,-73,-83,-200,-72,-77,-76,-85,-78,-79,-89,-78,-86,-85,-90,-87,-73,-87,-90,-83,-90,-77,-84,-200,-89,-75,-89,-88,-200,-90,-86,-90,-89,-91,-200,-88,-91,-80,-85,-84,-89,-89,-91,-92,-92,-70,-83,-82,-82,-91,-90,-200,-200,-91,-91
1526449191596,-49,-41,-39,-43,-58,-59,-58,-69,-65,-70,-57,-71,-54,-65,-66,-82,-85,-75,-77,-82,-74,-72,-72,-80,-82,-84,-78,-71,-82,-85,-76,-89,-75,-77,-82,-83,-89,-83,-73,-81,-200,-72,-77,-76,-87,-82,-79,-89,-78,-87,-86,-90,-87,-73,-85,-90,-83,-87,-78,-84,-92,-88,-77,-87,-91,-200,-90,-86,-92,-90,-91,-200,-88,-91,-77,-85,-83,-89,-89,-91,-89,-92,-71,-83,-82,-200,-91,-90,-200,-89,-91,-91
1526449194636,-46,-43,-43,-41,-58,-59,-58,-69,-66,-71,-59,-72,-61,-70,-66,-83,-85,-74,-77,-81,-73,-73,-72,-80,-82,-81,-80,-71,-81,-85,-73,-87,-75,-77,-82,-82,-89,-71,-200,-81,-200,-72,-77,-80,-86,-81,-79,-200,-81,-85,-86,-90,-87,-73,-85,-200,-200,-88,-81,-85,-92,-80,-76,-87,-91,-200,-90,-88,-92,-92,-91,-200,-88,-88,-80,-85,-85,-88,-90,-91,-92,-90,-66,-83,-82,-200,-90,-94,-200,-89,-91,-91
1526449197678,-46,-43,-44,-47,-58,-59,-59,-69,-76,-68,-58,-72,-53,-66,-69,-81,-85,-73,-77,-82,-74,-72,-72,-80,-82,-81,-80,-73,-81,-85,-74,-87,-74,-77,-83,-83,-88,-81,-200,-81,-200,-72,-77,-75,-85,-79,-80,-200,-79,-83,-85,-90,-87,-76,-85,-200,-83,-87,-78,-83,-92,-80,-76,-87,-89,-200,-90,-89,-92,-92,-91,-200,-88,-88,-80,-85,-85,-86,-88,-89,-91,-90,-66,-83,-83,-200,-90,-92,-200,-88,-91,-91
1526449200723,-46,-43,-44,-47,-58,-59,-59,-69,-76,-68,-58,-72,-53,-66,-69,-81,-85,-73,-77,-82,-74,-72,-72,-80,-82,-81,-80,-73,-81,-85,-74,-87,-74,-77,-83,-83,-88,-81,-200,-81,-200,-72,-77,-75,-85,-79,-80,-200,-79,-83,-85,-90,-87,-76,-85,-200,-83,-87,-78,-83,-92,-80,-76,-87,-89,-200,-90,-89,-92,-92,-91,-200,-88,-88,-80,-85,-85,-86,-88,-89,-91,-90,-66,-83,-83,-200,-90,-92,-200,-88,-91,-91
1526449203767,-46,-43,-44,-47,-58,-59,-59,-69,-76,-68,-58,-72,-53,-66,-69,-81,-85,-73,-77,-82,-74,-72,-72,-80,-82,-81,-80,-73,-81,-85,-74,-87,-74,-77,-83,-83,-88,-81,-200,-81,-200,-72,-77,-75,-85,-79,-80,-200,-79,-83,-85,-90,-87,-76,-85,-200,-83,-87,-78,-83,-92,-80,-76,-87,-89,-200,-90,-89,-92,-92,-91,-200,-88,-88,-80,-85,-85,-86,-88,-89,-91,-90,-66,-83,-83,-200,-90,-92,-200,-88,-91,-91
1526449206806,-46,-43,-44,-47,-58,-59,-59,-69,-76,-68,-58,-72,-53,-66,-69,-81,-85,-73,-77,-82,-74,-72,-72,-80,-82,-81,-80,-73,-81,-85,-74,-87,-74,-77,-83,-83,-88,-81,-200,-81,-200,-72,-77,-75,-85,-79,-80,-200,-79,-83,-85,-90,-87,-76,-85,-200,-83,-87,-78,-83,-92,-80,-76,-87,-89,-200,-90,-89,-92,-92,-91,-200,-88,-88,-80,-85,-85,-86,-88,-89,-91,-90,-66,-83,-83,-200,-90,-92,-200,-88,-91,-91
1526449209853,-46,-43,-44,-47,-58,-59,-59,-69,-76,-68,-58,-72,-53,-66,-69,-81,-85,-73,-77,-82,-74,-72,-72,-80,-82,-81,-80,-73,-81,-85,-74,-87,-74,-77,-83,-83,-88,-81,-200,-81,-200,-72,-77,-75,-85,-79,-80,-200,-79,-83,-85,-90,-87,-76,-85,-200,-83,-87,-78,-83,-92,-80,-76,-87,-89,-200,-90,-89,-92,-92,-91,-200,-88,-88,-80,-85,-85,-86,-88,-89,-91,-90,-66,-83,-83,-200,-90,-92,-200,-88,-91,-91
1526449212894,-46,-43,-44,-47,-58,-59,-59,-69,-76,-68,-58,-72,-53,-66,-69,-81,-85,-73,-77,-82,-74,-72,-72,-80,-82,-81,-80,-73,-81,-85,-74,-87,-74,-77,-83,-83,-88,-81,-200,-81,-200,-72,-77,-75,-85,-79,-80,-200,-79,-83,-85,-90,-87,-76,-85,-200,-83,-87,-78,-83,-92,-80,-76,-87,-89,-200,-90,-89,-92,-92,-91,-200,-88,-88,-80,-85,-85,-86,-88,-89,-91,-90,-66,-83,-83,-200,-90,-92,-200,-88,-91,-91
1526449215940,-46,-43,-44,-47,-58,-59,-59,-69,-76,-68,-58,-72,-53,-66,-69,-81,-85,-73,-77,-82,-74,-72,-72,-80,-82,-81,-80,-73,-81,-85,-74,-87,-74,-77,-83,-83,-88,-81,-200,-81,-200,-72,-77,-75,-85,-79,-80,-200,-79,-83,-85,-90,-87,-76,-85,-200,-83,-87,-78,-83,-92,-80,-76,-87,-89,-200,-90,-89,-92,-92,-91,-200,-88,-88,-80,-85,-85,-86,-88,-89,-91,-90,-66,-83,-83,-200,-90,-92,-200,-88,-91,-91
1526449218984,-46,-43,-44,-47,-58,-59,-59,-69,-76,-68,-58,-72,-53,-66,-69,-81,-85,-73,-77,-82,-74,-72,-72,-80,-82,-81,-80,-73,-81,-85,-74,-87,-74,-77,-83,-83,-88,-81,-200,-81,-200,-72,-77,-75,-85,-79,-80,-200,-79,-83,-85,-90,-87,-76,-85,-200,-83,-87,-78,-83,-92,-80,-76,-87,-89,-200,-90,-89,-92,-92,-91,-200,-88,-88,-80,-85,-85,-86,-88,-89,-91,-90,-66,-83,-83,-200,-90,-92,-200,-88,-91,-91
1526449222029,-46,-43,-44,-47,-58,-59,-59,-69,-76,-68,-58,-72,-53,-66,-69,-81,-85,-73,-77,-82,-74,-72,-72,-80,-82,-81,-80,-73,-81,-85,-74,-87,-74,-77,-83,-83,-88,-81,-200,-81,-200,-72,-77,-75,-85,-79,-80,-200,-79,-83,-85,-90,-87,-76,-85,-200,-83,-87,-78,-83,-92,-80,-76,-87,-89,-200,-90,-89,-92,-92,-91,-200,-88,-88,-80,-85,-85,-86,-88,-89,-91,-90,-66,-83,-83,-200,-90,-92,-200,-88,-91,-91
