,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526448630925,-41,-22,-38,-61,-41,-50,-66,-67,-43,-59,-63,-51,-64,-65,-48,-58,-47,-61,-51,-66,-46,-67,-50,-58,-61,-68,-77,-55,-69,-68,-64,-77,-64,-77,-84,-80,-73,-77,-87,-76,-71,-81,-85,-81,-72,-70,-200,-68,-200,-76,-80,-84,-77,-86,-71,-200,-200,-74,-84,-81,-82,-87,-200,-79,-200,-83,-84,-200,-91,-200,-200,-200,-86,-200,-78,-65,-73,-78,-200,-84,-87,-87,-85,-89,-90,-84,-77,-79,-86,-89,-200,-89,-77,-83,-90,-70,-200,-200,-74,-200,-91,-88,-91,-87,-92,-200,-200,-200,-200,-200,-200
1526448633978,-41,-22,-39,-59,-39,-50,-66,-62,-43,-50,-61,-51,-65,-63,-51,-58,-49,-59,-51,-66,-43,-73,-50,-61,-64,-68,-76,-55,-69,-69,-62,-77,-64,-75,-79,-78,-70,-77,-87,-79,-69,-80,-87,-82,-73,-70,-200,-65,-84,-76,-80,-83,-200,-86,-74,-200,-200,-73,-82,-87,-81,-87,-200,-81,-200,-82,-83,-200,-89,-200,-200,-200,-85,-200,-78,-65,-72,-88,-79,-84,-87,-86,-87,-89,-90,-90,-77,-79,-200,-88,-200,-89,-77,-83,-200,-70,-200,-200,-74,-75,-200,-200,-91,-87,-92,-88,-200,-200,-200,-200,-200
1526448637020,-40,-24,-39,-59,-41,-50,-65,-66,-40,-56,-64,-48,-63,-70,-45,-58,-50,-60,-52,-66,-50,-67,-52,-60,-63,-68,-81,-50,-72,-71,-68,-77,-64,-79,-83,-78,-75,-200,-81,-78,-71,-83,-85,-82,-72,-72,-200,-67,-84,-75,-80,-84,-77,-86,-74,-200,-200,-75,-82,-87,-81,-87,-200,-80,-87,-82,-84,-200,-89,-200,-200,-200,-84,-200,-79,-60,-74,-77,-79,-84,-84,-87,-85,-88,-90,-91,-79,-80,-200,-90,-200,-89,-77,-83,-200,-71,-90,-200,-74,-75,-91,-200,-89,-87,-92,-88,-200,-200,-200,-200,-200
1526448640075,-40,-23,-39,-59,-49,-45,-68,-75,-40,-59,-64,-51,-64,-62,-53,-58,-50,-68,-53,-66,-57,-67,-52,-67,-67,-69,-87,-62,-72,-69,-66,-77,-73,-80,-83,-78,-70,-200,-81,-79,-71,-81,-85,-82,-73,-66,-200,-76,-84,-76,-80,-82,-78,-87,-74,-200,-200,-74,-82,-94,-81,-89,-200,-81,-87,-84,-84,-200,-89,-200,-200,-200,-89,-200,-69,-67,-73,-77,-79,-84,-85,-88,-87,-88,-90,-94,-79,-80,-200,-87,-200,-89,-90,-200,-200,-71,-90,-200,-200,-75,-91,-200,-89,-200,-200,-90,-200,-200,-200,-200,-200
1526448643116,-45,-22,-41,-59,-40,-45,-67,-66,-39,-59,-64,-49,-65,-65,-50,-57,-50,-60,-50,-66,-50,-71,-53,-58,-64,-69,-77,-54,-72,-71,-62,-77,-62,-74,-83,-70,-69,-200,-86,-77,-71,-81,-84,-200,-72,-71,-200,-77,-83,-76,-80,-83,-79,-87,-73,-200,-200,-76,-82,-85,-83,-89,-200,-81,-87,-83,-80,-200,-200,-200,-200,-200,-89,-200,-69,-66,-72,-77,-79,-84,-84,-86,-84,-88,-88,-94,-79,-79,-200,-87,-200,-92,-90,-200,-200,-71,-91,-200,-200,-200,-91,-200,-91,-200,-200,-87,-200,-200,-200,-200,-200
1526448646168,-40,-23,-41,-54,-39,-50,-67,-65,-38,-58,-61,-49,-62,-67,-49,-58,-49,-61,-53,-66,-51,-61,-50,-59,-62,-69,-79,-54,-72,-72,-65,-77,-63,-78,-83,-81,-71,-200,-86,-76,-70,-80,-84,-200,-72,-71,-200,-75,-83,-77,-80,-82,-77,-87,-70,-200,-200,-73,-84,-85,-84,-88,-200,-80,-87,-82,-84,-200,-200,-86,-200,-200,-83,-200,-69,-65,-72,-77,-74,-84,-84,-86,-86,-88,-87,-94,-78,-78,-200,-92,-200,-92,-90,-200,-200,-67,-90,-200,-200,-200,-91,-200,-90,-200,-200,-87,-85,-92,-200,-200,-200
1526448649218,-39,-22,-41,-60,-39,-49,-66,-66,-41,-56,-62,-51,-63,-69,-46,-58,-48,-59,-50,-66,-50,-68,-50,-58,-68,-68,-77,-55,-72,-71,-61,-77,-64,-77,-200,-80,-71,-200,-86,-76,-70,-81,-84,-81,-73,-72,-200,-75,-83,-75,-80,-82,-77,-85,-67,-200,-200,-76,-84,-85,-81,-88,-200,-80,-200,-83,-81,-200,-88,-88,-200,-200,-85,-200,-69,-67,-73,-76,-79,-200,-86,-86,-86,-88,-87,-94,-78,-80,-88,-92,-200,-89,-77,-83,-89,-67,-90,-200,-200,-200,-90,-200,-90,-200,-200,-89,-86,-92,-200,-200,-200
1526448652260,-39,-22,-38,-59,-40,-50,-66,-64,-41,-51,-62,-50,-59,-64,-46,-58,-49,-61,-53,-66,-46,-67,-51,-63,-61,-69,-79,-53,-71,-72,-65,-77,-65,-78,-200,-80,-68,-200,-86,-75,-71,-81,-86,-81,-73,-70,-200,-67,-83,-75,-80,-80,-77,-85,-71,-200,-200,-74,-84,-86,-81,-88,-200,-80,-200,-83,-81,-200,-88,-86,-200,-200,-86,-200,-200,-52,-72,-76,-79,-200,-87,-87,-86,-200,-91,-200,-78,-79,-88,-88,-200,-89,-77,-83,-89,-69,-90,-200,-200,-200,-90,-200,-90,-200,-200,-89,-86,-92,-200,-200,-200
1526448655298,-45,-57,-49,-58,-40,-57,-67,-73,-44,-67,-62,-51,-64,-60,-57,-58,-49,-64,-53,-66,-58,-68,-42,-57,-61,-67,-78,-62,-71,-69,-65,-77,-57,-78,-200,-80,-83,-81,-86,-78,-71,-80,-87,-81,-80,-70,-200,-67,-83,-75,-80,-80,-76,-86,-74,-200,-200,-78,-84,-86,-80,-87,-200,-81,-200,-83,-85,-200,-92,-86,-200,-200,-84,-200,-78,-65,-72,-80,-79,-90,-87,-87,-84,-89,-89,-200,-78,-79,-88,-90,-200,-89,-77,-83,-89,-69,-90,-200,-200,-200,-90,-200,-90,-200,-200,-86,-86,-92,-200,-200,-200
1526448658337,-39,-23,-40,-59,-39,-50,-65,-73,-42,-57,-61,-51,-65,-68,-51,-58,-50,-63,-50,-66,-49,-70,-51,-58,-62,-68,-79,-53,-72,-65,-62,-76,-57,-75,-200,-81,-83,-81,-86,-76,-71,-81,-88,-81,-73,-69,-200,-68,-83,-75,-80,-81,-77,-84,-71,-200,-200,-73,-84,-86,-83,-87,-200,-79,-90,-86,-81,-200,-92,-85,-200,-200,-84,-200,-77,-67,-73,-78,-79,-79,-85,-87,-85,-89,-89,-200,-71,-79,-88,-90,-200,-89,-75,-83,-89,-69,-200,-200,-200,-83,-90,-200,-200,-200,-200,-86,-86,-200,-84,-200,-200
1526448661375,-38,-23,-39,-59,-40,-48,-66,-65,-37,-57,-61,-50,-61,-63,-49,-58,-48,-60,-51,-66,-49,-71,-50,-62,-61,-69,-79,-50,-72,-71,-66,-77,-65,-78,-200,-74,-83,-79,-87,-76,-71,-82,-88,-83,-73,-72,-200,-68,-200,-76,-80,-82,-77,-84,-74,-200,-200,-73,-84,-86,-85,-87,-200,-76,-90,-84,-80,-200,-92,-87,-200,-200,-84,-200,-77,-65,-72,-78,-200,-79,-85,-85,-85,-89,-89,-200,-78,-77,-200,-90,-200,-89,-75,-200,-90,-69,-200,-200,-75,-83,-200,-200,-200,-200,-200,-86,-86,-200,-84,-88,-200
1526448664391,-40,-8,-40,-59,-41,-47,-65,-65,-42,-59,-62,-51,-65,-65,-50,-58,-47,-61,-53,-66,-50,-67,-52,-57,-67,-69,-78,-53,-72,-72,-67,-77,-49,-78,-200,-80,-83,-79,-84,-77,-71,-81,-85,-83,-73,-72,-200,-77,-200,-75,-80,-82,-77,-84,-74,-200,-200,-74,-84,-87,-84,-89,-200,-76,-90,-84,-80,-200,-92,-87,-200,-200,-84,-200,-77,-64,-72,-78,-200,-78,-85,-87,-85,-89,-89,-200,-78,-80,-200,-90,-200,-89,-75,-82,-90,-200,-200,-200,-75,-82,-200,-200,-200,-200,-200,-91,-86,-200,-84,-88,-84
