,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526461771929,-43,-15,-66,-70,-51,-61,-54,-58,-65,-68,-61,-76,-69,-69,-68,-78,-67,-74,-65,-73,-67,-76,-72,-69,-69,-82,-76,-77,-200,-76,-78,-86,-76,-80,-81,-76,-200,-86,-84,-84,-83,-200,-200,-82,-89,-86,-90,-200,-89,-90,-200,-77,-200,-87,-200,-89,-200,-84,-76,-89,-200,-76,-81,-86,-200,-89,-200,-89,-93,-91,-76,-76,-83,-87,-90,-91,-91,-92,-89,-85,-90,-91,-92,-81,-200,-200,-200,-200,-200,-200,-200
1526461772502,-50,-38,-67,-57,-51,-62,-55,-58,-60,-59,-59,-64,-71,-69,-68,-81,-67,-71,-72,-80,-69,-76,-72,-67,-69,-70,-77,-82,-200,-67,-66,-86,-76,-80,-84,-76,-200,-79,-76,-78,-83,-200,-200,-82,-89,-86,-200,-200,-89,-90,-200,-80,-91,-87,-200,-89,-200,-200,-200,-89,-200,-75,-81,-86,-90,-90,-89,-89,-93,-91,-76,-200,-83,-200,-200,-200,-200,-200,-89,-85,-90,-91,-89,-90,-200,-200,-200,-200,-200,-200,-200
1526461774939,-46,-39,-67,-52,-53,-62,-56,-55,-60,-58,-61,-68,-72,-75,-68,-82,-66,-71,-65,-75,-69,-76,-73,-68,-69,-70,-77,-80,-200,-67,-80,-86,-76,-82,-84,-86,-200,-79,-76,-78,-83,-200,-200,-82,-89,-88,-89,-84,-89,-90,-200,-79,-91,-86,-200,-91,-200,-85,-200,-89,-89,-75,-81,-86,-90,-90,-89,-89,-93,-91,-76,-200,-86,-200,-200,-200,-92,-200,-89,-85,-90,-91,-91,-90,-200,-200,-200,-200,-200,-200,-200
1526461775544,-46,-39,-67,-52,-53,-62,-56,-55,-60,-58,-61,-68,-72,-75,-68,-82,-66,-71,-65,-75,-69,-76,-73,-68,-69,-70,-77,-80,-200,-67,-80,-86,-76,-82,-84,-86,-200,-79,-76,-78,-83,-200,-200,-82,-89,-88,-89,-84,-89,-90,-200,-79,-91,-86,-200,-91,-200,-85,-200,-89,-89,-75,-81,-86,-90,-90,-89,-89,-93,-91,-76,-200,-86,-200,-200,-200,-92,-200,-89,-85,-90,-91,-91,-90,-200,-200,-200,-200,-200,-200,-200
1526461777952,-46,-38,-68,-57,-47,-61,-56,-55,-64,-57,-60,-63,-72,-65,-67,-76,-66,-66,-59,-72,-58,-70,-73,-67,-69,-69,-76,-80,-200,-73,-66,-90,-78,-82,-82,-76,-200,-79,-75,-77,-200,-200,-200,-82,-89,-88,-89,-84,-90,-90,-200,-81,-91,-88,-200,-90,-200,-85,-200,-89,-89,-77,-84,-85,-90,-90,-89,-89,-93,-88,-76,-200,-87,-200,-200,-200,-92,-200,-200,-88,-90,-89,-91,-90,-200,-200,-200,-200,-200,-200,-200
1526461778583,-46,-38,-68,-57,-47,-61,-56,-55,-64,-57,-60,-63,-72,-65,-67,-76,-66,-66,-59,-72,-58,-70,-73,-67,-69,-69,-76,-80,-200,-73,-66,-90,-78,-82,-82,-76,-200,-79,-75,-77,-200,-200,-200,-82,-89,-88,-89,-84,-90,-90,-200,-81,-91,-88,-200,-90,-200,-85,-200,-89,-89,-77,-84,-85,-90,-90,-89,-89,-93,-88,-76,-200,-87,-200,-200,-200,-92,-200,-200,-88,-90,-89,-91,-90,-200,-200,-200,-200,-200,-200,-200
1526461780983,-47,-42,-67,-59,-48,-63,-54,-55,-55,-59,-61,-61,-71,-77,-69,-81,-67,-69,-71,-76,-57,-70,-71,-67,-75,-80,-76,-80,-200,-77,-66,-90,-78,-81,-82,-83,-200,-79,-77,-77,-200,-200,-200,-82,-200,-88,-89,-84,-90,-93,-200,-78,-91,-88,-200,-90,-200,-88,-83,-89,-89,-75,-83,-85,-90,-90,-89,-200,-200,-88,-200,-200,-87,-200,-200,-200,-92,-200,-200,-88,-200,-92,-91,-90,-200,-200,-200,-200,-200,-200,-200
1526461781623,-47,-42,-67,-59,-48,-63,-54,-55,-55,-59,-61,-61,-71,-77,-69,-81,-67,-69,-71,-76,-57,-70,-71,-67,-75,-80,-76,-80,-200,-77,-66,-90,-78,-81,-82,-83,-200,-79,-77,-77,-200,-200,-200,-82,-200,-88,-89,-84,-90,-93,-200,-78,-91,-88,-200,-90,-200,-88,-83,-89,-89,-75,-83,-85,-90,-90,-89,-200,-200,-88,-200,-200,-87,-200,-200,-200,-92,-200,-200,-88,-200,-92,-91,-90,-200,-200,-200,-200,-200,-200,-200
1526461784020,-47,-38,-67,-58,-54,-61,-55,-56,-55,-59,-57,-63,-71,-65,-70,-79,-64,-66,-64,-73,-60,-73,-72,-67,-69,-70,-76,-80,-200,-77,-66,-90,-77,-81,-82,-76,-200,-87,-77,-77,-200,-200,-200,-81,-200,-88,-89,-84,-90,-86,-200,-78,-200,-88,-200,-93,-200,-87,-83,-89,-89,-75,-86,-88,-200,-200,-200,-200,-200,-89,-200,-72,-87,-200,-90,-200,-92,-200,-90,-65,-92,-81,-91,-200,-91,-200,-200,-200,-200,-200,-200
1526461784645,-47,-38,-67,-58,-54,-61,-55,-56,-55,-59,-57,-63,-71,-65,-70,-79,-64,-66,-64,-73,-60,-73,-72,-67,-69,-70,-76,-80,-200,-77,-66,-90,-77,-81,-82,-76,-200,-87,-77,-77,-200,-200,-200,-81,-200,-88,-89,-84,-90,-86,-200,-78,-200,-88,-200,-93,-200,-87,-83,-89,-89,-75,-86,-88,-200,-200,-200,-200,-200,-89,-200,-72,-87,-200,-90,-200,-92,-200,-90,-65,-92,-81,-91,-200,-91,-200,-200,-200,-200,-200,-200
1526461787049,-48,-42,-68,-57,-47,-64,-55,-56,-60,-60,-61,-66,-71,-73,-70,-79,-66,-72,-72,-76,-73,-73,-73,-67,-70,-70,-76,-78,-200,-78,-79,-90,-77,-83,-82,-78,-200,-87,-83,-76,-200,-200,-200,-81,-87,-86,-89,-200,-89,-92,-200,-79,-200,-88,-200,-93,-200,-87,-83,-89,-89,-77,-86,-85,-200,-200,-200,-200,-200,-89,-200,-72,-80,-200,-90,-200,-200,-200,-90,-65,-92,-91,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526461787682,-50,-34,-66,-59,-48,-63,-55,-56,-55,-55,-62,-58,-70,-69,-69,-78,-66,-65,-63,-75,-59,-73,-71,-67,-67,-70,-76,-79,-200,-78,-82,-200,-77,-83,-200,-57,-200,-85,-77,-81,-200,-200,-200,-81,-87,-88,-89,-200,-89,-92,-200,-79,-200,-88,-200,-93,-200,-82,-74,-89,-89,-77,-86,-91,-200,-200,-200,-200,-200,-89,-200,-72,-80,-200,-90,-200,-200,-200,-90,-65,-90,-91,-200,-200,-91,-93,-200,-200,-200,-200,-200
1526461790084,-48,-39,-66,-60,-48,-62,-55,-57,-59,-58,-62,-65,-73,-69,-68,-78,-68,-65,-67,-75,-78,-73,-72,-66,-71,-76,-76,-80,-200,-76,-81,-200,-78,-84,-82,-57,-200,-87,-85,-84,-200,-200,-200,-81,-87,-93,-88,-200,-89,-92,-200,-78,-200,-87,-200,-92,-200,-88,-80,-90,-89,-75,-86,-82,-200,-200,-200,-200,-200,-89,-200,-78,-80,-200,-90,-200,-200,-200,-90,-65,-90,-91,-200,-200,-91,-93,-90,-200,-200,-200,-200
1526461790717,-48,-39,-66,-60,-48,-62,-55,-57,-59,-58,-62,-65,-73,-69,-68,-78,-68,-65,-67,-75,-78,-73,-72,-66,-71,-76,-76,-80,-200,-76,-81,-200,-78,-84,-82,-57,-200,-87,-85,-84,-200,-200,-200,-81,-87,-93,-88,-200,-89,-92,-200,-78,-200,-87,-200,-92,-200,-88,-80,-90,-89,-75,-86,-82,-200,-200,-200,-200,-200,-89,-200,-78,-80,-200,-90,-200,-200,-200,-90,-65,-90,-91,-200,-200,-91,-93,-90,-200,-200,-200,-200
1526461793105,-48,-35,-67,-58,-53,-61,-55,-55,-64,-55,-60,-56,-70,-71,-71,-70,-66,-66,-64,-77,-57,-200,-69,-67,-68,-69,-76,-77,-200,-76,-80,-200,-79,-82,-82,-75,-200,-87,-75,-84,-200,-200,-200,-81,-87,-87,-88,-200,-89,-87,-200,-78,-200,-86,-200,-92,-200,-87,-80,-92,-200,-76,-200,-82,-200,-200,-91,-200,-200,-90,-200,-78,-80,-200,-200,-200,-200,-200,-200,-85,-90,-90,-200,-92,-200,-93,-90,-200,-200,-200,-200
1526461793753,-48,-35,-67,-58,-53,-61,-55,-55,-64,-55,-60,-56,-70,-71,-71,-70,-66,-66,-64,-77,-57,-200,-69,-67,-68,-69,-76,-77,-200,-76,-80,-200,-79,-82,-82,-75,-200,-87,-75,-84,-200,-200,-200,-81,-87,-87,-88,-200,-89,-87,-200,-78,-200,-86,-200,-92,-200,-87,-80,-92,-200,-76,-200,-82,-200,-200,-91,-200,-200,-90,-200,-78,-80,-200,-200,-200,-200,-200,-200,-85,-90,-90,-200,-92,-200,-93,-90,-200,-200,-200,-200
1526461796142,-47,-38,-67,-60,-56,-61,-55,-64,-63,-59,-61,-68,-70,-73,-73,-80,-63,-62,-63,-77,-58,-200,-73,-67,-70,-74,-75,-77,-200,-76,-71,-88,-80,-82,-82,-77,-200,-87,-75,-87,-200,-200,-200,-81,-89,-87,-88,-200,-90,-87,-200,-77,-200,-86,-200,-92,-200,-87,-75,-92,-91,-61,-200,-82,-200,-200,-89,-200,-200,-90,-200,-78,-200,-200,-200,-200,-200,-200,-200,-85,-90,-90,-200,-92,-200,-93,-90,-200,-200,-200,-200
1526461796781,-47,-38,-67,-60,-56,-61,-55,-64,-63,-59,-61,-68,-70,-73,-73,-80,-63,-62,-63,-77,-58,-200,-73,-67,-70,-74,-75,-77,-200,-76,-71,-88,-80,-82,-82,-77,-200,-87,-75,-87,-200,-200,-200,-81,-89,-87,-88,-200,-90,-87,-200,-77,-200,-86,-200,-92,-200,-87,-75,-92,-91,-61,-200,-82,-200,-200,-89,-200,-200,-90,-200,-78,-200,-200,-200,-200,-200,-200,-200,-85,-90,-90,-200,-92,-200,-93,-90,-200,-200,-200,-200
1526461799176,-46,-36,-67,-59,-48,-61,-56,-55,-64,-58,-61,-59,-70,-66,-67,-80,-66,-66,-63,-77,-63,-200,-72,-67,-67,-69,-76,-78,-200,-76,-81,-88,-80,-82,-82,-77,-200,-87,-75,-83,-200,-200,-200,-200,-86,-87,-88,-200,-90,-87,-200,-76,-200,-88,-200,-92,-200,-87,-71,-92,-89,-75,-83,-82,-89,-88,-89,-200,-200,-90,-200,-78,-83,-200,-200,-200,-200,-200,-200,-85,-90,-90,-200,-92,-200,-200,-90,-90,-200,-200,-200
1526461799817,-47,-34,-67,-59,-56,-69,-55,-56,-66,-58,-61,-54,-79,-68,-77,-80,-64,-66,-63,-75,-59,-200,-73,-66,-60,-68,-76,-78,-200,-74,-82,-88,-77,-83,-83,-77,-200,-200,-77,-76,-200,-200,-200,-200,-86,-87,-90,-200,-90,-87,-200,-76,-200,-87,-200,-200,-200,-87,-71,-92,-89,-75,-85,-88,-89,-88,-89,-200,-200,-90,-200,-200,-83,-200,-200,-200,-200,-200,-200,-85,-90,-92,-200,-92,-200,-200,-200,-90,-200,-200,-200
1526461802203,-47,-38,-67,-55,-52,-61,-55,-57,-62,-58,-60,-61,-74,-64,-67,-80,-66,-65,-62,-75,-63,-74,-68,-67,-69,-69,-76,-78,-200,-74,-78,-88,-77,-83,-83,-75,-86,-81,-77,-83,-200,-200,-200,-200,-88,-87,-90,-84,-90,-87,-200,-80,-200,-87,-200,-200,-200,-87,-83,-200,-89,-76,-83,-88,-89,-88,-89,-200,-200,-90,-200,-76,-80,-200,-200,-200,-200,-200,-92,-200,-200,-92,-90,-200,-200,-200,-200,-90,-86,-200,-200
1526461802847,-47,-38,-67,-55,-52,-61,-55,-57,-62,-58,-60,-61,-74,-64,-67,-80,-66,-65,-62,-75,-63,-74,-68,-67,-69,-69,-76,-78,-200,-74,-78,-88,-77,-83,-83,-75,-86,-81,-77,-83,-200,-200,-200,-200,-88,-87,-90,-84,-90,-87,-200,-80,-200,-87,-200,-200,-200,-87,-83,-200,-89,-76,-83,-88,-89,-88,-89,-200,-200,-90,-200,-76,-80,-200,-200,-200,-200,-200,-92,-200,-200,-92,-90,-200,-200,-200,-200,-90,-86,-200,-200
1526461805240,-46,-16,-68,-60,-54,-62,-55,-59,-61,-53,-60,-73,-70,-63,-72,-81,-65,-65,-62,-76,-57,-74,-68,-67,-65,-70,-77,-79,-200,-78,-78,-79,-77,-83,-83,-75,-86,-81,-81,-83,-200,-200,-200,-200,-90,-88,-88,-84,-200,-89,-200,-81,-200,-86,-200,-200,-200,-87,-83,-90,-79,-75,-83,-84,-89,-88,-200,-200,-200,-90,-200,-76,-80,-200,-200,-200,-200,-200,-92,-200,-200,-89,-90,-200,-200,-200,-200,-90,-86,-200,-200
1526461805884,-46,-16,-68,-60,-54,-62,-55,-59,-61,-53,-60,-73,-70,-63,-72,-81,-65,-65,-62,-76,-57,-74,-68,-67,-65,-70,-77,-79,-200,-78,-78,-79,-77,-83,-83,-75,-86,-81,-81,-83,-200,-200,-200,-200,-90,-88,-88,-84,-200,-89,-200,-81,-200,-86,-200,-200,-200,-87,-83,-90,-79,-75,-83,-84,-89,-88,-200,-200,-200,-90,-200,-76,-80,-200,-200,-200,-200,-200,-92,-200,-200,-89,-90,-200,-200,-200,-200,-90,-86,-200,-200
1526461808275,-48,-36,-74,-58,-53,-65,-55,-57,-57,-57,-60,-57,-71,-68,-68,-81,-64,-66,-64,-73,-68,-74,-72,-67,-64,-72,-77,-78,-200,-67,-81,-86,-77,-82,-83,-75,-86,-81,-80,-84,-200,-200,-200,-200,-90,-88,-87,-84,-200,-89,-200,-81,-200,-86,-200,-200,-200,-87,-83,-90,-90,-75,-83,-88,-89,-200,-200,-200,-200,-90,-200,-76,-80,-200,-200,-200,-200,-200,-92,-200,-92,-89,-91,-200,-200,-200,-200,-200,-86,-91,-200
1526461808914,-48,-36,-74,-58,-53,-65,-55,-57,-57,-57,-60,-57,-71,-68,-68,-81,-64,-66,-64,-73,-68,-74,-72,-67,-64,-72,-77,-78,-200,-67,-81,-86,-77,-82,-83,-75,-86,-81,-80,-84,-200,-200,-200,-200,-90,-88,-87,-84,-200,-89,-200,-81,-200,-86,-200,-200,-200,-87,-83,-90,-90,-75,-83,-88,-89,-200,-200,-200,-200,-90,-200,-76,-80,-200,-200,-200,-200,-200,-92,-200,-92,-89,-91,-200,-200,-200,-200,-200,-86,-91,-200
1526461811313,-48,-35,-66,-59,-49,-66,-55,-57,-57,-55,-61,-64,-71,-68,-75,-80,-66,-62,-64,-73,-57,-74,-72,-67,-67,-70,-77,-79,-200,-74,-81,-86,-200,-81,-200,-76,-86,-88,-78,-86,-200,-200,-200,-200,-90,-87,-87,-84,-200,-87,-200,-82,-200,-86,-200,-90,-200,-81,-83,-90,-89,-75,-83,-88,-91,-200,-91,-200,-200,-89,-200,-76,-80,-200,-200,-200,-200,-200,-92,-200,-89,-92,-91,-200,-200,-200,-200,-200,-86,-91,-200
1526461811939,-47,-35,-67,-59,-48,-62,-56,-56,-67,-57,-59,-58,-67,-65,-65,-80,-65,-64,-64,-73,-59,-200,-72,-67,-59,-67,-77,-78,-200,-74,-82,-86,-200,-90,-200,-75,-200,-88,-78,-83,-200,-200,-200,-200,-90,-87,-87,-200,-200,-87,-200,-80,-200,-87,-200,-89,-200,-83,-76,-90,-91,-76,-88,-88,-89,-200,-91,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-92,-91,-200,-200,-200,-200,-200,-200,-91,-200
