,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,MERCURY_0166,WHU-2018,WHU-2018,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018
1526458549483,-32,-32,-50,-52,-53,-59,-60,-57,-53,-69,-63,-70,-57,-56,-54,-63,-75,-76,-200,-62,-79,-73,-84,-81,-73,-75,-75,-81,-84,-200,-86,-200,-81,-80,-200,-80,-80,-74,-80,-200,-200,-200,-66,-200,-75,-75,-78,-85,-200,-200,-200,-83,-200,-200,-200,-200,-84,-90,-85,-200,-84,-200,-88,-91,-200,-200,-82,-82,-79,-80,-86,-88,-80,-87,-88,-200,-200,-200,-200,-200
1526458552487,-32,-36,-49,-51,-53,-60,-63,-56,-53,-74,-61,-70,-57,-54,-54,-62,-200,-75,-72,-63,-79,-73,-200,-81,-73,-73,-75,-80,-79,-77,-87,-200,-81,-81,-200,-70,-81,-79,-80,-200,-200,-200,-66,-200,-75,-75,-79,-85,-200,-200,-200,-83,-200,-200,-200,-200,-84,-88,-85,-200,-84,-200,-88,-91,-200,-200,-200,-200,-79,-80,-86,-88,-79,-87,-88,-200,-200,-200,-200,-200
1526458555492,-31,-35,-48,-52,-53,-62,-68,-57,-83,-68,-72,-200,-56,-55,-45,-62,-81,-75,-72,-63,-79,-73,-200,-82,-73,-73,-75,-53,-79,-77,-85,-85,-81,-81,-200,-71,-80,-79,-82,-200,-200,-200,-65,-200,-78,-72,-79,-200,-200,-200,-89,-82,-200,-200,-73,-200,-84,-88,-85,-200,-84,-200,-200,-91,-200,-200,-200,-200,-200,-74,-200,-85,-79,-87,-88,-89,-200,-200,-200,-200
1526458558497,-32,-37,-50,-51,-52,-62,-79,-57,-71,-69,-72,-75,-57,-53,-54,-200,-75,-200,-200,-63,-77,-77,-200,-82,-73,-74,-76,-81,-200,-78,-86,-85,-53,-82,-200,-71,-80,-90,-82,-87,-200,-200,-67,-200,-79,-74,-200,-200,-200,-200,-89,-83,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-83,-87,-74,-200,-85,-200,-200,-200,-89,-88,-92,-200,-200
1526458561520,-31,-35,-50,-47,-53,-76,-70,-57,-57,-71,-200,-75,-57,-58,-45,-57,-75,-75,-200,-63,-77,-77,-200,-200,-73,-76,-76,-80,-200,-78,-86,-200,-81,-80,-200,-200,-77,-74,-82,-87,-200,-200,-66,-200,-79,-74,-76,-200,-200,-200,-200,-83,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-87,-200,-200,-200,-200,-200,-200,-88,-88,-92,-91,-200
1526458564526,-32,-34,-49,-52,-53,-58,-70,-55,-54,-70,-200,-74,-59,-55,-53,-62,-81,-75,-74,-62,-79,-77,-84,-82,-79,-76,-76,-81,-200,-77,-86,-200,-82,-81,-200,-200,-81,-73,-82,-87,-200,-200,-66,-200,-79,-74,-77,-200,-200,-200,-200,-83,-200,-200,-200,-200,-82,-200,-200,-200,-84,-200,-200,-90,-200,-200,-200,-83,-87,-200,-200,-200,-200,-200,-200,-88,-88,-92,-91,-200
1526458567566,-31,-33,-50,-52,-53,-62,-61,-58,-53,-68,-200,-75,-59,-56,-46,-62,-75,-200,-74,-61,-79,-200,-84,-82,-79,-75,-200,-79,-200,-79,-86,-200,-79,-82,-200,-200,-81,-73,-200,-200,-200,-200,-66,-200,-200,-74,-78,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-90,-200,-88,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200
1526458570576,-31,-36,-50,-49,-53,-61,-64,-58,-57,-66,-66,-75,-57,-55,-45,-62,-75,-200,-74,-62,-79,-200,-84,-80,-78,-75,-80,-81,-200,-79,-86,-200,-80,-81,-200,-72,-80,-73,-200,-200,-200,-200,-66,-200,-200,-74,-78,-200,-200,-200,-89,-83,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-90,-200,-88,-80,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-87
1526458573580,-32,-36,-50,-50,-53,-61,-61,-56,-57,-64,-67,-75,-60,-57,-47,-59,-200,-200,-200,-61,-200,-200,-200,-80,-78,-200,-80,-80,-200,-78,-87,-200,-82,-81,-200,-72,-81,-71,-200,-200,-87,-200,-84,-200,-200,-76,-77,-200,-200,-200,-89,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-87
1526458576583,-32,-36,-50,-52,-53,-59,-66,-59,-57,-66,-62,-88,-54,-55,-46,-59,-200,-200,-80,-59,-200,-200,-200,-200,-200,-200,-200,-80,-200,-78,-87,-200,-81,-81,-85,-200,-78,-75,-200,-83,-87,-200,-65,-200,-74,-73,-77,-200,-200,-200,-200,-81,-200,-200,-200,-200,-82,-200,-200,-200,-85,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-84,-200,-87,-200,-200,-200,-200
1526458579587,-32,-32,-50,-52,-53,-59,-61,-59,-52,-67,-63,-88,-59,-55,-53,-61,-200,-77,-82,-63,-200,-68,-200,-81,-74,-200,-200,-81,-200,-79,-84,-200,-81,-82,-85,-200,-81,-75,-82,-83,-87,-200,-67,-200,-74,-73,-78,-200,-200,-200,-200,-82,-200,-200,-200,-200,-82,-200,-200,-200,-85,-200,-90,-200,-200,-200,-200,-200,-82,-200,-85,-87,-200,-84,-200,-87,-200,-200,-200,-200
1526458582591,-32,-36,-50,-49,-53,-63,-87,-63,-52,-69,-63,-74,-59,-57,-52,-59,-200,-76,-74,-74,-200,-68,-200,-81,-74,-75,-77,-81,-200,-80,-84,-200,-82,-79,-85,-200,-81,-74,-82,-80,-200,-200,-67,-200,-74,-73,-77,-200,-200,-86,-200,-82,-200,-200,-200,-200,-82,-200,-200,-200,-85,-200,-90,-200,-200,-200,-200,-200,-82,-200,-84,-87,-200,-84,-200,-87,-200,-200,-200,-200
