,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526459100882,-39,-31,-80,-43,-47,-58,-52,-55,-52,-54,-56,-60,-60,-53,-200,-66,-200,-72,-200,-73,-73,-72,-74,-71,-75,-70,-76,-200,-200,-75,-200,-79,-82,-200,-83,-200,-84,-70,-200,-200,-89,-65,-74,-73,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-83,-200,-200,-88,-200,-200,-200,-88,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459103885,-40,-31,-61,-41,-51,-57,-53,-54,-52,-53,-58,-57,-85,-53,-71,-67,-70,-54,-68,-200,-73,-200,-73,-73,-200,-200,-75,-80,-200,-70,-200,-200,-82,-200,-86,-200,-84,-81,-200,-87,-89,-65,-74,-200,-200,-200,-200,-200,-200,-200,-76,-200,-74,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-84,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459106933,-33,-39,-61,-44,-52,-58,-54,-55,-50,-55,-59,-57,-61,-54,-63,-67,-65,-70,-75,-200,-200,-200,-75,-73,-200,-200,-75,-84,-200,-72,-200,-80,-83,-200,-72,-200,-84,-77,-200,-87,-89,-63,-200,-200,-200,-83,-86,-200,-200,-200,-76,-200,-200,-79,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-84,-90,-82,-82,-90,-92,-200,-200,-200,-200,-200,-200,-200
1526459110003,-30,-32,-50,-45,-53,-59,-54,-55,-62,-51,-65,-61,-60,-53,-63,-67,-66,-71,-75,-79,-71,-70,-73,-71,-200,-200,-200,-84,-200,-72,-88,-86,-81,-200,-85,-200,-56,-77,-200,-200,-88,-63,-200,-72,-200,-83,-86,-200,-200,-200,-81,-200,-71,-78,-82,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-82,-90,-92,-77,-83,-85,-200,-200,-200,-200
1526459113018,-34,-31,-57,-41,-50,-60,-72,-55,-49,-53,-58,-60,-60,-53,-63,-68,-71,-55,-77,-77,-72,-77,-76,-71,-73,-76,-200,-84,-200,-75,-90,-86,-83,-200,-83,-200,-56,-77,-200,-200,-88,-63,-200,-75,-200,-83,-86,-200,-200,-200,-76,-200,-77,-78,-82,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-82,-90,-91,-77,-83,-85,-200,-200,-200,-200
1526459116025,-40,-32,-50,-43,-50,-57,-52,-55,-50,-53,-58,-60,-64,-53,-63,-69,-74,-73,-75,-76,-73,-76,-78,-70,-72,-79,-78,-78,-200,-73,-90,-82,-81,-200,-84,-200,-200,-77,-200,-200,-88,-68,-200,-75,-200,-200,-200,-200,-200,-200,-76,-200,-77,-200,-86,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-88,-90,-200,-200
1526459119074,-33,-33,-49,-43,-49,-58,-52,-55,-71,-52,-57,-65,-60,-55,-63,-66,-72,-73,-76,-76,-70,-76,-73,-70,-75,-78,-78,-79,-200,-73,-200,-82,-71,-200,-74,-200,-200,-78,-200,-200,-88,-65,-200,-74,-200,-200,-200,-200,-200,-200,-77,-200,-73,-200,-86,-83,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-90,-200,-200
1526459122130,-35,-29,-49,-42,-67,-58,-54,-55,-48,-51,-60,-57,-62,-52,-64,-68,-68,-73,-75,-200,-75,-200,-74,-200,-75,-78,-200,-78,-80,-71,-200,-200,-75,-200,-82,-200,-85,-81,-200,-88,-200,-72,-200,-73,-200,-200,-200,-200,-200,-200,-73,-200,-73,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526459125174,-29,-34,-85,-47,-49,-62,-51,-54,-67,-56,-57,-57,-61,-52,-61,-66,-68,-71,-75,-71,-70,-200,-75,-200,-75,-78,-76,-79,-75,-68,-200,-85,-85,-200,-84,-81,-84,-81,-200,-84,-87,-64,-79,-73,-200,-200,-200,-200,-200,-86,-73,-200,-73,-200,-200,-82,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-86,-200
1526459128222,-32,-33,-56,-46,-47,-61,-55,-55,-52,-56,-57,-200,-61,-59,-64,-66,-71,-72,-77,-71,-71,-200,-74,-68,-200,-75,-81,-79,-75,-78,-200,-85,-75,-200,-83,-81,-84,-200,-200,-84,-89,-63,-79,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-82,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200
1526459131275,-40,-35,-55,-46,-50,-74,-90,-55,-49,-57,-57,-57,-66,-59,-64,-66,-70,-71,-77,-74,-72,-72,-74,-68,-74,-75,-81,-79,-200,-78,-89,-200,-74,-200,-84,-83,-200,-200,-200,-200,-89,-63,-200,-75,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-84,-200,-200,-86,-200,-200,-200,-200,-200,-200,-91
1526459134333,-32,-32,-47,-45,-48,-51,-53,-55,-52,-57,-55,-57,-61,-51,-70,-66,-70,-71,-77,-74,-72,-77,-70,-200,-74,-73,-200,-78,-200,-73,-89,-200,-83,-200,-82,-83,-200,-200,-200,-200,-88,-65,-200,-75,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-84,-200,-200,-86,-200,-200,-200,-200,-200,-200,-91
