,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526451354103,-200,-200,-200,-200,-200,-82,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451355155,-200,-200,-200,-86,-94,-200,-72,-200,-200,-200,-200,-200,-79,-88,-200,-200,-72,-200,-200,-87,-200,-200,-200,-200,-200,-95,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451356349,-200,-200,-80,-200,-92,-81,-200,-81,-200,-200,-200,-200,-86,-79,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-84,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526451357522,-200,-200,-200,-200,-200,-200,-200,-79,-200,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451358561,-90,-88,-200,-85,-200,-200,-200,-78,-200,-200,-200,-93,-200,-200,-200,-200,-76,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-95,-78,-200,-200,-200,-200,-200,-200
1526451360789,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-94,-200,-200,-200,-200,-200
1526451361873,-200,-93,-200,-200,-200,-200,-200,-82,-200,-200,-200,-90,-200,-90,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-81,-94,-200,-200,-200,-200,-200
1526451362934,-200,-85,-79,-200,-200,-200,-70,-79,-200,-200,-200,-93,-200,-200,-200,-200,-72,-91,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451364035,-200,-90,-200,-200,-200,-200,-70,-200,-200,-200,-90,-93,-200,-85,-85,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451365137,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-93,-92,-200,-200,-200,-200,-74,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200
1526451365243,-90,-86,-200,-89,-200,-200,-70,-200,-200,-200,-98,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-82,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451366315,-200,-200,-200,-87,-200,-83,-200,-85,-200,-200,-200,-90,-85,-79,-88,-200,-74,-200,-200,-200,-200,-88,-200,-92,-82,-200,-78,-200,-99,-200,-200,-90,-200,-200,-200,-200
1526451367480,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200
1526451368549,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-86,-200,-91,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526451369655,-200,-89,-80,-84,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-96,-200,-200,-200,-200,-200
1526451370753,-200,-200,-200,-83,-94,-80,-74,-82,-200,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-94,-82,-85,-200,-200,-200,-82,-200,-200,-78,-200,-92,-200,-200,-200,-200
1526451372957,-200,-90,-200,-200,-200,-90,-72,-200,-200,-200,-89,-200,-86,-200,-200,-92,-200,-96,-200,-200,-200,-200,-200,-89,-200,-200,-82,-200,-200,-79,-200,-200,-200,-200,-200,-200
1526451374056,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-95,-200,-200,-200
1526451375166,-200,-85,-81,-82,-200,-80,-70,-200,-200,-200,-200,-200,-88,-200,-200,-86,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200
1526451376434,-200,-91,-200,-200,-91,-200,-72,-200,-200,-200,-91,-90,-86,-86,-88,-200,-200,-93,-200,-89,-200,-200,-89,-200,-86,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200
1526451376659,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-76,-200,-200,-200,-200,-200,-200
1526451376758,-200,-90,-79,-200,-96,-91,-68,-200,-200,-200,-90,-200,-84,-200,-200,-86,-75,-93,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451376889,-200,-94,-76,-83,-200,-200,-70,-84,-200,-200,-98,-200,-86,-200,-89,-200,-88,-94,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-78,-200,-200,-200,-200,-200,-200
1526451377113,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-90,-200,-85,-200,-84,-87,-200,-94,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451377303,-92,-93,-200,-200,-200,-200,-70,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-79,-200,-200,-78,-200,-200,-200,-200,-200,-200
1526451377472,-200,-200,-200,-200,-200,-87,-200,-82,-200,-200,-200,-200,-85,-200,-200,-86,-91,-200,-200,-200,-88,-86,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200
1526451377609,-200,-200,-79,-200,-200,-200,-72,-200,-200,-200,-89,-200,-85,-81,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200
1526451377828,-200,-89,-76,-200,-200,-200,-200,-82,-200,-94,-200,-200,-200,-200,-82,-86,-72,-200,-200,-90,-200,-87,-200,-200,-88,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200
1526451377994,-200,-92,-200,-90,-200,-200,-200,-85,-200,-200,-200,-200,-200,-86,-88,-200,-71,-200,-200,-89,-200,-200,-83,-200,-83,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200
1526451378093,-200,-96,-200,-200,-200,-200,-68,-200,-200,-200,-92,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-93,-200,-200,-200,-200
1526451378194,-200,-88,-76,-200,-200,-200,-200,-200,-200,-200,-90,-200,-82,-81,-200,-86,-72,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-98,-78,-200,-200,-200,-200,-200,-200
1526451378370,-200,-200,-78,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-90,-200,-83,-200,-200,-81,-200,-200,-200,-200,-200,-200
1526451378490,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-79,-200,-200,-77,-200,-200,-200,-200,-200,-200
1526451378665,-200,-200,-77,-200,-200,-200,-70,-83,-200,-200,-200,-200,-84,-82,-88,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200
1526451378793,-200,-200,-78,-83,-200,-200,-69,-200,-200,-200,-94,-85,-87,-200,-200,-200,-83,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-100,-77,-200,-200,-200,-200,-200,-200
1526451378974,-200,-200,-77,-200,-200,-200,-70,-200,-200,-200,-200,-200,-84,-200,-89,-87,-75,-200,-200,-90,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451379090,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451379198,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451379303,-200,-92,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-73,-96,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451379405,-200,-99,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-81,-94,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451379572,-200,-89,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-85,-200,-200,-90,-73,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200
1526451379653,-200,-91,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200
1526451379768,-200,-97,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-84,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-94,-200,-200
1526451379907,-200,-89,-77,-88,-91,-200,-70,-200,-200,-93,-200,-200,-86,-77,-83,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451380115,-200,-200,-76,-90,-91,-200,-71,-86,-200,-200,-200,-200,-200,-79,-90,-86,-200,-200,-200,-92,-200,-82,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451380266,-200,-200,-77,-200,-200,-94,-71,-200,-200,-200,-200,-200,-86,-200,-83,-83,-78,-96,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451380375,-200,-90,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-84,-87,-70,-200,-200,-92,-200,-87,-86,-200,-200,-200,-83,-200,-200,-80,-200,-200,-200,-200,-200,-200
1526451380565,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-85,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451380665,-200,-94,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-85,-74,-200,-200,-92,-200,-82,-200,-200,-93,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451380774,-200,-200,-77,-200,-200,-200,-70,-200,-200,-200,-200,-200,-87,-200,-84,-83,-70,-86,-200,-200,-94,-86,-86,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451380978,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-88,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451381078,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451381180,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-86,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200
1526451381489,-200,-200,-77,-200,-200,-89,-70,-200,-200,-200,-92,-200,-200,-84,-200,-83,-74,-94,-200,-92,-200,-200,-90,-200,-88,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451382633,-200,-88,-75,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-78,-88,-84,-200,-200,-200,-200,-200,-82,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200
1526451383695,-200,-200,-200,-81,-200,-200,-71,-81,-200,-200,-200,-93,-87,-200,-200,-200,-77,-200,-200,-200,-91,-83,-88,-91,-200,-200,-81,-200,-97,-200,-200,-200,-200,-200,-200,-200
1526451385876,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-86,-200,-200,-200,-87,-84,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451387021,-200,-86,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-72,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451388073,-200,-200,-80,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-91,-83,-80,-92,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-91,-200
1526451389157,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-82,-82,-200,-88,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451390256,-200,-200,-200,-85,-200,-80,-69,-200,-200,-200,-90,-91,-82,-200,-200,-200,-200,-200,-200,-88,-200,-200,-84,-200,-200,-200,-200,-200,-97,-85,-200,-200,-200,-200,-200,-200
1526451390379,-200,-96,-78,-200,-94,-200,-68,-84,-200,-200,-84,-92,-200,-76,-200,-84,-200,-94,-200,-200,-200,-82,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200
1526451392573,-200,-90,-200,-200,-94,-84,-70,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451393693,-200,-87,-82,-200,-98,-200,-200,-84,-200,-200,-89,-200,-200,-78,-200,-84,-72,-200,-200,-200,-200,-200,-83,-200,-92,-200,-85,-200,-200,-79,-200,-200,-200,-200,-200,-200
1526451395852,-200,-94,-200,-200,-200,-85,-72,-80,-200,-200,-87,-200,-80,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-82,-200,-200,-200,-200,-200,-200
1526451398055,-200,-90,-78,-82,-200,-91,-72,-200,-200,-200,-200,-94,-85,-76,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-95
1526451400242,-200,-200,-78,-88,-200,-200,-200,-80,-200,-200,-200,-200,-80,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200
1526451400362,-200,-90,-77,-90,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-73,-200,-200,-200,-91,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451401514,-200,-200,-200,-83,-200,-200,-70,-200,-200,-200,-200,-200,-200,-79,-86,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451402561,-200,-94,-76,-86,-92,-200,-71,-82,-200,-200,-200,-96,-82,-200,-200,-83,-73,-93,-200,-200,-200,-90,-83,-200,-200,-200,-85,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526451404750,-96,-200,-80,-86,-200,-200,-200,-200,-200,-200,-200,-94,-200,-77,-89,-86,-90,-200,-200,-92,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200
1526451405849,-88,-200,-200,-200,-200,-200,-200,-82,-200,-200,-84,-92,-200,-200,-85,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451407005,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-70,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451408074,-200,-88,-82,-200,-93,-81,-68,-80,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
