TimeStamp,88:75:56:8f:3d:d0,20:3a:07:f9:39:c1,88:75:56:8f:3d:d5,20:3a:07:f9:39:c2,20:3a:07:f9:39:c4,20:3a:07:f9:39:c0,20:3a:07:42:45:11,88:75:56:8f:3d:d4,20:3a:07:42:45:10,88:75:56:8f:3d:d2,88:75:56:8f:3d:d1,20:3a:07:f9:39:c5,20:3a:07:42:45:14,20:3a:07:42:45:12,20:3a:07:42:45:15,20:3a:07:42:45:1b,20:3a:07:42:45:1f,20:3a:07:42:45:1d,20:3a:07:42:45:1a,20:3a:07:42:45:1c,20:3a:07:42:45:1e,0c:d9:96:ca:15:42,0c:d9:96:ca:15:45,0c:d9:96:ca:15:41,0c:d9:96:ca:15:44,0c:d9:96:ca:15:40,34:a8:4e:cc:26:f4,34:a8:4e:cc:26:f2,34:a8:4e:cc:26:f5,34:a8:4e:cc:26:f1,34:a8:4e:cc:26:f0,88:75:56:8f:3d:dd,88:75:56:8f:3d:de,c0:62:6b:86:c4:30,c0:62:6b:86:c4:32,c0:62:6b:86:c4:35,c0:62:6b:86:c4:34,f0:25:72:a2:eb:e4,f0:25:72:a2:eb:e0,f0:25:72:a2:eb:e2,c0:62:6b:86:c4:31,f0:25:72:a2:eb:e1,88:75:56:6b:6a:55,c0:62:6b:86:c4:3c,34:a8:4e:cc:26:fa,34:a8:4e:cc:26:fc,c0:62:6b:86:c4:3a,34:a8:4e:cc:26:fe,c0:62:6b:86:c4:3e,88:75:56:6b:6a:54,88:75:56:6b:6a:50,34:a8:4e:cc:26:fd,c0:62:6b:86:c4:3d,88:75:56:6b:6a:52,c0:62:6b:86:c4:3b,34:a8:4e:cc:26:fb,34:a8:4e:cc:26:ff,a0:cf:5b:44:84:50,c0:62:6b:86:c4:3f,a0:cf:5b:44:84:55,88:75:56:6b:6a:5b,88:75:56:6b:6a:5d,88:75:56:6b:6a:5f,88:75:56:6b:6a:51,f0:25:72:a2:eb:e5,88:75:56:6b:6a:5a,88:75:56:6b:6a:5c,88:75:56:6b:6a:5e,a0:cf:5b:44:84:51,a0:cf:5b:44:84:52,a0:cf:5b:44:84:54,64:d8:14:32:64:d4,64:d8:14:32:64:d0,64:d8:14:32:64:d5,64:d8:14:c0:60:05,88:75:56:8f:3d:df,88:75:56:8f:3d:db,a0:cf:5b:44:84:5b,a0:cf:5b:44:84:5d,a0:cf:5b:44:84:5a,a0:cf:5b:44:84:5c,a0:cf:5b:44:84:5e,a0:cf:5b:44:84:5f,34:a8:4e:ab:ce:a4,34:a8:4e:ab:ce:a2,e0:d1:73:5b:cd:d2,e0:d1:73:5b:cd:d0,e0:d1:73:5b:cd:d4,e0:d1:73:5b:cd:d1,e0:d1:73:5b:cd:d5,e0:d1:73:5b:cd:dd,e0:d1:73:5b:cd:df,e0:d1:73:5b:cd:dc,e0:d1:73:5b:cd:da,e0:d1:73:5b:cd:de,e0:d1:73:5b:cd:db,7c:95:f3:17:0f:4f,64:d8:14:60:de:42,7c:95:f3:17:0f:40,7c:95:f3:17:0f:45,7c:95:f3:17:0f:4e,64:d8:14:60:de:45,64:d8:14:60:de:41,7c:95:f3:17:0f:41,7c:95:f3:17:0f:42,64:d8:14:60:de:40,64:d8:14:60:de:44,7c:95:f3:17:0f:44,7c:95:f3:17:0f:4d,7c:95:f3:17:0f:4a,7c:95:f3:17:0f:4c,7c:95:f3:17:0f:4b,64:d8:14:60:de:4b,64:d8:14:60:de:4f,64:d8:14:60:de:4d,64:d8:14:60:de:4a,64:d8:14:60:de:4c,64:d8:14:60:de:4e,64:d8:14:ad:ad:04,64:d8:14:c0:60:00,64:d8:14:ad:ad:00,34:a8:4e:ab:ce:a0,34:a8:4e:ab:ce:a5,64:d8:14:ad:ad:02,64:d8:14:32:64:d2,64:d8:14:ad:ad:05,34:a8:4e:ab:ce:a1,64:d8:14:32:64:d1,64:d8:14:c0:60:01,34:a8:4e:ab:ce:aa,64:d8:14:ad:ad:01,34:a8:4e:ab:ce:af,34:a8:4e:ab:ce:ac,64:d8:14:c0:60:0e,64:d8:14:c0:60:0c,34:a8:4e:ab:ce:ad,64:d8:14:c0:60:04,64:d8:14:c0:60:02,34:a8:4e:ab:ce:ae,64:d8:14:c0:60:0b,64:d8:14:c0:60:0d,64:d8:14:c0:60:0f,64:d8:14:c0:60:0a,34:a8:4e:ab:ce:ab,88:75:56:8f:3d:da
1454507664708,-80,-85,-76,-83,-83,-84,-83,-81,-79,-80,-79,-83,-79,-84,-79,-87,-88,-87,-86,-86,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507665635,-80,-85,-79,-83,-82,-84,-87,-81,-79,-80,-79,-83,-79,-84,-79,-87,-88,-87,-87,-86,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507666528,-80,-85,-78,-84,-84,-85,-80,-81,-79,-80,-79,-83,-79,-79,-79,-87,-88,,-87,-86,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507667455,-84,-85,-78,-84,-84,-85,-80,-83,-80,-82,-79,-83,-82,-79,-80,-87,-88,,-87,-86,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507668349,-84,-79,-78,-84,-84,-85,-80,-85,-85,-85,-79,-83,-82,-79,-85,-87,-88,,-87,-86,-87,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507669264,-84,-79,-78,-75,-75,-76,-86,-85,-85,-85,-86,-83,-82,-85,-85,,,,-87,-86,-87,-85,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507670205,-84,-79,-78,-75,-75,-82,-86,-85,-85,-85,-85,-82,-82,-85,-85,,,,,,-87,-85,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507671115,-84,-79,,-87,-75,-85,-86,-85,-85,-85,-87,-85,-82,-85,-85,,,,,,,-85,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507672076,-84,-79,,-86,-84,-85,-82,-85,-85,-85,-85,-85,,-82,-85,,,,,,,-85,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507672981,,,,-86,-84,-84,-82,,-87,-85,-86,-85,-87,-85,,,,,,,,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507673878,-87,-86,-88,-86,-84,-84,-82,,-87,-85,-86,-85,-87,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507674791,-87,-86,-88,-86,-81,-82,-82,,-87,-85,-86,-85,-87,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507675707,-87,-86,-88,-86,-81,-84,-82,,-88,-87,-86,-85,-89,-85,,,,,,,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507676620,-86,-86,-88,,-81,-84,,-85,-85,-86,-86,-85,-89,-85,-85,,,,,,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507677531,-86,-86,-87,-86,-81,-84,,-85,-85,-86,,-85,-89,,-85,,,,,,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507678433,-86,,-87,-86,-81,-84,,-85,-85,-86,,-85,-89,,-85,,,,,,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507679333,-86,,-87,-86,,-84,,-85,-85,-86,,-85,-89,,-85,,,,,,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507680246,-86,,-87,-86,,,,-85,-85,-86,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507681182,,,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507682107,,,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507682994,,,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507683868,,,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507684747,,,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507685618,,,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507686506,,,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507687380,,,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507688273,,,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507689185,,,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454507690069,,,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454508327239,,,,,,,,,,,,,,,,,,,,,,,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454508328113,,,,,,,,,,,,,,,,,,,,,,,,-88,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454508328980,,,,,,,,,,,,,,,,,,,,,,,,-88,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454508329859,,,,,,,,,,,,,,,,,,,,,,,,-87,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454508330750,,,,,,,,,,,,,,,,,,,,,,,,-87,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454508331634,,,,,,,,,,,,,,,,,,,,,,,,-87,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454508332506,,,,,,,,,,,,,,,,,,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454508333378,,,,,,,,,,,,,,,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454508334288,,,,,,,,,,,,,,,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454508335166,,,,,,,,,,,,,,,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454508336030,,,,,,,,,,,,,,,,,,,,,,,-87,-89,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454508336899,,,,,,,,,,,,,,,,,,,,,,-88,-87,-89,-89,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454508337766,,,,,,,,,,,,,,,,,,,,,,-88,-87,,-89,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454508338649,,,,,,,,,,,,,,,,,,,,,,-88,-86,,-89,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454508339538,,,,,,,,,,,,,,,,,,,,,,-85,-86,,-87,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
