TimeStamp,cc:d5:39:a0:cd:b4,cc:d5:39:e9:5c:a1,24:01:c7:08:b3:f1,24:01:c7:08:b3:fa,cc:d5:39:a0:cd:b0,cc:d5:39:e9:5c:a0,cc:d5:39:a0:cd:be,34:a8:4e:c6:22:00,24:01:c7:08:b3:fc,34:a8:4e:c6:22:04,cc:d5:39:89:6c:b1,cc:d5:39:e9:5c:a2,24:01:c7:6c:fc:52,cc:d5:39:e9:5c:a4,cc:d5:39:a0:cd:b5,24:01:c7:6c:fc:54,24:01:c7:08:b3:f2,34:a8:4e:c6:22:05,24:01:c7:08:b3:fe,24:01:c7:6c:fc:50,24:01:c7:33:7f:a5,24:01:c7:33:7f:a0,cc:d5:39:89:6c:b2,cc:d5:39:a0:cd:bd,cc:d5:39:a0:cd:b1,cc:d5:39:e9:5c:a5,24:01:c7:08:b3:f5,24:01:c7:08:b3:f0,24:01:c7:33:7f:aa,cc:d5:39:a0:cd:bf,cc:d5:39:a0:cd:ba,24:01:c7:6c:fc:55,34:a8:4e:c6:22:01,cc:d5:39:89:6c:b4,cc:d5:39:a0:cd:b2,24:01:c7:33:7f:a4,24:01:c7:33:7f:ac,24:01:c7:08:b3:fb,24:01:c7:08:b3:ff,24:01:c7:6c:fc:51,24:01:c7:08:b3:fd,34:a8:4e:c6:22:02,24:01:c7:33:7f:ae,24:01:c7:6c:fc:5f,24:01:c7:6c:fc:5b,cc:d5:39:a0:cd:bc,cc:d5:39:89:6c:b5,24:01:c7:33:7f:a1,24:01:c7:6c:fc:5d,24:01:c7:6c:fc:5a,24:01:c7:33:7f:a2,24:01:c7:6c:fc:5c,24:01:c7:33:7f:ab,cc:d5:39:e5:b3:85,24:01:c7:33:7f:ad,24:01:c7:08:b3:f4,cc:d5:39:a0:cd:bb,24:01:c7:33:7f:af,24:01:c7:6c:fc:5e,cc:d5:39:e5:b3:81,88:75:56:44:c6:e0,58:97:1e:f7:73:b5,cc:d5:39:e5:b3:82,cc:d5:39:e5:b3:80,cc:d5:39:e5:b3:84,58:97:1e:f7:73:b1,24:01:c7:77:3e:a0,24:01:c7:77:3e:a4,24:01:c7:77:3e:a5,24:01:c7:b0:92:21,24:01:c7:b0:92:22,cc:d5:39:e5:b3:8e,24:01:c7:77:3e:a2,cc:d5:39:e5:b3:8c,cc:d5:39:e5:b3:8a,e0:d1:73:ff:ee:55,88:75:56:44:c6:e4,88:75:56:44:c6:e5,58:97:1e:f7:73:b2,cc:d5:39:e5:b3:8d,e0:d1:73:ff:ee:51,58:97:1e:f7:73:b4,e0:d1:73:ff:ee:52,cc:d5:39:e5:b3:8f,cc:d5:39:e5:b3:8b,e0:d1:73:ff:ee:54,58:97:1e:f7:73:b0,88:75:56:44:c6:e1,e0:d1:73:ff:ee:50,88:75:56:44:c6:e2,cc:d5:39:25:b4:34,cc:d5:39:25:b4:30,cc:d5:39:25:b4:35,88:75:56:44:c6:ea,58:97:1e:f7:73:bb,58:97:1e:f7:73:bd,58:97:1e:f7:73:bf,88:75:56:44:c6:ef,58:97:1e:f7:73:be,24:01:c7:ca:81:00,88:75:56:44:c6:ed,24:01:c7:ca:81:04,24:01:c7:ca:81:02,88:75:56:44:c6:eb,24:01:c7:ca:81:0c,00:19:a9:a3:78:e0,88:75:56:44:c6:ec,cc:d5:39:25:b4:31,24:01:c7:ca:81:0d,58:97:1e:f7:73:ba,88:75:56:44:c6:ee,cc:d5:39:25:b4:32,58:97:1e:f7:73:bc,24:01:c7:ca:81:0f,24:01:c7:ca:81:05,24:01:c7:ca:81:0e,24:01:c7:ca:81:01,24:01:c7:ca:81:0a,24:01:c7:ca:81:0b,34:a8:4e:a2:a3:96,34:a8:4e:a2:a3:91,34:a8:4e:a2:a3:9b,34:a8:4e:a2:a3:95,34:a8:4e:a2:a3:9d,34:a8:4e:a2:a3:93,34:a8:4e:a2:a3:9e,34:a8:4e:a2:a3:9c,34:a8:4e:a2:a3:99,88:75:56:4b:3a:51,34:a8:4e:e9:e0:f1,88:75:56:4b:3a:56,34:a8:4e:a2:a3:92,34:a8:4e:e9:e0:f2,34:a8:4e:a2:a3:9f,34:a8:4e:a2:a3:9a,88:75:56:4b:3a:50,88:75:56:4b:3a:55,34:a8:4e:b0:4f:c6,88:75:56:4b:3a:53,34:a8:4e:b0:4f:c2,34:a8:4e:b0:4f:c1,34:a8:4e:e9:e0:f5,34:a8:4e:e9:e0:f0,34:a8:4e:e9:e0:f3,c0:62:6b:0a:26:d5
1453855924944,-65,-69,-64,-82,-62,-62,-78,,-82,,,-68,-79,-62,-63,-80,-67,,-81,-78,-83,-83,,-61,-48,-62,-64,-65,-73,-62,-62,-77,,,-66,-80,-70,-73,-75,-80,-75,,-80,-83,-82,,,-82,-73,-83,-85,-82,-76,-87,-83,-65,-65,-71,-70,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855925856,-49,-57,-64,-82,-62,-62,-78,,-82,,,-68,-79,-62,-63,-80,-67,,-81,-78,-83,-83,,-64,-48,-62,-65,-65,-74,-64,-66,-77,,,-48,-80,-70,-78,-75,-66,-75,,-80,-71,-70,-65,,-79,-70,-83,-79,-82,-76,-87,-70,-65,-65,-70,-70,-86,-85,-89,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855926771,-49,-58,-61,-77,-48,-62,-65,,-75,,,-56,-71,-62,-48,-70,-67,,-81,-78,-83,-78,,-62,-48,-62,-65,-65,-74,-62,-66,-77,,,-48,-78,-70,-78,-76,-70,-75,,-71,-72,-70,-66,,-79,-71,-71,-78,-82,-76,-87,-72,-65,-65,-70,-70,-86,-85,-89,-83,-82,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855927740,-60,-56,-59,-73,-60,-62,-62,,-75,,,-56,-74,-62,-48,-70,,,-81,-78,-83,-78,,-62,-48,-62,-65,-65,-74,-62,-66,-77,,,-61,-77,-70,-78,-71,-74,-71,,-72,-74,-76,-66,,-79,-74,-75,-78,,-76,,-71,-65,-65,-71,-70,-86,-85,-89,-83,-84,-82,-86,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855928691,-53,-55,-58,-73,-53,,-65,,-70,,,-53,-76,,-48,-70,,,,,,-78,,-64,-48,-62,-65,-65,-74,-63,-66,-77,,,-53,-75,-70,-78,-73,-75,-72,,-70,-77,-76,-66,,-79,-74,-74,-76,,,,-69,,-65,-69,-70,-86,-85,-89,-81,-81,-80,-86,-82,-82,-83,-86,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855929640,-54,-50,-56,-66,-55,,-65,,-70,,,-53,-76,,-48,-70,,,,,,-78,,-62,,,-65,,-74,-62,-65,,,,-53,-74,-69,-78,-65,-75,-65,,-70,-77,-78,-63,,-72,-74,-74,-76,,,,-68,,,-68,,,-85,-89,-81,-78,-79,-86,-79,-79,-83,-86,-86,-88,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855930578,-51,-54,-56,-66,-55,,-65,,-70,,,-53,-76,,-48,-70,,,,,,-78,,-65,-51,-50,-56,,,-65,-65,,,,-51,-74,-69,-65,-65,-74,-64,,-70,-75,-75,-65,,-74,-75,-74,-67,,,,-65,,,-65,,,,-87,-79,-78,-80,-86,-79,-84,-83,-86,-86,-88,-85,-85,-88,-86,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855931496,-53,-53,-53,-65,-55,,-65,,-70,,,-53,-76,,,,,,,,,,,-65,-51,-50,-56,,,-65,-65,,,,-55,-74,-67,-66,-65,-76,-65,,-63,-74,-75,-65,,-70,-76,-74,-72,,,,-63,,,-63,,,,-87,-78,-78,-79,-86,-79,-86,-83,-86,-86,-87,-87,-88,-88,-86,-87,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855932426,-53,-43,-54,-62,-54,,-74,,-65,,,-44,-76,,-53,-75,,,,,,-72,,-74,-51,-50,-56,,,-74,-65,,,,-55,-75,-67,-66,-63,-78,-63,,-65,-78,-75,-73,,-70,-76,-78,-72,-80,,-78,-66,,,-66,,,,-87,-76,-77,-78,-86,-87,-86,-88,-86,-86,-88,-87,-88,-88,-86,-87,-88,-86,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855933362,-53,-43,-56,-71,-51,,-69,,-69,,,-43,-75,-43,-51,-75,-56,,,-76,,-72,,-70,-51,-50,-56,,,-70,-65,,,,-55,-72,-67,-66,-69,-78,-68,,-66,-78,-75,-73,,-70,-78,-81,-75,-80,-65,-77,-64,,,-64,,,,-87,-76,-77,-78,-86,-87,-86,-88,,,-89,-87,-88,-88,-86,-87,-88,-86,-89,-86,-87,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855934300,-54,-43,-57,-71,-54,,-68,,-67,,,-43,-79,-43,-54,-79,-58,,,-76,,-72,,-69,-51,-50,-56,,,-68,-65,,,,-55,-70,-67,-66,-67,-78,-67,,-66,-78,-75,-73,,-70,-78,-77,-70,-78,-65,-79,-65,,,-65,,,,-87,-77,-78,-78,-85,-87,-86,-88,,,-86,-87,-88,-88,-86,-87,-88,-87,-85,-87,-87,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855935233,-54,-43,-57,-71,-56,-41,-70,,-63,,,-42,-79,-42,-56,-79,-55,,-68,-79,-73,-72,,-70,,,,,,-70,-65,,,,-55,-70,-67,-66,-64,-78,-64,,-66,-78,-75,-73,,-70,-78,-79,-70,-80,-65,-76,-66,-56,,-67,,,,,-75,-74,-78,-85,-87,-86,-88,,,-86,-87,-88,,,-87,-88,-87,-82,-87,-86,-86,-81,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855936146,-54,-43,-57,-71,-56,-42,-76,,-71,,,-40,-83,-41,-58,-83,-57,,-76,-83,-72,-74,,-75,,,,,,-76,,,,,,-73,,,-75,-78,-74,,-66,-78,,-73,,,-78,-83,-70,-85,-67,-72,-64,-56,-75,-64,-83,,,,-75,-74,-78,-85,-87,,-88,,,-86,,,,,,,-85,-87,-87,-87,-86,-86,-83,-87,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855937136,-54,,-57,-71,-56,-36,-76,,-71,,,-40,-83,-41,-58,-83,-57,,-76,-83,-73,-74,,-72,-58,-37,-58,-58,-68,-72,,-81,,,,-73,,,-70,,-69,,-66,-78,,,,,-78,-83,-70,-85,-67,-72,-68,-59,-72,-68,-81,-73,,-85,-75,-74,,-85,,,,,,-86,,,-81,,,,-85,-83,-87,-87,-86,-82,-82,-86,-88,-84,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855938070,-64,-42,-62,-71,-64,-36,-70,,-69,,,-42,-81,-41,-58,-81,-57,,-76,-83,-73,-72,,-69,-58,-37,-58,-58,-68,-69,,-81,,,,-68,,,-70,,-70,,-64,-81,,-69,,,,-82,-67,-85,-67,-70,-63,-59,-72,-63,-81,-73,,-85,-75,-68,-68,-87,,,,,,-78,,,-81,,,,-86,-80,-87,-87,-86,-80,-82,-86,-88,-84,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855938992,-65,-46,-65,-70,-64,-36,-66,,-71,,,-49,-81,-50,-67,-81,-64,,-76,-83,-73,-70,,-66,-58,-37,-58,-58,-68,-66,,-81,,,,-69,,,-70,,-70,,-62,-81,,-69,,,,-85,-69,-84,-67,-66,-62,-59,-72,-62,-81,-73,,-85,-75,-67,-68,-85,,,,,,-84,,,-81,,,-86,-83,-79,-87,-87,-86,-83,-82,-86,-88,-84,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855939910,-65,-46,-65,-70,-64,-49,-68,,-73,,,-48,-83,-49,-64,-83,-65,,-73,-83,-69,-73,,-70,-58,-37,-58,-58,-68,-68,,-81,,,,-69,,,-73,,-72,,-62,-81,,-69,,,,-85,-69,-83,-67,-63,-66,-64,-70,-66,-85,-73,,-85,,-67,-68,-85,,,,,,-84,,,-81,,,-86,-82,-75,-87,-84,-87,-74,-77,-88,-83,-84,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855940857,-65,-46,-65,-70,-64,-46,-68,,-73,,,-48,-83,-49,-64,-83,-65,,-73,-82,-68,-73,,-71,-62,-44,-64,-63,-66,-70,,-82,,,,-69,,,-76,,-76,,-62,-81,,-69,,,-85,-85,-69,-83,-67,-63,-63,-63,-71,-64,-84,-65,,-85,,-67,-68,-85,,,,,,-84,,,-76,,,-86,-82,-73,-87,-84,-87,-74,-75,-88,-84,-86,-84,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855941817,-62,-49,-64,-82,-62,-46,-75,,-79,,,-49,-81,-49,-62,-81,-65,,-73,-82,-68,-71,,-73,-62,-44,-64,-63,-66,-72,,-82,,,,-72,,,-79,-81,-79,,-68,-83,,-73,,,-85,-83,-69,-83,-67,-65,-66,-63,-71,-66,-84,-65,,,,-65,-65,-84,,,,,,-75,,,-76,,,-86,-85,-75,-87,-84,-87,-75,-75,-88,-84,-86,-84,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855942757,-62,-49,-72,-82,-65,-46,-75,,-77,,,-45,-83,-45,-65,-82,-75,,-76,-82,-66,-65,,-74,-62,-44,-64,-63,-66,-76,,-82,,,,-64,,,-76,-81,-76,,-68,-83,,-73,,,-85,-87,-69,-86,-65,-61,-63,-74,-71,-63,-84,-65,,,,-60,-65,-84,,,,,,-75,,,-76,,,-86,-85,-74,-83,-84,-86,-73,-76,-88,-84,-83,-84,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855943702,-62,-49,-72,-82,-62,-48,-75,,-77,,,-48,-83,-48,-63,-82,-71,,-80,-84,-70,-70,,-74,-62,-44,-64,-63,-66,-74,,-82,,,,-68,,,-78,-81,-78,,-68,-83,,-73,,,-85,-84,-69,-86,-61,-57,-60,-70,-71,-60,-84,-65,,,,-57,-65,-84,,,,,,-75,,,-76,,,,-85,-75,-85,-84,-85,-73,-76,-88,-84,-85,-84,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855944635,-62,-49,-72,-77,-61,-48,-72,,-78,,,-51,-85,-52,-61,-85,-70,,-79,-84,-70,-68,,-72,-62,-44,-64,-63,-66,-73,,-82,,,,-69,,,-79,-81,-79,,-68,-83,,-73,,,-85,-84,-69,-87,-61,-62,-59,-70,-71,-59,-84,-65,,,,-60,-65,-84,-87,,-87,,,-75,,,-76,,,-86,-83,-67,-85,-84,-86,-66,-68,,-84,-85,-84,-84,-85,-85,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855945585,-62,-49,-72,-77,-59,-56,-72,,-78,,,-57,-85,-56,-59,-85,-70,,-79,-84,-67,-67,,-70,,,,,,-72,,,,,,-66,,,-79,-81,-78,,-68,-83,,-73,,,,-84,-69,-87,-58,-57,-58,-71,,-59,,,,,,-56,-65,-84,-87,,-84,,,-75,,,,,,-86,-80,-64,-85,-82,-84,-63,-65,,-83,-86,,,-85,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855946514,,,-66,-78,-61,-56,-73,,-78,,,-57,-81,-59,-62,-81,-66,,-79,-84,-67,-67,,-72,,,,,,-72,,,,,,-66,,,-79,,-78,,-58,,,,,,,-86,-65,-85,-60,-52,-60,-71,,-60,,,,,,-55,,-85,-87,,-84,,,-70,,,,,,-86,-81,-70,-86,-81,-85,-67,-70,,-83,-86,,,-85,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855947436,,,-66,-78,-61,-56,-69,,-85,,,-57,-83,-57,-66,-82,-71,,-83,-82,-63,-62,,-71,,,,,,-71,,,,,,-65,,,-79,,-78,,-58,,,,,,,-86,-65,-85,-59,-54,-57,-70,,-57,,,,,,-55,,-85,-87,,-84,,,-70,,,,,,-86,-81,-72,-86,-83,-85,-69,-73,-85,-83,-86,,,-85,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855948358,,,-66,-78,-61,-57,-69,,-85,,,-57,-83,-56,-66,-82,-75,,-87,-85,-65,-62,,-76,-63,-57,,-74,-60,-76,,-84,,,,-65,,,-86,,-84,,-58,,,,,,,-86,-65,-85,-58,-54,-57,-75,-76,-56,,-54,,-79,,-55,,-85,-87,,-84,,,-70,,,-62,,,-86,-81,-62,-86,-81,-84,-62,-67,-83,-81,-86,-82,-85,-85,-87,-86,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
