TimeStamp,e0:d1:73:a1:20:e0,cc:d5:39:24:a7:70,e0:d1:73:a1:20:e2,e0:d1:73:95:71:42,e0:d1:73:a1:20:e4,54:78:1a:24:67:c1,e0:d1:73:a1:20:ee,e0:d1:73:a1:20:eb,e0:d1:73:95:71:44,cc:d5:39:24:a7:75,e0:d1:73:95:71:40,cc:d5:39:9a:e4:81,84:78:ac:dc:d4:a5,e0:d1:73:a1:20:ed,54:78:1a:24:67:c0,54:78:1a:24:67:c5,cc:d5:39:24:a7:74,84:78:ac:dc:d4:a0,84:78:ac:dc:d4:a4,cc:d5:39:24:a7:72,e0:d1:73:a1:20:e5,54:78:1a:24:67:c4,84:78:ac:dc:d4:a1,e0:d1:73:95:71:45,54:78:1a:24:67:c2,e0:d1:73:a1:20:e1,cc:d5:39:24:a7:71,cc:d5:39:9a:e4:80,e0:d1:73:95:71:41,84:78:ac:dc:d4:a2,e0:d1:73:0f:2f:72,e0:d1:73:0f:2f:74,e0:d1:73:0f:2f:70,e0:d1:73:0f:2f:71,cc:d5:39:9a:e4:85,e0:d1:73:a1:20:ef,e0:d1:73:a1:20:ec,e0:d1:73:a1:20:ea,34:a8:4e:29:3d:90,84:78:ac:dc:d4:aa,cc:d5:39:9a:e4:84,cc:d5:39:9a:e4:82,e0:d1:73:d8:74:91,e0:d1:73:d8:74:90,e0:d1:73:d8:74:95,e0:d1:73:d8:74:94,20:3a:07:aa:41:34,20:3a:07:aa:41:35,20:3a:07:aa:41:30,20:3a:07:aa:41:31,e0:d1:73:d8:74:92,cc:d5:39:6a:49:e4,cc:d5:39:6a:49:e0,20:3a:07:aa:41:32,cc:d5:39:6a:49:e2,20:3a:07:aa:41:3e,20:3a:07:aa:41:3f,20:3a:07:aa:41:3b,20:3a:07:aa:41:3d,20:3a:07:aa:41:3c,cc:d5:39:6a:49:e5,20:3a:07:aa:41:3a,e0:d1:73:d8:74:9c,e0:d1:73:de:ac:11,e0:d1:73:de:ac:10,e0:d1:73:de:ac:14,e0:d1:73:de:ac:12,e0:d1:73:d8:74:9a,e0:d1:73:d8:74:9f,e0:d1:73:d8:74:9d,e0:d1:73:d8:74:9b,e0:d1:73:d8:74:9e,e0:d1:73:0f:2f:75,e0:d1:73:de:ac:15,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a5,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:ac,e0:d1:73:bd:c9:ad,e0:d1:73:bd:c9:ab,e0:d1:73:bd:c9:af,e0:d1:73:bd:c9:aa,e0:d1:73:bd:c9:ae,20:3a:07:cd:9c:72,34:a8:4e:29:3d:91,34:a8:4e:29:3d:92,34:a8:4e:29:3d:95,20:3a:07:cd:9c:71,34:a8:4e:29:3d:94,cc:d5:39:51:6c:e4,cc:d5:39:51:6c:e5,cc:d5:39:51:6c:e1,cc:d5:39:7f:3c:45,cc:d5:39:7f:3c:44
1454081790925,-76,,-76,,-77,-75,,,,-85,,,-81,,,-82,,-86,-86,,-78,,-85,,-73,-76,,,,,,,,,,,,,,-90,-87,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081791808,-80,,-81,,-77,-75,,,,-85,,,,,,,,-86,-86,,-81,,-85,,-73,-76,,,,,,,,,,,,,,,-87,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081792705,-81,,-81,,-84,,,,,,,,,,,,,-86,-86,,-81,,,,,-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081793604,-81,,-81,,-84,,,,,,,,,,,,,-86,-86,,-85,,,,,-76,,,,,,,,,,,,,,,,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081794497,-81,,-85,,-84,,,,,,,,,,,,,,,,-85,,,,,-84,,,,,,,,,,,,,,,,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081795369,-81,,-85,,-84,,,,,,,,,,,,,,,,-88,,,,,-84,,,,,,,,,,,,,,,,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081796260,-81,,-88,,-88,,,,,,,,,,,,,,,,-88,,,,,-84,,,,,,,,,,,,,,,,,-86,-85,-87,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081797154,,,-88,,-88,,,,,,,,,,,,,,,,-88,,,,,-84,,,,,,,,,,,,,,,,,-87,-85,-87,-87,-83,-83,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081798055,,,-85,,-88,,,,,,,,,,,,,,,,-88,,,,,-86,,,,,,,,,,,,,,,,,-87,-85,-87,-87,-83,-83,-84,-85,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081798969,,,-85,,-88,,,,,,,,,,,,,,,,-88,,,,,-86,,,,,,,,,,,,,,,,,-87,-85,-85,-87,-85,-83,-85,-85,-85,-84,-85,-85,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081799866,,,-85,,-88,,,,,,,,,,,,,,,,-88,,,,,-86,,,,,,,,,,,,,,,,,-87,-85,-85,-87,-85,-86,-87,-85,-85,-84,-85,-85,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081800815,,,-85,,,,,,,,,,,,,,,,,,-85,,,,,-86,,,,,,,,,,,,,,,,,-87,,-85,,-85,-87,-85,-85,-85,-84,-85,-85,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081801727,,,-85,,,,,,,,,,,,,,,,,,-85,,,,,-83,,,,,,,,,,,,,,,,,-87,-83,-85,-85,-85,-87,-85,-83,-83,-84,-85,-85,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081802634,,,,,-87,,,,,,,,,,,,,,,,-85,,,,,-83,,,,,,,,,,,,,,,,,-87,-83,-84,-85,-85,-87,-85,-87,-83,-86,-85,-85,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081803524,,,,,-87,,,,,,,,,,,,,,,,-85,,,,,-83,,,,,,,,,,,,,,,,,-87,-83,-84,-85,-87,-85,-85,-87,-83,-86,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081804444,,,,,-87,,,,,,,,,,,,,,,,-85,,,,,-83,,,,,,,,,,,,,,,,,,-77,-84,-77,-87,-85,-85,-85,-77,-86,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081805329,,,,,-87,,,,,,,,,,,,,,,,,,,,,-83,,,,,,,,,,,,,,,,,,-69,-69,-77,-87,-85,,-84,-69,-86,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081806236,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,-71,-69,-77,-87,-83,,-84,-71,-86,,-85,,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081807142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,-69,-69,-71,-87,-83,,-83,-69,,,-85,-87,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081808046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,-68,-72,-71,-81,-83,-80,-83,-68,,,-80,-87,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081808957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69,-70,-72,-71,-81,-81,-80,-83,-70,,,-82,-87,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081809898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,-70,-72,-71,-81,-79,-79,-83,-70,,,-79,-87,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081810781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,-77,-72,-78,-81,-79,-79,-78,-77,,,-79,-87,-91,-89,-89,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081811680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,-77,-72,-78,-76,-75,-75,-78,-77,,,-75,,-87,-89,-89,-86,-86,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081812588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,-74,,-75,-76,-75,-76,-78,-74,,,-75,,-87,-89,-85,-88,-86,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081813486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,-74,-74,-75,-73,-75,-73,-74,-73,-85,,-73,-86,-87,-79,-85,-79,-86,-86,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081814411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78,-75,-74,-75,-73,-67,-66,-74,-75,-85,,-66,-86,-81,-80,-85,-79,-81,-86,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081815309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73,-74,-74,-75,-73,-70,-70,-74,-74,-85,,-68,-86,-78,-77,-85,-76,-81,-86,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081816207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73,-74,-75,-74,-73,-70,-70,-66,-74,-85,,-67,-86,-78,-79,-79,-80,-81,,-82,-90,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081817106,,,,,,,,,,,,,,,,,,,,,,,,-87,,,,,,,,,,,,,,,,,,,-70,-70,-75,-74,-73,-68,-66,-66,-70,-85,,-67,-86,-75,-77,-79,-77,-82,,-82,-90,-86,-86,-86,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081817985,,,,,,,,,,,,,,,,,,,,,,,,-87,,,,,-86,,,,,,,,,,,,,,-70,-76,-75,-76,,-68,-69,-69,-75,,,-69,,-75,-74,-74,-74,-82,,-82,-90,-86,-86,-86,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081818896,,,,,,,,,,,,,,,,,,,,,,,,-87,,,,,-86,,,,,,,,,,,,,,-67,-67,-75,-76,-67,-66,-66,-69,-67,,,-66,,-76,-76,-74,-75,-76,,-82,-90,-86,-86,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081819818,,,,,,,,,,,,,,,,,,,,,,,,-87,,,,,-86,,,,,,,,,,,,,,-67,-66,-75,-66,-67,-72,-69,-69,-66,,,-68,,-83,-83,-84,-83,-76,,-82,-90,-86,-87,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081820729,,,,,,,,,,,,,,,,,,,,,,,,-87,,,,,-86,,,,,,,,,,,,,,-67,-71,,-72,-67,-72,-75,-75,-72,,,-75,,-83,-79,-79,-79,-76,,,-89,,-87,-87,-86,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081821615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86,,,,,,,,,,,,,,-67,-71,-72,-72,-79,-72,-78,-75,-71,,,-78,,-83,-87,-79,-79,-88,,-88,-89,,-87,-87,-86,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081822524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86,,,,,,,,,,,,,,-65,-71,-72,-64,-79,-81,-78,-75,-65,,,-78,,-83,-87,-79,-79,-88,,-88,-89,,-87,-87,-86,-89,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081823410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86,,,,,,,,,,,,,,-65,-68,-68,-68,-79,-81,-78,-84,-65,,,-83,,-83,-87,-79,-79,-88,,-88,-89,,-87,,,-89,-87,-86,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081824307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69,-68,-68,-68,-79,-84,-84,-84,-65,,,-83,,,-87,-79,-79,-88,,-88,-89,,,,,-89,-85,-86,-85,,,,,,,,,,,,,,,,,,,,,,,,,
1454081825212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69,-68,-68,-67,-79,-84,-75,-76,-68,,,-75,,,-80,-82,-84,-88,,-88,-88,,,,,,-85,-86,-85,,,,,,,,,,,,,,,,,,,,,,,,,
1454081826124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69,-68,-62,-67,-74,-84,-74,-76,-68,,,-74,,,-85,-82,-85,-83,,-81,-88,,,,,,-85,-86,-85,,,,,,,,,,,,,,,,,,,,,,,,,
1454081827019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70,-68,-62,-67,-74,-77,-77,-76,-68,,,-77,,,-85,-82,-85,-83,,-81,-88,,,,,,-85,-86,-89,,,,,,,,,,,,,,,,,,,,,,,,,
1454081827948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,-68,-62,-67,-74,-77,-75,-76,-70,,,-75,,-85,-85,-82,-85,-83,,-81,-88,,,,,,-89,-88,-89,,,,,,,,,,,,,,,,,,,,,,,,,
1454081828846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,-64,-65,-63,-74,-77,-78,-77,-70,,,-78,,-85,-85,-83,-85,-83,,-81,-91,,,,,,-89,-88,-89,,,,,,,,,,,,,,,,,,,,,,,,,
1454081829764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68,-64,-65,-63,-76,-78,-77,-77,-70,,,-77,,-85,-85,-83,-85,-86,,-81,-91,,,,,,-89,-90,-88,,,,,,,,,,,,,,,,,,,,,,,,,
1454081830654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64,-64,-65,-63,-76,-80,-77,-77,-64,,,-78,,-85,-85,-83,-82,-86,,,-91,,,,,-90,-90,-90,-85,,,,,,,,,,,,,,,,,,,,,,,,,
1454081831552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64,-65,-63,-63,-78,-80,-79,-77,-64,,,-78,,-85,-85,-83,-82,-81,,,-91,,,,,-90,-90,-90,-85,,,,,,,,,,,,,,,,,,,,,,,,,
1454081832460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-65,-63,-63,-78,-78,-78,-77,-64,,,-77,,,-85,-83,-82,-81,,,-91,,,,,-90,-89,-89,-85,,,,,,,,,,,,,,,,,,,,,,,,,
1454081833353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-65,-63,-65,-78,-78,-75,-76,-66,,,-75,,,-85,-86,-85,-81,,,-87,,,,,-87,-89,-89,-85,,,,,,,,,,,,,,,,,,,,,,,,,
1454081834256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66,-65,-70,-65,-82,-78,-81,-76,-66,,,-83,,,-85,-86,-85,-81,,,-87,,,,,-87,-89,-85,-85,-87,,,,,,,,,,,,,,,,,,,,,,,,
1454081835145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67,-65,-70,-65,-82,-85,-81,-76,-66,,,-83,,,-85,-86,-89,-81,,,-87,,,,,-87,-89,-85,,-87,,,,,,,,,,,,,,,,,,,,,,,,
1454081836038,,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67,-66,-66,-65,-86,-85,-81,-76,-66,,,-85,,,,-86,-89,,,,-89,,,,,-87,-89,-85,,-90,,,,,,,,,,,,,,,,,,,,,,,,
1454081836925,,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64,-66,-66,-65,-86,-84,-81,-76,-65,,,-85,,,,-86,-89,,,,-89,,,,,-87,-89,-90,-90,-90,,,,,,,,,,,,,,,,,,,,,,,,
1454081837806,,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64,-71,-65,,-86,-84,-81,,-65,,,-85,,,,,-89,,,,-89,,,,,,-89,-90,-90,-86,,,,,,,,,,,,,,,,,,,,,,,,
1454081838690,,,-89,,,,,,,,,,,,,,,,,,,,,,,-88,,,,,,,,,,,,,,,,,-60,-71,-65,,-86,-85,,,-60,,,-85,,,,,-89,,,,-89,,,,,-86,-87,-87,-88,-86,,,,,,,,,,,,,,,,,,,,,,,,
1454081839591,,,-89,,-88,,,,,,,,,,,,,,,,,,,,,-88,,,,,,,,,,,,,,,,,-60,-71,-61,,-85,-85,,,-60,,,-85,,,,,,,,,-89,,,,,-86,-87,-87,-88,-87,,,,,,,,,,,,,,,,,,,,,,,,
1454081840495,,,,,-88,,,,,,,,,,,,,,,,-87,,,,,-88,,,,,,,,,,,,,,,,,-63,-71,-61,,-85,-85,,,-65,,,-85,,,,,,,,,,,,,,-86,-85,-87,-86,-87,,,,,,,,,,,,,,,,,,,,,,,,
1454081841388,,,-85,,-88,,,,,,,,,,,,,,,,-87,,,,,-85,,,,,,,,,,,,,,,,,-63,-64,-61,-64,-85,-85,,,-63,,,-85,,,,,,,,,-84,,,,,-83,-85,-87,-86,-87,,,,,,,,,,,,,,,,,,,,,,,,
1454081842270,,,-85,,-88,,,,,,,,,,,,,,,,-84,,,,,-85,,,,,,,,,,,,,,,,,-62,-64,-61,-64,-85,-85,,,-63,,,,,,,,,,,,-84,,,,,-83,-85,-89,-90,-87,,,,,,,,,,,,,,,,,,,,,,,,
1454081843179,,,-86,,-84,,,,,,,,,,,,,,,,-84,,,,,-85,,,,,,,,,,,,,,,,,-62,-62,-61,-62,-85,,,,-66,,,,,,,,,,,,-84,,,,,-90,-85,-89,-90,-87,,,,,,,,,,,,,,,,,,,,,,,,
1454081844106,,,-86,,-86,,,,,,,,,,,,,,,,-86,,,,,-85,,,,,,,,,,,,,,,,,-62,-62,-65,-62,,,,,-66,,,-87,,,,,,,,,-84,,,,,-90,-81,-81,-90,-80,,,,,,,,,,,,,,,,,,,,,,,,
