,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DQKJ,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526446620354,-34,-42,-51,-56,-59,-48,-50,-46,-50,-58,-59,-72,-63,-63,-67,-200,-69,-73,-72,-65,-73,-62,-74,-82,-81,-80,-74,-200,-82,-60,-73,-76,-84,-76,-200,-200,-83,-82,-79,-83,-200,-78,-81,-79,-82,-82,-200,-84,-87,-200,-200,-85,-78,-79,-85,-83,-200,-88,-200,-200,-89,-200,-74,-87,-200,-89,-75,-88,-82,-85,-88,-85,-89,-200,-200,-200
1526446623398,-38,-40,-51,-53,-58,-56,-51,-46,-49,-58,-58,-72,-62,-61,-67,-200,-69,-81,-65,-67,-74,-70,-74,-82,-77,-80,-74,-200,-82,-61,-73,-76,-83,-76,-200,-200,-200,-82,-79,-82,-200,-78,-81,-79,-82,-82,-200,-84,-87,-200,-200,-88,-78,-79,-85,-200,-87,-88,-200,-200,-89,-200,-74,-87,-200,-200,-75,-200,-82,-85,-88,-85,-89,-200,-200,-200
1526446626451,-35,-41,-52,-54,-60,-52,-51,-50,-52,-60,-57,-72,-63,-61,-64,-81,-69,-81,-65,-66,-76,-63,-74,-82,-77,-80,-75,-200,-82,-60,-73,-75,-83,-76,-200,-200,-82,-82,-200,-82,-200,-78,-81,-81,-83,-81,-200,-86,-87,-200,-200,-88,-200,-79,-85,-200,-87,-88,-200,-83,-89,-200,-75,-87,-200,-200,-75,-200,-82,-85,-88,-85,-89,-200,-200,-200
1526446629521,-35,-40,-58,-52,-60,-48,-49,-49,-52,-56,-54,-72,-63,-63,-66,-83,-68,-81,-68,-66,-76,-61,-73,-200,-77,-80,-75,-200,-82,-63,-73,-75,-83,-76,-200,-200,-82,-82,-200,-82,-200,-75,-81,-81,-83,-81,-200,-86,-87,-200,-200,-88,-82,-79,-85,-200,-87,-88,-200,-85,-89,-200,-71,-87,-200,-200,-75,-200,-200,-83,-88,-85,-89,-200,-200,-200
1526446632578,-35,-41,-53,-52,-59,-52,-52,-49,-52,-59,-61,-78,-62,-68,-65,-83,-66,-74,-65,-67,-78,-65,-74,-200,-73,-83,-74,-200,-82,-62,-71,-73,-85,-76,-200,-84,-82,-77,-200,-82,-81,-75,-81,-81,-84,-81,-200,-86,-88,-85,-200,-89,-82,-79,-200,-200,-86,-88,-200,-85,-89,-200,-73,-87,-200,-200,-75,-200,-200,-83,-200,-85,-89,-92,-200,-200
1526446635644,-40,-45,-53,-52,-58,-50,-60,-51,-52,-58,-57,-79,-62,-62,-65,-83,-70,-74,-69,-67,-74,-65,-74,-73,-73,-83,-76,-200,-81,-62,-74,-73,-83,-77,-200,-84,-82,-77,-200,-83,-81,-75,-200,-81,-84,-81,-200,-87,-88,-86,-200,-89,-82,-79,-200,-200,-86,-200,-200,-85,-200,-200,-71,-200,-200,-200,-74,-200,-200,-83,-200,-200,-200,-92,-200,-200
1526446638695,-36,-42,-49,-60,-58,-49,-55,-50,-46,-57,-54,-74,-65,-62,-65,-79,-70,-75,-73,-67,-74,-61,-72,-73,-73,-83,-76,-200,-81,-65,-74,-75,-81,-75,-200,-84,-82,-77,-80,-82,-81,-73,-76,-79,-83,-76,-200,-85,-86,-86,-200,-89,-82,-79,-200,-200,-86,-200,-200,-83,-200,-200,-71,-200,-200,-200,-74,-200,-200,-83,-200,-200,-200,-92,-200,-200
1526446641765,-36,-42,-49,-54,-59,-54,-50,-51,-48,-56,-56,-78,-65,-63,-65,-79,-70,-75,-72,-67,-74,-60,-72,-84,-73,-78,-76,-200,-81,-65,-72,-75,-81,-75,-200,-84,-200,-77,-80,-82,-79,-73,-76,-79,-83,-76,-200,-85,-86,-86,-200,-89,-82,-79,-200,-200,-86,-200,-200,-83,-200,-200,-71,-200,-200,-200,-80,-84,-200,-83,-85,-200,-200,-92,-85,-200
1526446644836,-39,-43,-49,-52,-59,-54,-50,-49,-52,-55,-55,-72,-64,-60,-61,-72,-67,-75,-73,-67,-74,-60,-73,-84,-75,-78,-84,-200,-81,-61,-72,-75,-81,-78,-200,-84,-200,-77,-78,-83,-79,-77,-76,-79,-83,-79,-200,-85,-86,-86,-200,-89,-200,-79,-200,-200,-86,-200,-200,-83,-200,-200,-78,-200,-200,-200,-80,-84,-200,-83,-85,-200,-200,-92,-85,-200
1526446647877,-39,-43,-49,-52,-58,-50,-55,-54,-48,-56,-55,-72,-64,-60,-61,-72,-67,-75,-73,-67,-74,-66,-72,-79,-81,-78,-84,-200,-81,-63,-72,-75,-80,-76,-200,-200,-200,-200,-78,-82,-79,-77,-82,-79,-83,-79,-200,-83,-86,-86,-200,-89,-200,-79,-200,-200,-200,-200,-200,-83,-200,-200,-78,-200,-200,-200,-80,-84,-200,-200,-85,-200,-200,-200,-85,-89
1526446650929,-38,-44,-48,-52,-62,-50,-55,-53,-47,-56,-61,-71,-66,-59,-61,-72,-67,-81,-73,-67,-74,-64,-73,-79,-76,-78,-73,-76,-200,-63,-72,-80,-80,-78,-200,-200,-200,-78,-78,-82,-79,-77,-82,-82,-81,-83,-200,-87,-86,-200,-86,-89,-200,-79,-86,-200,-200,-200,-200,-83,-200,-200,-75,-200,-200,-200,-80,-84,-200,-200,-85,-200,-200,-200,-85,-89
1526446653978,-35,-39,-49,-52,-58,-50,-53,-57,-48,-60,-60,-75,-67,-63,-64,-72,-66,-83,-69,-68,-74,-69,-77,-79,-76,-78,-73,-76,-200,-62,-72,-80,-80,-79,-200,-200,-200,-78,-78,-80,-79,-77,-82,-82,-84,-83,-200,-87,-200,-200,-86,-89,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-80,-84,-200,-200,-85,-200,-200,-200,-85,-89
